,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,BROOKLYN_ACTION,CLEVELAND_SCORE,BROOKLYN_SCORE
0,1,11:39.0,,T. Young misses 2-pt hook shot from 8 ft,0,0
1,1,11:38.0,Defensive rebound by T. Mozgov,,0,0
2,1,11:33.0,Turnover by L. James (bad pass),,0,0
3,1,11:23.0,,T. Young misses 2-pt jump shot from 7 ft,0,0
4,1,11:22.0,Defensive rebound by K. Love,,0,0
5,1,11:16.0,K. Irving makes 2-pt jump shot from 6 ft,,2,0
6,1,11:03.0,,B. Lopez misses 2-pt jump shot from 21 ft,2,0
7,1,11:02.0,Defensive rebound by K. Irving,,2,0
8,1,10:52.0,Turnover by J. Smith (bad pass; steal by T. Young),,2,0
9,1,10:44.0,,B. Lopez misses 2-pt jump shot from 12 ft,2,0
10,1,10:43.0,,Offensive rebound by T. Young,2,0
11,1,10:37.0,,S. Larkin makes 3-pt jump shot from 24 ft (assist by T. Young),2,3
12,1,10:25.0,Turnover by T. Mozgov (lost ball),,2,3
13,1,10:15.0,,Shooting foul by T. Mozgov (drawn by B. Lopez),2,3
14,1,10:15.0,,B. Lopez misses free throw 1 of 2,2,3
15,1,10:15.0,,Offensive rebound by Team,2,3
16,1,10:15.0,,B. Lopez makes free throw 2 of 2,2,4
17,1,9:59.0,T. Mozgov makes 2-pt dunk at rim (assist by L. James),,4,4
18,1,9:37.0,,S. Karasev misses 2-pt jump shot from 18 ft,4,4
19,1,9:36.0,Defensive rebound by K. Love,,4,4
20,1,9:27.0,K. Love misses 3-pt jump shot from 25 ft,,4,4
21,1,9:26.0,,Defensive rebound by B. Lopez,4,4
22,1,9:15.0,,B. Bogdanović misses 3-pt jump shot from 24 ft,4,4
23,1,9:14.0,Defensive rebound by K. Love,,4,4
24,1,9:01.0,L. James makes 2-pt hook shot from 6 ft,,6,4
25,1,8:49.0,,B. Bogdanović misses 2-pt layup from 3 ft (block by K. Love),6,4
26,1,8:48.0,,Offensive rebound by Team,6,4
27,1,8:39.0,,Turnover by B. Bogdanović (lost ball),6,4
28,1,8:25.0,K. Irving misses 2-pt jump shot from 11 ft,,6,4
29,1,8:24.0,,Defensive rebound by S. Karasev,6,4
30,1,8:15.0,,Turnover by S. Karasev (bad pass),6,4
31,1,8:08.0,J. Smith misses 2-pt jump shot from 19 ft,,6,4
32,1,8:07.0,,Defensive rebound by Team,6,4
33,1,7:48.0,,B. Lopez misses 2-pt jump shot from 9 ft,6,4
34,1,7:47.0,Defensive rebound by L. James,,6,4
35,1,7:43.0,L. James makes 2-pt layup from 1 ft,,8,4
36,1,7:13.0,,S. Larkin makes 2-pt jump shot from 6 ft (assist by B. Lopez),8,6
37,1,6:57.0,K. Love misses 3-pt jump shot from 24 ft,,8,6
38,1,6:57.0,,Defensive rebound by S. Karasev,8,6
39,1,6:57.0,,Personal foul by K. Irving,8,6
40,1,6:44.0,,T. Young misses 2-pt jump shot from 18 ft,8,6
41,1,6:43.0,Defensive rebound by T. Mozgov,,8,6
42,1,6:30.0,K. Love makes 2-pt hook shot from 4 ft,,10,6
43,1,6:13.0,,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by S. Larkin),10,9
44,1,5:58.0,K. Love makes 2-pt jump shot from 20 ft (assist by J. Smith),,12,9
45,1,5:42.0,,Turnover by B. Bogdanović (lost ball; steal by T. Mozgov),12,9
46,1,5:41.0,Personal foul by B. Bogdanović,,12,9
47,1,5:41.0,,Brooklyn full timeout,12,9
48,1,5:23.0,K. Irving misses 2-pt jump shot from 7 ft,,12,9
49,1,5:22.0,Offensive rebound by Team,,12,9
50,1,5:22.0,,Loose ball foul by T. Young,12,9
51,1,5:07.0,K. Irving misses 3-pt jump shot from 25 ft,,12,9
52,1,5:06.0,,Defensive rebound by B. Bogdanović,12,9
53,1,4:53.0,,Shooting foul by T. Mozgov (drawn by B. Lopez),12,9
54,1,4:53.0,,B. Lopez makes free throw 1 of 2,12,10
55,1,4:53.0,T. Thompson enters the game for T. Mozgov,,12,10
56,1,4:53.0,,B. Lopez makes free throw 2 of 2,12,11
57,1,4:44.0,Turnover by K. Love (lost ball; steal by T. Young),,12,11
58,1,4:39.0,,T. Young makes 2-pt layup from 2 ft (assist by S. Larkin),12,13
59,1,4:26.0,Turnover by J. Smith (bad pass; steal by B. Lopez),,12,13
60,1,4:18.0,,B. Bogdanović misses 2-pt jump shot from 9 ft,12,13
61,1,4:17.0,Defensive rebound by K. Love,,12,13
62,1,4:10.0,K. Irving makes 2-pt layup from 2 ft (assist by L. James),,14,13
63,1,3:52.0,Violation by K. Love (kicked ball),,14,13
64,1,3:52.0,,S. Kilpatrick enters the game for B. Bogdanović,14,13
65,1,3:52.0,,R. Hollis-Jefferson enters the game for S. Karasev,14,13
66,1,3:52.0,M. Dellavedova enters the game for J. Smith,,14,13
67,1,3:52.0,I. Shumpert enters the game for K. Irving,,14,13
68,1,3:40.0,,S. Kilpatrick makes 2-pt jump shot from 5 ft (assist by B. Lopez),14,15
69,1,3:20.0,Turnover by K. Love (lost ball; steal by R. Hollis-Jefferson),,14,15
