,QUARTER,TIME_REMAINING,PORTLAND_ACTION,INDIANA_ACTION,PORTLAND_SCORE,INDIANA_SCORE
0,1,11:42.0,N. Vonleh makes 2-pt hook shot from 4 ft,,2,0
1,1,11:18.0,,M. Turner misses 2-pt jump shot from 19 ft,2,0
2,1,11:18.0,Defensive rebound by A. Aminu,,2,0
3,1,11:01.0,D. Lillard makes 2-pt jump shot from 12 ft,,4,0
4,1,10:51.0,,Personal foul by A. Aminu (drawn by M. Turner),4,0
5,1,10:42.0,,I. Mahinmi makes 2-pt dunk at rim (assist by P. George),4,2
6,1,10:15.0,Turnover by N. Vonleh (lost ball; steal by P. George),,4,2
7,1,10:09.0,,M. Turner misses 2-pt layup at rim,4,2
8,1,10:09.0,Defensive rebound by A. Aminu,,4,2
9,1,10:03.0,C. McCollum misses 2-pt jump shot from 16 ft (block by M. Ellis),,4,2
10,1,10:02.0,Offensive rebound by C. McCollum,,4,2
11,1,9:53.0,Shooting foul by I. Mahinmi (drawn by M. Plumlee),,4,2
12,1,9:53.0,M. Plumlee misses free throw 1 of 2,,4,2
13,1,9:53.0,Offensive rebound by Team,,4,2
14,1,9:53.0,M. Plumlee makes free throw 2 of 2,,5,2
15,1,9:30.0,,P. George misses 2-pt jump shot from 20 ft,5,2
16,1,9:30.0,Defensive rebound by N. Vonleh,,5,2
17,1,9:19.0,Turnover by N. Vonleh (lost ball),,5,2
18,1,9:07.0,,M. Ellis makes 2-pt jump shot from 20 ft,5,4
19,1,8:50.0,D. Lillard makes 2-pt jump shot from 16 ft,,7,4
20,1,8:38.0,,I. Mahinmi misses 2-pt layup from 1 ft,7,4
21,1,8:37.0,Defensive rebound by M. Plumlee,,7,4
22,1,8:29.0,C. McCollum misses 3-pt jump shot from 24 ft,,7,4
23,1,8:27.0,Offensive rebound by M. Plumlee,,7,4
24,1,8:23.0,Turnover by D. Lillard (traveling),,7,4
25,1,8:10.0,,M. Turner makes 2-pt jump shot from 20 ft (assist by G. Hill),7,6
26,1,7:57.0,C. McCollum makes 2-pt jump shot from 8 ft,,9,6
27,1,7:38.0,,I. Mahinmi makes 2-pt hook shot from 6 ft,9,8
28,1,7:24.0,D. Lillard misses 2-pt jump shot from 6 ft,,9,8
29,1,7:23.0,Offensive rebound by A. Aminu,,9,8
30,1,7:19.0,N. Vonleh misses 2-pt jump shot from 18 ft,,9,8
31,1,7:18.0,,Defensive rebound by P. George,9,8
32,1,7:04.0,,P. George misses 3-pt jump shot from 23 ft,9,8
33,1,7:03.0,,Offensive rebound by P. George,9,8
34,1,6:52.0,,P. George makes 2-pt jump shot from 17 ft (assist by G. Hill),9,10
35,1,6:39.0,Shooting foul by G. Hill (drawn by D. Lillard),,9,10
36,1,6:39.0,D. Lillard makes free throw 1 of 2,,10,10
37,1,6:39.0,D. Lillard makes free throw 2 of 2,,11,10
38,1,6:20.0,,M. Ellis makes 2-pt jump shot from 19 ft,11,12
39,1,6:04.0,C. McCollum makes 3-pt jump shot from 25 ft (assist by D. Lillard),,14,12
40,1,6:02.0,,Indiana full timeout,14,12
41,1,5:48.0,,M. Ellis makes 2-pt layup from 2 ft (assist by I. Mahinmi),14,14
42,1,5:31.0,Shooting foul by M. Ellis (drawn by C. McCollum),,14,14
43,1,5:31.0,C. McCollum makes free throw 1 of 2,,15,14
44,1,5:31.0,C. McCollum makes free throw 2 of 2,,16,14
45,1,5:11.0,,P. George misses 2-pt jump shot from 8 ft (block by M. Plumlee),16,14
46,1,5:10.0,Defensive rebound by D. Lillard,,16,14
47,1,5:00.0,M. Plumlee misses 2-pt layup at rim,,16,14
48,1,4:59.0,Offensive rebound by M. Plumlee,,16,14
49,1,4:59.0,M. Plumlee misses 2-pt layup at rim,,16,14
50,1,4:57.0,,Defensive rebound by G. Hill,16,14
51,1,4:53.0,,Shooting foul by D. Lillard (drawn by G. Hill),16,14
52,1,4:53.0,,G. Hill makes free throw 1 of 2,16,15
53,1,4:53.0,A. Crabbe enters the game for C. McCollum,,16,15
54,1,4:53.0,M. Leonard enters the game for N. Vonleh,,16,15
55,1,4:53.0,,G. Hill makes free throw 2 of 2,16,16
56,1,4:45.0,Personal foul by M. Turner (drawn by M. Leonard),,16,16
57,1,4:38.0,D. Lillard makes 2-pt layup from 1 ft,,18,16
58,1,4:31.0,,I. Mahinmi makes 2-pt layup from 1 ft (assist by G. Hill),18,18
59,1,4:31.0,,Shooting foul by M. Leonard (drawn by I. Mahinmi),18,18
60,1,4:31.0,,R. Stuckey enters the game for G. Hill,18,18
61,1,4:31.0,G. Henderson enters the game for A. Aminu,,18,18
62,1,4:31.0,,I. Mahinmi makes free throw 1 of 1,18,19
63,1,4:14.0,Turnover by D. Lillard (lost ball; steal by M. Ellis),,18,19
64,1,4:07.0,,M. Turner makes 2-pt hook shot from 4 ft (assist by M. Ellis),18,21
65,1,3:47.0,D. Lillard makes 3-pt jump shot from 25 ft (assist by A. Crabbe),,21,21
66,1,3:31.0,,M. Turner misses 2-pt jump shot from 19 ft,21,21
67,1,3:30.0,Defensive rebound by M. Leonard,,21,21
68,1,3:23.0,Shooting foul by M. Ellis (drawn by D. Lillard),,21,21
69,1,3:23.0,D. Lillard makes 3-pt jump shot from 26 ft,,24,21
70,1,3:23.0,E. Davis enters the game for M. Plumlee,,24,21
71,1,3:23.0,,G. Hill enters the game for M. Ellis,24,21
72,1,3:23.0,D. Lillard makes free throw 1 of 1,,25,21
73,1,3:10.0,,R. Stuckey misses 2-pt jump shot from 17 ft,25,21
74,1,3:09.0,Defensive rebound by E. Davis,,25,21
75,1,2:59.0,E. Davis misses 2-pt layup at rim,,25,21
76,1,2:58.0,,Defensive rebound by I. Mahinmi,25,21
77,1,2:45.0,,G. Hill makes 2-pt jump shot from 12 ft,25,23
78,1,2:31.0,D. Lillard makes 3-pt jump shot from 26 ft,,28,23
79,1,2:12.0,,R. Stuckey makes 2-pt jump shot from 17 ft (assist by G. Hill),28,25
80,1,2:12.0,Portland full timeout,,28,25
81,1,2:12.0,,L. Allen enters the game for M. Turner,28,25
82,1,2:12.0,,J. Hill enters the game for I. Mahinmi,28,25
83,1,1:56.0,M. Leonard makes 3-pt jump shot from 26 ft (assist by A. Crabbe),,31,25
84,1,1:53.0,,Turnover by G. Hill (inbound),31,25
85,1,1:51.0,G. Henderson makes 2-pt jump shot from 19 ft (assist by A. Crabbe),,33,25
86,1,1:36.0,,Shooting foul by G. Henderson (drawn by P. George),33,25
87,1,1:36.0,,P. George makes free throw 1 of 2,33,26
88,1,1:36.0,,P. George makes free throw 2 of 2,33,27
89,1,1:20.0,D. Lillard makes 2-pt jump shot from 16 ft,,35,27
90,1,0:56.0,,P. George misses 3-pt jump shot from 24 ft,35,27
91,1,0:55.0,Defensive rebound by E. Davis,,35,27
92,1,0:45.0,D. Lillard misses 3-pt jump shot from 25 ft,,35,27
93,1,0:45.0,Offensive rebound by G. Henderson,,35,27
94,1,0:45.0,G. Henderson makes 2-pt dunk at rim,,37,27
95,1,0:31.0,,G. Hill misses 2-pt jump shot from 15 ft,37,27
96,1,0:31.0,Defensive rebound by G. Henderson,,37,27
97,1,0:11.0,G. Henderson makes 2-pt jump shot from 15 ft,,39,27
98,1,0:01.0,,G. Hill misses 3-pt jump shot from 27 ft,39,27
99,1,0:00.0,Defensive rebound by A. Crabbe,,39,27
100,2,11:46.0,,L. Allen makes 2-pt layup at rim (assist by R. Stuckey),39,29
101,2,11:31.0,M. Leonard misses 2-pt jump shot from 15 ft,,39,29
102,2,11:30.0,,Defensive rebound by M. Ellis,39,29
103,2,11:25.0,,Personal foul by E. Davis (drawn by J. Hill),39,29
104,2,11:15.0,,Personal foul by C. McCollum (drawn by M. Ellis),39,29
105,2,11:07.0,,R. Stuckey misses 2-pt jump shot from 6 ft (block by E. Davis),39,29
106,2,11:06.0,Defensive rebound by E. Davis,,39,29
107,2,10:58.0,C. McCollum misses 2-pt layup from 1 ft (block by J. Hill),,39,29
108,2,10:57.0,,Defensive rebound by C. Budinger,39,29
109,2,10:50.0,,C. Budinger makes 2-pt layup from 1 ft (assist by M. Ellis),39,31
110,2,10:24.0,E. Davis makes 2-pt layup from 1 ft (assist by A. Crabbe),,41,31
111,2,10:16.0,,M. Ellis misses 2-pt jump shot from 18 ft,41,31
112,2,10:15.0,,Offensive rebound by L. Allen,41,31
113,2,10:03.0,,M. Ellis misses 2-pt jump shot from 15 ft,41,31
114,2,10:02.0,Defensive rebound by G. Henderson,,41,31
115,2,9:56.0,G. Henderson makes 2-pt jump shot from 19 ft,,43,31
116,2,9:30.0,,L. Allen misses 2-pt jump shot from 17 ft,43,31
117,2,9:30.0,Defensive rebound by E. Davis,,43,31
118,2,9:16.0,E. Davis makes 2-pt layup from 2 ft (assist by C. McCollum),,45,31
119,2,8:56.0,,J. Hill makes 2-pt hook shot from 1 ft,45,33
120,2,8:35.0,A. Crabbe misses 2-pt jump shot from 20 ft,,45,33
121,2,8:34.0,,Defensive rebound by R. Stuckey,45,33
122,2,8:30.0,,Shooting foul by C. McCollum (drawn by M. Ellis),45,33
123,2,8:30.0,Official timeout,,45,33
124,2,8:30.0,,S. Hill enters the game for R. Stuckey,45,33
125,2,8:30.0,,M. Ellis makes free throw 1 of 2,45,34
126,2,8:30.0,,M. Ellis makes free throw 2 of 2,45,35
127,2,8:17.0,A. Crabbe misses 3-pt jump shot from 25 ft,,45,35
128,2,8:17.0,,Defensive rebound by J. Hill,45,35
129,2,8:09.0,,L. Allen makes 2-pt layup from 1 ft (assist by M. Ellis),45,37
130,2,7:56.0,C. McCollum misses 2-pt jump shot from 19 ft,,45,37
131,2,7:56.0,,Defensive rebound by S. Hill,45,37
132,2,7:48.0,,M. Ellis misses 2-pt jump shot from 16 ft,45,37
133,2,7:47.0,,Offensive rebound by L. Allen,45,37
134,2,7:31.0,,M. Ellis misses 2-pt layup at rim,45,37
135,2,7:31.0,,Offensive rebound by L. Allen,45,37
136,2,7:29.0,,L. Allen makes 2-pt layup from 1 ft,45,39
137,2,7:19.0,G. Henderson makes 2-pt jump shot from 15 ft,,47,39
138,2,7:00.0,,J. Hill misses 2-pt jump shot from 19 ft,47,39
139,2,6:59.0,,Offensive rebound by C. Budinger,47,39
140,2,6:54.0,,S. Hill makes 3-pt jump shot from 24 ft (assist by M. Ellis),47,42
141,2,6:35.0,G. Henderson makes 2-pt jump shot from 19 ft,,49,42
142,2,6:19.0,,J. Hill makes 2-pt jump shot from 19 ft (assist by M. Ellis),49,44
143,2,5:57.0,E. Davis misses 2-pt layup from 1 ft,,49,44
144,2,5:57.0,,Defensive rebound by L. Allen,49,44
145,2,5:49.0,,J. Hill misses 2-pt jump shot from 20 ft,49,44
146,2,5:48.0,Defensive rebound by C. McCollum,,49,44
147,2,5:43.0,M. Leonard makes 2-pt dunk at rim (assist by C. McCollum),,51,44
148,2,5:43.0,,Indiana full timeout,51,44
149,2,5:43.0,M. Plumlee enters the game for A. Crabbe,,51,44
150,2,5:43.0,D. Lillard enters the game for M. Leonard,,51,44
151,2,5:43.0,A. Aminu enters the game for G. Henderson,,51,44
152,2,5:31.0,,Turnover by J. Hill (bad pass; steal by E. Davis),51,44
153,2,5:27.0,Shooting foul by J. Hill (drawn by C. McCollum),,51,44
154,2,5:27.0,C. McCollum makes 2-pt layup from 1 ft (assist by D. Lillard),,53,44
155,2,5:27.0,C. McCollum makes free throw 1 of 1,,54,44
156,2,5:13.0,,Personal foul by A. Aminu (drawn by L. Allen),54,44
157,2,5:13.0,,M. Turner enters the game for L. Allen,54,44
158,2,5:05.0,,M. Ellis misses 2-pt jump shot from 19 ft,54,44
159,2,5:05.0,Defensive rebound by E. Davis,,54,44
160,2,4:52.0,C. McCollum misses 3-pt jump shot from 25 ft,,54,44
161,2,4:51.0,,Defensive rebound by M. Turner,54,44
162,2,4:40.0,,S. Hill misses 2-pt layup at rim (block by E. Davis),54,44
163,2,4:39.0,Defensive rebound by A. Aminu,,54,44
164,2,4:32.0,C. McCollum misses 3-pt jump shot from 24 ft,,54,44
165,2,4:32.0,,Defensive rebound by Team,54,44
166,2,4:32.0,Loose ball foul by M. Plumlee (drawn by J. Hill),,54,44
167,2,4:32.0,,J. Hill makes free throw 1 of 2,54,45
168,2,4:32.0,,P. George enters the game for C. Budinger,54,45
169,2,4:32.0,,J. Hill makes free throw 2 of 2,54,46
170,2,4:21.0,Turnover by A. Aminu (lost ball; steal by P. George),,54,46
171,2,4:17.0,,Turnover by P. George (lost ball),54,46
172,2,4:03.0,C. McCollum makes 2-pt jump shot from 17 ft,,56,46
173,2,3:47.0,,M. Turner makes 2-pt jump shot from 16 ft (assist by S. Hill),56,48
174,2,3:24.0,C. McCollum makes 2-pt jump shot from 11 ft,,58,48
175,2,3:03.0,,M. Turner misses 2-pt jump shot from 18 ft,58,48
176,2,3:02.0,Defensive rebound by C. McCollum,,58,48
177,2,2:54.0,Portland full timeout,,58,48
178,2,2:54.0,N. Vonleh enters the game for E. Davis,,58,48
179,2,2:54.0,,G. Hill enters the game for J. Hill,58,48
180,2,2:54.0,,I. Mahinmi enters the game for S. Hill,58,48
181,2,2:54.0,Turnover by Team (5 sec inbounds),,58,48
182,2,2:45.0,,I. Mahinmi misses 2-pt layup at rim,58,48
183,2,2:43.0,,Offensive rebound by P. George,58,48
184,2,2:41.0,,P. George makes 2-pt jump shot from 20 ft,58,50
185,2,2:16.0,A. Aminu makes 2-pt jump shot from 5 ft,,60,50
186,2,1:53.0,,P. George misses 3-pt jump shot from 27 ft,60,50
187,2,1:52.0,Defensive rebound by N. Vonleh,,60,50
188,2,1:43.0,D. Lillard misses 2-pt layup from 2 ft,,60,50
189,2,1:42.0,,Defensive rebound by G. Hill,60,50
190,2,1:34.0,,Turnover by M. Ellis (bad pass; steal by A. Aminu),60,50
191,2,1:29.0,Personal foul by P. George (drawn by A. Aminu),,60,50
192,2,1:29.0,,S. Hill enters the game for M. Ellis,60,50
193,2,1:24.0,Personal foul by I. Mahinmi (drawn by D. Lillard),,60,50
194,2,1:24.0,D. Lillard makes free throw 1 of 2,,61,50
195,2,1:24.0,D. Lillard makes free throw 2 of 2,,62,50
196,2,1:03.0,,Shooting foul by N. Vonleh (drawn by I. Mahinmi),62,50
197,2,1:03.0,,I. Mahinmi misses free throw 1 of 2,62,50
198,2,1:03.0,,Offensive rebound by Team,62,50
199,2,1:03.0,,I. Mahinmi misses free throw 2 of 2,62,50
200,2,1:03.0,Defensive rebound by A. Aminu,,62,50
201,2,0:52.0,D. Lillard misses 2-pt layup from 1 ft,,62,50
202,2,0:51.0,,Defensive rebound by I. Mahinmi,62,50
203,2,0:47.0,,S. Hill makes 2-pt layup at rim (assist by I. Mahinmi),62,52
204,2,0:45.0,Portland full timeout,,62,52
205,2,0:45.0,,J. Hill enters the game for I. Mahinmi,62,52
206,2,0:45.0,M. Leonard enters the game for N. Vonleh,,62,52
207,2,0:34.0,Shooting foul by P. George (drawn by A. Aminu),,62,52
208,2,0:34.0,A. Aminu makes free throw 1 of 3,,63,52
