,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,TORONTO_ACTION,NEW ORLEANS_SCORE,TORONTO_SCORE
0,1,11:44.0,,D. DeRozan misses 2-pt jump shot from 17 ft,0,0
1,1,11:43.0,Defensive rebound by R. Anderson,,0,0
2,1,11:26.0,E. Gordon makes 2-pt jump shot from 13 ft (assist by R. Anderson),,2,0
3,1,11:09.0,,D. Carroll misses 2-pt jump shot from 11 ft,2,0
4,1,11:09.0,,Offensive rebound by D. Carroll,2,0
5,1,11:02.0,,J. Valančiūnas makes 2-pt hook shot from 5 ft (assist by D. DeRozan),2,2
6,1,10:51.0,J. Holiday misses 2-pt jump shot from 18 ft,,2,2
7,1,10:50.0,,Defensive rebound by D. DeRozan,2,2
8,1,10:32.0,,L. Scola misses 2-pt jump shot from 9 ft,2,2
9,1,10:32.0,Defensive rebound by Ö. Aşık,,2,2
10,1,10:23.0,J. Holiday makes 2-pt layup from 2 ft,,4,2
11,1,10:05.0,,D. Carroll misses 3-pt jump shot from 22 ft,4,2
12,1,10:04.0,Defensive rebound by A. Gee,,4,2
13,1,9:53.0,J. Holiday makes 2-pt jump shot from 4 ft,,6,2
14,1,9:31.0,,Shooting foul by J. Holiday (drawn by K. Lowry),6,2
15,1,9:31.0,,K. Lowry makes free throw 1 of 2,6,3
16,1,9:31.0,,K. Lowry makes free throw 2 of 2,6,4
17,1,9:22.0,Shooting foul by J. Valančiūnas (drawn by R. Anderson),,6,4
18,1,9:22.0,R. Anderson misses free throw 1 of 2,,6,4
19,1,9:22.0,Offensive rebound by Team,,6,4
20,1,9:22.0,R. Anderson makes free throw 2 of 2,,7,4
21,1,9:07.0,,J. Valančiūnas makes 2-pt jump shot from 13 ft,7,6
22,1,8:54.0,E. Gordon misses 3-pt jump shot from 26 ft,,7,6
23,1,8:53.0,,Defensive rebound by K. Lowry,7,6
24,1,8:43.0,,Turnover by D. DeRozan (lost ball; steal by A. Gee),7,6
25,1,8:37.0,E. Gordon makes 2-pt dunk at rim (assist by A. Gee),,9,6
26,1,8:22.0,Violation by A. Gee (kicked ball),,9,6
27,1,8:16.0,,J. Valančiūnas makes 2-pt jump shot from 14 ft (assist by D. DeRozan),9,8
28,1,8:00.0,Turnover by J. Holiday (bad pass),,9,8
29,1,7:37.0,,D. DeRozan misses 2-pt jump shot from 15 ft,9,8
30,1,7:36.0,,Offensive rebound by L. Scola,9,8
31,1,7:36.0,,Turnover by Team (shot clock),9,8
32,1,7:22.0,Personal foul by K. Lowry (drawn by J. Holiday),,9,8
33,1,7:18.0,J. Holiday misses 3-pt jump shot from 24 ft,,9,8
34,1,7:17.0,,Defensive rebound by D. Carroll,9,8
35,1,7:04.0,,L. Scola makes 2-pt jump shot from 18 ft (assist by D. DeRozan),9,10
36,1,6:52.0,Personal foul by D. Carroll (drawn by E. Gordon),,9,10
37,1,6:48.0,E. Gordon makes 3-pt jump shot from 24 ft (assist by J. Holiday),,12,10
38,1,6:28.0,,Turnover by J. Valančiūnas (lost ball; steal by Ö. Aşık),12,10
39,1,6:21.0,A. Gee misses 2-pt layup from 3 ft (block by J. Valančiūnas),,12,10
40,1,6:21.0,Offensive rebound by Team,,12,10
41,1,6:04.0,J. Holiday misses 2-pt jump shot from 5 ft,,12,10
42,1,6:04.0,,Defensive rebound by J. Valančiūnas,12,10
43,1,5:53.0,,D. Carroll makes 2-pt layup from 4 ft (assist by K. Lowry),12,12
44,1,5:46.0,E. Gordon misses 3-pt jump shot from 26 ft,,12,12
45,1,5:45.0,,Defensive rebound by L. Scola,12,12
46,1,5:35.0,,Toronto full timeout,12,12
47,1,5:35.0,I. Smith enters the game for Ö. Aşık,,12,12
48,1,5:35.0,A. Ajinça enters the game for J. Holiday,,12,12
49,1,5:25.0,,Turnover by J. Valančiūnas (traveling),12,12
50,1,5:11.0,A. Ajinça misses 2-pt hook shot from 3 ft,,12,12
51,1,5:10.0,,Defensive rebound by L. Scola,12,12
52,1,5:02.0,,Turnover by K. Lowry (bad pass; steal by A. Gee),12,12
53,1,5:02.0,Personal foul by D. DeRozan (drawn by A. Gee),,12,12
54,1,4:48.0,Personal foul by L. Scola (drawn by E. Gordon),,12,12
55,1,4:48.0,E. Gordon makes free throw 1 of 2,,13,12
56,1,4:48.0,E. Gordon makes free throw 2 of 2,,14,12
57,1,4:32.0,,Personal block foul by A. Gee (drawn by D. DeRozan),14,12
58,1,4:26.0,,D. DeRozan misses 2-pt jump shot from 20 ft,14,12
59,1,4:21.0,Defensive rebound by I. Smith,,14,12
60,1,4:17.0,E. Gordon misses 2-pt layup from 1 ft,,14,12
61,1,4:17.0,,Defensive rebound by K. Lowry,14,12
62,1,4:09.0,,D. Carroll misses 2-pt jump shot from 10 ft,14,12
63,1,4:08.0,,Offensive rebound by J. Valančiūnas,14,12
64,1,4:07.0,,J. Valančiūnas misses 2-pt jump shot from 1 ft,14,12
65,1,4:06.0,Defensive rebound by R. Anderson,,14,12
66,1,3:57.0,Offensive foul by E. Gordon (drawn by D. Carroll),,14,12
67,1,3:57.0,Turnover by E. Gordon (offensive foul),,14,12
68,1,3:40.0,,J. Valančiūnas makes 2-pt jump shot from 18 ft (assist by K. Lowry),14,14
69,1,3:30.0,Turnover by I. Smith (bad pass; steal by K. Lowry),,14,14
70,1,3:25.0,,Shooting foul by I. Smith (drawn by D. DeRozan),14,14
71,1,3:25.0,,D. DeRozan makes free throw 1 of 2,14,15
72,1,3:25.0,,P. Patterson enters the game for L. Scola,14,15
73,1,3:25.0,,D. DeRozan misses free throw 2 of 2,14,15
74,1,3:24.0,Defensive rebound by A. Ajinça,,14,15
75,1,3:07.0,E. Gordon misses 3-pt jump shot from 24 ft,,14,15
76,1,3:06.0,,Defensive rebound by K. Lowry,14,15
77,1,2:56.0,,Turnover by D. Carroll (bad pass; steal by E. Gordon),14,15
78,1,2:51.0,E. Gordon makes 2-pt layup from 2 ft,,16,15
79,1,2:32.0,,K. Lowry misses 3-pt jump shot from 26 ft (block by I. Smith),16,15
80,1,2:31.0,Defensive rebound by A. Ajinça,,16,15
81,1,2:22.0,A. Ajinça misses 2-pt hook shot from 6 ft,,16,15
82,1,2:22.0,,Defensive rebound by D. DeRozan,16,15
83,1,2:12.0,,Personal foul by A. Gee (drawn by D. DeRozan),16,15
84,1,2:12.0,New Orleans full timeout,,16,15
85,1,2:12.0,,B. Biyombo enters the game for J. Valančiūnas,16,15
86,1,2:12.0,,C. Joseph enters the game for K. Lowry,16,15
87,1,2:12.0,L. Babbitt enters the game for A. Gee,,16,15
88,1,2:12.0,D. Cunningham enters the game for R. Anderson,,16,15
89,1,2:06.0,,D. DeRozan misses 2-pt jump shot from 19 ft,16,15
90,1,2:05.0,Defensive rebound by D. Cunningham,,16,15
91,1,1:38.0,Turnover by Team (shot clock),,16,15
92,1,1:16.0,,C. Joseph misses 2-pt layup from 4 ft,16,15
93,1,1:16.0,Defensive rebound by Team,,16,15
94,1,0:59.0,E. Gordon makes 3-pt jump shot from 25 ft (assist by D. Cunningham),,19,15
95,1,0:46.0,,D. Carroll misses 2-pt jump shot from 19 ft,19,15
96,1,0:45.0,,Offensive rebound by C. Joseph,19,15
97,1,0:28.0,,C. Joseph misses 2-pt jump shot from 9 ft,19,15
98,1,0:27.0,,Offensive rebound by Team,19,15
99,1,0:27.0,Loose ball foul by A. Ajinça (drawn by B. Biyombo),,19,15
100,1,0:27.0,,B. Biyombo makes free throw 1 of 2,19,16
101,1,0:27.0,,B. Biyombo makes free throw 2 of 2,19,17
102,1,0:08.0,E. Gordon makes 2-pt jump shot from 2 ft (assist by I. Smith),,21,17
103,1,0:02.0,,D. DeRozan misses 3-pt jump shot from 26 ft,21,17
104,1,0:01.0,Defensive rebound by E. Gordon,,21,17
105,2,11:41.0,A. Ajinça makes 2-pt jump shot at rim (assist by I. Smith),,23,17
106,2,11:17.0,,K. Lowry makes 3-pt jump shot from 26 ft,23,20
107,2,11:05.0,Def 3 sec tech foul by B. Biyombo,,23,20
108,2,11:05.0,L. Babbitt makes technical free throw,,24,20
109,2,10:55.0,L. Babbitt misses 2-pt jump shot from 17 ft,,24,20
110,2,10:54.0,,Defensive rebound by K. Lowry,24,20
111,2,10:35.0,,K. Lowry misses 2-pt jump shot from 8 ft (block by I. Smith),24,20
112,2,10:33.0,Defensive rebound by A. Ajinça,,24,20
113,2,10:27.0,A. Ajinça makes 2-pt jump shot from 18 ft (assist by T. Douglas),,26,20
114,2,10:14.0,,Turnover by C. Joseph (lost ball; steal by T. Douglas),26,20
115,2,9:52.0,A. Ajinça makes 2-pt jump shot from 17 ft (assist by D. Cunningham),,28,20
116,2,9:43.0,,Personal foul by T. Douglas (drawn by K. Lowry),28,20
117,2,9:32.0,,K. Lowry misses 3-pt jump shot from 25 ft,28,20
118,2,9:31.0,,Offensive rebound by Team,28,20
119,2,9:26.0,,Turnover by P. Patterson (bad pass; steal by A. Ajinça),28,20
120,2,9:17.0,A. Ajinça misses 2-pt jump shot from 19 ft,,28,20
121,2,9:16.0,,Defensive rebound by B. Biyombo,28,20
122,2,9:03.0,,P. Patterson misses 3-pt jump shot from 23 ft,28,20
123,2,9:03.0,,Offensive rebound by Team,28,20
124,2,9:03.0,Loose ball foul by L. Babbitt (drawn by B. Biyombo),,28,20
125,2,8:54.0,,K. Lowry misses 2-pt jump shot from 14 ft,28,20
126,2,8:53.0,,Offensive rebound by B. Biyombo,28,20
127,2,8:52.0,,Shooting foul by A. Ajinça (drawn by B. Biyombo),28,20
128,2,8:52.0,Official timeout,,28,20
129,2,8:52.0,Ö. Aşık enters the game for A. Ajinça,,28,20
130,2,8:52.0,,B. Biyombo makes free throw 1 of 2,28,21
131,2,8:52.0,,B. Biyombo makes free throw 2 of 2,28,22
132,2,8:31.0,I. Smith makes 2-pt jump shot from 4 ft,,30,22
133,2,8:16.0,,K. Lowry misses 2-pt layup from 2 ft (block by Ö. Aşık),30,22
134,2,8:16.0,Defensive rebound by D. Cunningham,,30,22
135,2,7:56.0,Shooting foul by N. Powell (drawn by Ö. Aşık),,30,22
136,2,7:56.0,Ö. Aşık makes free throw 1 of 2,,31,22
137,2,7:56.0,Ö. Aşık misses free throw 2 of 2,,31,22
138,2,7:55.0,Offensive rebound by D. Cunningham,,31,22
139,2,7:44.0,I. Smith misses 2-pt jump shot from 8 ft,,31,22
140,2,7:43.0,Offensive rebound by I. Smith,,31,22
141,2,7:39.0,I. Smith misses 2-pt jump shot from 7 ft,,31,22
142,2,7:38.0,Offensive rebound by Ö. Aşık,,31,22
143,2,7:35.0,Ö. Aşık misses 2-pt layup at rim (block by K. Lowry),,31,22
144,2,7:35.0,Offensive rebound by I. Smith,,31,22
145,2,7:35.0,,J. Valančiūnas enters the game for B. Biyombo,31,22
146,2,7:35.0,Turnover by I. Smith (lost ball; steal by C. Joseph),,31,22
147,2,7:09.0,,C. Joseph makes 2-pt jump shot from 16 ft,31,24
148,2,6:51.0,T. Douglas misses 2-pt jump shot from 18 ft,,31,24
149,2,6:50.0,,Defensive rebound by N. Powell,31,24
150,2,6:46.0,,Shooting block foul by L. Babbitt (drawn by K. Lowry),31,24
151,2,6:46.0,,K. Lowry makes free throw 1 of 2,31,25
152,2,6:46.0,R. Anderson enters the game for D. Cunningham,,31,25
153,2,6:46.0,E. Gordon enters the game for I. Smith,,31,25
154,2,6:46.0,,D. Carroll enters the game for N. Powell,31,25
155,2,6:46.0,,K. Lowry makes free throw 2 of 2,31,26
156,2,6:36.0,Shooting foul by D. Carroll (drawn by L. Babbitt),,31,26
157,2,6:36.0,L. Babbitt makes free throw 1 of 2,,32,26
158,2,6:36.0,L. Babbitt misses free throw 2 of 2,,32,26
159,2,6:35.0,,Defensive rebound by J. Valančiūnas,32,26
160,2,6:28.0,,Personal foul by T. Douglas (drawn by K. Lowry),32,26
161,2,6:28.0,,K. Lowry makes free throw 1 of 2,32,27
162,2,6:28.0,,K. Lowry makes free throw 2 of 2,32,28
163,2,6:11.0,R. Anderson makes 2-pt jump shot from 16 ft,,34,28
164,2,5:49.0,,P. Patterson misses 2-pt jump shot from 13 ft,34,28
165,2,5:49.0,Defensive rebound by Ö. Aşık,,34,28
