,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,CLEVELAND_ACTION,BROOKLYN_SCORE,CLEVELAND_SCORE
0,1,11:45.0,B. Lopez makes 2-pt layup at rim,,2,0
1,1,11:26.0,,K. Love misses 2-pt jump shot from 16 ft,2,0
2,1,11:23.0,Defensive rebound by R. Hollis-Jefferson,,2,0
3,1,11:08.0,T. Young misses 2-pt jump shot from 18 ft,,2,0
4,1,11:06.0,,Defensive rebound by L. James,2,0
5,1,10:56.0,,L. James misses 2-pt layup from 1 ft,2,0
6,1,10:54.0,,Offensive rebound by L. James,2,0
7,1,10:51.0,,L. James makes 2-pt layup at rim,2,2
8,1,10:25.0,J. Johnson makes 2-pt jump shot from 17 ft (assist by J. Jack),,4,2
9,1,10:16.0,,L. James misses 3-pt jump shot from 25 ft,4,2
10,1,10:15.0,Defensive rebound by T. Young,,4,2
11,1,10:08.0,J. Johnson makes 3-pt jump shot from 25 ft (assist by J. Jack),,7,2
12,1,9:50.0,,T. Mozgov misses 2-pt layup from 1 ft,7,2
13,1,9:48.0,,Offensive rebound by T. Mozgov,7,2
14,1,9:48.0,,T. Mozgov misses 2-pt layup from 1 ft,7,2
15,1,9:47.0,Defensive rebound by R. Hollis-Jefferson,,7,2
16,1,9:37.0,J. Jack misses 3-pt jump shot from 25 ft,,7,2
17,1,9:34.0,,Defensive rebound by K. Love,7,2
18,1,9:24.0,,K. Love misses 3-pt jump shot from 24 ft,7,2
19,1,9:23.0,Defensive rebound by R. Hollis-Jefferson,,7,2
20,1,9:11.0,T. Young misses 2-pt jump shot from 4 ft,,7,2
21,1,9:09.0,,Defensive rebound by T. Mozgov,7,2
22,1,8:56.0,,K. Love makes 2-pt layup from 1 ft (assist by M. Williams),7,4
23,1,8:38.0,Turnover by J. Johnson (bad pass; steal by M. Williams),,7,4
24,1,8:33.0,,Shooting foul by T. Young (drawn by K. Love),7,4
25,1,8:33.0,,K. Love makes free throw 1 of 2,7,5
26,1,8:33.0,,K. Love makes free throw 2 of 2,7,6
27,1,8:16.0,B. Lopez makes 2-pt jump shot from 4 ft,,9,6
28,1,7:59.0,,J. Smith misses 3-pt jump shot from 26 ft,9,6
29,1,7:59.0,Defensive rebound by T. Young,,9,6
30,1,7:51.0,T. Young makes 2-pt layup from 1 ft (assist by J. Jack),,11,6
31,1,7:51.0,,Cleveland full timeout,11,6
32,1,7:30.0,,Turnover by L. James (bad pass; steal by R. Hollis-Jefferson),11,6
33,1,7:26.0,R. Hollis-Jefferson misses 2-pt layup from 1 ft (block by J. Smith),,11,6
34,1,7:26.0,,Defensive rebound by Team,11,6
35,1,7:13.0,,Turnover by T. Mozgov (lost ball),11,6
36,1,6:57.0,T. Young misses 2-pt jump shot from 4 ft,,11,6
37,1,6:54.0,,Defensive rebound by K. Love,11,6
38,1,6:43.0,,Personal foul by J. Johnson (drawn by J. Smith),11,6
39,1,6:37.0,,M. Williams misses 2-pt layup at rim (block by B. Lopez),11,6
40,1,6:37.0,,Offensive rebound by Team,11,6
41,1,6:32.0,,M. Williams makes 2-pt jump shot from 18 ft (assist by L. James),11,8
42,1,6:15.0,B. Lopez makes 2-pt jump shot from 9 ft (assist by J. Jack),,13,8
43,1,5:54.0,,T. Mozgov misses 2-pt hook shot from 3 ft,13,8
44,1,5:49.0,Defensive rebound by T. Young,,13,8
45,1,5:40.0,B. Lopez misses 2-pt hook shot from 12 ft,,13,8
46,1,5:36.0,,Defensive rebound by K. Love,13,8
47,1,5:29.0,,M. Williams makes 2-pt jump shot from 17 ft,13,10
48,1,5:14.0,J. Johnson misses 3-pt jump shot from 24 ft,,13,10
49,1,5:12.0,Offensive rebound by B. Lopez,,13,10
50,1,5:10.0,B. Lopez makes 2-pt layup from 1 ft,,15,10
51,1,4:49.0,,T. Thompson enters the game for T. Mozgov,15,10
52,1,4:48.0,,Offensive foul by T. Thompson (drawn by R. Hollis-Jefferson),15,10
53,1,4:48.0,,Turnover by T. Thompson (offensive foul),15,10
54,1,4:48.0,,J. Jones enters the game for K. Love,15,10
55,1,4:37.0,B. Lopez misses 2-pt jump shot from 5 ft,,15,10
56,1,4:35.0,Offensive rebound by R. Hollis-Jefferson,,15,10
57,1,4:30.0,B. Lopez makes 2-pt hook shot from 5 ft (assist by J. Jack),,17,10
58,1,4:10.0,,J. Smith misses 3-pt jump shot from 23 ft,17,10
59,1,4:08.0,Defensive rebound by T. Young,,17,10
60,1,4:04.0,T. Young misses 2-pt layup from 1 ft (block by J. Jones),,17,10
61,1,4:04.0,Offensive rebound by Team,,17,10
62,1,3:55.0,R. Hollis-Jefferson makes 2-pt jump shot from 15 ft (assist by J. Johnson),,19,10
63,1,3:33.0,,J. Smith misses 2-pt jump shot from 17 ft,19,10
64,1,3:31.0,Defensive rebound by R. Hollis-Jefferson,,19,10
65,1,3:26.0,Turnover by J. Jack (bad pass; steal by J. Smith),,19,10
66,1,3:19.0,,M. Williams makes 2-pt layup from 1 ft,19,12
67,1,3:00.0,B. Lopez misses 2-pt jump shot from 16 ft,,19,12
68,1,3:00.0,,Defensive rebound by L. James,19,12
69,1,2:49.0,,L. James misses 2-pt jump shot from 15 ft,19,12
70,1,2:48.0,Defensive rebound by B. Lopez,,19,12
71,1,2:41.0,Brooklyn full timeout,,19,12
72,1,2:41.0,A. Bargnani enters the game for B. Lopez,,19,12
73,1,2:41.0,,M. Dellavedova enters the game for L. James,19,12
74,1,2:41.0,,R. Jefferson enters the game for M. Williams,19,12
75,1,2:34.0,T. Young makes 2-pt hook shot from 3 ft (assist by J. Jack),,21,12
76,1,2:18.0,,J. Jones makes 3-pt jump shot from 24 ft (assist by M. Dellavedova),21,15
77,1,1:57.0,J. Johnson misses 2-pt jump shot from 17 ft,,21,15
78,1,1:56.0,,Defensive rebound by J. Jones,21,15
79,1,1:32.0,,J. Smith makes 2-pt layup at rim,21,17
80,1,1:19.0,J. Jack makes 3-pt jump shot from 27 ft,,24,17
81,1,1:00.0,,R. Jefferson misses 3-pt jump shot from 24 ft,24,17
82,1,1:00.0,Defensive rebound by J. Jack,,24,17
83,1,0:48.0,T. Young misses 2-pt jump shot from 9 ft (block by J. Jones),,24,17
84,1,0:48.0,Offensive rebound by Team,,24,17
85,1,0:48.0,B. Bogdanović enters the game for J. Johnson,,24,17
86,1,0:45.0,A. Bargnani misses 2-pt jump shot from 20 ft,,24,17
87,1,0:43.0,,Defensive rebound by J. Smith,24,17
88,1,0:36.0,,Shooting foul by B. Bogdanović (drawn by J. Smith),24,17
89,1,0:36.0,,J. Smith misses free throw 1 of 2,24,17
90,1,0:36.0,,Offensive rebound by Team,24,17
