,QUARTER,TIME_REMAINING,ATLANTA_ACTION,CHICAGO_ACTION,ATLANTA_SCORE,CHICAGO_SCORE
0,1,11:44.0,,T. Gibson makes 2-pt layup from 2 ft (assist by E. Moore),0,2
1,1,11:20.0,A. Horford makes 2-pt jump shot from 18 ft (assist by J. Teague),,2,2
2,1,11:03.0,,D. Rose makes 3-pt jump shot from 22 ft (assist by M. Dunleavy),2,5
3,1,10:46.0,Turnover by P. Millsap (bad pass; steal by M. Dunleavy),,2,5
4,1,10:40.0,,Turnover by P. Gasol (bad pass),2,5
5,1,10:23.0,A. Horford misses 2-pt hook shot from 6 ft,,2,5
6,1,10:23.0,,Defensive rebound by P. Gasol,2,5
7,1,10:09.0,,D. Rose misses 2-pt jump shot from 15 ft,2,5
8,1,10:09.0,Defensive rebound by A. Horford,,2,5
9,1,10:09.0,Personal foul by T. Gibson (drawn by P. Millsap),,2,5
10,1,9:57.0,K. Korver misses 2-pt jump shot from 14 ft,,2,5
11,1,9:56.0,Offensive rebound by P. Millsap,,2,5
12,1,9:47.0,J. Teague makes 3-pt jump shot from 27 ft,,5,5
13,1,9:37.0,,Shooting foul by P. Millsap (drawn by M. Dunleavy),5,5
14,1,9:37.0,,M. Dunleavy makes free throw 1 of 2,5,6
15,1,9:37.0,,M. Dunleavy makes free throw 2 of 2,5,7
16,1,9:24.0,J. Teague misses 2-pt jump shot from 17 ft,,5,7
17,1,9:23.0,,Defensive rebound by E. Moore,5,7
18,1,9:20.0,,Turnover by E. Moore (bad pass; steal by K. Bazemore),5,7
19,1,9:18.0,K. Bazemore makes 2-pt layup from 1 ft,,7,7
20,1,9:04.0,,E. Moore makes 2-pt jump shot from 19 ft (assist by P. Gasol),7,9
21,1,8:39.0,J. Teague misses 2-pt layup from 2 ft (block by T. Gibson),,7,9
22,1,8:39.0,Offensive rebound by Team,,7,9
23,1,8:39.0,,Loose ball foul by M. Dunleavy (drawn by A. Horford),7,9
24,1,8:31.0,A. Horford makes 2-pt layup from 1 ft (assist by J. Teague),,9,9
25,1,8:22.0,,D. Rose makes 2-pt layup at rim,9,11
26,1,8:11.0,P. Millsap makes 3-pt jump shot from 24 ft (assist by J. Teague),,12,11
27,1,7:51.0,,T. Gibson misses 2-pt jump shot from 6 ft,12,11
28,1,7:50.0,Defensive rebound by A. Horford,,12,11
29,1,7:40.0,K. Bazemore misses 2-pt layup from 1 ft,,12,11
30,1,7:38.0,,Defensive rebound by E. Moore,12,11
31,1,7:31.0,,D. Rose makes 2-pt jump shot from 6 ft,12,13
32,1,7:16.0,A. Horford misses 2-pt layup at rim,,12,13
33,1,7:15.0,,Defensive rebound by P. Gasol,12,13
34,1,6:54.0,,D. Rose misses 2-pt layup from 3 ft (block by P. Millsap),12,13
