,QUARTER,TIME_REMAINING,HOUSTON_ACTION,DETROIT_ACTION,HOUSTON_SCORE,DETROIT_SCORE
0,1,11:35.0,,M. Morris makes 2-pt jump shot from 16 ft,0,2
1,1,11:05.0,C. Capela makes 2-pt hook shot from 4 ft,,2,2
2,1,10:45.0,,A. Drummond misses 2-pt hook shot from 3 ft,2,2
3,1,10:45.0,Defensive rebound by T. Ariza,,2,2
4,1,10:34.0,P. Beverley makes 2-pt jump shot from 10 ft,,4,2
5,1,10:14.0,,E. İlyasova misses 3-pt jump shot from 26 ft,4,2
6,1,10:14.0,Defensive rebound by D. Howard,,4,2
7,1,10:01.0,Turnover by J. Harden (lost ball; steal by A. Drummond),,4,2
8,1,9:52.0,,E. İlyasova makes 2-pt jump shot from 18 ft (assist by R. Jackson),4,4
9,1,9:41.0,Personal foul by A. Drummond (drawn by D. Howard),,4,4
10,1,9:31.0,Offensive foul by C. Capela (drawn by E. İlyasova),,4,4
11,1,9:31.0,Turnover by C. Capela (offensive foul),,4,4
12,1,9:19.0,,R. Jackson makes 3-pt jump shot from 24 ft (assist by A. Drummond),4,7
13,1,9:10.0,Personal foul by A. Drummond (drawn by D. Howard),,4,7
14,1,9:10.0,,A. Baynes enters the game for A. Drummond,4,7
15,1,8:56.0,D. Howard makes 2-pt hook shot from 3 ft (assist by C. Capela),,6,7
16,1,8:42.0,,R. Jackson misses 3-pt jump shot from 25 ft,6,7
17,1,8:41.0,Defensive rebound by J. Harden,,6,7
18,1,8:32.0,Turnover by J. Harden (lost ball; steal by K. Caldwell-Pope),,6,7
19,1,8:26.0,,E. İlyasova misses 2-pt layup at rim,6,7
20,1,8:25.0,,Offensive rebound by A. Baynes,6,7
21,1,8:21.0,,A. Baynes makes 2-pt layup from 1 ft,6,9
22,1,8:17.0,Turnover by P. Beverley (bad pass),,6,9
23,1,8:04.0,,Turnover by M. Morris (lost ball; steal by J. Harden),6,9
24,1,7:57.0,J. Harden makes 2-pt layup at rim (assist by P. Beverley),,8,9
25,1,7:35.0,,E. İlyasova makes 3-pt jump shot from 25 ft (assist by K. Caldwell-Pope),8,12
