,QUARTER,TIME_REMAINING,DETROIT_ACTION,MEMPHIS_ACTION,DETROIT_SCORE,MEMPHIS_SCORE
0,1,11:47.0,Turnover by R. Jackson (bad pass; steal by T. Allen),,0,0
1,1,11:27.0,,M. Gasol misses 2-pt jump shot from 12 ft,0,0
2,1,11:26.0,Defensive rebound by M. Morris,,0,0
3,1,11:16.0,E. İlyasova makes 3-pt jump shot from 25 ft (assist by R. Jackson),,3,0
4,1,10:56.0,,Z. Randolph misses 2-pt hook shot from 3 ft,3,0
5,1,10:56.0,,Offensive rebound by Team,3,0
6,1,10:48.0,,T. Allen misses 2-pt jump shot from 20 ft,3,0
7,1,10:48.0,Defensive rebound by E. İlyasova,,3,0
8,1,10:40.0,R. Jackson makes 2-pt layup at rim (assist by E. İlyasova),,5,0
9,1,10:13.0,,C. Lee misses 3-pt jump shot from 23 ft,5,0
10,1,10:12.0,Defensive rebound by A. Drummond,,5,0
11,1,9:55.0,K. Caldwell-Pope misses 2-pt jump shot from 18 ft,,5,0
12,1,9:54.0,,Defensive rebound by M. Gasol,5,0
13,1,9:43.0,,Z. Randolph makes 2-pt jump shot from 5 ft (assist by M. Gasol),5,2
14,1,9:18.0,E. İlyasova misses 3-pt jump shot from 25 ft,,5,2
15,1,9:17.0,,Defensive rebound by T. Allen,5,2
16,1,9:00.0,,Z. Randolph misses 2-pt jump shot from 13 ft,5,2
17,1,8:59.0,Defensive rebound by E. İlyasova,,5,2
18,1,8:51.0,K. Caldwell-Pope makes 2-pt jump shot from 3 ft (assist by M. Morris),,7,2
19,1,8:33.0,,M. Chalmers makes 2-pt jump shot from 8 ft,7,4
20,1,8:09.0,M. Morris makes 2-pt jump shot from 8 ft,,9,4
21,1,7:46.0,,C. Lee misses 2-pt layup from 1 ft,9,4
22,1,7:46.0,,Offensive rebound by Team,9,4
23,1,7:46.0,Loose ball foul by E. İlyasova (drawn by Z. Randolph),,9,4
24,1,7:38.0,,M. Chalmers makes 2-pt layup from 1 ft,9,6
25,1,7:26.0,A. Drummond makes 2-pt dunk at rim (assist by R. Jackson),,11,6
