,QUARTER,TIME_REMAINING,INDIANA_ACTION,DALLAS_ACTION,INDIANA_SCORE,DALLAS_SCORE
0,1,11:39.0,M. Ellis makes 2-pt jump shot from 17 ft,,2,0
1,1,11:20.0,,Personal foul by M. Turner,2,0
2,1,11:13.0,,D. Nowitzki makes 2-pt jump shot from 19 ft (assist by W. Matthews),2,2
3,1,10:58.0,M. Turner makes 2-pt layup from 2 ft (assist by I. Mahinmi),,4,2
4,1,10:38.0,,Z. Pachulia misses 2-pt jump shot from 10 ft,4,2
5,1,10:37.0,Defensive rebound by P. George,,4,2
6,1,10:18.0,M. Ellis makes 2-pt jump shot from 6 ft,,6,2
7,1,10:04.0,,W. Matthews misses 2-pt jump shot from 7 ft,6,2
8,1,10:03.0,Defensive rebound by P. George,,6,2
9,1,9:54.0,M. Turner misses 2-pt jump shot from 18 ft,,6,2
10,1,9:53.0,,Defensive rebound by Z. Pachulia,6,2
11,1,9:39.0,,Z. Pachulia misses 2-pt hook shot from 2 ft,6,2
12,1,9:38.0,Defensive rebound by M. Ellis,,6,2
13,1,9:27.0,Shooting foul by C. Parsons (drawn by M. Turner),,6,2
14,1,9:27.0,M. Turner makes free throw 1 of 2,,7,2
15,1,9:27.0,M. Turner makes free throw 2 of 2,,8,2
16,1,9:17.0,,Dallas full timeout,8,2
17,1,9:08.0,,C. Parsons misses 2-pt jump shot from 4 ft (block by I. Mahinmi),8,2
18,1,9:06.0,Defensive rebound by P. George,,8,2
19,1,8:55.0,M. Turner makes 2-pt jump shot from 16 ft (assist by P. George),,10,2
20,1,8:44.0,,D. Williams makes 2-pt jump shot from 18 ft (assist by W. Matthews),10,4
21,1,8:30.0,P. George misses 2-pt jump shot from 20 ft,,10,4
22,1,8:29.0,,Defensive rebound by W. Matthews,10,4
23,1,8:18.0,,D. Williams misses 2-pt jump shot from 18 ft,10,4
24,1,8:16.0,Defensive rebound by M. Turner,,10,4
25,1,7:54.0,M. Ellis misses 3-pt jump shot from 22 ft,,10,4
26,1,7:53.0,,Defensive rebound by D. Nowitzki,10,4
27,1,7:34.0,,W. Matthews misses 2-pt jump shot from 16 ft,10,4
28,1,7:33.0,,Offensive rebound by Z. Pachulia,10,4
29,1,7:20.0,,D. Williams misses 2-pt layup from 1 ft,10,4
30,1,7:19.0,Defensive rebound by G. Hill,,10,4
31,1,7:12.0,P. George misses 3-pt jump shot from 23 ft,,10,4
32,1,7:11.0,,Defensive rebound by C. Parsons,10,4
33,1,6:53.0,,W. Matthews makes 2-pt jump shot from 19 ft (assist by D. Nowitzki),10,6
34,1,6:30.0,G. Hill misses 3-pt jump shot from 24 ft,,10,6
35,1,6:29.0,,Defensive rebound by W. Matthews,10,6
36,1,6:20.0,,Z. Pachulia makes 2-pt layup from 2 ft (assist by D. Williams),10,8
37,1,6:09.0,P. George misses 3-pt jump shot from 22 ft,,10,8
38,1,6:09.0,,Defensive rebound by Z. Pachulia,10,8
39,1,6:00.0,,D. Nowitzki misses 2-pt jump shot from 17 ft,10,8
40,1,5:59.0,Defensive rebound by G. Hill,,10,8
41,1,5:53.0,G. Hill makes 2-pt jump shot from 18 ft,,12,8
42,1,5:29.0,,W. Matthews makes 2-pt jump shot from 8 ft (assist by C. Parsons),12,10
43,1,5:17.0,Shooting foul by Z. Pachulia (drawn by I. Mahinmi),,12,10
44,1,5:17.0,I. Mahinmi makes free throw 1 of 2,,13,10
45,1,5:17.0,,D. Lee enters the game for Z. Pachulia,13,10
46,1,5:17.0,,R. Felton enters the game for D. Nowitzki,13,10
47,1,5:17.0,I. Mahinmi makes free throw 2 of 2,,14,10
48,1,5:07.0,,C. Parsons makes 2-pt jump shot from 18 ft (assist by W. Matthews),14,12
49,1,4:58.0,G. Hill makes 2-pt jump shot from 19 ft,,16,12
50,1,4:49.0,S. Hill enters the game for M. Turner,,16,12
51,1,4:45.0,,R. Felton misses 3-pt jump shot from 22 ft,16,12
52,1,4:44.0,Defensive rebound by M. Ellis,,16,12
53,1,4:25.0,Indiana full timeout,,16,12
54,1,4:21.0,P. George misses 3-pt jump shot from 25 ft,,16,12
55,1,4:21.0,,Defensive rebound by Team,16,12
56,1,4:09.0,,C. Parsons misses 2-pt jump shot from 22 ft,16,12
57,1,4:08.0,Defensive rebound by M. Ellis,,16,12
58,1,3:57.0,S. Hill misses 3-pt jump shot from 23 ft,,16,12
59,1,3:56.0,,Defensive rebound by D. Lee,16,12
60,1,3:48.0,,C. Parsons makes 3-pt jump shot from 22 ft (assist by R. Felton),16,15
61,1,3:27.0,I. Mahinmi misses 2-pt hook shot from 7 ft,,16,15
62,1,3:26.0,Offensive rebound by S. Hill,,16,15
63,1,3:25.0,S. Hill makes 2-pt hook shot from 3 ft,,18,15
64,1,3:07.0,,Shooting foul by M. Ellis (drawn by D. Williams),18,15
65,1,3:07.0,,D. Williams makes free throw 1 of 2,18,16
66,1,3:07.0,R. Stuckey enters the game for G. Hill,,18,16
67,1,3:07.0,J. Hill enters the game for I. Mahinmi,,18,16
68,1,3:07.0,,D. Williams makes free throw 2 of 2,18,17
69,1,2:51.0,J. Hill misses 2-pt jump shot from 5 ft (block by D. Lee),,18,17
70,1,2:51.0,Offensive rebound by Team,,18,17
71,1,2:48.0,S. Hill makes 2-pt jump shot from 18 ft (assist by P. George),,20,17
72,1,2:36.0,,C. Parsons misses 2-pt jump shot from 7 ft,20,17
73,1,2:35.0,Defensive rebound by P. George,,20,17
74,1,2:30.0,S. Hill misses 3-pt jump shot from 24 ft,,20,17
75,1,2:29.0,,Defensive rebound by D. Williams,20,17
76,1,2:18.0,,J. Barea enters the game for C. Parsons,20,17
77,1,2:18.0,,D. Harris enters the game for W. Matthews,20,17
78,1,2:18.0,,D. Nowitzki enters the game for D. Williams,20,17
79,1,2:18.0,L. Allen enters the game for S. Hill,,20,17
80,1,2:11.0,,Turnover by R. Felton (bad pass; steal by R. Stuckey),20,17
81,1,2:01.0,L. Allen makes 2-pt jump shot from 19 ft (assist by M. Ellis),,22,17
82,1,1:52.0,,Personal foul by L. Allen,22,17
83,1,1:43.0,,D. Nowitzki misses 2-pt jump shot from 19 ft,22,17
84,1,1:42.0,Defensive rebound by M. Ellis,,22,17
85,1,1:35.0,M. Ellis misses 2-pt jump shot from 20 ft,,22,17
86,1,1:35.0,,Defensive rebound by D. Lee,22,17
87,1,1:25.0,,R. Felton makes 2-pt layup from 1 ft (assist by D. Lee),22,19
88,1,1:09.0,J. Hill misses 2-pt jump shot from 10 ft,,22,19
89,1,1:08.0,,Defensive rebound by D. Lee,22,19
90,1,0:51.0,,D. Nowitzki misses 2-pt jump shot from 18 ft,22,19
91,1,0:50.0,,Offensive rebound by D. Lee,22,19
92,1,0:50.0,,D. Lee makes 2-pt layup at rim,22,21
93,1,0:33.0,R. Stuckey misses 3-pt jump shot from 22 ft,,22,21
94,1,0:31.0,Offensive rebound by P. George,,22,21
95,1,0:29.0,P. George makes 2-pt layup from 1 ft,,24,21
96,1,0:16.0,,D. Lee makes 2-pt layup from 1 ft (assist by J. Barea),24,23
97,1,0:02.0,J. Hill makes 2-pt jump shot from 10 ft,,26,23
98,2,11:42.0,,D. Nowitzki makes 3-pt jump shot from 22 ft (assist by D. Harris),26,26
99,2,11:19.0,R. Stuckey makes 3-pt jump shot from 24 ft,,29,26
