,QUARTER,TIME_REMAINING,DALLAS_ACTION,MIAMI_ACTION,DALLAS_SCORE,MIAMI_SCORE
0,1,11:40.0,,L. Deng misses 2-pt jump shot from 11 ft,0,0
1,1,11:39.0,Defensive rebound by C. Parsons,,0,0
2,1,11:14.0,J. Barea misses 3-pt jump shot from 23 ft,,0,0
3,1,11:13.0,,Defensive rebound by H. Whiteside,0,0
4,1,11:03.0,,G. Dragić makes 2-pt jump shot from 15 ft,0,2
5,1,10:43.0,J. Barea misses 3-pt jump shot from 23 ft,,0,2
6,1,10:42.0,,Defensive rebound by T. Johnson,0,2
7,1,10:30.0,,T. Johnson misses 2-pt jump shot from 19 ft,0,2
8,1,10:29.0,Defensive rebound by Z. Pachulia,,0,2
9,1,10:07.0,D. Nowitzki misses 3-pt jump shot from 25 ft,,0,2
10,1,10:06.0,,Defensive rebound by T. Johnson,0,2
11,1,9:59.0,Violation by D. Nowitzki (kicked ball),,0,2
12,1,9:45.0,,H. Whiteside misses 2-pt jump shot from 3 ft,0,2
13,1,9:44.0,Defensive rebound by D. Nowitzki,,0,2
14,1,9:32.0,C. Parsons misses 2-pt layup from 2 ft,,0,2
15,1,9:31.0,,Defensive rebound by G. Dragić,0,2
16,1,9:27.0,,G. Dragić misses 2-pt layup from 1 ft,0,2
17,1,9:26.0,,Offensive rebound by C. Bosh,0,2
18,1,9:25.0,,C. Bosh makes 2-pt layup at rim,0,4
19,1,9:07.0,D. Nowitzki misses 2-pt jump shot from 15 ft,,0,4
20,1,9:06.0,,Defensive rebound by Team,0,4
21,1,8:55.0,,G. Dragić misses 2-pt jump shot from 15 ft,0,4
22,1,8:54.0,Defensive rebound by Z. Pachulia,,0,4
23,1,8:45.0,Z. Pachulia makes 2-pt jump shot from 8 ft (assist by J. Barea),,2,4
24,1,8:27.0,,G. Dragić misses 2-pt layup from 2 ft (block by Z. Pachulia),2,4
25,1,8:26.0,Defensive rebound by Z. Pachulia,,2,4
26,1,8:23.0,Turnover by Z. Pachulia (bad pass; steal by G. Dragić),,2,4
27,1,8:23.0,,Personal foul by J. Barea,2,4
28,1,8:05.0,,Personal foul by D. Nowitzki (drawn by C. Bosh),2,4
29,1,7:58.0,,C. Bosh misses 2-pt jump shot from 13 ft,2,4
30,1,7:57.0,Defensive rebound by Z. Pachulia,,2,4
31,1,7:49.0,J. Barea makes 2-pt layup from 2 ft,,4,4
32,1,7:40.0,Violation by D. Nowitzki (kicked ball),,4,4
33,1,7:33.0,,H. Whiteside misses 2-pt hook shot from 6 ft,4,4
34,1,7:32.0,,Offensive rebound by H. Whiteside,4,4
35,1,7:28.0,,H. Whiteside makes 2-pt hook shot from 6 ft,4,6
36,1,7:14.0,D. Nowitzki misses 2-pt jump shot from 14 ft,,4,6
37,1,7:13.0,Offensive rebound by Z. Pachulia,,4,6
38,1,7:06.0,Z. Pachulia misses 2-pt layup from 1 ft,,4,6
39,1,7:05.0,,Defensive rebound by H. Whiteside,4,6
40,1,6:57.0,,C. Bosh misses 3-pt jump shot from 25 ft,4,6
41,1,6:56.0,Defensive rebound by Z. Pachulia,,4,6
42,1,6:47.0,J. Barea misses 3-pt jump shot from 25 ft,,4,6
43,1,6:46.0,,Defensive rebound by H. Whiteside,4,6
44,1,6:36.0,,G. Dragić makes 2-pt jump shot from 1 ft,4,8
45,1,6:35.0,Dallas full timeout,,4,8
46,1,6:35.0,R. Felton enters the game for C. Parsons,,4,8
47,1,6:35.0,D. Williams enters the game for D. Nowitzki,,4,8
48,1,6:35.0,D. Powell enters the game for J. Barea,,4,8
49,1,6:35.0,,G. Green enters the game for C. Bosh,4,8
50,1,6:24.0,W. Matthews misses 3-pt jump shot from 23 ft,,4,8
51,1,6:23.0,Offensive rebound by D. Powell,,4,8
52,1,6:13.0,Z. Pachulia makes 2-pt layup from 1 ft (assist by R. Felton),,6,8
53,1,5:50.0,,Turnover by T. Johnson (bad pass; steal by Z. Pachulia),6,8
54,1,5:37.0,R. Felton misses 2-pt jump shot from 16 ft,,6,8
55,1,5:36.0,,Defensive rebound by H. Whiteside,6,8
56,1,5:30.0,,L. Deng makes 3-pt jump shot from 24 ft (assist by G. Dragić),6,11
57,1,5:10.0,D. Williams makes 2-pt jump shot from 13 ft (assist by Z. Pachulia),,8,11
58,1,4:52.0,,T. Johnson makes 3-pt jump shot from 24 ft (assist by G. Dragić),8,14
59,1,4:34.0,D. Williams misses 2-pt jump shot from 18 ft,,8,14
60,1,4:33.0,,Defensive rebound by H. Whiteside,8,14
61,1,4:16.0,,H. Whiteside makes 2-pt jump shot from 14 ft (assist by L. Deng),8,16
62,1,3:58.0,D. Williams misses 3-pt jump shot from 24 ft,,8,16
63,1,3:57.0,,Defensive rebound by H. Whiteside,8,16
64,1,3:48.0,,H. Whiteside makes 2-pt jump shot from 18 ft (assist by G. Dragić),8,18
65,1,3:48.0,Dallas full timeout,,8,18
66,1,3:48.0,,B. Udrih enters the game for G. Dragić,8,18
67,1,3:33.0,R. Felton misses 2-pt jump shot from 6 ft,,8,18
68,1,3:32.0,Offensive rebound by R. Felton,,8,18
69,1,3:27.0,D. Powell misses 2-pt jump shot from 13 ft,,8,18
70,1,3:26.0,,Defensive rebound by L. Deng,8,18
71,1,3:13.0,,H. Whiteside misses 2-pt hook shot from 4 ft,8,18
72,1,3:12.0,Defensive rebound by Z. Pachulia,,8,18
73,1,2:56.0,Z. Pachulia misses 2-pt jump shot from 12 ft,,8,18
74,1,2:55.0,,Defensive rebound by B. Udrih,8,18
75,1,2:45.0,,L. Deng misses 3-pt jump shot from 26 ft,8,18
76,1,2:44.0,Defensive rebound by W. Matthews,,8,18
77,1,2:31.0,W. Matthews misses 2-pt jump shot from 11 ft,,8,18
78,1,2:30.0,,Defensive rebound by H. Whiteside,8,18
79,1,2:22.0,,Miami full timeout,8,18
80,1,2:22.0,C. Parsons enters the game for Z. Pachulia,,8,18
81,1,2:22.0,D. Harris enters the game for W. Matthews,,8,18
82,1,2:22.0,D. Nowitzki enters the game for R. Felton,,8,18
83,1,2:22.0,J. Barea enters the game for D. Williams,,8,18
84,1,2:22.0,,C. Bosh enters the game for L. Deng,8,18
85,1,2:22.0,,G. Dragić enters the game for T. Johnson,8,18
86,1,2:07.0,,G. Dragić makes 2-pt jump shot from 16 ft (assist by C. Bosh),8,20
87,1,1:53.0,D. Nowitzki misses 2-pt jump shot from 19 ft,,8,20
88,1,1:52.0,,Defensive rebound by H. Whiteside,8,20
89,1,1:35.0,,C. Bosh misses 2-pt jump shot from 15 ft,8,20
90,1,1:34.0,Defensive rebound by D. Nowitzki,,8,20
91,1,1:09.0,C. Parsons misses 3-pt jump shot from 24 ft,,8,20
92,1,1:08.0,Offensive rebound by D. Powell,,8,20
93,1,0:56.0,D. Nowitzki makes 2-pt jump shot from 17 ft,,10,20
94,1,0:40.0,,G. Green makes 2-pt jump shot from 18 ft (assist by C. Bosh),10,22
95,1,0:30.0,Turnover by J. Barea (bad pass; steal by G. Dragić),,10,22
96,1,0:08.0,,Turnover by H. Whiteside (traveling),10,22
97,1,0:03.0,,Offensive charge foul by D. Harris (drawn by C. Bosh),10,22
98,1,0:03.0,Turnover by D. Harris (offensive foul),,10,22
99,1,0:03.0,Z. Pachulia enters the game for D. Nowitzki,,10,22
100,2,11:47.0,D. Williams enters the game for D. Harris,,10,22
101,2,11:42.0,D. Nowitzki misses 2-pt jump shot from 18 ft,,10,22
102,2,11:41.0,,Defensive rebound by A. Stoudemire,10,22
103,2,11:30.0,,Shooting foul by D. Williams (drawn by C. Bosh),10,22
104,2,11:30.0,,C. Bosh makes free throw 1 of 2,10,23
105,2,11:30.0,,C. Bosh misses free throw 2 of 2,10,23
106,2,11:29.0,Defensive rebound by C. Villanueva,,10,23
107,2,11:12.0,C. Villanueva misses 3-pt jump shot from 22 ft,,10,23
108,2,11:11.0,Offensive rebound by C. Parsons,,10,23
109,2,11:06.0,C. Villanueva makes 3-pt jump shot from 26 ft (assist by D. Williams),,13,23
110,2,10:45.0,,C. Bosh makes 3-pt jump shot from 24 ft (assist by G. Dragić),13,26
111,2,10:31.0,C. Villanueva makes 2-pt layup from 1 ft (assist by C. Parsons),,15,26
112,2,10:10.0,,G. Dragić makes 3-pt jump shot from 24 ft (assist by B. Udrih),15,29
113,2,9:58.0,D. Nowitzki misses 2-pt jump shot from 10 ft,,15,29
114,2,9:57.0,,Defensive rebound by B. Udrih,15,29
115,2,9:51.0,,G. Dragić makes 2-pt layup from 2 ft,15,31
116,2,9:50.0,Dallas full timeout,,15,31
117,2,9:40.0,D. Williams makes 3-pt jump shot from 24 ft (assist by J. Barea),,18,31
118,2,9:24.0,,Turnover by A. Stoudemire (traveling),18,31
119,2,8:58.0,D. Nowitzki makes 2-pt jump shot from 12 ft (assist by J. Barea),,20,31
120,2,8:46.0,,B. Udrih makes 2-pt layup at rim,20,33
121,2,8:31.0,C. Villanueva misses 3-pt jump shot from 24 ft,,20,33
122,2,8:30.0,,Defensive rebound by C. Bosh,20,33
123,2,8:13.0,,G. Green makes 3-pt jump shot from 24 ft (assist by C. Bosh),20,36
124,2,7:53.0,C. Villanueva makes 2-pt layup from 2 ft (assist by J. Barea),,22,36
125,2,7:46.0,,Miami full timeout,22,36
126,2,7:46.0,R. Felton enters the game for C. Parsons,,22,36
127,2,7:46.0,J. McGee enters the game for D. Nowitzki,,22,36
128,2,7:46.0,W. Matthews enters the game for J. Barea,,22,36
129,2,7:46.0,,D. Wade enters the game for G. Dragić,22,36
130,2,7:46.0,,L. Deng enters the game for A. Stoudemire,22,36
131,2,7:36.0,,B. Udrih misses 2-pt jump shot from 18 ft,22,36
132,2,7:35.0,Defensive rebound by R. Felton,,22,36
133,2,7:21.0,J. McGee makes 2-pt dunk at rim (assist by R. Felton),,24,36
134,2,7:01.0,,C. Bosh misses 2-pt layup from 1 ft (block by J. McGee),24,36
135,2,7:00.0,Defensive rebound by W. Matthews,,24,36
136,2,6:50.0,Personal foul by L. Deng (drawn by J. McGee),,24,36
137,2,6:50.0,,H. Whiteside enters the game for C. Bosh,24,36
138,2,6:35.0,D. Williams makes 3-pt jump shot from 25 ft,,27,36
139,2,6:19.0,,G. Green makes 3-pt jump shot from 24 ft (assist by D. Wade),27,39
140,2,6:01.0,Shooting foul by B. Udrih (drawn by R. Felton),,27,39
141,2,6:01.0,R. Felton makes free throw 1 of 2,,28,39
142,2,6:01.0,R. Felton makes free throw 2 of 2,,29,39
143,2,5:47.0,,G. Green misses 3-pt jump shot from 22 ft,29,39
144,2,5:46.0,Defensive rebound by J. McGee,,29,39
145,2,5:34.0,C. Villanueva makes 2-pt layup from 1 ft (assist by D. Williams),,31,39
146,2,5:22.0,,Shooting foul by C. Villanueva (drawn by L. Deng),31,39
147,2,5:22.0,,L. Deng makes free throw 1 of 2,31,40
148,2,5:22.0,,T. Johnson enters the game for B. Udrih,31,40
149,2,5:22.0,,L. Deng makes free throw 2 of 2,31,41
150,2,5:05.0,C. Villanueva misses 2-pt hook shot from 8 ft,,31,41
151,2,5:04.0,,Defensive rebound by G. Green,31,41
152,2,4:48.0,,D. Wade misses 2-pt layup from 2 ft,31,41
153,2,4:47.0,Defensive rebound by W. Matthews,,31,41
154,2,4:41.0,D. Williams misses 3-pt jump shot from 25 ft,,31,41
155,2,4:40.0,,Defensive rebound by L. Deng,31,41
156,2,4:31.0,,H. Whiteside makes 2-pt hook shot from 8 ft (assist by D. Wade),31,43
157,2,4:25.0,Turnover by C. Villanueva (lost ball),,31,43
158,2,4:08.0,,G. Green misses 3-pt jump shot from 24 ft,31,43
159,2,4:07.0,Defensive rebound by D. Williams,,31,43
160,2,3:57.0,J. McGee makes 2-pt dunk at rim (assist by D. Williams),,33,43
161,2,3:40.0,,G. Green misses 2-pt hook shot from 6 ft,33,43
162,2,3:39.0,,Offensive rebound by H. Whiteside,33,43
163,2,3:34.0,,H. Whiteside makes 2-pt layup at rim,33,45
164,2,3:25.0,Z. Pachulia enters the game for C. Villanueva,,33,45
165,2,3:25.0,D. Nowitzki enters the game for J. McGee,,33,45
166,2,3:25.0,,C. Bosh enters the game for G. Green,33,45
167,2,3:18.0,Z. Pachulia makes 2-pt layup from 1 ft (assist by D. Nowitzki),,35,45
168,2,3:18.0,Shooting foul by D. Wade (drawn by Z. Pachulia),,35,45
169,2,3:18.0,C. Parsons enters the game for D. Williams,,35,45
170,2,3:18.0,Z. Pachulia misses free throw 1 of 1,,35,45
171,2,3:17.0,,Defensive rebound by H. Whiteside,35,45
172,2,3:02.0,,D. Wade makes 2-pt hook shot from 8 ft,35,47
173,2,2:50.0,W. Matthews makes 3-pt jump shot from 25 ft (assist by R. Felton),,38,47
174,2,2:34.0,,Personal foul by Z. Pachulia (drawn by C. Bosh),38,47
175,2,2:34.0,Official timeout,,38,47
176,2,2:34.0,J. Barea enters the game for R. Felton,,38,47
177,2,2:34.0,,G. Dragić enters the game for T. Johnson,38,47
178,2,2:24.0,,H. Whiteside makes 2-pt jump shot from 17 ft (assist by G. Dragić),38,49
179,2,2:01.0,Personal foul by L. Deng (drawn by C. Parsons),,38,49
180,2,1:56.0,C. Parsons makes 2-pt layup from 2 ft,,40,49
181,2,1:33.0,,H. Whiteside makes 2-pt layup from 1 ft (assist by D. Wade),40,51
182,2,1:20.0,C. Parsons misses 2-pt layup from 2 ft,,40,51
183,2,1:19.0,,Defensive rebound by H. Whiteside,40,51
184,2,1:09.0,,C. Bosh makes 3-pt jump shot from 24 ft (assist by D. Wade),40,54
185,2,0:48.0,W. Matthews makes 3-pt jump shot from 25 ft (assist by C. Parsons),,43,54
186,2,0:34.0,,G. Dragić misses 2-pt jump shot from 18 ft,43,54
187,2,0:33.0,,Offensive rebound by H. Whiteside,43,54
188,2,0:31.0,,H. Whiteside makes 2-pt layup from 1 ft,43,56
189,2,0:21.0,Shooting foul by H. Whiteside (drawn by Z. Pachulia),,43,56
190,2,0:21.0,Z. Pachulia makes free throw 1 of 2,,44,56
191,2,0:21.0,D. Powell enters the game for D. Nowitzki,,44,56
192,2,0:21.0,R. Felton enters the game for J. Barea,,44,56
193,2,0:21.0,,T. Johnson enters the game for L. Deng,44,56
194,2,0:21.0,Z. Pachulia makes free throw 2 of 2,,45,56
195,2,0:17.0,,Miami full timeout,45,56
196,2,0:17.0,,G. Green enters the game for T. Johnson,45,56
197,2,0:05.0,,H. Whiteside makes 2-pt dunk at rim (assist by D. Wade),45,58
198,2,0:04.0,,Violation by G. Dragić (kicked ball),45,58
199,2,0:04.0,C. Villanueva enters the game for D. Powell,,45,58
200,2,0:04.0,D. Williams enters the game for C. Parsons,,45,58
201,2,0:04.0,J. McGee enters the game for Z. Pachulia,,45,58
202,2,0:01.0,C. Villanueva misses 3-pt jump shot from 29 ft,,45,58
203,2,0:00.0,Offensive rebound by Team,,45,58
204,3,11:42.0,Turnover by J. Barea (bad pass; steal by D. Wade),,45,58
205,3,11:37.0,,L. Deng makes 2-pt layup from 1 ft (assist by D. Wade),45,60
206,3,11:24.0,D. Nowitzki misses 3-pt jump shot from 24 ft,,45,60
207,3,11:23.0,,Defensive rebound by H. Whiteside,45,60
208,3,11:07.0,,C. Bosh misses 3-pt jump shot from 22 ft,45,60
209,3,11:06.0,Defensive rebound by Z. Pachulia,,45,60
210,3,10:50.0,J. Barea misses 2-pt jump shot from 7 ft,,45,60
211,3,10:49.0,,Defensive rebound by G. Dragić,45,60
212,3,10:42.0,,Turnover by G. Dragić (bad pass; steal by D. Nowitzki),45,60
213,3,10:31.0,C. Parsons misses 2-pt layup from 1 ft,,45,60
214,3,10:30.0,Offensive rebound by Z. Pachulia,,45,60
215,3,10:28.0,Z. Pachulia misses 2-pt layup at rim,,45,60
216,3,10:27.0,,Defensive rebound by C. Bosh,45,60
217,3,10:11.0,,C. Bosh makes 2-pt jump shot from 19 ft (assist by G. Dragić),45,62
218,3,9:48.0,Turnover by Z. Pachulia (lost ball),,45,62
219,3,9:48.0,Dallas full timeout,,45,62
220,3,9:35.0,,H. Whiteside misses 2-pt dunk at rim,45,62
221,3,9:34.0,Defensive rebound by Z. Pachulia,,45,62
222,3,9:28.0,J. Barea makes 2-pt layup from 1 ft,,47,62
223,3,9:19.0,,Offensive foul by C. Bosh (drawn by J. Barea),47,62
224,3,9:19.0,,Turnover by C. Bosh (offensive foul),47,62
225,3,9:05.0,D. Nowitzki misses 2-pt jump shot from 16 ft,,47,62
226,3,9:04.0,Offensive rebound by Z. Pachulia,,47,62
227,3,8:59.0,J. Barea misses 3-pt jump shot from 24 ft,,47,62
228,3,8:58.0,,Defensive rebound by D. Wade,47,62
229,3,8:42.0,,L. Deng misses 2-pt jump shot from 19 ft,47,62
230,3,8:41.0,Defensive rebound by Z. Pachulia,,47,62
231,3,8:31.0,Z. Pachulia makes 2-pt jump shot from 13 ft (assist by W. Matthews),,49,62
232,3,8:16.0,,G. Dragić misses 3-pt jump shot from 25 ft,49,62
233,3,8:15.0,Defensive rebound by C. Parsons,,49,62
234,3,8:05.0,D. Nowitzki makes 2-pt jump shot from 17 ft (assist by C. Parsons),,51,62
235,3,7:56.0,,Miami full timeout,51,62
236,3,7:45.0,,H. Whiteside makes 2-pt layup from 1 ft (assist by D. Wade),51,64
237,3,7:26.0,Z. Pachulia makes 2-pt dunk at rim (assist by J. Barea),,53,64
238,3,7:02.0,,D. Wade makes 2-pt jump shot from 19 ft (assist by G. Dragić),53,66
239,3,6:38.0,D. Nowitzki misses 2-pt jump shot from 16 ft,,53,66
240,3,6:37.0,,Defensive rebound by D. Wade,53,66
241,3,6:14.0,,L. Deng makes 2-pt jump shot from 17 ft,53,68
242,3,5:54.0,D. Nowitzki misses 2-pt jump shot from 17 ft,,53,68
243,3,5:53.0,,Defensive rebound by C. Bosh,53,68
244,3,5:40.0,,H. Whiteside makes 2-pt hook shot from 4 ft (assist by C. Bosh),53,70
245,3,5:40.0,Dallas full timeout,,53,70
246,3,5:40.0,C. Villanueva enters the game for C. Parsons,,53,70
247,3,5:40.0,D. Williams enters the game for D. Nowitzki,,53,70
248,3,5:40.0,J. McGee enters the game for Z. Pachulia,,53,70
249,3,5:40.0,R. Felton enters the game for J. Barea,,53,70
250,3,5:40.0,,G. Green enters the game for C. Bosh,53,70
251,3,5:18.0,W. Matthews makes 3-pt jump shot from 25 ft (assist by R. Felton),,56,70
252,3,4:58.0,,G. Dragić makes 2-pt jump shot from 15 ft,56,72
253,3,4:47.0,Turnover by C. Villanueva (bad pass),,56,72
254,3,4:36.0,,Offensive foul by H. Whiteside (drawn by J. McGee),56,72
255,3,4:36.0,,Turnover by H. Whiteside (offensive foul),56,72
256,3,4:28.0,Personal foul by H. Whiteside (drawn by R. Felton),,56,72
257,3,4:20.0,R. Felton misses 3-pt jump shot from 24 ft,,56,72
258,3,4:19.0,,Defensive rebound by G. Green,56,72
259,3,4:03.0,,L. Deng misses 3-pt jump shot from 25 ft,56,72
260,3,4:02.0,Defensive rebound by W. Matthews,,56,72
261,3,3:56.0,W. Matthews misses 2-pt layup from 1 ft,,56,72
262,3,3:55.0,,Defensive rebound by H. Whiteside,56,72
263,3,3:46.0,,D. Wade makes 2-pt layup from 1 ft (assist by G. Green),56,74
264,3,3:41.0,Dallas full timeout,,56,74
265,3,3:41.0,J. Jenkins enters the game for W. Matthews,,56,74
266,3,3:33.0,D. Williams misses 2-pt layup from 1 ft,,56,74
267,3,3:32.0,,Defensive rebound by G. Dragić,56,74
