,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,WASHINGTON_ACTION,MINNESOTA_SCORE,WASHINGTON_SCORE
0,1,11:37.0,A. Wiggins misses 2-pt layup from 1 ft,,0,0
1,1,11:36.0,,Defensive rebound by O. Porter,0,0
2,1,11:29.0,,M. Morris makes 2-pt jump shot from 15 ft (assist by J. Wall),0,2
3,1,11:08.0,K. Towns makes 2-pt jump shot from 18 ft,,2,2
4,1,10:57.0,,Turnover by J. Wall (bad pass; steal by R. Rubio),2,2
5,1,10:52.0,R. Rubio misses 2-pt layup at rim,,2,2
6,1,10:51.0,,Defensive rebound by Team,2,2
7,1,10:27.0,,J. Wall misses 3-pt jump shot from 26 ft,2,2
8,1,10:26.0,Defensive rebound by R. Rubio,,2,2
9,1,10:23.0,Turnover by R. Rubio (bad pass; steal by M. Gortat),,2,2
10,1,10:15.0,,O. Porter makes 2-pt jump shot from 15 ft (assist by B. Beal),2,4
11,1,10:03.0,G. Dieng makes 2-pt layup at rim,,4,4
12,1,9:48.0,,M. Gortat makes 2-pt dunk at rim (assist by J. Wall),4,6
13,1,9:29.0,K. Towns makes 2-pt hook shot from 16 ft,,6,6
14,1,9:18.0,,B. Beal misses 3-pt jump shot from 26 ft,6,6
15,1,9:17.0,Defensive rebound by G. Dieng,,6,6
16,1,9:04.0,R. Rubio misses 2-pt jump shot from 16 ft,,6,6
17,1,9:03.0,,Defensive rebound by M. Morris,6,6
18,1,8:54.0,,O. Porter misses 2-pt jump shot from 14 ft,6,6
19,1,8:53.0,Defensive rebound by R. Rubio,,6,6
20,1,8:43.0,Z. LaVine misses 3-pt jump shot from 24 ft,,6,6
21,1,8:42.0,,Defensive rebound by M. Gortat,6,6
22,1,8:39.0,,Turnover by M. Gortat (bad pass; steal by R. Rubio),6,6
23,1,8:31.0,R. Rubio makes 3-pt jump shot from 25 ft,,9,6
24,1,8:25.0,,Turnover by M. Gortat (offensive foul),9,6
25,1,8:25.0,,Offensive foul by M. Gortat (drawn by R. Rubio),9,6
26,1,8:14.0,R. Rubio misses 2-pt layup at rim,,9,6
27,1,8:13.0,,Defensive rebound by M. Gortat,9,6
28,1,8:07.0,,O. Porter makes 3-pt jump shot from 23 ft (assist by J. Wall),9,9
29,1,7:47.0,R. Rubio misses 3-pt jump shot from 26 ft,,9,9
30,1,7:46.0,,Defensive rebound by M. Gortat,9,9
31,1,7:27.0,,M. Morris misses 2-pt jump shot from 8 ft,9,9
32,1,7:26.0,Defensive rebound by G. Dieng,,9,9
33,1,7:15.0,Z. LaVine misses 3-pt jump shot from 24 ft,,9,9
34,1,7:14.0,,Defensive rebound by M. Gortat,9,9
35,1,7:09.0,,Turnover by J. Wall (bad pass),9,9
