,QUARTER,TIME_REMAINING,TORONTO_ACTION,BROOKLYN_ACTION,TORONTO_SCORE,BROOKLYN_SCORE
0,1,11:45.0,,S. Larkin makes 3-pt jump shot from 24 ft (assist by B. Lopez),0,3
1,1,11:34.0,Offensive foul by J. Johnson (drawn by B. Bogdanović),,0,3
2,1,11:34.0,Turnover by J. Johnson (offensive foul),,0,3
3,1,11:22.0,,J. Johnson misses 2-pt jump shot from 16 ft (block by J. Johnson),0,3
4,1,11:21.0,Defensive rebound by K. Lowry,,0,3
5,1,11:07.0,J. Johnson misses 2-pt layup from 2 ft,,0,3
6,1,11:06.0,Offensive rebound by J. Johnson,,0,3
7,1,11:05.0,J. Johnson makes 2-pt layup from 1 ft,,2,3
8,1,10:47.0,,T. Young makes 2-pt jump shot from 7 ft (assist by B. Bogdanović),2,5
9,1,10:38.0,D. DeRozan makes 2-pt jump shot from 9 ft (assist by K. Lowry),,4,5
10,1,10:38.0,Shooting foul by S. Larkin (drawn by D. DeRozan),,4,5
11,1,10:38.0,D. DeRozan makes free throw 1 of 1,,5,5
12,1,10:22.0,,S. Larkin misses 3-pt jump shot from 25 ft,5,5
13,1,10:21.0,Defensive rebound by J. Johnson,,5,5
14,1,10:09.0,K. Lowry misses 3-pt jump shot from 22 ft,,5,5
15,1,10:08.0,Offensive rebound by J. Valančiūnas,,5,5
16,1,10:07.0,J. Valančiūnas makes 2-pt layup from 2 ft,,7,5
17,1,9:49.0,,B. Lopez makes 2-pt dunk at rim (assist by T. Young),7,7
18,1,9:23.0,J. Valančiūnas makes 2-pt jump shot from 15 ft,,9,7
19,1,9:05.0,,B. Lopez misses 2-pt jump shot from 9 ft,9,7
20,1,9:04.0,Defensive rebound by L. Scola,,9,7
21,1,8:53.0,L. Scola misses 2-pt jump shot from 14 ft,,9,7
22,1,8:52.0,,Defensive rebound by T. Young,9,7
23,1,8:49.0,,T. Young misses 2-pt layup from 3 ft (block by L. Scola),9,7
24,1,8:48.0,,Offensive rebound by Team,9,7
25,1,8:38.0,,S. Larkin misses 2-pt jump shot from 19 ft,9,7
26,1,8:37.0,Defensive rebound by D. DeRozan,,9,7
27,1,8:25.0,L. Scola misses 3-pt jump shot from 23 ft,,9,7
28,1,8:24.0,,Defensive rebound by S. Larkin,9,7
29,1,8:13.0,Violation by K. Lowry (kicked ball),,9,7
30,1,8:05.0,,B. Lopez misses 2-pt layup from 2 ft (block by J. Valančiūnas),9,7
31,1,8:04.0,,Offensive rebound by B. Lopez,9,7
32,1,8:03.0,,B. Lopez misses 2-pt layup from 1 ft (block by J. Johnson),9,7
33,1,8:02.0,Defensive rebound by L. Scola,,9,7
34,1,7:54.0,L. Scola makes 2-pt jump shot from 17 ft (assist by K. Lowry),,11,7
35,1,7:36.0,Offensive charge foul by T. Young (drawn by L. Scola),,11,7
36,1,7:36.0,,Turnover by T. Young (offensive foul),11,7
37,1,7:20.0,J. Valančiūnas makes 2-pt layup from 1 ft (assist by D. DeRozan),,13,7
