,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,LA LAKERS_ACTION,LA CLIPPERS_SCORE,LA LAKERS_SCORE
0,1,11:49.0,Personal foul by J. Randle,,0,0
1,1,11:46.0,Shooting foul by R. Hibbert (drawn by B. Griffin),,0,0
2,1,11:46.0,B. Griffin misses free throw 1 of 2,,0,0
3,1,11:46.0,Offensive rebound by Team,,0,0
4,1,11:46.0,B. Griffin makes free throw 2 of 2,,1,0
5,1,11:28.0,,K. Bryant makes 2-pt jump shot from 12 ft,1,2
6,1,11:17.0,C. Paul makes 2-pt jump shot from 17 ft,,3,2
7,1,11:01.0,,K. Bryant misses 2-pt jump shot from 16 ft,3,2
8,1,11:00.0,Defensive rebound by D. Jordan,,3,2
9,1,10:54.0,L. Mbah a Moute misses 2-pt layup from 1 ft,,3,2
10,1,10:49.0,,Defensive rebound by J. Randle,3,2
11,1,10:40.0,,K. Bryant misses 3-pt jump shot from 25 ft,3,2
12,1,10:39.0,Defensive rebound by B. Griffin,,3,2
13,1,10:29.0,L. Mbah a Moute makes 2-pt jump shot from 18 ft (assist by C. Paul),,5,2
14,1,10:12.0,,J. Randle misses 2-pt jump shot from 17 ft,5,2
15,1,10:11.0,Defensive rebound by B. Griffin,,5,2
16,1,9:58.0,J. Redick misses 3-pt jump shot from 24 ft,,5,2
17,1,9:57.0,,Defensive rebound by J. Randle,5,2
18,1,9:46.0,,J. Clarkson makes 2-pt jump shot from 3 ft,5,4
19,1,9:28.0,J. Redick misses 2-pt jump shot from 17 ft,,5,4
20,1,9:27.0,,Defensive rebound by J. Randle,5,4
21,1,9:11.0,,J. Randle misses 2-pt jump shot from 16 ft,5,4
22,1,9:09.0,Defensive rebound by D. Jordan,,5,4
23,1,9:01.0,C. Paul makes 2-pt jump shot from 15 ft,,7,4
24,1,8:41.0,,K. Bryant makes 2-pt layup from 2 ft,7,6
25,1,8:35.0,Personal foul by J. Clarkson,,7,6
26,1,8:25.0,J. Redick misses 2-pt jump shot from 20 ft,,7,6
27,1,8:24.0,,Defensive rebound by J. Randle,7,6
28,1,8:15.0,,Personal foul by C. Paul,7,6
29,1,8:01.0,,D. Russell makes 2-pt jump shot from 9 ft,7,8
30,1,7:54.0,C. Paul misses 3-pt jump shot from 27 ft,,7,8
31,1,7:53.0,,Defensive rebound by J. Randle,7,8
32,1,7:37.0,,K. Bryant misses 2-pt jump shot from 11 ft,7,8
33,1,7:34.0,Defensive rebound by B. Griffin,,7,8
34,1,7:32.0,Turnover by B. Griffin (lost ball; steal by J. Clarkson),,7,8
35,1,7:27.0,,J. Clarkson makes 2-pt layup from 2 ft,7,10
36,1,7:21.0,B. Griffin makes 2-pt jump shot from 6 ft (assist by J. Redick),,9,10
37,1,7:05.0,,Shooting foul by L. Mbah a Moute (drawn by R. Hibbert),9,10
38,1,7:05.0,,R. Hibbert makes free throw 1 of 2,9,11
39,1,7:05.0,,R. Hibbert makes free throw 2 of 2,9,12
40,1,6:48.0,J. Redick misses 2-pt jump shot from 20 ft,,9,12
41,1,6:46.0,Offensive rebound by D. Jordan,,9,12
42,1,6:41.0,B. Griffin makes 2-pt jump shot from 19 ft (assist by C. Paul),,11,12
43,1,6:27.0,,K. Bryant makes 2-pt jump shot from 7 ft,11,14
44,1,6:27.0,,Shooting foul by L. Mbah a Moute (drawn by K. Bryant),11,14
45,1,6:27.0,,K. Bryant makes free throw 1 of 1,11,15
46,1,6:14.0,D. Jordan makes 2-pt dunk at rim (assist by C. Paul),,13,15
47,1,6:03.0,,J. Randle makes 2-pt jump shot from 15 ft (assist by D. Russell),13,17
48,1,5:54.0,B. Griffin makes 2-pt layup at rim (assist by C. Paul),,15,17
49,1,5:42.0,,D. Russell misses 2-pt jump shot from 13 ft,15,17
50,1,5:38.0,,Offensive rebound by J. Randle,15,17
51,1,5:38.0,,J. Randle misses 2-pt layup at rim (block by D. Jordan),15,17
52,1,5:35.0,Defensive rebound by D. Jordan,,15,17
53,1,5:32.0,L. Mbah a Moute makes 2-pt layup at rim (assist by J. Redick),,17,17
54,1,5:19.0,,R. Hibbert misses 2-pt jump shot from 18 ft,17,17
55,1,5:17.0,Defensive rebound by J. Redick,,17,17
56,1,5:05.0,D. Jordan misses 2-pt layup from 2 ft (block by R. Hibbert),,17,17
57,1,5:01.0,Offensive rebound by C. Paul,,17,17
58,1,5:00.0,J. Redick misses 3-pt jump shot from 26 ft,,17,17
