,QUARTER,TIME_REMAINING,DALLAS_ACTION,TORONTO_ACTION,DALLAS_SCORE,TORONTO_SCORE
0,1,11:47.0,,L. Scola misses 2-pt jump shot from 18 ft,0,0
1,1,11:46.0,,Offensive rebound by B. Biyombo,0,0
2,1,11:42.0,,K. Lowry makes 3-pt jump shot from 23 ft (assist by B. Biyombo),0,3
3,1,11:25.0,W. Matthews makes 2-pt jump shot from 16 ft (assist by D. Williams),,2,3
4,1,11:05.0,,T. Ross makes 2-pt jump shot from 18 ft,2,5
5,1,10:44.0,R. Felton misses 2-pt jump shot from 3 ft,,2,5
6,1,10:43.0,,Defensive rebound by K. Lowry,2,5
7,1,10:34.0,,L. Scola makes 2-pt jump shot from 18 ft (assist by D. DeRozan),2,7
8,1,10:06.0,D. Nowitzki misses 3-pt jump shot from 25 ft,,2,7
9,1,10:06.0,,Defensive rebound by B. Biyombo,2,7
10,1,9:53.0,,T. Ross makes 3-pt jump shot from 24 ft,2,10
11,1,9:27.0,D. Nowitzki misses 2-pt jump shot from 13 ft,,2,10
12,1,9:26.0,,Defensive rebound by K. Lowry,2,10
13,1,9:14.0,,L. Scola misses 3-pt jump shot from 25 ft,2,10
14,1,9:14.0,,Offensive rebound by B. Biyombo,2,10
15,1,9:12.0,,B. Biyombo makes 2-pt dunk at rim,2,12
16,1,9:11.0,Dallas full timeout,,2,12
17,1,8:50.0,D. Nowitzki misses 2-pt jump shot from 13 ft,,2,12
18,1,8:49.0,,Defensive rebound by B. Biyombo,2,12
19,1,8:40.0,,D. DeRozan makes 2-pt jump shot from 12 ft,2,14
20,1,8:23.0,D. Williams misses 3-pt jump shot from 23 ft,,2,14
21,1,8:22.0,,Defensive rebound by B. Biyombo,2,14
22,1,8:12.0,,Personal foul by W. Matthews (drawn by K. Lowry),2,14
23,1,8:12.0,J. McGee enters the game for Z. Pachulia,,2,14
24,1,7:56.0,,D. DeRozan misses 3-pt jump shot from 24 ft,2,14
25,1,7:55.0,Defensive rebound by J. McGee,,2,14
26,1,7:33.0,R. Felton makes 3-pt jump shot from 26 ft (assist by D. Williams),,5,14
27,1,7:12.0,,L. Scola misses 2-pt jump shot from 19 ft,5,14
28,1,7:12.0,Defensive rebound by R. Felton,,5,14
29,1,7:02.0,J. McGee makes 2-pt dunk at rim (assist by R. Felton),,7,14
30,1,6:49.0,,Turnover by D. DeRozan (bad pass),7,14
31,1,6:41.0,R. Felton misses 3-pt jump shot from 24 ft,,7,14
32,1,6:40.0,Offensive rebound by Team,,7,14
33,1,6:40.0,,Loose ball foul by L. Scola (drawn by D. Nowitzki),7,14
34,1,6:40.0,C. Villanueva enters the game for D. Nowitzki,,7,14
35,1,6:40.0,C. Parsons enters the game for R. Felton,,7,14
36,1,6:32.0,W. Matthews makes 3-pt jump shot from 26 ft (assist by D. Williams),,10,14
37,1,6:22.0,,Shooting foul by C. Villanueva (drawn by L. Scola),10,14
38,1,6:22.0,,L. Scola misses free throw 1 of 2,10,14
39,1,6:22.0,,Offensive rebound by Team,10,14
40,1,6:22.0,,L. Scola makes free throw 2 of 2,10,15
41,1,6:07.0,D. Williams misses 2-pt jump shot from 12 ft,,10,15
