,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,INDIANA_ACTION,SAN ANTONIO_SCORE,INDIANA_SCORE
0,1,11:38.0,L. Aldridge misses 2-pt jump shot from 17 ft,,0,0
1,1,11:36.0,,Defensive rebound by G. Hill,0,0
2,1,11:18.0,,P. George misses 2-pt jump shot from 6 ft,0,0
3,1,11:17.0,Defensive rebound by T. Duncan,,0,0
4,1,11:06.0,K. Leonard makes 2-pt jump shot from 10 ft,,2,0
5,1,10:53.0,,P. George misses 2-pt jump shot from 18 ft (block by K. Leonard),2,0
6,1,10:51.0,Defensive rebound by K. Leonard,,2,0
7,1,10:44.0,D. Green makes 2-pt jump shot from 19 ft (assist by T. Duncan),,4,0
8,1,10:18.0,,Shooting foul by K. Leonard (drawn by P. George),4,0
9,1,10:18.0,,P. George makes free throw 1 of 2,4,1
10,1,10:18.0,,P. George makes free throw 2 of 2,4,2
11,1,9:54.0,D. Green misses 3-pt jump shot from 22 ft,,4,2
12,1,9:53.0,,Defensive rebound by M. Turner,4,2
13,1,9:31.0,,P. George makes 3-pt jump shot from 25 ft,4,5
14,1,9:18.0,K. Leonard misses 2-pt layup at rim,,4,5
15,1,9:17.0,,Defensive rebound by G. Hill,4,5
16,1,9:12.0,,P. George makes 2-pt layup at rim (assist by G. Hill),4,7
17,1,8:56.0,T. Parker misses 2-pt jump shot from 15 ft,,4,7
18,1,8:55.0,Offensive rebound by L. Aldridge,,4,7
19,1,8:42.0,L. Aldridge misses 2-pt jump shot from 19 ft,,4,7
20,1,8:42.0,,Defensive rebound by P. George,4,7
21,1,8:29.0,,I. Mahinmi makes 2-pt hook shot from 4 ft,4,9
22,1,8:14.0,D. Green misses 3-pt jump shot from 22 ft,,4,9
23,1,8:13.0,,Defensive rebound by I. Mahinmi,4,9
24,1,8:00.0,,M. Turner misses 2-pt jump shot from 19 ft,4,9
25,1,7:59.0,Defensive rebound by L. Aldridge,,4,9
26,1,7:42.0,T. Duncan misses 2-pt hook shot from 8 ft,,4,9
27,1,7:42.0,Offensive rebound by K. Leonard,,4,9
28,1,7:38.0,D. Green misses 3-pt jump shot from 27 ft,,4,9
29,1,7:37.0,,Defensive rebound by G. Hill,4,9
30,1,7:27.0,,G. Hill makes 3-pt jump shot from 25 ft,4,12
31,1,7:25.0,San Antonio full timeout,,4,12
32,1,7:14.0,Personal foul by M. Turner (drawn by L. Aldridge),,4,12
33,1,7:05.0,L. Aldridge misses 2-pt jump shot from 20 ft,,4,12
34,1,7:04.0,Offensive rebound by Team,,4,12
35,1,7:04.0,,Loose ball foul by I. Mahinmi (drawn by T. Duncan),4,12
36,1,6:58.0,K. Leonard misses 2-pt jump shot from 12 ft,,4,12
37,1,6:57.0,,Defensive rebound by M. Turner,4,12
38,1,6:43.0,,I. Mahinmi makes 2-pt dunk at rim (assist by M. Ellis),4,14
39,1,6:19.0,L. Aldridge misses 2-pt hook shot from 5 ft,,4,14
40,1,6:18.0,,Defensive rebound by G. Hill,4,14
41,1,6:11.0,,P. George misses 3-pt jump shot from 24 ft,4,14
42,1,6:09.0,Defensive rebound by L. Aldridge,,4,14
43,1,6:00.0,T. Duncan misses 2-pt layup at rim,,4,14
44,1,5:59.0,Offensive rebound by T. Duncan,,4,14
45,1,5:59.0,T. Duncan misses 2-pt layup at rim,,4,14
46,1,5:58.0,Offensive rebound by T. Duncan,,4,14
47,1,5:55.0,Turnover by T. Duncan (lost ball; steal by I. Mahinmi),,4,14
48,1,5:46.0,,Turnover by P. George (bad pass),4,14
49,1,5:46.0,M. Ginóbili enters the game for D. Green,,4,14
50,1,5:46.0,D. West enters the game for T. Duncan,,4,14
51,1,5:30.0,T. Parker makes 2-pt layup at rim,,6,14
52,1,5:18.0,,G. Hill misses 2-pt jump shot from 16 ft,6,14
53,1,5:17.0,Defensive rebound by D. West,,6,14
54,1,4:58.0,K. Leonard makes 2-pt jump shot from 15 ft,,8,14
55,1,4:42.0,,P. George misses 2-pt jump shot from 17 ft,8,14
56,1,4:39.0,,Offensive rebound by G. Hill,8,14
57,1,4:27.0,,I. Mahinmi misses 2-pt jump shot from 12 ft,8,14
58,1,4:26.0,Defensive rebound by D. West,,8,14
