,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,CLEVELAND_ACTION,CHARLOTTE_SCORE,CLEVELAND_SCORE
0,1,11:44.0,M. Williams misses 3-pt jump shot from 25 ft,,0,0
1,1,11:44.0,,Defensive rebound by J. Smith,0,0
2,1,11:37.0,,Turnover by L. James (bad pass; steal by C. Zeller),0,0
3,1,11:29.0,C. Zeller makes 2-pt layup at rim (assist by N. Batum),,2,0
4,1,11:15.0,,K. Love makes 2-pt hook shot from 8 ft (assist by L. James),2,2
5,1,10:59.0,C. Zeller makes 2-pt jump shot from 18 ft (assist by N. Batum),,4,2
6,1,10:42.0,,Turnover by T. Mozgov (lost ball; steal by C. Zeller),4,2
7,1,10:25.0,N. Batum misses 2-pt jump shot from 13 ft,,4,2
8,1,10:25.0,Offensive rebound by Team,,4,2
9,1,10:19.0,C. Zeller misses 2-pt layup from 2 ft (block by K. Love),,4,2
10,1,10:18.0,Offensive rebound by C. Zeller,,4,2
11,1,10:18.0,C. Zeller misses 2-pt layup from 2 ft,,4,2
12,1,10:17.0,Offensive rebound by C. Zeller,,4,2
13,1,10:16.0,C. Zeller misses 2-pt layup from 2 ft,,4,2
14,1,10:15.0,,Defensive rebound by T. Mozgov,4,2
15,1,10:06.0,,Turnover by L. James (bad pass; steal by C. Zeller),4,2
16,1,9:49.0,M. Williams makes 2-pt jump shot from 8 ft (assist by N. Batum),,6,2
17,1,9:24.0,,K. Love makes 2-pt jump shot from 14 ft (assist by M. Dellavedova),6,4
18,1,9:11.0,K. Walker misses 2-pt jump shot from 8 ft,,6,4
19,1,9:07.0,,Defensive rebound by J. Smith,6,4
20,1,9:02.0,,J. Smith makes 2-pt layup at rim,6,6
21,1,8:41.0,M. Williams makes 3-pt jump shot from 25 ft (assist by C. Lee),,9,6
22,1,8:23.0,,M. Dellavedova misses 2-pt jump shot from 6 ft,9,6
23,1,8:20.0,Defensive rebound by C. Zeller,,9,6
24,1,8:14.0,K. Walker makes 2-pt jump shot from 16 ft,,11,6
25,1,7:54.0,,J. Smith misses 2-pt layup at rim,11,6
26,1,7:51.0,,Offensive rebound by J. Smith,11,6
27,1,7:51.0,,J. Smith misses 2-pt layup at rim,11,6
28,1,7:48.0,Defensive rebound by M. Williams,,11,6
29,1,7:45.0,C. Lee misses 2-pt jump shot from 17 ft,,11,6
30,1,7:42.0,,Defensive rebound by T. Mozgov,11,6
31,1,7:38.0,,L. James makes 2-pt layup at rim,11,8
32,1,7:19.0,,Loose ball foul by M. Dellavedova,11,8
33,1,7:11.0,N. Batum misses 3-pt jump shot from 25 ft,,11,8
34,1,7:11.0,,Defensive rebound by K. Love,11,8
35,1,6:50.0,,L. James makes 2-pt layup at rim,11,10
36,1,6:37.0,K. Walker misses 2-pt jump shot from 16 ft,,11,10
37,1,6:37.0,,Defensive rebound by K. Love,11,10
38,1,6:23.0,,J. Smith makes 2-pt jump shot from 7 ft (assist by K. Love),11,12
