,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,HOUSTON_ACTION,MINNESOTA_SCORE,HOUSTON_SCORE
0,1,11:40.0,Z. LaVine makes 3-pt jump shot from 23 ft (assist by A. Wiggins),,3,0
1,1,11:29.0,,D. Motiejūnas makes 2-pt jump shot from 8 ft (assist by J. Harden),3,2
2,1,11:22.0,A. Wiggins misses 2-pt layup from 2 ft (block by D. Motiejūnas),,3,2
3,1,11:21.0,Offensive rebound by A. Wiggins,,3,2
4,1,11:06.0,K. Towns makes 2-pt dunk at rim (assist by G. Dieng),,5,2
5,1,10:53.0,,P. Beverley makes 3-pt jump shot from 25 ft,5,5
6,1,10:38.0,Shooting foul by D. Howard (drawn by G. Dieng),,5,5
7,1,10:38.0,G. Dieng makes free throw 1 of 2,,6,5
8,1,10:38.0,G. Dieng makes free throw 2 of 2,,7,5
9,1,10:26.0,,Shooting foul by A. Wiggins (drawn by T. Ariza),7,5
10,1,10:26.0,,T. Ariza makes free throw 1 of 2,7,6
11,1,10:26.0,,T. Ariza makes free throw 2 of 2,7,7
12,1,10:25.0,Turnover by G. Dieng (lost ball; steal by P. Beverley),,7,7
13,1,10:11.0,,D. Howard makes 2-pt dunk at rim (assist by D. Motiejūnas),7,9
14,1,9:54.0,A. Wiggins misses 2-pt jump shot from 17 ft,,7,9
15,1,9:53.0,Offensive rebound by G. Dieng,,7,9
16,1,9:52.0,G. Dieng misses 2-pt layup from 1 ft,,7,9
17,1,9:51.0,,Defensive rebound by D. Howard,7,9
18,1,9:43.0,,D. Motiejūnas misses 2-pt jump shot from 10 ft (block by R. Rubio),7,9
19,1,9:40.0,Defensive rebound by R. Rubio,,7,9
20,1,9:37.0,Turnover by R. Rubio (bad pass; steal by J. Harden),,7,9
21,1,9:31.0,,P. Beverley makes 3-pt jump shot from 23 ft (assist by T. Ariza),7,12
22,1,9:21.0,G. Dieng misses 2-pt dunk at rim (block by D. Motiejūnas),,7,12
23,1,9:20.0,,Defensive rebound by P. Beverley,7,12
24,1,9:15.0,,T. Ariza misses 2-pt layup from 1 ft,7,12
25,1,9:14.0,,Offensive rebound by D. Howard,7,12
26,1,9:08.0,,D. Howard misses 2-pt dunk at rim (block by Z. LaVine),7,12
27,1,9:07.0,,Offensive rebound by D. Howard,7,12
28,1,9:03.0,,D. Howard misses 2-pt layup from 1 ft (block by G. Dieng),7,12
29,1,9:03.0,Defensive rebound by G. Dieng,,7,12
30,1,8:51.0,K. Towns misses 2-pt layup from 2 ft,,7,12
31,1,8:50.0,,Defensive rebound by D. Howard,7,12
32,1,8:44.0,,D. Motiejūnas makes 2-pt jump shot from 8 ft (assist by J. Harden),7,14
33,1,8:36.0,Minnesota full timeout,,7,14
34,1,8:22.0,K. Towns misses 2-pt hook shot from 6 ft,,7,14
35,1,8:21.0,,Defensive rebound by D. Motiejūnas,7,14
36,1,8:09.0,,T. Ariza misses 3-pt jump shot from 24 ft,7,14
37,1,8:08.0,,Offensive rebound by D. Howard,7,14
38,1,8:01.0,,Turnover by P. Beverley (bad pass; steal by K. Towns),7,14
39,1,7:53.0,Z. LaVine misses 2-pt jump shot from 19 ft,,7,14
40,1,7:52.0,,Defensive rebound by P. Beverley,7,14
41,1,7:37.0,,P. Beverley makes 3-pt jump shot from 24 ft (assist by J. Harden),7,17
42,1,7:29.0,Personal foul by P. Beverley,,7,17
43,1,7:29.0,,M. Beasley enters the game for D. Motiejūnas,7,17
44,1,7:13.0,A. Wiggins makes 2-pt jump shot from 18 ft (assist by G. Dieng),,9,17
45,1,6:50.0,,M. Beasley makes 2-pt jump shot from 20 ft (assist by T. Ariza),9,19
46,1,6:33.0,Shooting foul by M. Beasley (drawn by A. Wiggins),,9,19
47,1,6:33.0,A. Wiggins makes free throw 1 of 2,,10,19
48,1,6:33.0,A. Wiggins makes free throw 2 of 2,,11,19
49,1,6:20.0,,J. Harden makes 2-pt jump shot from 10 ft,11,21
50,1,6:03.0,R. Rubio misses 3-pt jump shot from 25 ft,,11,21
51,1,6:03.0,,Defensive rebound by D. Howard,11,21
52,1,5:49.0,,M. Beasley makes 3-pt jump shot from 24 ft (assist by D. Howard),11,24
53,1,5:27.0,,C. Capela enters the game for D. Howard,11,24
54,1,5:22.0,A. Wiggins misses 2-pt layup from 2 ft,,11,24
55,1,5:21.0,,Defensive rebound by M. Beasley,11,24
56,1,5:05.0,,J. Harden misses 2-pt jump shot from 14 ft,11,24
57,1,5:04.0,,Offensive rebound by M. Beasley,11,24
58,1,5:00.0,,M. Beasley misses 2-pt jump shot from 14 ft,11,24
59,1,4:59.0,Defensive rebound by G. Dieng,,11,24
60,1,4:53.0,Z. LaVine misses 2-pt layup from 2 ft,,11,24
61,1,4:52.0,Offensive rebound by Z. LaVine,,11,24
62,1,4:52.0,Z. LaVine makes 2-pt layup from 2 ft,,13,24
63,1,4:40.0,,Turnover by J. Harden (lost ball; steal by Z. LaVine),13,24
64,1,4:30.0,A. Wiggins makes 2-pt layup from 1 ft (assist by K. Towns),,15,24
65,1,4:15.0,,M. Beasley misses 2-pt layup from 3 ft,15,24
66,1,4:15.0,,Offensive rebound by C. Capela,15,24
67,1,4:15.0,,C. Capela makes 2-pt layup from 1 ft,15,26
68,1,3:53.0,G. Dieng misses 2-pt hook shot from 6 ft,,15,26
69,1,3:52.0,,Defensive rebound by Team,15,26
70,1,3:52.0,G. Smith enters the game for G. Dieng,,15,26
71,1,3:52.0,,C. Brewer enters the game for T. Ariza,15,26
72,1,3:42.0,,Personal foul by Z. LaVine,15,26
73,1,3:33.0,,P. Beverley misses 3-pt jump shot from 25 ft,15,26
74,1,3:32.0,Defensive rebound by R. Rubio,,15,26
75,1,3:28.0,A. Wiggins makes 2-pt dunk at rim (assist by R. Rubio),,17,26
76,1,3:17.0,,C. Capela misses 2-pt layup from 2 ft,17,26
77,1,3:16.0,Defensive rebound by G. Smith,,17,26
78,1,3:08.0,Turnover by R. Rubio (bad pass; steal by C. Capela),,17,26
79,1,3:02.0,,M. Beasley makes 2-pt dunk at rim (assist by J. Harden),17,28
80,1,2:51.0,Personal foul by J. Harden,,17,28
81,1,2:51.0,,Houston full timeout,17,28
82,1,2:51.0,T. Jones enters the game for R. Rubio,,17,28
83,1,2:51.0,,J. Terry enters the game for P. Beverley,17,28
84,1,2:42.0,T. Jones misses 2-pt jump shot from 18 ft,,17,28
85,1,2:41.0,,Defensive rebound by J. Harden,17,28
86,1,2:29.0,,J. Terry misses 2-pt layup from 3 ft,17,28
87,1,2:29.0,Defensive rebound by G. Smith,,17,28
88,1,2:29.0,Personal foul by J. Terry,,17,28
89,1,2:29.0,G. Smith misses free throw 1 of 2,,17,28
90,1,2:29.0,Offensive rebound by Team,,17,28
91,1,2:29.0,G. Smith misses free throw 2 of 2,,17,28
92,1,2:29.0,,Defensive rebound by J. Harden,17,28
93,1,2:12.0,,J. Harden misses 3-pt jump shot from 24 ft,17,28
94,1,2:12.0,Defensive rebound by K. Towns,,17,28
95,1,1:55.0,K. Towns makes 2-pt hook shot from 9 ft,,19,28
96,1,1:32.0,,D. Howard enters the game for C. Capela,19,28
97,1,1:32.0,S. Muhammad enters the game for A. Wiggins,,19,28
98,1,1:28.0,,J. Harden makes 3-pt jump shot from 28 ft (assist by J. Terry),19,31
99,1,1:12.0,K. Towns makes 2-pt jump shot from 20 ft (assist by Z. LaVine),,21,31
100,1,0:59.0,,M. Beasley misses 2-pt jump shot from 7 ft,21,31
101,1,0:58.0,Defensive rebound by T. Jones,,21,31
102,1,0:44.0,S. Muhammad makes 2-pt layup from 3 ft,,23,31
103,1,0:27.0,,M. Beasley misses 2-pt jump shot from 20 ft,23,31
104,1,0:27.0,,Offensive rebound by D. Howard,23,31
105,1,0:04.0,,J. Harden misses 3-pt jump shot from 24 ft,23,31
106,1,0:03.0,Defensive rebound by K. Towns,,23,31
107,1,0:00.0,Z. LaVine misses 3-pt jump shot from 26 ft,,23,31
108,1,0:00.0,Offensive rebound by Team,,23,31
109,2,11:37.0,,D. Howard makes 2-pt hook shot from 8 ft,23,33
110,2,11:16.0,K. Towns makes 2-pt layup from 1 ft (assist by T. Jones),,25,33
111,2,11:16.0,Shooting foul by D. Motiejūnas (drawn by K. Towns),,25,33
112,2,11:16.0,K. Towns makes free throw 1 of 1,,26,33
113,2,11:00.0,,Personal foul by G. Smith,26,33
114,2,10:47.0,,J. Terry misses 3-pt jump shot from 25 ft,26,33
115,2,10:47.0,,Offensive rebound by D. Howard,26,33
116,2,10:47.0,Loose ball foul by G. Smith,,26,33
117,2,10:44.0,,Turnover by C. Brewer (bad pass; steal by G. Smith),26,33
118,2,10:38.0,S. Muhammad makes 2-pt layup from 1 ft (assist by T. Jones),,28,33
119,2,10:18.0,,D. Motiejūnas makes 2-pt hook shot from 6 ft (assist by P. Beverley),28,35
120,2,9:59.0,T. Prince makes 2-pt jump shot from 20 ft (assist by S. Muhammad),,30,35
121,2,9:39.0,,P. Beverley misses 3-pt jump shot from 24 ft,30,35
122,2,9:38.0,Defensive rebound by K. Towns,,30,35
123,2,9:19.0,S. Muhammad misses 2-pt jump shot from 8 ft (block by C. Brewer),,30,35
124,2,9:19.0,Offensive rebound by Team,,30,35
125,2,9:19.0,G. Dieng enters the game for K. Towns,,30,35
126,2,9:18.0,Personal foul by D. Motiejūnas,,30,35
127,2,9:11.0,Turnover by G. Smith (bad pass; steal by D. Howard),,30,35
128,2,8:56.0,,D. Motiejūnas makes 2-pt jump shot from 7 ft (assist by P. Beverley),30,37
129,2,8:42.0,S. Muhammad makes 2-pt jump shot from 20 ft,,32,37
