,QUARTER,TIME_REMAINING,DENVER_ACTION,BOSTON_ACTION,DENVER_SCORE,BOSTON_SCORE
0,1,11:40.0,N. Jokić misses 2-pt jump shot from 6 ft (block by J. Sullinger),,0,0
1,1,11:39.0,Offensive rebound by Team,,0,0
2,1,11:36.0,Turnover by N. Jokić (lost ball; steal by J. Crowder),,0,0
3,1,11:32.0,,Turnover by I. Thomas (bad pass),0,0
4,1,11:16.0,D. Gallinari misses 3-pt jump shot from 25 ft,,0,0
5,1,11:15.0,,Defensive rebound by A. Bradley,0,0
6,1,10:59.0,,J. Crowder misses 2-pt hook shot from 9 ft,0,0
7,1,10:57.0,,Offensive rebound by A. Johnson,0,0
8,1,10:50.0,,J. Sullinger misses 2-pt jump shot from 21 ft,0,0
9,1,10:49.0,Defensive rebound by D. Gallinari,,0,0
10,1,10:35.0,N. Jokić misses 2-pt jump shot from 6 ft,,0,0
11,1,10:34.0,Offensive rebound by N. Jokić,,0,0
12,1,10:31.0,Turnover by N. Jokić (bad pass; steal by A. Johnson),,0,0
13,1,10:25.0,,I. Thomas misses 3-pt jump shot from 26 ft,0,0
14,1,10:24.0,,Offensive rebound by A. Johnson,0,0
15,1,10:20.0,,A. Bradley misses 3-pt jump shot from 23 ft,0,0
16,1,10:19.0,Defensive rebound by G. Harris,,0,0
17,1,10:12.0,E. Mudiay misses 2-pt layup from 1 ft,,0,0
18,1,10:11.0,Offensive rebound by Team,,0,0
19,1,10:05.0,Turnover by E. Mudiay (bad pass; steal by A. Bradley),,0,0
20,1,9:59.0,,A. Bradley makes 2-pt layup from 1 ft,0,2
21,1,9:42.0,K. Faried misses 2-pt hook shot from 5 ft,,0,2
22,1,9:41.0,Offensive rebound by D. Gallinari,,0,2
23,1,9:26.0,G. Harris makes 3-pt jump shot from 23 ft (assist by E. Mudiay),,3,2
24,1,9:17.0,,I. Thomas makes 2-pt jump shot from 12 ft,3,4
25,1,9:04.0,D. Gallinari makes 2-pt jump shot from 22 ft (assist by N. Jokić),,5,4
26,1,8:46.0,,A. Bradley makes 3-pt jump shot from 25 ft (assist by I. Thomas),5,7
27,1,8:29.0,Shooting foul by A. Johnson (drawn by D. Gallinari),,5,7
28,1,8:29.0,D. Gallinari makes free throw 1 of 2,,6,7
29,1,8:29.0,D. Gallinari misses free throw 2 of 2,,6,7
30,1,8:29.0,Offensive rebound by N. Jokić,,6,7
31,1,8:19.0,N. Jokić misses 2-pt jump shot from 8 ft,,6,7
32,1,8:17.0,Offensive rebound by K. Faried,,6,7
33,1,8:17.0,K. Faried misses 2-pt layup from 1 ft,,6,7
34,1,8:16.0,,Defensive rebound by J. Sullinger,6,7
35,1,8:13.0,,Personal foul by K. Faried (drawn by I. Thomas),6,7
36,1,8:02.0,,J. Crowder misses 2-pt jump shot from 19 ft,6,7
37,1,8:02.0,,Offensive rebound by J. Sullinger,6,7
38,1,7:59.0,,J. Sullinger makes 2-pt layup at rim,6,9
39,1,7:38.0,K. Faried makes 2-pt hook shot from 7 ft,,8,9
40,1,7:21.0,,A. Bradley makes 2-pt jump shot from 16 ft (assist by A. Johnson),8,11
41,1,7:04.0,K. Faried misses 2-pt layup from 1 ft,,8,11
42,1,7:03.0,,Defensive rebound by J. Sullinger,8,11
43,1,6:50.0,,Turnover by I. Thomas (bad pass),8,11
44,1,6:32.0,Personal foul by A. Bradley (drawn by D. Gallinari),,8,11
45,1,6:26.0,E. Mudiay makes 3-pt jump shot from 25 ft (assist by N. Jokić),,11,11
46,1,6:10.0,,A. Johnson misses 2-pt layup at rim,11,11
47,1,6:09.0,,Offensive rebound by A. Johnson,11,11
48,1,6:08.0,,A. Johnson misses 2-pt hook shot from 3 ft,11,11
49,1,6:08.0,,Offensive rebound by A. Johnson,11,11
50,1,6:08.0,,A. Johnson makes 2-pt layup from 3 ft,11,13
51,1,5:55.0,Turnover by E. Mudiay (bad pass; steal by J. Sullinger),,11,13
52,1,5:46.0,,A. Bradley misses 3-pt jump shot from 25 ft,11,13
53,1,5:45.0,,Offensive rebound by J. Sullinger,11,13
54,1,5:39.0,,J. Sullinger misses 2-pt layup at rim (block by N. Jokić),11,13
55,1,5:37.0,,Offensive rebound by A. Johnson,11,13
56,1,5:29.0,,A. Bradley makes 3-pt jump shot from 24 ft (assist by J. Crowder),11,16
57,1,5:27.0,Denver full timeout,,11,16
58,1,5:27.0,D. Arthur enters the game for K. Faried,,11,16
59,1,5:27.0,J. Nurkić enters the game for N. Jokić,,11,16
60,1,5:12.0,Personal foul by A. Bradley (drawn by D. Gallinari),,11,16
61,1,5:09.0,Personal foul by A. Johnson (drawn by D. Gallinari),,11,16
62,1,4:58.0,D. Arthur misses 3-pt jump shot from 26 ft,,11,16
63,1,4:56.0,,Defensive rebound by J. Sullinger,11,16
64,1,4:50.0,,A. Bradley makes 3-pt jump shot from 25 ft (assist by J. Crowder),11,19
65,1,4:31.0,G. Harris makes 2-pt jump shot from 21 ft (assist by D. Arthur),,13,19
66,1,4:10.0,,J. Sullinger misses 2-pt jump shot from 5 ft,13,19
67,1,4:09.0,Defensive rebound by G. Harris,,13,19
68,1,3:56.0,D. Gallinari misses 2-pt layup at rim,,13,19
69,1,3:54.0,Offensive rebound by J. Nurkić,,13,19
70,1,3:47.0,D. Gallinari makes 2-pt dunk at rim (assist by J. Nurkić),,15,19
71,1,3:27.0,,J. Crowder misses 3-pt jump shot from 24 ft,15,19
72,1,3:26.0,Defensive rebound by E. Mudiay,,15,19
73,1,3:17.0,J. Nurkić misses 2-pt hook shot from 4 ft,,15,19
74,1,3:16.0,,Defensive rebound by J. Sullinger,15,19
75,1,3:13.0,,Turnover by I. Thomas (lost ball; steal by G. Harris),15,19
76,1,3:12.0,,Loose ball foul by I. Thomas (drawn by G. Harris),15,19
77,1,3:12.0,G. Harris makes free throw 1 of 2,,16,19
78,1,3:12.0,,E. Turner enters the game for J. Sullinger,16,19
79,1,3:12.0,,M. Smart enters the game for A. Bradley,16,19
80,1,3:12.0,G. Harris makes free throw 2 of 2,,17,19
81,1,3:01.0,,M. Smart misses 3-pt jump shot from 23 ft,17,19
82,1,3:01.0,Defensive rebound by D. Arthur,,17,19
83,1,2:54.0,Turnover by G. Harris (lost ball),,17,19
84,1,2:54.0,,Boston full timeout,17,19
85,1,2:54.0,W. Barton enters the game for G. Harris,,17,19
86,1,2:40.0,,I. Thomas misses 2-pt jump shot from 13 ft,17,19
87,1,2:39.0,Defensive rebound by D. Gallinari,,17,19
88,1,2:20.0,J. Nurkić misses 2-pt hook shot from 5 ft,,17,19
89,1,2:19.0,,Defensive rebound by E. Turner,17,19
90,1,2:11.0,,E. Turner makes 2-pt jump shot from 15 ft,17,21
91,1,1:51.0,E. Mudiay makes 2-pt layup at rim,,19,21
92,1,1:41.0,,J. Crowder makes 2-pt jump shot from 13 ft (assist by A. Johnson),19,23
93,1,1:24.0,D. Gallinari makes 2-pt layup at rim,,21,23
94,1,1:16.0,,Shooting foul by D. Arthur (drawn by J. Crowder),21,23
95,1,1:16.0,,J. Crowder makes free throw 1 of 2,21,24
96,1,1:16.0,,K. Olynyk enters the game for I. Thomas,21,24
97,1,1:16.0,,J. Crowder makes free throw 2 of 2,21,25
98,1,1:02.0,E. Mudiay misses 2-pt jump shot from 7 ft,,21,25
99,1,1:01.0,,Defensive rebound by A. Johnson,21,25
100,1,0:50.0,,M. Smart misses 2-pt jump shot from 11 ft,21,25
101,1,0:49.0,,Offensive rebound by A. Johnson,21,25
102,1,0:49.0,,A. Johnson makes 2-pt layup at rim,21,27
103,1,0:39.0,Turnover by E. Mudiay (bad pass; steal by A. Johnson),,21,27
104,1,0:35.0,,Shooting foul by D. Arthur (drawn by M. Smart),21,27
105,1,0:35.0,,M. Smart makes free throw 1 of 2,21,28
106,1,0:35.0,R. Foye enters the game for E. Mudiay,,21,28
107,1,0:35.0,S. Kilpatrick enters the game for D. Gallinari,,21,28
108,1,0:35.0,,M. Smart makes free throw 2 of 2,21,29
109,1,0:24.0,Turnover by W. Barton (bad pass; steal by A. Johnson),,21,29
110,1,0:01.0,,E. Turner misses 2-pt layup from 1 ft,21,29
111,1,0:00.0,Defensive rebound by W. Barton,,21,29
112,2,11:43.0,,T. Zeller misses 2-pt jump shot from 13 ft,21,29
113,2,11:42.0,Defensive rebound by J. Nurkić,,21,29
114,2,11:27.0,J. Nurkić misses 2-pt jump shot from 3 ft,,21,29
115,2,11:27.0,,Defensive rebound by T. Zeller,21,29
116,2,11:21.0,,K. Olynyk misses 2-pt jump shot from 5 ft (block by R. Foye),21,29
117,2,11:19.0,Defensive rebound by D. Arthur,,21,29
118,2,11:16.0,S. Kilpatrick makes 2-pt layup from 1 ft (assist by W. Barton),,23,29
119,2,10:52.0,,A. Bradley misses 3-pt jump shot from 24 ft,23,29
120,2,10:50.0,Defensive rebound by J. Nurkić,,23,29
121,2,10:38.0,D. Arthur misses 2-pt jump shot from 18 ft,,23,29
122,2,10:37.0,,Defensive rebound by M. Smart,23,29
123,2,10:25.0,,K. Olynyk makes 2-pt hook shot from 11 ft,23,31
124,2,10:13.0,J. Nurkić makes 2-pt layup from 1 ft (assist by S. Kilpatrick),,25,31
125,2,10:13.0,Shooting foul by T. Zeller (drawn by J. Nurkić),,25,31
126,2,10:13.0,J. Nurkić misses free throw 1 of 1,,25,31
127,2,10:13.0,,Defensive rebound by K. Olynyk,25,31
128,2,9:54.0,,Turnover by T. Zeller (traveling),25,31
129,2,9:41.0,W. Barton makes 3-pt jump shot from 25 ft (assist by S. Kilpatrick),,28,31
130,2,9:27.0,,K. Olynyk makes 2-pt layup at rim (assist by E. Turner),28,33
131,2,9:16.0,D. Arthur misses 3-pt jump shot from 25 ft,,28,33
132,2,9:15.0,Offensive rebound by J. Nurkić,,28,33
133,2,9:14.0,Turnover by J. Nurkić (lost ball),,28,33
134,2,9:01.0,,K. Olynyk makes 3-pt jump shot from 26 ft (assist by E. Turner),28,36
135,2,8:51.0,Denver full timeout,,28,36
136,2,8:51.0,N. Jokić enters the game for J. Nurkić,,28,36
137,2,8:43.0,Turnover by D. Arthur (step out of bounds),,28,36
138,2,8:30.0,Violation by W. Barton (kicked ball),,28,36
139,2,8:28.0,,Personal foul by W. Barton (drawn by E. Turner),28,36
140,2,8:14.0,,A. Bradley makes 2-pt layup from 1 ft,28,38
141,2,8:06.0,Turnover by S. Kilpatrick (lost ball; steal by A. Bradley),,28,38
142,2,7:57.0,,T. Zeller misses 2-pt jump shot from 6 ft,28,38
143,2,7:56.0,,Offensive rebound by K. Olynyk,28,38
144,2,7:56.0,,K. Olynyk misses 2-pt layup from 1 ft,28,38
145,2,7:55.0,Defensive rebound by W. Barton,,28,38
146,2,7:50.0,W. Barton makes 2-pt jump shot from 15 ft,,30,38
147,2,7:33.0,,Shooting foul by W. Barton (drawn by K. Olynyk),30,38
148,2,7:33.0,,K. Olynyk makes free throw 1 of 2,30,39
149,2,7:33.0,M. Miller enters the game for D. Arthur,,30,39
150,2,7:33.0,,J. Jerebko enters the game for T. Zeller,30,39
151,2,7:33.0,,K. Olynyk makes free throw 2 of 2,30,40
152,2,7:21.0,W. Barton misses 2-pt jump shot from 16 ft,,30,40
153,2,7:20.0,,Defensive rebound by Team,30,40
154,2,7:10.0,,M. Smart misses 2-pt jump shot from 19 ft,30,40
155,2,7:09.0,Defensive rebound by M. Miller,,30,40
156,2,6:57.0,Turnover by W. Barton (lost ball; steal by E. Turner),,30,40
157,2,6:48.0,,Offensive foul by E. Turner (drawn by S. Kilpatrick),30,40
158,2,6:48.0,,Turnover by E. Turner (offensive foul),30,40
159,2,6:48.0,G. Harris enters the game for W. Barton,,30,40
160,2,6:37.0,R. Foye misses 2-pt jump shot from 5 ft,,30,40
161,2,6:36.0,,Defensive rebound by E. Turner,30,40
162,2,6:28.0,,K. Olynyk misses 2-pt layup at rim,30,40
163,2,6:27.0,Defensive rebound by N. Jokić,,30,40
164,2,6:04.0,N. Jokić misses 2-pt jump shot from 9 ft,,30,40
165,2,6:03.0,,Defensive rebound by J. Jerebko,30,40
166,2,5:56.0,,K. Olynyk misses 3-pt jump shot from 24 ft,30,40
167,2,5:54.0,Defensive rebound by G. Harris,,30,40
