,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,BROOKLYN_ACTION,NEW ORLEANS_SCORE,BROOKLYN_SCORE
0,1,11:45.0,J. Hamilton misses 2-pt jump shot from 9 ft,,0,0
1,1,11:44.0,,Defensive rebound by S. Larkin,0,0
2,1,11:27.0,,Personal foul by D. Cunningham,0,0
3,1,11:22.0,,S. Larkin misses 2-pt jump shot from 19 ft,0,0
4,1,11:21.0,Defensive rebound by J. Hamilton,,0,0
5,1,11:00.0,Turnover by Ö. Aşık (step out of bounds),,0,0
6,1,10:40.0,,R. Hollis-Jefferson makes 3-pt jump shot from 23 ft (assist by S. Larkin),0,3
7,1,10:27.0,J. Hamilton misses 3-pt jump shot from 24 ft,,0,3
8,1,10:26.0,,Defensive rebound by H. Sims,0,3
9,1,10:01.0,,T. Robinson misses 2-pt jump shot from 17 ft,0,3
10,1,10:00.0,Defensive rebound by J. Hamilton,,0,3
11,1,9:51.0,Turnover by J. Hamilton (lost ball),,0,3
12,1,9:39.0,,Shooting foul by Ö. Aşık (drawn by H. Sims),0,3
13,1,9:39.0,,H. Sims makes free throw 1 of 2,0,4
14,1,9:39.0,,H. Sims makes free throw 2 of 2,0,5
15,1,9:29.0,T. Douglas misses 3-pt jump shot from 25 ft,,0,5
16,1,9:28.0,Offensive rebound by J. Hamilton,,0,5
17,1,9:26.0,Turnover by T. Douglas (traveling),,0,5
18,1,9:11.0,,Turnover by T. Robinson (bad pass),0,5
19,1,9:02.0,L. Babbitt misses 3-pt jump shot from 25 ft,,0,5
20,1,9:01.0,,Defensive rebound by T. Robinson,0,5
21,1,8:42.0,,R. Hollis-Jefferson misses 3-pt jump shot from 24 ft,0,5
22,1,8:41.0,Defensive rebound by J. Hamilton,,0,5
23,1,8:30.0,L. Babbitt misses 2-pt jump shot from 3 ft,,0,5
24,1,8:29.0,,Defensive rebound by T. Robinson,0,5
25,1,8:16.0,,W. Ellington misses 3-pt jump shot from 25 ft,0,5
26,1,8:15.0,,Offensive rebound by Team,0,5
27,1,8:07.0,,R. Hollis-Jefferson misses 2-pt jump shot from 18 ft,0,5
28,1,8:06.0,Defensive rebound by D. Cunningham,,0,5
29,1,8:00.0,L. Babbitt misses 2-pt jump shot from 10 ft (block by W. Ellington),,0,5
30,1,7:59.0,Offensive rebound by Team,,0,5
31,1,7:59.0,Offensive foul by Ö. Aşık (drawn by R. Hollis-Jefferson),,0,5
32,1,7:59.0,Turnover by Ö. Aşık (offensive foul),,0,5
33,1,7:59.0,A. Ajinça enters the game for Ö. Aşık,,0,5
34,1,7:34.0,,H. Sims makes 2-pt jump shot from 6 ft (assist by W. Ellington),0,7
35,1,7:19.0,Turnover by J. Hamilton (lost ball; steal by W. Ellington),,0,7
36,1,7:06.0,,R. Hollis-Jefferson misses 2-pt jump shot from 15 ft,0,7
37,1,7:05.0,,Offensive rebound by S. Larkin,0,7
38,1,7:02.0,,S. Larkin misses 2-pt jump shot from 14 ft,0,7
39,1,6:59.0,,Offensive rebound by T. Robinson,0,7
40,1,6:58.0,,T. Robinson misses 2-pt layup from 1 ft,0,7
41,1,6:56.0,Defensive rebound by T. Douglas,,0,7
42,1,6:51.0,D. Cunningham misses 2-pt layup from 1 ft (block by R. Hollis-Jefferson),,0,7
43,1,6:49.0,,Defensive rebound by H. Sims,0,7
