,QUARTER,TIME_REMAINING,TORONTO_ACTION,ORLANDO_ACTION,TORONTO_SCORE,ORLANDO_SCORE
0,1,11:47.0,,T. Harris misses 2-pt jump shot from 4 ft,0,0
1,1,11:47.0,Defensive rebound by Team,,0,0
2,1,11:29.0,D. Carroll misses 2-pt jump shot from 12 ft,,0,0
3,1,11:28.0,,Defensive rebound by T. Harris,0,0
4,1,11:21.0,,D. Dedmon misses 2-pt jump shot from 4 ft (block by D. DeRozan),0,0
5,1,11:21.0,,Offensive rebound by Team,0,0
6,1,11:15.0,,E. Fournier misses 3-pt jump shot from 26 ft,0,0
7,1,11:13.0,Defensive rebound by K. Lowry,,0,0
8,1,11:06.0,K. Lowry misses 2-pt jump shot from 3 ft (block by D. Dedmon),,0,0
9,1,11:05.0,Offensive rebound by Team,,0,0
10,1,10:59.0,D. Carroll makes 2-pt layup from 1 ft (assist by L. Scola),,2,0
11,1,10:39.0,,E. Fournier misses 2-pt layup from 1 ft (block by J. Valančiūnas),2,0
12,1,10:37.0,Defensive rebound by K. Lowry,,2,0
13,1,10:23.0,D. Carroll misses 3-pt jump shot from 26 ft,,2,0
14,1,10:21.0,,Defensive rebound by V. Oladipo,2,0
15,1,10:13.0,,E. Fournier makes 2-pt jump shot from 18 ft (assist by V. Oladipo),2,2
16,1,9:49.0,K. Lowry misses 2-pt layup from 2 ft,,2,2
17,1,9:46.0,Offensive rebound by J. Valančiūnas,,2,2
18,1,9:46.0,J. Valančiūnas misses 2-pt layup from 1 ft,,2,2
19,1,9:45.0,,Defensive rebound by T. Harris,2,2
20,1,9:42.0,,V. Oladipo misses 2-pt layup from 2 ft,2,2
21,1,9:40.0,,Offensive rebound by T. Harris,2,2
22,1,9:40.0,,T. Harris misses 2-pt layup from 1 ft,2,2
23,1,9:38.0,Defensive rebound by J. Valančiūnas,,2,2
24,1,9:31.0,L. Scola makes 2-pt layup from 1 ft,,4,2
25,1,9:08.0,,Shooting foul by J. Valančiūnas (drawn by D. Dedmon),4,2
26,1,9:08.0,,D. Dedmon misses free throw 1 of 2,4,2
27,1,9:08.0,,Offensive rebound by Team,4,2
28,1,9:08.0,,D. Dedmon makes free throw 2 of 2,4,3
29,1,8:54.0,Def 3 sec tech foul by T. Harris,,4,3
30,1,8:54.0,D. DeRozan makes technical free throw,,5,3
31,1,8:47.0,Shooting foul by D. Dedmon (drawn by J. Valančiūnas),,5,3
32,1,8:47.0,J. Valančiūnas makes free throw 1 of 2,,6,3
33,1,8:47.0,J. Valančiūnas misses free throw 2 of 2,,6,3
34,1,8:46.0,,Defensive rebound by T. Harris,6,3
35,1,8:22.0,,E. Fournier misses 2-pt jump shot from 3 ft (block by J. Valančiūnas),6,3
36,1,8:22.0,,Offensive rebound by Team,6,3
37,1,8:19.0,,Turnover by Team (shot clock),6,3
38,1,8:07.0,Shooting foul by E. Payton (drawn by K. Lowry),,6,3
39,1,8:07.0,K. Lowry misses free throw 1 of 2,,6,3
40,1,8:07.0,Offensive rebound by Team,,6,3
41,1,8:07.0,K. Lowry makes free throw 2 of 2,,7,3
42,1,7:53.0,,V. Oladipo makes 2-pt jump shot from 18 ft (assist by E. Payton),7,5
43,1,7:34.0,Turnover by L. Scola (bad pass; steal by V. Oladipo),,7,5
