,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,DENVER_ACTION,OKLAHOMA CITY_SCORE,DENVER_SCORE
0,1,11:46.0,Shooting foul by J. Sampson (drawn by K. Durant),,0,0
1,1,11:46.0,K. Durant makes free throw 1 of 2,,1,0
2,1,11:46.0,K. Durant makes free throw 2 of 2,,2,0
3,1,11:23.0,,J. Sampson misses 3-pt jump shot from 24 ft,2,0
4,1,11:23.0,Defensive rebound by A. Roberson,,2,0
5,1,11:06.0,K. Durant misses 2-pt jump shot from 15 ft,,2,0
6,1,11:05.0,,Defensive rebound by E. Mudiay,2,0
7,1,10:54.0,,N. Jokić makes 3-pt jump shot from 25 ft (assist by G. Harris),2,3
8,1,10:30.0,Turnover by S. Adams (bad pass),,2,3
9,1,10:15.0,,G. Harris makes 3-pt jump shot from 23 ft (assist by N. Jokić),2,6
10,1,9:59.0,S. Ibaka misses 3-pt jump shot from 25 ft,,2,6
11,1,9:58.0,Offensive rebound by Team,,2,6
12,1,9:58.0,,Loose ball foul by N. Jokić,2,6
13,1,9:49.0,R. Westbrook misses 2-pt layup from 1 ft (block by N. Jokić),,2,6
14,1,9:48.0,Offensive rebound by R. Westbrook,,2,6
15,1,9:45.0,Turnover by R. Westbrook (bad pass; steal by J. Sampson),,2,6
16,1,9:43.0,,Turnover by E. Mudiay (lost ball),2,6
17,1,9:38.0,Shooting foul by N. Jokić (drawn by R. Westbrook),,2,6
18,1,9:38.0,R. Westbrook makes free throw 1 of 2,,3,6
19,1,9:38.0,,J. Nurkić enters the game for N. Jokić,3,6
20,1,9:38.0,R. Westbrook misses free throw 2 of 2,,3,6
21,1,9:36.0,,Defensive rebound by K. Faried,3,6
22,1,9:20.0,,Turnover by E. Mudiay (bad pass; steal by K. Durant),3,6
23,1,9:16.0,K. Durant makes 2-pt dunk at rim,,5,6
24,1,8:54.0,,G. Harris makes 2-pt layup from 1 ft,5,8
25,1,8:37.0,K. Durant makes 3-pt jump shot from 25 ft (assist by S. Adams),,8,8
26,1,8:14.0,,G. Harris makes 3-pt jump shot from 23 ft (assist by E. Mudiay),8,11
27,1,8:01.0,R. Westbrook misses 2-pt jump shot from 22 ft,,8,11
28,1,8:01.0,,Defensive rebound by G. Harris,8,11
29,1,7:55.0,,J. Sampson makes 2-pt layup from 1 ft (assist by G. Harris),8,13
30,1,7:36.0,S. Ibaka misses 2-pt jump shot from 18 ft,,8,13
31,1,7:34.0,Offensive rebound by S. Adams,,8,13
32,1,7:31.0,S. Adams misses 2-pt layup from 2 ft (block by J. Nurkić),,8,13
33,1,7:29.0,Offensive rebound by S. Ibaka,,8,13
34,1,7:26.0,Turnover by A. Roberson (traveling),,8,13
35,1,7:06.0,,K. Faried misses 2-pt jump shot from 20 ft,8,13
36,1,7:05.0,Defensive rebound by K. Durant,,8,13
37,1,7:00.0,S. Ibaka makes 3-pt jump shot from 24 ft (assist by K. Durant),,11,13
38,1,6:39.0,,E. Mudiay misses 3-pt jump shot from 25 ft,11,13
39,1,6:36.0,Defensive rebound by R. Westbrook,,11,13
40,1,6:18.0,S. Adams misses 2-pt jump shot from 7 ft,,11,13
41,1,6:18.0,Offensive rebound by S. Ibaka,,11,13
42,1,6:16.0,Personal foul by J. Nurkić,,11,13
43,1,6:02.0,S. Ibaka makes 2-pt jump shot from 17 ft (assist by A. Roberson),,13,13
44,1,5:54.0,,Def 3 sec tech foul by S. Adams,13,13
45,1,5:54.0,,Denver full timeout,13,13
46,1,5:54.0,K. Singler enters the game for K. Durant,,13,13
47,1,5:54.0,,G. Harris makes technical free throw,13,14
48,1,5:39.0,,K. Faried misses 2-pt jump shot from 18 ft,13,14
49,1,5:38.0,Defensive rebound by R. Westbrook,,13,14
50,1,5:34.0,S. Adams makes 2-pt layup from 1 ft (assist by R. Westbrook),,15,14
51,1,5:34.0,Shooting foul by J. Nurkić (drawn by S. Adams),,15,14
52,1,5:34.0,,W. Barton enters the game for J. Sampson,15,14
