,QUARTER,TIME_REMAINING,PHOENIX_ACTION,DALLAS_ACTION,PHOENIX_SCORE,DALLAS_SCORE
0,1,11:41.0,,D. Williams makes 3-pt jump shot from 24 ft (assist by R. Felton),0,3
1,1,11:28.0,Turnover by A. Len (lost ball; steal by Z. Pachulia),,0,3
2,1,11:25.0,,R. Felton makes 2-pt layup from 1 ft,0,5
3,1,11:04.0,P. Tucker misses 3-pt jump shot from 22 ft,,0,5
4,1,11:03.0,,Defensive rebound by W. Matthews,0,5
5,1,10:52.0,,D. Nowitzki misses 3-pt jump shot from 23 ft,0,5
6,1,10:51.0,Defensive rebound by J. Leuer,,0,5
7,1,10:42.0,J. Leuer misses 3-pt jump shot from 23 ft,,0,5
8,1,10:41.0,,Defensive rebound by D. Williams,0,5
9,1,10:26.0,,D. Nowitzki makes 2-pt jump shot from 11 ft,0,7
10,1,10:10.0,Personal foul by D. Nowitzki (drawn by P. Tucker),,0,7
11,1,10:02.0,E. Bledsoe makes 3-pt jump shot from 23 ft (assist by J. Leuer),,3,7
12,1,9:48.0,,R. Felton makes 3-pt jump shot from 24 ft,3,10
13,1,9:40.0,E. Bledsoe misses 2-pt jump shot from 22 ft,,3,10
14,1,9:39.0,,Defensive rebound by W. Matthews,3,10
15,1,9:23.0,,Turnover by Z. Pachulia (lost ball; steal by E. Bledsoe),3,10
16,1,9:18.0,B. Knight makes 2-pt jump shot from 20 ft (assist by E. Bledsoe),,5,10
17,1,8:58.0,,Turnover by D. Williams (bad pass),5,10
18,1,8:52.0,Turnover by B. Knight (lost ball; steal by D. Williams),,5,10
19,1,8:43.0,,Turnover by R. Felton (bad pass),5,10
20,1,8:31.0,P. Tucker makes 2-pt hook shot from 5 ft (assist by B. Knight),,7,10
21,1,8:21.0,,R. Felton misses 3-pt jump shot from 23 ft,7,10
22,1,8:20.0,Defensive rebound by P. Tucker,,7,10
23,1,8:08.0,B. Knight makes 3-pt jump shot from 24 ft (assist by E. Bledsoe),,10,10
24,1,7:52.0,,D. Williams makes 2-pt jump shot from 8 ft,10,12
25,1,7:40.0,P. Tucker misses 2-pt jump shot from 13 ft,,10,12
26,1,7:40.0,,Defensive rebound by Z. Pachulia,10,12
27,1,7:24.0,,D. Williams misses 3-pt jump shot from 24 ft,10,12
28,1,7:23.0,Defensive rebound by A. Len,,10,12
29,1,7:09.0,A. Len misses 2-pt jump shot from 8 ft,,10,12
30,1,7:08.0,,Defensive rebound by R. Felton,10,12
31,1,6:56.0,,W. Matthews makes 2-pt jump shot from 16 ft,10,14
32,1,6:42.0,B. Knight makes 3-pt jump shot from 27 ft (assist by J. Leuer),,13,14
33,1,6:19.0,,D. Nowitzki misses 2-pt jump shot from 10 ft,13,14
34,1,6:19.0,Defensive rebound by A. Len,,13,14
