,QUARTER,TIME_REMAINING,HOUSTON_ACTION,BROOKLYN_ACTION,HOUSTON_SCORE,BROOKLYN_SCORE
0,1,11:42.0,C. Capela misses 2-pt dunk at rim,,0,0
1,1,11:41.0,Offensive rebound by D. Howard,,0,0
2,1,11:26.0,T. Ariza misses 3-pt jump shot from 23 ft,,0,0
3,1,11:25.0,,Defensive rebound by B. Bogdanović,0,0
4,1,11:20.0,,B. Lopez makes 2-pt dunk at rim (assist by T. Young),0,2
5,1,11:13.0,Turnover by P. Beverley (bad pass),,0,2
6,1,10:57.0,,B. Lopez misses 2-pt jump shot from 14 ft,0,2
7,1,10:56.0,Defensive rebound by C. Capela,,0,2
8,1,10:43.0,P. Beverley misses 3-pt jump shot from 23 ft,,0,2
9,1,10:42.0,,Defensive rebound by B. Bogdanović,0,2
10,1,10:38.0,,B. Bogdanović misses 2-pt layup from 3 ft,0,2
11,1,10:37.0,Defensive rebound by D. Howard,,0,2
12,1,10:23.0,P. Beverley makes 3-pt jump shot from 24 ft (assist by J. Harden),,3,2
13,1,10:01.0,,T. Young misses 2-pt jump shot from 17 ft,3,2
14,1,10:00.0,,Offensive rebound by B. Lopez,3,2
15,1,9:59.0,,B. Lopez makes 2-pt layup from 1 ft,3,4
16,1,9:30.0,J. Harden makes 2-pt jump shot from 18 ft,,5,4
17,1,9:16.0,,B. Lopez misses 2-pt jump shot from 15 ft,5,4
18,1,9:15.0,Defensive rebound by C. Capela,,5,4
19,1,8:52.0,Turnover by D. Howard (offensive goaltending),,5,4
20,1,8:36.0,,J. Jack makes 2-pt jump shot from 20 ft (assist by J. Johnson),5,6
21,1,8:25.0,T. Ariza misses 2-pt layup from 3 ft (block by B. Lopez),,5,6
22,1,8:24.0,Offensive rebound by Team,,5,6
23,1,8:24.0,D. Motiejūnas enters the game for D. Howard,,5,6
24,1,8:16.0,T. Ariza makes 2-pt layup from 1 ft (assist by J. Harden),,7,6
25,1,8:10.0,,Personal foul by P. Beverley (drawn by T. Young),7,6
26,1,8:10.0,Houston full timeout,,7,6
27,1,8:10.0,C. Brewer enters the game for T. Ariza,,7,6
28,1,8:00.0,,Turnover by T. Young (lost ball; steal by P. Beverley),7,6
29,1,7:55.0,C. Brewer misses 2-pt layup from 1 ft,,7,6
30,1,7:54.0,,Defensive rebound by B. Lopez,7,6
31,1,7:46.0,,Turnover by T. Young (bad pass; steal by J. Harden),7,6
32,1,7:41.0,C. Brewer makes 2-pt layup from 1 ft (assist by J. Harden),,9,6
33,1,7:25.0,,B. Lopez misses 2-pt jump shot from 7 ft,9,6
34,1,7:24.0,,Offensive rebound by J. Jack,9,6
35,1,7:18.0,,J. Johnson makes 3-pt jump shot from 24 ft (assist by J. Jack),9,9
36,1,6:56.0,Turnover by P. Beverley (bad pass; steal by B. Bogdanović),,9,9
37,1,6:51.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by J. Jack),9,11
38,1,6:34.0,Turnover by D. Motiejūnas (lost ball; steal by J. Johnson),,9,11
39,1,6:19.0,,Turnover by J. Jack (bad pass),9,11
40,1,6:07.0,C. Capela misses 2-pt dunk at rim (block by B. Lopez),,9,11
41,1,6:05.0,,Defensive rebound by T. Young,9,11
42,1,5:56.0,,B. Bogdanović misses 3-pt jump shot from 24 ft,9,11
43,1,5:54.0,,Offensive rebound by J. Johnson,9,11
44,1,5:37.0,,T. Young makes 2-pt hook shot from 3 ft,9,13
45,1,5:24.0,Shooting foul by T. Young (drawn by C. Capela),,9,13
46,1,5:24.0,C. Capela misses free throw 1 of 2,,9,13
47,1,5:24.0,Offensive rebound by Team,,9,13
48,1,5:24.0,T. Lawson enters the game for P. Beverley,,9,13
49,1,5:24.0,,T. Robinson enters the game for B. Lopez,9,13
50,1,5:24.0,C. Capela misses free throw 2 of 2,,9,13
51,1,5:22.0,,Defensive rebound by T. Robinson,9,13
52,1,5:00.0,,T. Young makes 2-pt hook shot from 8 ft,9,15
53,1,4:43.0,C. Capela makes 2-pt dunk at rim (assist by D. Motiejūnas),,11,15
54,1,4:29.0,,T. Young makes 2-pt layup from 1 ft (assist by J. Jack),11,17
55,1,4:14.0,C. Brewer misses 2-pt jump shot from 7 ft,,11,17
56,1,4:12.0,Offensive rebound by C. Capela,,11,17
