,QUARTER,TIME_REMAINING,NEW YORK_ACTION,DALLAS_ACTION,NEW YORK_SCORE,DALLAS_SCORE
0,1,11:41.0,Turnover by D. Williams (traveling),,0,0
1,1,11:31.0,,Turnover by D. Powell (bad pass; steal by C. Anthony),0,0
2,1,11:27.0,D. Williams makes 2-pt layup at rim,,2,0
3,1,11:07.0,,D. Nowitzki misses 2-pt jump shot from 22 ft,2,0
4,1,11:06.0,Defensive rebound by C. Anthony,,2,0
5,1,10:52.0,J. Calderón misses 2-pt jump shot from 17 ft,,2,0
6,1,10:52.0,,Defensive rebound by J. Anderson,2,0
7,1,10:31.0,,W. Matthews misses 3-pt jump shot from 23 ft,2,0
8,1,10:30.0,Defensive rebound by C. Anthony,,2,0
9,1,10:19.0,C. Anthony makes 2-pt jump shot from 10 ft,,4,0
10,1,10:02.0,,D. Nowitzki misses 2-pt jump shot from 12 ft,4,0
11,1,10:01.0,Defensive rebound by R. Lopez,,4,0
12,1,9:52.0,J. Calderón makes 2-pt jump shot from 17 ft,,6,0
13,1,9:30.0,,R. Felton misses 2-pt jump shot from 9 ft,6,0
14,1,9:29.0,,Offensive rebound by Team,6,0
15,1,9:25.0,,D. Powell misses 2-pt layup from 1 ft,6,0
16,1,9:23.0,Defensive rebound by S. Vujačić,,6,0
17,1,9:19.0,D. Williams makes 2-pt dunk at rim (assist by S. Vujačić),,8,0
18,1,9:18.0,,Dallas full timeout,8,0
19,1,9:03.0,,Shooting foul by S. Vujačić (drawn by W. Matthews),8,0
20,1,9:03.0,,W. Matthews makes free throw 1 of 2,8,1
21,1,9:03.0,,W. Matthews makes free throw 2 of 2,8,2
22,1,8:52.0,Personal foul by J. Anderson,,8,2
23,1,8:46.0,C. Anthony misses 2-pt jump shot from 14 ft,,8,2
24,1,8:45.0,Offensive rebound by Team,,8,2
25,1,8:41.0,C. Anthony makes 2-pt jump shot from 18 ft (assist by J. Calderón),,10,2
26,1,8:19.0,,R. Felton misses 3-pt jump shot from 24 ft,10,2
27,1,8:17.0,Defensive rebound by S. Vujačić,,10,2
28,1,8:08.0,D. Williams makes 2-pt layup from 2 ft,,12,2
29,1,7:52.0,,D. Nowitzki makes 2-pt jump shot from 12 ft (assist by W. Matthews),12,4
30,1,7:24.0,C. Anthony makes 2-pt jump shot from 17 ft (assist by R. Lopez),,14,4
31,1,7:01.0,,D. Nowitzki makes 2-pt jump shot from 13 ft (assist by W. Matthews),14,6
32,1,6:40.0,Turnover by J. Calderón (bad pass; steal by J. Anderson),,14,6
33,1,6:25.0,,D. Nowitzki misses 2-pt jump shot from 9 ft,14,6
34,1,6:24.0,Defensive rebound by J. Calderón,,14,6
35,1,6:20.0,Turnover by D. Williams (lost ball),,14,6
36,1,6:20.0,,D. Harris enters the game for J. Anderson,14,6
37,1,6:05.0,,D. Powell makes 2-pt dunk at rim (assist by R. Felton),14,8
38,1,5:45.0,R. Lopez makes 2-pt dunk at rim,,16,8
39,1,5:25.0,,Turnover by D. Harris (bad pass; steal by S. Vujačić),16,8
40,1,5:19.0,C. Anthony misses 3-pt jump shot from 24 ft,,16,8
41,1,5:18.0,Offensive rebound by R. Lopez,,16,8
42,1,5:18.0,R. Lopez makes 2-pt layup at rim,,18,8
43,1,5:17.0,,Dallas full timeout,18,8
44,1,5:17.0,,D. Lee enters the game for D. Nowitzki,18,8
45,1,5:17.0,,Z. Pachulia enters the game for D. Powell,18,8
46,1,5:17.0,J. Grant enters the game for R. Lopez,,18,8
47,1,5:17.0,K. O'Quinn enters the game for J. Calderón,,18,8
48,1,5:03.0,,R. Felton makes 2-pt jump shot from 21 ft,18,10
49,1,4:42.0,K. O'Quinn makes 2-pt jump shot from 15 ft (assist by S. Vujačić),,20,10
50,1,4:34.0,,D. Harris misses 2-pt jump shot from 18 ft,20,10
51,1,4:34.0,Defensive rebound by D. Williams,,20,10
52,1,4:34.0,,Loose ball foul by D. Lee,20,10
53,1,4:34.0,A. Afflalo enters the game for C. Anthony,,20,10
54,1,4:15.0,S. Vujačić misses 3-pt jump shot from 26 ft,,20,10
55,1,4:14.0,,Defensive rebound by D. Lee,20,10
56,1,4:04.0,,Def 3 sec tech foul by K. O'Quinn,20,10
57,1,4:04.0,,W. Matthews makes technical free throw,20,11
58,1,3:50.0,,R. Felton misses 2-pt jump shot from 16 ft,20,11
59,1,3:49.0,,Offensive rebound by Z. Pachulia,20,11
60,1,3:49.0,,Z. Pachulia misses 2-pt layup from 2 ft,20,11
61,1,3:48.0,,Offensive rebound by D. Lee,20,11
62,1,3:48.0,,D. Lee misses 2-pt layup from 2 ft,20,11
63,1,3:47.0,Defensive rebound by J. Grant,,20,11
64,1,3:37.0,D. Williams makes 2-pt layup at rim,,22,11
65,1,3:19.0,,R. Felton makes 2-pt layup at rim (assist by D. Lee),22,13
66,1,2:57.0,S. Vujačić makes 2-pt layup from 1 ft (assist by K. O'Quinn),,24,13
67,1,2:45.0,,D. Lee makes 2-pt jump shot from 6 ft (assist by D. Harris),24,15
68,1,2:28.0,A. Afflalo misses 2-pt jump shot from 14 ft,,24,15
69,1,2:27.0,,Defensive rebound by Z. Pachulia,24,15
70,1,2:22.0,,Shooting block foul by A. Afflalo (drawn by W. Matthews),24,15
71,1,2:22.0,New York full timeout,,24,15
72,1,2:22.0,K. Séraphin enters the game for D. Williams,,24,15
