,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,NEW ORLEANS_ACTION,SACRAMENTO_SCORE,NEW ORLEANS_SCORE
0,1,11:47.0,,Turnover by J. Holiday (bad pass; steal by B. McLemore),0,0
1,1,11:30.0,D. Cousins misses 2-pt jump shot from 19 ft,,0,0
2,1,11:29.0,,Defensive rebound by J. Holiday,0,0
3,1,11:15.0,,N. Cole makes 2-pt jump shot from 21 ft,0,2
4,1,10:59.0,D. Cousins makes 2-pt layup from 2 ft (assist by R. Rondo),,2,2
5,1,10:51.0,,A. Davis makes 2-pt jump shot from 15 ft (assist by J. Holiday),2,4
6,1,10:37.0,D. Cousins makes 2-pt jump shot from 10 ft,,4,4
7,1,10:26.0,,N. Cole makes 2-pt layup from 1 ft,4,6
8,1,10:06.0,R. Gay makes 2-pt jump shot from 10 ft,,6,6
9,1,9:56.0,,N. Cole misses 2-pt layup from 1 ft,6,6
10,1,9:55.0,Defensive rebound by R. Gay,,6,6
11,1,9:47.0,R. Gay makes 2-pt layup from 1 ft (assist by R. Rondo),,8,6
12,1,9:38.0,,Turnover by A. Davis (bad pass; steal by R. Rondo),8,6
13,1,9:33.0,Q. Acy makes 2-pt layup from 1 ft (assist by R. Rondo),,10,6
14,1,9:26.0,,N. Cole misses 2-pt jump shot from 16 ft,10,6
15,1,9:23.0,Defensive rebound by D. Cousins,,10,6
16,1,9:15.0,R. Rondo misses 3-pt jump shot from 23 ft,,10,6
17,1,9:14.0,,Defensive rebound by Ö. Aşık,10,6
18,1,9:10.0,,New Orleans full timeout,10,6
19,1,8:56.0,,Turnover by A. Davis (lost ball),10,6
20,1,8:48.0,Personal foul by Ö. Aşık (drawn by D. Cousins),,10,6
21,1,8:46.0,Personal foul by J. Holiday (drawn by R. Rondo),,10,6
22,1,8:39.0,Q. Acy misses 3-pt jump shot from 25 ft,,10,6
23,1,8:36.0,,Defensive rebound by D. Cunningham,10,6
24,1,8:30.0,,J. Holiday misses 3-pt jump shot from 26 ft,10,6
25,1,8:29.0,Defensive rebound by D. Cousins,,10,6
26,1,8:21.0,D. Cousins misses 3-pt jump shot from 26 ft,,10,6
27,1,8:20.0,,Defensive rebound by D. Cunningham,10,6
28,1,8:14.0,,Turnover by J. Holiday (bad pass; steal by D. Cousins),10,6
29,1,8:09.0,B. McLemore misses 2-pt layup at rim (block by D. Cunningham),,10,6
30,1,8:08.0,Offensive rebound by Q. Acy,,10,6
31,1,7:49.0,D. Cousins misses 2-pt jump shot from 17 ft,,10,6
32,1,7:48.0,Offensive rebound by Q. Acy,,10,6
33,1,7:41.0,R. Rondo misses 3-pt jump shot from 25 ft,,10,6
34,1,7:40.0,,Defensive rebound by N. Cole,10,6
35,1,7:33.0,,Personal block foul by B. McLemore (drawn by J. Holiday),10,6
36,1,7:29.0,,J. Holiday makes 2-pt jump shot from 22 ft (assist by N. Cole),10,8
37,1,7:17.0,R. Rondo makes 2-pt layup from 2 ft (assist by D. Cousins),,12,8
38,1,7:14.0,,Turnover by Ö. Aşık (bad pass; steal by D. Cousins),12,8
39,1,7:14.0,D. Cousins makes 2-pt layup at rim,,14,8
40,1,7:14.0,Shooting foul by Ö. Aşık (drawn by D. Cousins),,14,8
41,1,7:14.0,,K. Perkins enters the game for Ö. Aşık,14,8
42,1,7:14.0,,Violation by Team (jump ball),14,8
43,1,7:14.0,D. Cousins makes free throw 1 of 1,,15,8
44,1,7:05.0,,A. Davis makes 2-pt dunk from 1 ft (assist by J. Holiday),15,10
45,1,6:52.0,D. Cousins misses 2-pt jump shot from 5 ft,,15,10
46,1,6:51.0,,Defensive rebound by K. Perkins,15,10
47,1,6:51.0,Loose ball foul by D. Cousins (drawn by K. Perkins),,15,10
48,1,6:33.0,,J. Holiday misses 2-pt jump shot from 17 ft,15,10
49,1,6:32.0,Defensive rebound by Q. Acy,,15,10
50,1,6:26.0,R. Gay makes 2-pt layup at rim (assist by R. Rondo),,17,10
51,1,6:26.0,Shooting foul by K. Perkins (drawn by R. Gay),,17,10
52,1,6:26.0,,T. Douglas enters the game for D. Cunningham,17,10
53,1,6:26.0,,A. Gee enters the game for J. Holiday,17,10
54,1,6:26.0,,R. Anderson enters the game for A. Davis,17,10
55,1,6:26.0,R. Gay makes free throw 1 of 1,,18,10
56,1,6:16.0,,N. Cole makes 2-pt layup from 1 ft,18,12
57,1,6:05.0,D. Cousins makes 2-pt layup at rim,,20,12
58,1,5:54.0,,N. Cole makes 2-pt jump shot from 16 ft,20,14
59,1,5:44.0,D. Cousins misses 2-pt jump shot from 11 ft (block by K. Perkins),,20,14
60,1,5:44.0,,Defensive rebound by Team,20,14
61,1,5:32.0,,R. Anderson makes 3-pt jump shot from 25 ft (assist by N. Cole),20,17
62,1,5:22.0,R. Rondo misses 2-pt layup from 2 ft,,20,17
63,1,5:19.0,,Defensive rebound by N. Cole,20,17
64,1,5:16.0,,T. Douglas misses 3-pt jump shot from 25 ft,20,17
65,1,5:15.0,,Offensive rebound by A. Gee,20,17
66,1,5:10.0,,R. Anderson misses 3-pt jump shot from 26 ft,20,17
67,1,5:09.0,Defensive rebound by D. Cousins,,20,17
68,1,5:02.0,D. Collison enters the game for B. McLemore,,20,17
69,1,4:49.0,R. Rondo makes 3-pt jump shot from 24 ft,,23,17
70,1,4:39.0,,N. Cole misses 2-pt jump shot from 8 ft,23,17
71,1,4:37.0,Defensive rebound by R. Gay,,23,17
72,1,4:35.0,Turnover by R. Gay (bad pass),,23,17
