,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,NEW YORK_ACTION,NEW ORLEANS_SCORE,NEW YORK_SCORE
0,1,11:37.0,,R. Lopez misses 2-pt jump shot from 6 ft,0,0
1,1,11:36.0,Defensive rebound by A. Davis,,0,0
2,1,11:24.0,Turnover by J. Holiday (bad pass; steal by K. Porziņģis),,0,0
3,1,11:20.0,,K. Porziņģis misses 2-pt layup from 3 ft,0,0
4,1,11:19.0,,Offensive rebound by Team,0,0
5,1,11:14.0,,K. Porziņģis makes 3-pt jump shot from 25 ft (assist by J. Calderón),0,3
6,1,10:55.0,Personal foul by A. Afflalo (drawn by E. Gordon),,0,3
7,1,10:46.0,A. Gee misses 2-pt layup from 1 ft (block by R. Lopez),,0,3
8,1,10:45.0,,Defensive rebound by R. Lopez,0,3
9,1,10:35.0,,Personal foul by A. Gee (drawn by K. Porziņģis),0,3
10,1,10:31.0,,K. Porziņģis misses 2-pt jump shot from 9 ft (block by A. Davis),0,3
11,1,10:29.0,,Offensive rebound by Team,0,3
12,1,10:26.0,,A. Afflalo misses 2-pt jump shot from 12 ft,0,3
13,1,10:25.0,Defensive rebound by Team,,0,3
14,1,10:14.0,A. Davis makes 3-pt jump shot from 25 ft (assist by J. Holiday),,3,3
15,1,9:57.0,,K. Porziņģis misses 2-pt jump shot from 2 ft,3,3
16,1,9:56.0,,Offensive rebound by K. Porziņģis,3,3
17,1,9:56.0,,K. Porziņģis misses 2-pt jump shot from 2 ft,3,3
18,1,9:55.0,,Offensive rebound by R. Lopez,3,3
19,1,9:47.0,,C. Anthony makes 3-pt jump shot from 25 ft (assist by R. Lopez),3,6
20,1,9:31.0,J. Holiday misses 2-pt jump shot from 6 ft,,3,6
21,1,9:30.0,,Defensive rebound by C. Anthony,3,6
22,1,9:26.0,,Turnover by C. Anthony (bad pass; steal by J. Holiday),3,6
23,1,9:19.0,E. Gordon misses 3-pt jump shot from 26 ft,,3,6
24,1,9:18.0,,Defensive rebound by K. Porziņģis,3,6
25,1,9:06.0,,C. Anthony makes 2-pt jump shot from 18 ft,3,8
26,1,8:54.0,E. Gordon misses 2-pt layup from 3 ft,,3,8
27,1,8:53.0,,Defensive rebound by A. Afflalo,3,8
28,1,8:39.0,,C. Anthony misses 2-pt jump shot from 17 ft,3,8
29,1,8:38.0,Defensive rebound by J. Holiday,,3,8
30,1,8:34.0,Shooting foul by J. Calderón (drawn by J. Holiday),,3,8
31,1,8:34.0,J. Holiday makes free throw 1 of 2,,4,8
32,1,8:34.0,J. Holiday misses free throw 2 of 2,,4,8
33,1,8:33.0,,Defensive rebound by R. Lopez,4,8
34,1,8:26.0,,Personal foul by Ö. Aşık (drawn by C. Anthony),4,8
35,1,8:20.0,,A. Afflalo misses 2-pt jump shot from 15 ft,4,8
36,1,8:19.0,Defensive rebound by J. Holiday,,4,8
37,1,8:11.0,A. Davis misses 3-pt jump shot from 25 ft,,4,8
38,1,8:10.0,,Defensive rebound by J. Calderón,4,8
39,1,8:03.0,,K. Porziņģis misses 2-pt jump shot from 20 ft,4,8
40,1,8:02.0,Defensive rebound by A. Davis,,4,8
41,1,7:54.0,New Orleans full timeout,,4,8
42,1,7:43.0,A. Davis makes 2-pt hook shot from 5 ft,,6,8
43,1,7:21.0,,K. Porziņģis misses 2-pt jump shot from 16 ft,6,8
44,1,7:20.0,Defensive rebound by A. Gee,,6,8
45,1,7:11.0,A. Davis makes 2-pt jump shot from 17 ft,,8,8
46,1,6:45.0,,J. Calderón makes 2-pt jump shot from 16 ft,8,10
47,1,6:21.0,A. Davis makes 2-pt jump shot from 14 ft,,10,10
48,1,6:03.0,,Personal foul by J. Holiday (drawn by J. Calderón),10,10
49,1,5:58.0,,J. Calderón makes 2-pt jump shot from 19 ft,10,12
50,1,5:37.0,A. Gee misses 3-pt jump shot from 25 ft,,10,12
51,1,5:36.0,,Defensive rebound by Team,10,12
52,1,5:36.0,R. Anderson enters the game for Ö. Aşık,,10,12
53,1,5:25.0,,C. Anthony misses 2-pt jump shot from 18 ft,10,12
54,1,5:24.0,Defensive rebound by R. Anderson,,10,12
55,1,5:11.0,J. Holiday misses 2-pt jump shot from 7 ft (block by R. Lopez),,10,12
56,1,5:09.0,,Defensive rebound by J. Calderón,10,12
57,1,5:04.0,,J. Calderón misses 3-pt jump shot from 25 ft,10,12
58,1,5:02.0,Defensive rebound by Team,,10,12
59,1,5:02.0,,Loose ball foul by K. Porziņģis (drawn by R. Anderson),10,12
60,1,5:02.0,,L. Amundson enters the game for R. Lopez,10,12
61,1,5:02.0,,K. O'Quinn enters the game for K. Porziņģis,10,12
62,1,4:45.0,Personal foul by J. Calderón (drawn by A. Davis),,10,12
63,1,4:45.0,,L. Galloway enters the game for J. Calderón,10,12
64,1,4:45.0,I. Smith enters the game for J. Holiday,,10,12
65,1,4:39.0,Shooting foul by L. Amundson (drawn by R. Anderson),,10,12
66,1,4:39.0,R. Anderson makes free throw 1 of 2,,11,12
67,1,4:39.0,D. Cunningham enters the game for A. Davis,,11,12
68,1,4:39.0,R. Anderson makes free throw 2 of 2,,12,12
69,1,4:23.0,,Turnover by L. Galloway (lost ball; steal by A. Gee),12,12
70,1,4:18.0,A. Gee makes 2-pt dunk at rim,,14,12
71,1,4:00.0,,C. Anthony misses 2-pt jump shot from 5 ft,14,12
72,1,3:59.0,,Offensive rebound by C. Anthony,14,12
73,1,3:58.0,,C. Anthony makes 2-pt layup from 2 ft,14,14
74,1,3:40.0,D. Cunningham makes 2-pt dunk at rim (assist by A. Gee),,16,14
75,1,3:33.0,,New York full timeout,16,14
76,1,3:33.0,,J. Grant enters the game for A. Afflalo,16,14
77,1,3:33.0,,L. Thomas enters the game for K. O'Quinn,16,14
78,1,3:16.0,,L. Amundson misses 2-pt jump shot from 12 ft,16,14
79,1,3:15.0,Defensive rebound by I. Smith,,16,14
80,1,3:02.0,R. Anderson makes 2-pt jump shot from 18 ft (assist by I. Smith),,18,14
81,1,2:47.0,,Personal foul by E. Gordon (drawn by J. Grant),18,14
82,1,2:47.0,T. Douglas enters the game for E. Gordon,,18,14
83,1,2:47.0,,D. Williams enters the game for C. Anthony,18,14
84,1,2:30.0,,D. Williams misses 2-pt jump shot,18,14
85,1,2:29.0,Defensive rebound by D. Cunningham,,18,14
86,1,2:15.0,R. Anderson makes 2-pt jump shot from 16 ft,,20,14
87,1,1:59.0,,Turnover by L. Thomas (bad pass; steal by T. Douglas),20,14
88,1,1:55.0,Shooting foul by J. Grant (drawn by T. Douglas),,20,14
89,1,1:55.0,T. Douglas makes free throw 1 of 2,,21,14
90,1,1:55.0,L. Babbitt enters the game for A. Gee,,21,14
91,1,1:55.0,T. Douglas makes free throw 2 of 2,,22,14
92,1,1:40.0,,L. Thomas misses 2-pt layup from 2 ft,22,14
93,1,1:39.0,,Offensive rebound by L. Amundson,22,14
94,1,1:38.0,,L. Amundson misses 2-pt layup from 2 ft,22,14
95,1,1:37.0,,Offensive rebound by Team,22,14
96,1,1:37.0,Loose ball foul by D. Cunningham,,22,14
97,1,1:37.0,,L. Amundson makes free throw 1 of 2,22,15
98,1,1:37.0,,L. Amundson misses free throw 2 of 2,22,15
99,1,1:36.0,Defensive rebound by R. Anderson,,22,15
100,1,1:19.0,R. Anderson misses 2-pt jump shot from 15 ft,,22,15
101,1,1:18.0,,Defensive rebound by L. Thomas,22,15
102,1,1:05.0,,L. Thomas makes 3-pt jump shot from 25 ft (assist by L. Galloway),22,18
103,1,0:57.0,I. Smith makes 2-pt layup from 2 ft,,24,18
104,1,0:48.0,,J. Grant makes 2-pt layup from 3 ft,24,20
105,1,0:31.0,L. Babbitt makes 3-pt jump shot from 25 ft (assist by T. Douglas),,27,20
106,1,0:17.0,,L. Galloway makes 3-pt jump shot from 25 ft (assist by D. Williams),27,23
107,1,0:00.0,R. Anderson misses 3-pt jump shot from 26 ft,,27,23
