,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,HOUSTON_ACTION,MEMPHIS_SCORE,HOUSTON_SCORE
0,1,11:39.0,B. Weber misses 2-pt layup from 4 ft,,0,0
1,1,11:38.0,,Defensive rebound by D. Howard,0,0
2,1,11:34.0,,Personal foul by R. Hollins,0,0
3,1,11:21.0,,P. Beverley makes 3-pt jump shot from 23 ft (assist by J. Harden),0,3
4,1,11:10.0,,Violation by D. Motiejūnas (kicked ball),0,3
5,1,11:01.0,M. Barnes misses 3-pt jump shot from 25 ft,,0,3
6,1,11:00.0,,Defensive rebound by P. Beverley,0,3
7,1,10:44.0,,T. Ariza makes 3-pt jump shot from 23 ft (assist by P. Beverley),0,6
8,1,10:44.0,,Loose ball foul by D. Howard,0,6
9,1,10:29.0,J. Green makes 2-pt dunk at rim (assist by M. Barnes),,2,6
10,1,10:08.0,,P. Beverley makes 3-pt jump shot from 25 ft (assist by T. Ariza),2,9
11,1,9:51.0,J. Green misses 2-pt jump shot from 12 ft,,2,9
12,1,9:51.0,,Defensive rebound by T. Ariza,2,9
13,1,9:44.0,,Turnover by J. Harden (bad pass),2,9
14,1,9:36.0,R. Hollins makes 2-pt layup from 2 ft (assist by M. Barnes),,4,9
15,1,9:23.0,,D. Motiejūnas misses 2-pt hook shot from 8 ft,4,9
16,1,9:22.0,,Offensive rebound by D. Howard,4,9
17,1,9:17.0,,Shooting foul by T. Allen (drawn by D. Motiejūnas),4,9
18,1,9:17.0,,D. Motiejūnas makes free throw 1 of 2,4,10
19,1,9:17.0,,D. Motiejūnas makes free throw 2 of 2,4,11
20,1,9:04.0,Offensive foul by J. Green (drawn by D. Motiejūnas),,4,11
21,1,9:04.0,Turnover by J. Green (offensive foul),,4,11
22,1,8:57.0,,P. Beverley makes 2-pt jump shot from 21 ft,4,13
23,1,8:49.0,Turnover by J. Green (lost ball),,4,13
24,1,8:28.0,,D. Motiejūnas misses 2-pt hook shot from 9 ft,4,13
25,1,8:25.0,Defensive rebound by B. Weber,,4,13
26,1,8:18.0,T. Allen misses 2-pt jump shot from 4 ft,,4,13
27,1,8:18.0,Offensive rebound by J. Green,,4,13
28,1,8:18.0,J. Green misses 2-pt layup from 2 ft,,4,13
29,1,8:17.0,Offensive rebound by R. Hollins,,4,13
30,1,8:17.0,R. Hollins makes 2-pt layup from 2 ft,,6,13
31,1,8:02.0,,T. Ariza makes 2-pt jump shot from 18 ft,6,15
32,1,7:45.0,T. Allen misses 2-pt jump shot from 4 ft (block by J. Harden),,6,15
33,1,7:44.0,,Defensive rebound by D. Howard,6,15
34,1,7:38.0,,T. Ariza makes 3-pt jump shot from 25 ft (assist by J. Harden),6,18
35,1,7:29.0,Memphis full timeout,,6,18
36,1,7:29.0,,Technical foul by P. Beverley,6,18
37,1,7:29.0,Technical foul by B. Weber,,6,18
38,1,7:24.0,Memphis full timeout,,6,18
39,1,7:17.0,J. Green misses 2-pt hook shot from 5 ft,,6,18
40,1,7:16.0,,Defensive rebound by D. Howard,6,18
41,1,7:05.0,,T. Ariza makes 3-pt jump shot from 24 ft (assist by J. Harden),6,21
42,1,6:52.0,B. Weber misses 2-pt jump shot from 10 ft,,6,21
43,1,6:51.0,,Defensive rebound by T. Ariza,6,21
