,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,MIAMI_ACTION,MILWAUKEE_SCORE,MIAMI_SCORE
0,1,11:40.0,,C. Bosh misses 2-pt jump shot from 19 ft,0,0
1,1,11:39.0,Defensive rebound by K. Middleton,,0,0
2,1,11:25.0,,Violation by H. Whiteside (def goaltending),0,0
3,1,11:25.0,G. Monroe makes 2-pt hook shot from 8 ft (assist by J. Parker),,2,0
4,1,11:25.0,Shooting foul by T. Johnson (drawn by G. Monroe),,2,0
5,1,11:25.0,G. Monroe makes free throw 1 of 1,,3,0
6,1,11:04.0,,C. Bosh misses 2-pt jump shot from 18 ft,3,0
7,1,11:03.0,,Offensive rebound by H. Whiteside,3,0
8,1,11:01.0,,H. Whiteside misses 2-pt layup from 1 ft,3,0
9,1,11:00.0,Defensive rebound by G. Antetokounmpo,,3,0
10,1,10:44.0,K. Middleton makes 3-pt jump shot from 24 ft,,6,0
11,1,10:23.0,,L. Deng makes 2-pt layup from 2 ft (assist by D. Wade),6,2
12,1,10:07.0,K. Middleton misses 2-pt jump shot from 10 ft,,6,2
13,1,10:06.0,,Defensive rebound by L. Deng,6,2
14,1,9:54.0,,Turnover by D. Wade (bad pass; steal by J. Parker),6,2
15,1,9:50.0,G. Antetokounmpo makes 2-pt dunk at rim (assist by J. Parker),,8,2
16,1,9:23.0,,T. Johnson misses 3-pt jump shot from 24 ft,8,2
17,1,9:22.0,,Offensive rebound by L. Deng,8,2
18,1,9:21.0,,L. Deng misses 2-pt layup at rim,8,2
19,1,9:20.0,,Offensive rebound by H. Whiteside,8,2
20,1,9:19.0,,H. Whiteside makes 2-pt layup at rim,8,4
21,1,9:01.0,K. Middleton makes 3-pt jump shot from 22 ft (assist by G. Monroe),,11,4
22,1,9:00.0,,Miami full timeout,11,4
23,1,8:47.0,,L. Deng misses 2-pt hook shot from 8 ft,11,4
24,1,8:46.0,Defensive rebound by G. Monroe,,11,4
25,1,8:35.0,Personal foul by T. Johnson (drawn by G. Antetokounmpo),,11,4
26,1,8:35.0,,J. Richardson enters the game for T. Johnson,11,4
27,1,8:25.0,G. Monroe misses 2-pt jump shot from 18 ft,,11,4
28,1,8:24.0,,Defensive rebound by C. Bosh,11,4
29,1,7:59.0,,L. Deng misses 2-pt jump shot from 6 ft,11,4
30,1,7:58.0,Defensive rebound by K. Middleton,,11,4
31,1,7:47.0,M. Carter-Williams misses 2-pt jump shot from 10 ft,,11,4
32,1,7:46.0,,Defensive rebound by H. Whiteside,11,4
33,1,7:34.0,,C. Bosh makes 3-pt jump shot from 25 ft (assist by D. Wade),11,7
34,1,7:20.0,K. Middleton misses 2-pt jump shot from 16 ft,,11,7
