,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,MEMPHIS_ACTION,WASHINGTON_SCORE,MEMPHIS_SCORE
0,1,11:32.0,O. Porter misses 2-pt jump shot from 21 ft,,0,0
1,1,11:31.0,Offensive rebound by J. Dudley,,0,0
2,1,11:31.0,J. Dudley misses 2-pt layup at rim,,0,0
3,1,11:28.0,Offensive rebound by M. Gortat,,0,0
4,1,11:28.0,M. Gortat misses 2-pt layup at rim,,0,0
5,1,11:28.0,Offensive rebound by M. Gortat,,0,0
6,1,11:28.0,M. Gortat misses 2-pt layup at rim,,0,0
7,1,11:27.0,,Defensive rebound by C. Lee,0,0
8,1,11:05.0,,M. Barnes misses 2-pt jump shot from 8 ft,0,0
9,1,11:03.0,Defensive rebound by M. Gortat,,0,0
10,1,10:51.0,M. Gortat misses 2-pt jump shot from 12 ft,,0,0
11,1,10:50.0,,Defensive rebound by J. Green,0,0
12,1,10:35.0,,C. Lee misses 2-pt jump shot from 10 ft,0,0
13,1,10:35.0,Defensive rebound by M. Gortat,,0,0
14,1,10:23.0,J. Wall misses 2-pt jump shot from 14 ft,,0,0
15,1,10:21.0,,Defensive rebound by M. Barnes,0,0
16,1,10:06.0,,M. Gasol misses 2-pt jump shot from 6 ft,0,0
17,1,10:04.0,Defensive rebound by O. Porter,,0,0
18,1,9:57.0,Turnover by J. Wall (bad pass; steal by M. Barnes),,0,0
19,1,9:51.0,,C. Lee makes 3-pt jump shot from 23 ft (assist by J. Green),0,3
20,1,9:31.0,J. Dudley makes 3-pt jump shot from 23 ft (assist by O. Porter),,3,3
21,1,9:14.0,,M. Gasol makes 2-pt jump shot from 9 ft (assist by M. Conley),3,5
22,1,9:01.0,Turnover by G. Temple (bad pass; steal by M. Gasol),,3,5
23,1,8:55.0,,C. Lee misses 2-pt layup from 1 ft (block by G. Temple),3,5
24,1,8:53.0,Defensive rebound by O. Porter,,3,5
25,1,8:48.0,Turnover by J. Wall (bad pass),,3,5
26,1,8:34.0,,Shooting foul by J. Dudley (drawn by M. Barnes),3,5
