,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,BROOKLYN_ACTION,WASHINGTON_SCORE,BROOKLYN_SCORE
0,1,11:37.0,M. Gortat makes 2-pt hook shot from 9 ft,,2,0
1,1,11:25.0,,Turnover by S. Larkin (lost ball; steal by M. Thornton),2,0
2,1,11:20.0,R. Sessions makes 2-pt layup from 2 ft (assist by M. Thornton),,4,0
3,1,11:04.0,,H. Sims misses 2-pt jump shot from 17 ft,4,0
4,1,11:03.0,,Offensive rebound by C. McCullough,4,0
5,1,10:57.0,,W. Ellington misses 3-pt jump shot from 24 ft,4,0
6,1,10:56.0,,Offensive rebound by H. Sims,4,0
7,1,10:55.0,,Personal foul by M. Gortat,4,0
8,1,10:44.0,,Turnover by S. Larkin (bad pass; steal by R. Sessions),4,0
9,1,10:36.0,O. Porter makes 3-pt jump shot from 25 ft (assist by R. Sessions),,7,0
10,1,10:17.0,,S. Larkin misses 3-pt jump shot from 24 ft,7,0
11,1,10:16.0,Defensive rebound by J. Dudley,,7,0
12,1,10:10.0,M. Thornton makes 2-pt layup from 2 ft,,9,0
13,1,10:10.0,Shooting foul by C. McCullough (drawn by M. Thornton),,9,0
14,1,10:10.0,,Brooklyn full timeout,9,0
15,1,10:10.0,M. Thornton makes free throw 1 of 1,,10,0
16,1,9:47.0,,W. Ellington misses 3-pt jump shot from 24 ft,10,0
17,1,9:46.0,Defensive rebound by J. Dudley,,10,0
18,1,9:39.0,R. Sessions makes 2-pt jump shot from 9 ft,,12,0
19,1,9:27.0,,Personal foul by O. Porter,12,0
20,1,9:27.0,,D. Sloan enters the game for S. Larkin,12,0
21,1,9:27.0,,M. Brown enters the game for W. Ellington,12,0
22,1,9:27.0,,S. Kilpatrick enters the game for H. Sims,12,0
23,1,9:21.0,,S. Kilpatrick misses 3-pt jump shot from 26 ft,12,0
24,1,9:20.0,Defensive rebound by Team,,12,0
25,1,9:04.0,M. Thornton makes 2-pt layup from 2 ft (assist by J. Dudley),,14,0
26,1,8:48.0,,M. Brown misses 2-pt jump shot from 19 ft,14,0
27,1,8:47.0,Defensive rebound by M. Gortat,,14,0
28,1,8:41.0,R. Sessions makes 2-pt jump shot from 10 ft,,16,0
29,1,8:18.0,,D. Sloan misses 2-pt jump shot from 8 ft,16,0
30,1,8:17.0,Defensive rebound by M. Gortat,,16,0
31,1,8:12.0,O. Porter makes 2-pt layup from 2 ft (assist by R. Sessions),,18,0
32,1,8:12.0,,Brooklyn full timeout,18,0
33,1,8:12.0,,R. Hollis-Jefferson enters the game for B. Bogdanović,18,0
34,1,7:59.0,,M. Brown misses 2-pt jump shot from 13 ft,18,0
35,1,7:58.0,Defensive rebound by O. Porter,,18,0
36,1,7:51.0,M. Gortat makes 2-pt layup from 2 ft (assist by R. Sessions),,20,0
37,1,7:31.0,,C. McCullough makes 3-pt jump shot from 27 ft (assist by M. Brown),20,3
38,1,7:10.0,M. Gortat misses 2-pt jump shot from 7 ft (block by C. McCullough),,20,3
39,1,7:08.0,,Defensive rebound by R. Hollis-Jefferson,20,3
40,1,7:00.0,,C. McCullough misses 2-pt jump shot from 19 ft,20,3
41,1,6:59.0,,Offensive rebound by C. McCullough,20,3
42,1,6:58.0,,Turnover by C. McCullough (lost ball; steal by J. Dudley),20,3
43,1,6:52.0,M. Thornton misses 3-pt jump shot from 25 ft,,20,3
44,1,6:51.0,Offensive rebound by J. Dudley,,20,3
45,1,6:50.0,J. Dudley makes 2-pt layup from 2 ft,,22,3
46,1,6:32.0,,R. Hollis-Jefferson misses 2-pt layup from 1 ft,22,3
47,1,6:31.0,,Offensive rebound by R. Hollis-Jefferson,22,3
48,1,6:29.0,,S. Kilpatrick misses 3-pt jump shot from 23 ft,22,3
49,1,6:28.0,,Offensive rebound by C. McCullough,22,3
50,1,6:27.0,,Shooting foul by J. Dudley (drawn by R. Hollis-Jefferson),22,3
51,1,6:27.0,,R. Hollis-Jefferson makes free throw 1 of 2,22,4
52,1,6:27.0,,R. Hollis-Jefferson makes free throw 2 of 2,22,5
53,1,6:09.0,Turnover by M. Gortat (bad pass; steal by R. Hollis-Jefferson),,22,5
54,1,6:05.0,,S. Kilpatrick makes 2-pt layup from 1 ft (assist by R. Hollis-Jefferson),22,7
55,1,5:48.0,Turnover by M. Gortat (lost ball; steal by S. Kilpatrick),,22,7
56,1,5:44.0,,C. McCullough makes 2-pt dunk at rim (assist by S. Kilpatrick),22,9
57,1,5:42.0,,Technical foul by M. Brown,22,9
58,1,5:42.0,Technical foul by R. Sessions,,22,9
59,1,5:27.0,Turnover by R. Sessions (bad pass),,22,9
60,1,5:27.0,,H. Sims enters the game for C. McCullough,22,9
61,1,5:14.0,,H. Sims misses 2-pt hook shot from 8 ft,22,9
