,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,NEW ORLEANS_ACTION,MINNESOTA_SCORE,NEW ORLEANS_SCORE
0,1,11:44.0,A. Wiggins makes 2-pt layup from 1 ft (assist by R. Rubio),,2,0
1,1,11:31.0,,Turnover by D. Cunningham (bad pass),2,0
2,1,11:18.0,R. Rubio misses 3-pt jump shot from 25 ft,,2,0
3,1,11:16.0,,Defensive rebound by R. Anderson,2,0
4,1,11:07.0,,R. Anderson misses 3-pt jump shot from 25 ft,2,0
5,1,11:06.0,Defensive rebound by Z. LaVine,,2,0
6,1,10:57.0,Shooting foul by N. Cole (drawn by R. Rubio),,2,0
7,1,10:57.0,R. Rubio makes free throw 1 of 2,,3,0
8,1,10:57.0,,A. Gee enters the game for D. Cunningham,3,0
9,1,10:57.0,R. Rubio makes free throw 2 of 2,,4,0
10,1,10:43.0,,Shooting foul by K. Towns (drawn by R. Anderson),4,0
11,1,10:43.0,,R. Anderson makes free throw 1 of 2,4,1
12,1,10:43.0,,D. Cunningham enters the game for A. Gee,4,1
13,1,10:43.0,,R. Anderson makes free throw 2 of 2,4,2
14,1,10:26.0,K. Towns makes 2-pt layup from 1 ft,,6,2
15,1,10:19.0,,E. Gordon makes 2-pt layup from 1 ft (assist by N. Cole),6,4
16,1,10:02.0,Z. LaVine makes 2-pt jump shot from 20 ft (assist by G. Dieng),,8,4
17,1,9:41.0,,E. Gordon misses 2-pt layup from 2 ft,8,4
18,1,9:40.0,Defensive rebound by A. Wiggins,,8,4
19,1,9:26.0,G. Dieng makes 2-pt hook shot from 6 ft (assist by A. Wiggins),,10,4
20,1,9:10.0,,R. Anderson makes 3-pt jump shot from 24 ft (assist by N. Cole),10,7
21,1,8:45.0,G. Dieng makes 2-pt dunk at rim (assist by Z. LaVine),,12,7
22,1,8:32.0,,A. Ajinça misses 2-pt jump shot from 19 ft,12,7
23,1,8:32.0,Defensive rebound by G. Dieng,,12,7
24,1,8:22.0,G. Dieng misses 2-pt jump shot from 17 ft,,12,7
25,1,8:21.0,,Defensive rebound by N. Cole,12,7
26,1,8:16.0,,D. Cunningham misses 2-pt jump shot from 8 ft,12,7
27,1,8:15.0,Defensive rebound by K. Towns,,12,7
28,1,8:01.0,A. Wiggins misses 3-pt jump shot from 23 ft,,12,7
29,1,7:58.0,,Defensive rebound by N. Cole,12,7
30,1,7:52.0,,R. Anderson misses 3-pt jump shot from 25 ft,12,7
31,1,7:51.0,Defensive rebound by K. Towns,,12,7
32,1,7:42.0,R. Rubio misses 2-pt layup from 1 ft,,12,7
33,1,7:41.0,,Defensive rebound by N. Cole,12,7
34,1,7:30.0,,N. Cole misses 2-pt jump shot from 21 ft,12,7
35,1,7:29.0,Defensive rebound by K. Towns,,12,7
36,1,7:16.0,Turnover by Z. LaVine (step out of bounds),,12,7
37,1,7:05.0,,E. Gordon misses 3-pt jump shot from 22 ft,12,7
38,1,7:04.0,Defensive rebound by R. Rubio,,12,7
39,1,6:52.0,K. Towns makes 2-pt jump shot from 19 ft (assist by R. Rubio),,14,7
40,1,6:45.0,,E. Gordon makes 2-pt layup from 1 ft,14,9
41,1,6:37.0,Minnesota full timeout,,14,9
42,1,6:37.0,,J. Holiday enters the game for D. Cunningham,14,9
43,1,6:30.0,A. Wiggins misses 2-pt jump shot from 17 ft,,14,9
44,1,6:29.0,,Defensive rebound by A. Ajinça,14,9
45,1,6:13.0,,E. Gordon misses 3-pt jump shot from 24 ft,14,9
46,1,6:12.0,,Offensive rebound by Team,14,9
47,1,6:07.0,,R. Anderson makes 2-pt layup from 2 ft (assist by E. Gordon),14,11
48,1,5:53.0,Personal foul by A. Ajinça (drawn by K. Towns),,14,11
49,1,5:48.0,K. Towns makes 2-pt jump shot from 19 ft (assist by A. Wiggins),,16,11
