,QUARTER,TIME_REMAINING,DETROIT_ACTION,MILWAUKEE_ACTION,DETROIT_SCORE,MILWAUKEE_SCORE
0,1,11:42.0,A. Drummond makes 2-pt hook shot from 5 ft (assist by R. Jackson),,2,0
1,1,11:23.0,,J. Parker makes 2-pt hook shot from 5 ft (assist by K. Middleton),2,2
2,1,11:09.0,E. İlyasova misses 3-pt jump shot from 27 ft,,2,2
3,1,11:07.0,,Defensive rebound by M. Carter-Williams,2,2
4,1,11:01.0,,J. Parker misses 2-pt hook shot from 2 ft,2,2
5,1,11:00.0,Defensive rebound by A. Drummond,,2,2
6,1,10:41.0,Turnover by M. Morris (bad pass; steal by K. Middleton),,2,2
7,1,10:37.0,,K. Middleton makes 2-pt layup from 2 ft,2,4
8,1,10:08.0,R. Jackson makes 2-pt jump shot from 14 ft,,4,4
9,1,10:08.0,Violation by Team (delay of game),,4,4
10,1,9:52.0,,G. Monroe makes 2-pt layup at rim (assist by G. Antetokounmpo),4,6
11,1,9:38.0,E. İlyasova misses 2-pt jump shot from 19 ft,,4,6
12,1,9:36.0,Offensive rebound by A. Drummond,,4,6
13,1,9:34.0,A. Drummond misses 2-pt layup from 2 ft (block by J. Parker),,4,6
14,1,9:34.0,Offensive rebound by Team,,4,6
15,1,9:30.0,R. Jackson misses 2-pt layup from 1 ft,,4,6
16,1,9:29.0,Offensive rebound by A. Drummond,,4,6
17,1,9:14.0,A. Drummond makes 2-pt hook shot from 10 ft (assist by R. Jackson),,6,6
18,1,8:56.0,,G. Antetokounmpo misses 2-pt jump shot from 18 ft,6,6
19,1,8:55.0,,Offensive rebound by M. Carter-Williams,6,6
20,1,8:51.0,,M. Carter-Williams misses 2-pt layup from 1 ft,6,6
21,1,8:48.0,,Offensive rebound by M. Carter-Williams,6,6
22,1,8:48.0,,M. Carter-Williams misses 2-pt layup at rim,6,6
23,1,8:47.0,,Offensive rebound by G. Monroe,6,6
24,1,8:47.0,,G. Monroe makes 2-pt layup from 1 ft,6,8
25,1,8:34.0,A. Drummond makes 2-pt dunk at rim (assist by M. Morris),,8,8
26,1,8:17.0,,G. Antetokounmpo misses 2-pt jump shot from 5 ft,8,8
27,1,8:16.0,Defensive rebound by M. Morris,,8,8
28,1,7:55.0,A. Drummond makes 2-pt layup at rim (assist by R. Jackson),,10,8
29,1,7:42.0,,G. Monroe misses 2-pt jump shot from 17 ft,10,8
30,1,7:41.0,Defensive rebound by M. Morris,,10,8
31,1,7:35.0,Turnover by R. Jackson (bad pass; steal by G. Monroe),,10,8
32,1,7:27.0,,M. Carter-Williams makes 2-pt jump shot from 14 ft (assist by G. Antetokounmpo),10,10
33,1,6:54.0,K. Caldwell-Pope makes 3-pt jump shot from 24 ft (assist by E. İlyasova),,13,10
34,1,6:41.0,,M. Carter-Williams makes 2-pt layup at rim (assist by G. Antetokounmpo),13,12
35,1,6:34.0,Detroit full timeout,,13,12
36,1,6:34.0,,J. O'Bryant enters the game for J. Parker,13,12
37,1,6:17.0,R. Jackson misses 3-pt jump shot from 26 ft,,13,12
38,1,6:16.0,,Defensive rebound by G. Antetokounmpo,13,12
39,1,5:56.0,,M. Carter-Williams makes 2-pt jump shot from 7 ft,13,14
40,1,5:44.0,Shooting foul by G. Antetokounmpo (drawn by A. Drummond),,13,14
41,1,5:44.0,A. Drummond misses free throw 1 of 2,,13,14
42,1,5:44.0,Offensive rebound by Team,,13,14
43,1,5:44.0,A. Drummond makes free throw 2 of 2,,14,14
44,1,5:28.0,,M. Carter-Williams misses 2-pt jump shot from 6 ft,14,14
45,1,5:26.0,Defensive rebound by A. Drummond,,14,14
46,1,5:18.0,Turnover by M. Morris (bad pass),,14,14
47,1,4:59.0,,G. Monroe misses 2-pt hook shot from 4 ft,14,14
48,1,4:58.0,Defensive rebound by A. Drummond,,14,14
49,1,4:49.0,E. İlyasova misses 3-pt jump shot from 23 ft,,14,14
50,1,4:48.0,,Defensive rebound by G. Monroe,14,14
51,1,4:40.0,,Shooting foul by A. Drummond (drawn by K. Middleton),14,14
52,1,4:40.0,,K. Middleton misses free throw 1 of 2,14,14
53,1,4:40.0,,Offensive rebound by Team,14,14
54,1,4:40.0,A. Tolliver enters the game for E. İlyasova,,14,14
55,1,4:40.0,,J. Henson enters the game for G. Monroe,14,14
56,1,4:40.0,,K. Middleton makes free throw 2 of 2,14,15
57,1,4:29.0,Def 3 sec tech foul by J. Henson,,14,15
58,1,4:29.0,K. Caldwell-Pope makes technical free throw,,15,15
59,1,4:23.0,Shooting foul by J. Henson (drawn by A. Drummond),,15,15
60,1,4:23.0,A. Drummond makes free throw 1 of 2,,16,15
61,1,4:23.0,A. Drummond makes free throw 2 of 2,,17,15
62,1,4:13.0,,Turnover by M. Carter-Williams (bad pass),17,15
63,1,4:01.0,M. Morris makes 2-pt jump shot from 15 ft (assist by R. Jackson),,19,15
64,1,3:46.0,,J. Henson makes 2-pt hook shot from 7 ft (assist by M. Carter-Williams),19,17
65,1,3:20.0,R. Jackson misses 2-pt hook shot from 12 ft,,19,17
66,1,3:19.0,,Defensive rebound by J. Henson,19,17
67,1,3:12.0,,Personal foul by A. Drummond (drawn by J. Henson),19,17
68,1,3:12.0,A. Baynes enters the game for A. Drummond,,19,17
69,1,3:07.0,,J. Henson misses 2-pt hook shot from 4 ft,19,17
70,1,3:04.0,Defensive rebound by M. Morris,,19,17
71,1,2:58.0,R. Jackson makes 2-pt layup from 1 ft,,21,17
72,1,2:44.0,,M. Carter-Williams makes 2-pt layup from 1 ft (assist by K. Middleton),21,19
73,1,2:32.0,Personal foul by G. Antetokounmpo (drawn by M. Morris),,21,19
74,1,2:32.0,,Milwaukee full timeout,21,19
75,1,2:32.0,,J. Bayless enters the game for G. Antetokounmpo,21,19
76,1,2:32.0,S. Dinwiddie enters the game for R. Jackson,,21,19
77,1,2:22.0,A. Baynes misses 2-pt hook shot from 1 ft,,21,19
78,1,2:21.0,,Defensive rebound by J. Bayless,21,19
79,1,2:10.0,,Personal foul by S. Dinwiddie (drawn by M. Carter-Williams),21,19
80,1,2:10.0,S. Johnson enters the game for M. Morris,,21,19
81,1,2:00.0,,Shooting foul by S. Johnson (drawn by K. Middleton),21,19
