,QUARTER,TIME_REMAINING,PHOENIX_ACTION,WASHINGTON_ACTION,PHOENIX_SCORE,WASHINGTON_SCORE
0,1,11:49.0,Personal foul by O. Porter (drawn by P. Tucker),,0,0
1,1,11:46.0,Turnover by A. Len (bad pass; steal by J. Wall),,0,0
2,1,11:38.0,,O. Porter misses 2-pt layup from 2 ft (block by A. Len),0,0
3,1,11:34.0,,Offensive rebound by J. Wall,0,0
4,1,11:33.0,,J. Wall misses 2-pt layup from 2 ft,0,0
5,1,11:22.0,,Offensive rebound by O. Porter,0,0
6,1,11:18.0,,J. Dudley misses 2-pt jump shot from 4 ft (block by A. Len),0,0
7,1,11:14.0,,Offensive rebound by Team,0,0
8,1,11:13.0,,Personal foul by A. Len (drawn by R. Hollins),0,0
9,1,11:09.0,,Personal foul by B. Knight (drawn by B. Beal),0,0
10,1,11:09.0,,B. Beal makes free throw 1 of 2,0,1
11,1,11:09.0,,B. Beal makes free throw 2 of 2,0,2
12,1,11:00.0,B. Knight makes 3-pt jump shot from 24 ft (assist by E. Bledsoe),,3,2
13,1,10:52.0,,J. Wall misses 2-pt jump shot from 15 ft,3,2
14,1,10:51.0,Defensive rebound by P. Tucker,,3,2
15,1,10:40.0,A. Len makes 2-pt jump shot from 9 ft,,5,2
16,1,10:25.0,,J. Dudley misses 2-pt jump shot from 21 ft,5,2
17,1,10:23.0,Defensive rebound by A. Len,,5,2
18,1,10:18.0,Turnover by B. Knight (lost ball),,5,2
19,1,9:57.0,,J. Dudley misses 2-pt jump shot from 20 ft,5,2
20,1,9:56.0,,Offensive rebound by O. Porter,5,2
21,1,9:54.0,,O. Porter misses 2-pt jump shot from 3 ft,5,2
22,1,9:52.0,Defensive rebound by E. Bledsoe,,5,2
23,1,9:45.0,J. Leuer makes 3-pt jump shot from 24 ft (assist by A. Len),,8,2
24,1,9:33.0,,O. Porter misses 2-pt jump shot from 20 ft,8,2
25,1,9:32.0,,Offensive rebound by R. Hollins,8,2
26,1,9:17.0,,J. Wall misses 2-pt jump shot from 3 ft,8,2
27,1,9:16.0,Defensive rebound by B. Knight,,8,2
28,1,8:53.0,A. Len makes 2-pt jump shot from 10 ft,,10,2
29,1,8:48.0,,Washington full timeout,10,2
30,1,8:29.0,,Turnover by J. Wall (lost ball),10,2
31,1,8:14.0,J. Leuer misses 3-pt jump shot from 25 ft,,10,2
32,1,8:13.0,,Defensive rebound by R. Hollins,10,2
33,1,8:06.0,,B. Beal makes 3-pt jump shot from 25 ft (assist by J. Wall),10,5
34,1,7:54.0,Turnover by E. Bledsoe (bad pass; steal by B. Beal),,10,5
35,1,7:45.0,,J. Dudley misses 3-pt jump shot from 23 ft,10,5
36,1,7:44.0,Defensive rebound by B. Knight,,10,5
37,1,7:38.0,J. Leuer makes 2-pt layup from 1 ft,,12,5
38,1,7:24.0,,O. Porter misses 2-pt jump shot from 14 ft,12,5
39,1,7:23.0,Defensive rebound by Team,,12,5
40,1,7:01.0,A. Len misses 3-pt jump shot from 23 ft,,12,5
41,1,7:00.0,,Defensive rebound by J. Wall,12,5
42,1,6:41.0,,B. Beal misses 2-pt jump shot from 16 ft,12,5
43,1,6:40.0,Defensive rebound by J. Leuer,,12,5
44,1,6:33.0,E. Bledsoe misses 2-pt jump shot from 18 ft,,12,5
45,1,6:32.0,,Defensive rebound by B. Beal,12,5
46,1,6:22.0,,R. Hollins makes 2-pt jump shot from 10 ft (assist by B. Beal),12,7
47,1,6:08.0,B. Knight makes 2-pt jump shot from 19 ft,,14,7
48,1,5:39.0,,J. Wall makes 3-pt jump shot from 25 ft (assist by B. Beal),14,10
49,1,5:28.0,P. Tucker makes 3-pt jump shot from 22 ft (assist by E. Bledsoe),,17,10
50,1,5:02.0,,J. Dudley misses 2-pt jump shot from 4 ft,17,10
51,1,5:01.0,Defensive rebound by J. Leuer,,17,10
52,1,4:53.0,B. Knight misses 2-pt jump shot from 3 ft,,17,10
53,1,4:50.0,Offensive rebound by E. Bledsoe,,17,10
54,1,4:47.0,E. Bledsoe misses 3-pt jump shot from 25 ft,,17,10
55,1,4:46.0,,Defensive rebound by B. Beal,17,10
56,1,4:39.0,,B. Beal misses 2-pt jump shot from 4 ft,17,10
57,1,4:39.0,Defensive rebound by Team,,17,10
58,1,4:39.0,,Loose ball foul by R. Hollins (drawn by J. Leuer),17,10
59,1,4:39.0,,D. Blair enters the game for J. Dudley,17,10
60,1,4:39.0,,G. Temple enters the game for R. Hollins,17,10
61,1,4:39.0,D. Booker enters the game for A. Len,,17,10
62,1,4:39.0,M. Morris enters the game for B. Knight,,17,10
63,1,4:30.0,M. Morris misses 2-pt jump shot from 13 ft,,17,10
64,1,4:29.0,,Defensive rebound by B. Beal,17,10
65,1,4:20.0,,J. Wall makes 3-pt jump shot from 25 ft,17,13
66,1,3:58.0,E. Bledsoe makes 2-pt jump shot from 21 ft (assist by P. Tucker),,19,13
67,1,3:42.0,,B. Beal makes 3-pt jump shot from 25 ft (assist by D. Blair),19,16
68,1,3:27.0,Turnover by E. Bledsoe (lost ball),,19,16
69,1,3:23.0,,Turnover by O. Porter (traveling),19,16
70,1,3:10.0,Phoenix full timeout,,19,16
71,1,3:06.0,M. Morris makes 2-pt jump shot from 21 ft (assist by E. Bledsoe),,21,16
72,1,2:47.0,,B. Beal misses 2-pt jump shot from 18 ft,21,16
73,1,2:46.0,Defensive rebound by P. Tucker,,21,16
74,1,2:40.0,J. Leuer makes 2-pt layup from 1 ft (assist by E. Bledsoe),,23,16
75,1,2:40.0,Shooting foul by D. Blair (drawn by J. Leuer),,23,16
76,1,2:40.0,,G. Neal enters the game for B. Beal,23,16
77,1,2:40.0,J. Leuer misses free throw 1 of 1,,23,16
78,1,2:39.0,,Defensive rebound by G. Temple,23,16
79,1,2:32.0,,Personal foul by E. Bledsoe (drawn by J. Wall),23,16
80,1,2:28.0,,Turnover by G. Neal (bad pass; steal by E. Bledsoe),23,16
81,1,2:09.0,Turnover by M. Morris (bad pass; steal by J. Wall),,23,16
82,1,2:01.0,,O. Porter misses 3-pt jump shot from 23 ft,23,16
83,1,1:59.0,,Offensive rebound by D. Blair,23,16
84,1,1:58.0,,O. Porter makes 2-pt jump shot from 3 ft (assist by D. Blair),23,18
85,1,1:42.0,D. Booker makes 2-pt layup from 1 ft,,25,18
86,1,1:26.0,,O. Porter makes 2-pt jump shot from 9 ft,25,20
87,1,1:13.0,M. Morris misses 2-pt jump shot from 3 ft,,25,20
88,1,1:12.0,Offensive rebound by M. Morris,,25,20
89,1,1:10.0,M. Morris misses 2-pt jump shot from 5 ft,,25,20
90,1,1:09.0,,Defensive rebound by O. Porter,25,20
91,1,0:52.0,,O. Porter misses 2-pt jump shot from 6 ft,25,20
92,1,0:52.0,Defensive rebound by M. Morris,,25,20
