,QUARTER,TIME_REMAINING,MIAMI_ACTION,PHILADELPHIA_ACTION,MIAMI_SCORE,PHILADELPHIA_SCORE
0,1,11:40.0,Turnover by A. Stoudemire (bad pass; steal by R. Covington),,0,0
1,1,11:32.0,,Turnover by I. Smith (bad pass; steal by A. Stoudemire),0,0
2,1,11:29.0,Turnover by D. Wade (bad pass; steal by I. Smith),,0,0
3,1,11:16.0,,Turnover by I. Smith (bad pass),0,0
4,1,11:07.0,Personal foul by I. Smith (drawn by L. Deng),,0,0
5,1,10:59.0,G. Dragić makes 2-pt jump shot from 15 ft (assist by L. Deng),,2,0
6,1,10:49.0,,C. Landry misses 2-pt jump shot from 18 ft,2,0
7,1,10:48.0,Defensive rebound by D. Wade,,2,0
8,1,10:41.0,D. Wade misses 2-pt jump shot from 17 ft,,2,0
9,1,10:40.0,,Defensive rebound by I. Smith,2,0
10,1,10:35.0,,Turnover by R. Covington (lost ball; steal by D. Wade),2,0
11,1,10:29.0,G. Dragić misses 2-pt layup at rim,,2,0
12,1,10:27.0,Offensive rebound by L. Deng,,2,0
13,1,10:20.0,J. Johnson makes 2-pt layup from 2 ft,,4,0
14,1,10:20.0,Shooting foul by H. Thompson (drawn by J. Johnson),,4,0
15,1,10:20.0,J. Johnson makes free throw 1 of 1,,5,0
16,1,10:10.0,,R. Covington makes 2-pt jump shot from 17 ft (assist by C. Landry),5,2
17,1,9:55.0,Shooting foul by C. Landry (drawn by A. Stoudemire),,5,2
18,1,9:55.0,A. Stoudemire makes free throw 1 of 2,,6,2
19,1,9:55.0,A. Stoudemire makes free throw 2 of 2,,7,2
20,1,9:46.0,,H. Thompson misses 2-pt layup from 2 ft,7,2
21,1,9:44.0,Defensive rebound by A. Stoudemire,,7,2
22,1,9:38.0,J. Johnson makes 3-pt jump shot from 26 ft (assist by G. Dragić),,10,2
23,1,9:24.0,,R. Covington misses 3-pt jump shot from 24 ft,10,2
24,1,9:23.0,Defensive rebound by Team,,10,2
25,1,9:11.0,A. Stoudemire makes 2-pt jump shot from 18 ft (assist by G. Dragić),,12,2
26,1,9:11.0,,Philadelphia full timeout,12,2
27,1,8:56.0,,H. Thompson misses 3-pt jump shot from 23 ft,12,2
28,1,8:55.0,Defensive rebound by L. Deng,,12,2
29,1,8:46.0,A. Stoudemire makes 2-pt dunk at rim (assist by D. Wade),,14,2
30,1,8:29.0,,R. Covington misses 2-pt layup from 2 ft,14,2
31,1,8:29.0,Defensive rebound by Team,,14,2
32,1,8:15.0,G. Dragić makes 2-pt jump shot from 16 ft,,16,2
33,1,8:09.0,,I. Smith makes 2-pt layup from 1 ft,16,4
34,1,7:58.0,A. Stoudemire makes 2-pt layup from 2 ft (assist by D. Wade),,18,4
35,1,7:58.0,Shooting foul by C. Landry (drawn by A. Stoudemire),,18,4
36,1,7:58.0,H. Whiteside enters the game for A. Stoudemire,,18,4
37,1,7:58.0,A. Stoudemire misses free throw 1 of 1,,18,4
38,1,7:58.0,,Defensive rebound by C. Landry,18,4
39,1,7:39.0,,J. Grant misses 2-pt hook shot from 3 ft,18,4
40,1,7:37.0,Defensive rebound by L. Deng,,18,4
41,1,7:25.0,D. Wade makes 2-pt jump shot from 13 ft,,20,4
42,1,7:12.0,,I. Smith misses 2-pt jump shot from 15 ft,20,4
43,1,7:10.0,,Offensive rebound by J. Grant,20,4
44,1,7:09.0,,H. Thompson makes 3-pt jump shot from 23 ft (assist by J. Grant),20,7
45,1,6:45.0,D. Wade misses 2-pt jump shot from 16 ft,,20,7
46,1,6:43.0,Offensive rebound by L. Deng,,20,7
47,1,6:42.0,Shooting foul by J. Grant (drawn by L. Deng),,20,7
48,1,6:42.0,L. Deng makes free throw 1 of 2,,21,7
49,1,6:42.0,,R. Holmes enters the game for C. Landry,21,7
50,1,6:42.0,L. Deng makes free throw 2 of 2,,22,7
51,1,6:35.0,,I. Smith makes 3-pt jump shot from 24 ft,22,10
52,1,6:20.0,H. Whiteside makes 2-pt dunk at rim (assist by D. Wade),,24,10
53,1,6:09.0,,R. Covington misses 3-pt jump shot from 25 ft,24,10
54,1,6:08.0,Defensive rebound by G. Dragić,,24,10
55,1,6:03.0,G. Dragić misses 2-pt layup from 2 ft (block by H. Thompson),,24,10
56,1,6:03.0,Offensive rebound by Team,,24,10
57,1,6:03.0,J. Richardson enters the game for G. Dragić,,24,10
58,1,6:03.0,J. Winslow enters the game for L. Deng,,24,10
59,1,6:03.0,,I. Canaan enters the game for H. Thompson,24,10
60,1,5:56.0,Turnover by J. Winslow (lost ball; steal by I. Canaan),,24,10
