,QUARTER,TIME_REMAINING,DETROIT_ACTION,NEW ORLEANS_ACTION,DETROIT_SCORE,NEW ORLEANS_SCORE
0,1,11:45.0,K. Caldwell-Pope misses 2-pt jump shot from 22 ft,,0,0
1,1,11:44.0,,Defensive rebound by N. Cole,0,0
2,1,11:33.0,,T. Evans misses 2-pt layup at rim,0,0
3,1,11:32.0,,Offensive rebound by T. Evans,0,0
4,1,11:31.0,,T. Evans makes 2-pt layup at rim,0,2
5,1,11:17.0,E. İlyasova misses 2-pt jump shot from 18 ft (block by A. Davis),,0,2
6,1,11:17.0,Offensive rebound by Team,,0,2
7,1,11:02.0,A. Drummond misses 2-pt layup from 1 ft,,0,2
8,1,10:59.0,Offensive rebound by E. İlyasova,,0,2
9,1,10:59.0,E. İlyasova makes 2-pt layup from 1 ft,,2,2
10,1,10:47.0,,Shooting foul by K. Caldwell-Pope (drawn by Ö. Aşık),2,2
11,1,10:47.0,,Ö. Aşık makes free throw 1 of 2,2,3
12,1,10:47.0,,Ö. Aşık makes free throw 2 of 2,2,4
13,1,10:32.0,M. Morris misses 2-pt jump shot from 16 ft,,2,4
14,1,10:32.0,,Defensive rebound by N. Cole,2,4
15,1,10:19.0,,Def 3 sec tech foul by A. Drummond,2,4
16,1,10:19.0,,A. Davis makes technical free throw,2,5
17,1,10:11.0,,Ö. Aşık misses 2-pt layup from 2 ft,2,5
18,1,10:10.0,Defensive rebound by A. Drummond,,2,5
19,1,10:01.0,A. Drummond makes 2-pt layup from 1 ft (assist by R. Jackson),,4,5
20,1,9:50.0,,N. Cole makes 2-pt jump shot from 14 ft (assist by T. Evans),4,7
21,1,9:32.0,R. Jackson misses 3-pt jump shot from 23 ft,,4,7
22,1,9:31.0,,Defensive rebound by A. Davis,4,7
23,1,9:25.0,,N. Cole makes 2-pt dunk at rim,4,9
24,1,9:17.0,Detroit full timeout,,4,9
25,1,9:05.0,K. Caldwell-Pope makes 3-pt jump shot from 23 ft (assist by R. Jackson),,7,9
26,1,8:51.0,,A. Davis makes 2-pt jump shot from 15 ft (assist by N. Cole),7,11
27,1,8:26.0,E. İlyasova misses 3-pt jump shot from 24 ft,,7,11
28,1,8:25.0,,Defensive rebound by N. Cole,7,11
29,1,8:15.0,,Ö. Aşık makes 2-pt layup from 1 ft (assist by N. Cole),7,13
30,1,7:55.0,A. Drummond makes 2-pt layup from 1 ft,,9,13
31,1,7:41.0,,N. Cole misses 2-pt jump shot from 20 ft,9,13
32,1,7:40.0,Defensive rebound by M. Morris,,9,13
33,1,7:32.0,M. Morris makes 2-pt jump shot from 15 ft,,11,13
34,1,7:13.0,,T. Evans makes 2-pt layup from 2 ft,11,15
35,1,7:00.0,R. Jackson makes 2-pt jump shot from 4 ft,,13,15
36,1,6:49.0,,A. Davis misses 3-pt jump shot from 24 ft,13,15
37,1,6:48.0,Defensive rebound by A. Drummond,,13,15
38,1,6:43.0,Turnover by R. Jackson (lost ball),,13,15
39,1,6:29.0,,T. Evans makes 3-pt jump shot from 24 ft,13,18
40,1,6:08.0,M. Morris misses 2-pt layup from 2 ft,,13,18
41,1,6:07.0,,Defensive rebound by Ö. Aşık,13,18
42,1,6:01.0,,N. Cole misses 2-pt layup from 2 ft,13,18
43,1,6:00.0,Defensive rebound by E. İlyasova,,13,18
44,1,5:54.0,R. Jackson misses 2-pt jump shot from 6 ft,,13,18
45,1,5:52.0,Offensive rebound by A. Drummond,,13,18
46,1,5:50.0,A. Drummond misses 2-pt hook shot from 1 ft,,13,18
47,1,5:49.0,,Defensive rebound by T. Evans,13,18
48,1,5:39.0,,A. Davis makes 2-pt dunk at rim (assist by T. Evans),13,20
