,QUARTER,TIME_REMAINING,PORTLAND_ACTION,BOSTON_ACTION,PORTLAND_SCORE,BOSTON_SCORE
0,1,11:37.0,N. Vonleh makes 2-pt hook shot from 6 ft,,2,0
1,1,11:14.0,,J. Crowder makes 2-pt jump shot from 18 ft (assist by A. Johnson),2,2
2,1,10:54.0,A. Aminu makes 2-pt jump shot from 16 ft (assist by D. Lillard),,4,2
3,1,10:43.0,,J. Sullinger misses 2-pt jump shot from 19 ft,4,2
4,1,10:41.0,Defensive rebound by D. Lillard,,4,2
5,1,10:23.0,A. Aminu misses 3-pt jump shot from 24 ft,,4,2
6,1,10:23.0,,Defensive rebound by A. Johnson,4,2
7,1,10:17.0,Violation by M. Plumlee (def goaltending),,4,2
8,1,10:17.0,,I. Thomas makes 2-pt layup from 2 ft,4,4
9,1,9:59.0,C. McCollum makes 3-pt jump shot from 22 ft,,7,4
10,1,9:44.0,,I. Thomas misses 2-pt layup from 2 ft (block by D. Lillard),7,4
11,1,9:43.0,,Offensive rebound by Team,7,4
12,1,9:34.0,,Turnover by J. Sullinger (traveling),7,4
13,1,9:20.0,D. Lillard makes 2-pt jump shot from 17 ft,,9,4
14,1,9:18.0,,Boston full timeout,9,4
15,1,9:04.0,,A. Bradley misses 3-pt jump shot from 25 ft,9,4
16,1,9:03.0,,Offensive rebound by J. Sullinger,9,4
17,1,8:58.0,,J. Crowder makes 3-pt jump shot from 26 ft (assist by J. Sullinger),9,7
18,1,8:40.0,M. Plumlee makes 2-pt dunk at rim (assist by C. McCollum),,11,7
19,1,8:27.0,,A. Johnson makes 2-pt dunk at rim (assist by I. Thomas),11,9
20,1,8:08.0,C. McCollum makes 3-pt jump shot from 25 ft (assist by M. Plumlee),,14,9
21,1,7:39.0,,I. Thomas makes 3-pt jump shot from 25 ft,14,12
22,1,7:19.0,N. Vonleh misses 2-pt jump shot from 5 ft (block by A. Johnson),,14,12
23,1,7:18.0,Offensive rebound by N. Vonleh,,14,12
24,1,7:17.0,N. Vonleh makes 2-pt layup from 1 ft,,16,12
25,1,7:09.0,,I. Thomas misses 3-pt jump shot from 25 ft,16,12
26,1,7:08.0,Defensive rebound by M. Plumlee,,16,12
27,1,7:02.0,Turnover by M. Plumlee (bad pass; steal by A. Bradley),,16,12
28,1,6:50.0,,A. Johnson misses 2-pt hook shot from 10 ft,16,12
29,1,6:49.0,,Offensive rebound by J. Sullinger,16,12
30,1,6:46.0,,Turnover by J. Sullinger (lost ball; steal by M. Plumlee),16,12
31,1,6:41.0,D. Lillard misses 3-pt jump shot from 25 ft,,16,12
32,1,6:36.0,Offensive rebound by D. Lillard,,16,12
33,1,6:25.0,C. McCollum makes 2-pt jump shot from 7 ft,,18,12
34,1,6:18.0,,I. Thomas makes 2-pt layup at rim,18,14
35,1,6:02.0,N. Vonleh misses 3-pt jump shot from 25 ft,,18,14
36,1,6:01.0,Offensive rebound by M. Plumlee,,18,14
37,1,5:59.0,Shooting foul by A. Johnson (drawn by N. Vonleh),,18,14
38,1,5:59.0,N. Vonleh misses free throw 1 of 2,,18,14
39,1,5:59.0,Offensive rebound by Team,,18,14
40,1,5:59.0,,M. Smart enters the game for A. Bradley,18,14
41,1,5:59.0,,E. Turner enters the game for A. Johnson,18,14
42,1,5:59.0,N. Vonleh misses free throw 2 of 2,,18,14
43,1,5:59.0,,Defensive rebound by M. Smart,18,14
44,1,5:42.0,,I. Thomas misses 2-pt layup from 1 ft,18,14
45,1,5:41.0,,Offensive rebound by J. Sullinger,18,14
46,1,5:41.0,,J. Sullinger misses 2-pt layup at rim,18,14
47,1,5:39.0,Defensive rebound by A. Aminu,,18,14
48,1,5:36.0,Turnover by A. Aminu (lost ball),,18,14
49,1,5:36.0,A. Crabbe enters the game for C. McCollum,,18,14
50,1,5:26.0,,J. Crowder misses 2-pt jump shot from 11 ft,18,14
51,1,5:25.0,Defensive rebound by M. Plumlee,,18,14
52,1,5:14.0,M. Plumlee makes 2-pt dunk at rim (assist by A. Aminu),,20,14
53,1,5:03.0,,Turnover by M. Smart (bad pass; steal by A. Aminu),20,14
54,1,4:57.0,A. Crabbe makes 3-pt jump shot from 24 ft (assist by A. Aminu),,23,14
55,1,4:30.0,,J. Sullinger misses 2-pt layup at rim,23,14
56,1,4:28.0,,Offensive rebound by M. Smart,23,14
57,1,4:24.0,,M. Smart misses 2-pt layup at rim (block by M. Plumlee),23,14
58,1,4:23.0,,Offensive rebound by J. Sullinger,23,14
59,1,4:23.0,,J. Sullinger makes 2-pt layup at rim,23,16
60,1,4:02.0,D. Lillard makes 3-pt jump shot from 25 ft,,26,16
61,1,3:53.0,,Personal foul by D. Lillard (drawn by J. Crowder),26,16
62,1,3:53.0,M. Harkless enters the game for A. Aminu,,26,16
63,1,3:53.0,G. Henderson enters the game for N. Vonleh,,26,16
