,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,DETROIT_ACTION,MILWAUKEE_SCORE,DETROIT_SCORE
0,1,11:37.0,,Personal foul by J. Bayless (drawn by R. Jackson),0,0
1,1,11:24.0,,E. İlyasova makes 2-pt jump shot from 17 ft (assist by K. Caldwell-Pope),0,2
2,1,11:03.0,O. Mayo misses 2-pt jump shot from 7 ft,,0,2
3,1,11:02.0,,Defensive rebound by E. İlyasova,0,2
4,1,10:57.0,,Personal foul by G. Antetokounmpo (drawn by A. Drummond),0,2
5,1,10:47.0,,M. Morris misses 3-pt jump shot from 24 ft,0,2
6,1,10:47.0,Defensive rebound by G. Antetokounmpo,,0,2
7,1,10:29.0,G. Monroe makes 2-pt jump shot from 16 ft (assist by J. Bayless),,2,2
8,1,10:15.0,,E. İlyasova misses 2-pt jump shot from 18 ft,2,2
9,1,10:14.0,Defensive rebound by G. Monroe,,2,2
10,1,10:06.0,K. Middleton misses 3-pt jump shot from 22 ft,,2,2
11,1,10:06.0,,Defensive rebound by K. Caldwell-Pope,2,2
12,1,9:43.0,,E. İlyasova makes 2-pt jump shot from 20 ft (assist by R. Jackson),2,4
13,1,9:27.0,G. Monroe misses 2-pt jump shot from 9 ft,,2,4
14,1,9:27.0,,Defensive rebound by R. Jackson,2,4
15,1,9:07.0,,M. Morris makes 2-pt layup from 1 ft,2,6
16,1,8:48.0,J. Bayless makes 3-pt jump shot from 27 ft (assist by O. Mayo),,5,6
17,1,8:25.0,,R. Jackson misses 2-pt layup at rim,5,6
18,1,8:24.0,Defensive rebound by J. Bayless,,5,6
19,1,8:12.0,G. Antetokounmpo misses 2-pt jump shot from 17 ft,,5,6
20,1,8:11.0,,Defensive rebound by A. Drummond,5,6
21,1,8:01.0,,M. Morris makes 2-pt jump shot from 15 ft,5,8
22,1,7:47.0,J. Bayless misses 3-pt jump shot from 27 ft,,5,8
23,1,7:47.0,,Defensive rebound by A. Drummond,5,8
24,1,7:23.0,,K. Caldwell-Pope misses 2-pt jump shot from 6 ft,5,8
25,1,7:16.0,Defensive rebound by G. Monroe,,5,8
26,1,7:12.0,J. Bayless misses 3-pt jump shot from 23 ft,,5,8
27,1,7:11.0,,Defensive rebound by A. Drummond,5,8
28,1,7:08.0,Violation by G. Monroe (def goaltending),,5,8
29,1,7:08.0,,A. Drummond makes 2-pt layup at rim (assist by R. Jackson),5,10
30,1,6:52.0,G. Monroe misses 2-pt jump shot from 17 ft,,5,10
31,1,6:51.0,,Defensive rebound by A. Drummond,5,10
32,1,6:30.0,,M. Morris misses 2-pt jump shot from 4 ft (block by G. Monroe),5,10
33,1,6:28.0,Defensive rebound by J. Bayless,,5,10
34,1,6:17.0,K. Middleton misses 2-pt jump shot from 8 ft,,5,10
35,1,6:16.0,,Defensive rebound by E. İlyasova,5,10
36,1,6:06.0,,A. Drummond misses 2-pt hook shot from 5 ft,5,10
37,1,6:05.0,Defensive rebound by G. Antetokounmpo,,5,10
38,1,5:56.0,,Offensive charge foul by G. Antetokounmpo (drawn by E. İlyasova),5,10
