,QUARTER,TIME_REMAINING,BOSTON_ACTION,PORTLAND_ACTION,BOSTON_SCORE,PORTLAND_SCORE
0,1,11:42.0,,M. Plumlee misses 2-pt hook shot from 9 ft,0,0
1,1,11:42.0,Defensive rebound by J. Crowder,,0,0
2,1,11:31.0,Turnover by I. Thomas (bad pass),,0,0
3,1,11:17.0,,Personal foul by A. Johnson,0,0
4,1,11:07.0,,Turnover by M. Harkless (bad pass; steal by J. Crowder),0,0
5,1,11:00.0,I. Thomas makes 3-pt jump shot from 24 ft (assist by J. Crowder),,3,0
6,1,10:45.0,,Turnover by C. McCollum (bad pass; steal by J. Sullinger),3,0
7,1,10:35.0,A. Bradley makes 2-pt jump shot from 20 ft,,5,0
8,1,10:21.0,,D. Lillard misses 3-pt jump shot from 26 ft,5,0
9,1,10:21.0,Defensive rebound by J. Crowder,,5,0
10,1,10:05.0,J. Crowder misses 3-pt jump shot from 24 ft,,5,0
11,1,10:05.0,,Defensive rebound by Team,5,0
12,1,9:46.0,,A. Aminu misses 3-pt jump shot from 23 ft,5,0
13,1,9:46.0,Defensive rebound by J. Sullinger,,5,0
14,1,9:39.0,A. Bradley misses 2-pt jump shot from 20 ft,,5,0
15,1,9:39.0,,Defensive rebound by A. Aminu,5,0
16,1,9:31.0,,M. Harkless misses 3-pt jump shot from 24 ft,5,0
17,1,9:27.0,Defensive rebound by J. Crowder,,5,0
18,1,9:27.0,Personal foul by M. Harkless,,5,0
19,1,9:18.0,J. Sullinger misses 2-pt jump shot from 20 ft,,5,0
20,1,9:17.0,,Defensive rebound by M. Harkless,5,0
21,1,9:03.0,,C. McCollum makes 2-pt jump shot from 2 ft,5,2
22,1,8:48.0,J. Crowder makes 2-pt jump shot from 15 ft,,7,2
23,1,8:31.0,,D. Lillard makes 2-pt jump shot from 11 ft (assist by M. Plumlee),7,4
24,1,8:12.0,J. Sullinger makes 2-pt hook shot from 3 ft,,9,4
25,1,7:58.0,,D. Lillard misses 2-pt jump shot from 14 ft,9,4
26,1,7:57.0,Defensive rebound by Team,,9,4
27,1,7:42.0,Shooting foul by C. McCollum (drawn by I. Thomas),,9,4
28,1,7:42.0,I. Thomas makes 2-pt jump shot from 5 ft,,11,4
29,1,7:42.0,I. Thomas makes free throw 1 of 1,,12,4
30,1,7:28.0,,C. McCollum makes 3-pt jump shot from 23 ft (assist by D. Lillard),12,7
31,1,7:17.0,A. Bradley misses 2-pt jump shot from 19 ft,,12,7
32,1,7:17.0,,Defensive rebound by M. Plumlee,12,7
33,1,7:06.0,,Turnover by M. Plumlee (bad pass; steal by A. Johnson),12,7
34,1,6:56.0,I. Thomas misses 2-pt jump shot from 22 ft,,12,7
35,1,6:53.0,,Defensive rebound by M. Plumlee,12,7
36,1,6:37.0,,A. Aminu makes 3-pt jump shot from 24 ft (assist by C. McCollum),12,10
37,1,6:37.0,Boston full timeout,,12,10
38,1,6:21.0,I. Thomas makes 2-pt jump shot from 14 ft (assist by J. Sullinger),,14,10
39,1,6:04.0,,C. McCollum misses 3-pt jump shot from 24 ft,14,10
40,1,6:01.0,,Offensive rebound by M. Plumlee,14,10
41,1,6:01.0,,M. Plumlee misses 2-pt dunk at rim,14,10
42,1,6:01.0,,Offensive rebound by M. Plumlee,14,10
43,1,6:01.0,,M. Plumlee makes 2-pt hook shot at rim,14,12
44,1,5:45.0,J. Crowder misses 3-pt jump shot from 22 ft,,14,12
45,1,5:44.0,,Defensive rebound by A. Aminu,14,12
46,1,5:36.0,,D. Lillard misses 3-pt jump shot from 25 ft,14,12
47,1,5:36.0,Defensive rebound by A. Bradley,,14,12
48,1,5:22.0,I. Thomas misses 2-pt jump shot from 7 ft,,14,12
49,1,5:21.0,Offensive rebound by A. Johnson,,14,12
50,1,5:21.0,A. Johnson misses 2-pt layup from 1 ft,,14,12
51,1,5:19.0,,Defensive rebound by M. Plumlee,14,12
52,1,5:07.0,,Shooting foul by J. Sullinger (drawn by M. Plumlee),14,12
53,1,5:07.0,,M. Plumlee makes free throw 1 of 2,14,13
54,1,5:07.0,,A. Crabbe enters the game for C. McCollum,14,13
55,1,5:07.0,E. Turner enters the game for J. Sullinger,,14,13
56,1,5:07.0,M. Smart enters the game for J. Crowder,,14,13
57,1,5:07.0,,M. Plumlee makes free throw 2 of 2,14,14
58,1,4:50.0,A. Johnson makes 2-pt jump shot from 22 ft (assist by E. Turner),,16,14
59,1,4:34.0,,D. Lillard misses 2-pt layup at rim (block by A. Johnson),16,14
60,1,4:33.0,Defensive rebound by A. Johnson,,16,14
61,1,4:32.0,Turnover by A. Johnson (bad pass; steal by A. Aminu),,16,14
62,1,4:25.0,,M. Harkless misses 2-pt layup from 1 ft,16,14
63,1,4:25.0,,Offensive rebound by M. Harkless,16,14
64,1,4:25.0,,M. Harkless misses 2-pt layup from 1 ft,16,14
65,1,4:23.0,,Offensive rebound by M. Harkless,16,14
66,1,4:23.0,,M. Harkless makes 2-pt layup at rim,16,16
67,1,4:14.0,Offensive foul by A. Johnson (drawn by M. Plumlee),,16,16
68,1,4:14.0,Turnover by A. Johnson (offensive foul),,16,16
69,1,4:14.0,,G. Henderson enters the game for A. Aminu,16,16
70,1,4:14.0,,E. Davis enters the game for M. Plumlee,16,16
71,1,4:03.0,,G. Henderson misses 2-pt jump shot from 6 ft,16,16
72,1,4:03.0,Defensive rebound by M. Smart,,16,16
73,1,3:54.0,A. Johnson makes 3-pt jump shot from 23 ft (assist by M. Smart),,19,16
74,1,3:36.0,,Personal foul by I. Thomas,19,16
75,1,3:36.0,K. Olynyk enters the game for A. Johnson,,19,16
76,1,3:30.0,,G. Henderson makes 3-pt jump shot from 24 ft (assist by D. Lillard),19,19
77,1,3:18.0,Shooting foul by G. Henderson (drawn by K. Olynyk),,19,19
78,1,3:18.0,K. Olynyk misses free throw 1 of 2,,19,19
79,1,3:18.0,Offensive rebound by Team,,19,19
80,1,3:18.0,A. Johnson enters the game for I. Thomas,,19,19
81,1,3:18.0,K. Olynyk misses free throw 2 of 2,,19,19
82,1,3:17.0,,Defensive rebound by M. Harkless,19,19
83,1,3:04.0,,M. Harkless makes 3-pt jump shot from 24 ft (assist by G. Henderson),19,22
84,1,2:44.0,A. Bradley misses 2-pt layup at rim (block by E. Davis),,19,22
85,1,2:43.0,Offensive rebound by A. Bradley,,19,22
86,1,2:41.0,Turnover by A. Bradley (bad pass; steal by E. Davis),,19,22
87,1,2:30.0,,Turnover by D. Lillard (bad pass; steal by E. Turner),19,22
88,1,2:27.0,Turnover by E. Turner (lost ball; steal by M. Harkless),,19,22
89,1,2:21.0,,A. Crabbe makes 3-pt jump shot from 22 ft (assist by M. Harkless),19,25
90,1,2:08.0,K. Olynyk makes 3-pt jump shot from 26 ft (assist by E. Turner),,22,25
91,1,1:50.0,,Shooting foul by K. Olynyk (drawn by M. Harkless),22,25
92,1,1:50.0,,Portland full timeout,22,25
93,1,1:50.0,J. Jerebko enters the game for A. Johnson,,22,25
94,1,1:50.0,,M. Harkless misses free throw 1 of 2,22,25
95,1,1:50.0,,Offensive rebound by Team,22,25
96,1,1:50.0,,M. Harkless makes free throw 2 of 2,22,26
97,1,1:35.0,Shooting foul by M. Harkless (drawn by E. Turner),,22,26
98,1,1:35.0,E. Turner makes free throw 1 of 2,,23,26
99,1,1:35.0,,N. Vonleh enters the game for M. Harkless,23,26
100,1,1:35.0,E. Turner makes free throw 2 of 2,,24,26
101,1,1:17.0,,D. Lillard makes 2-pt jump shot from 17 ft (assist by G. Henderson),24,28
102,1,1:00.0,A. Bradley misses 2-pt jump shot from 11 ft,,24,28
103,1,1:00.0,Offensive rebound by A. Bradley,,24,28
104,1,0:57.0,K. Olynyk makes 3-pt jump shot from 25 ft (assist by A. Bradley),,27,28
105,1,0:44.0,,Turnover by G. Henderson (lost ball; steal by M. Smart),27,28
106,1,0:39.0,K. Olynyk makes 2-pt layup from 1 ft (assist by M. Smart),,29,28
107,1,0:30.0,,Turnover by D. Lillard (lost ball; steal by A. Bradley),29,28
108,1,0:27.0,Shooting foul by A. Crabbe (drawn by E. Turner),,29,28
109,1,0:27.0,E. Turner makes free throw 1 of 2,,30,28
110,1,0:27.0,E. Turner makes free throw 2 of 2,,31,28
111,1,0:10.0,,Shooting foul by A. Bradley (drawn by D. Lillard),31,28
112,1,0:10.0,,D. Lillard makes free throw 1 of 2,31,29
113,1,0:10.0,I. Thomas enters the game for M. Smart,,31,29
114,1,0:10.0,,D. Lillard makes free throw 2 of 2,31,30
115,1,0:05.0,Shooting foul by D. Lillard (drawn by I. Thomas),,31,30
116,1,0:05.0,I. Thomas misses free throw 1 of 2,,31,30
117,1,0:05.0,Offensive rebound by Team,,31,30
118,1,0:05.0,M. Smart enters the game for K. Olynyk,,31,30
119,1,0:05.0,I. Thomas misses free throw 2 of 2,,31,30
120,1,0:04.0,,Defensive rebound by E. Davis,31,30
121,1,0:02.0,,Turnover by E. Davis (bad pass; steal by E. Turner),31,30
122,1,0:00.0,M. Smart misses 3-pt jump shot from 25 ft,,31,30
123,1,0:00.0,Offensive rebound by Team,,31,30
124,2,11:49.0,Turnover by E. Turner (bad pass; steal by C. McCollum),,31,30
125,2,11:37.0,,C. McCollum misses 2-pt layup from 1 ft,31,30
126,2,11:36.0,Defensive rebound by J. Jerebko,,31,30
127,2,11:25.0,E. Turner makes 2-pt jump shot from 7 ft,,33,30
128,2,11:06.0,,Turnover by C. McCollum (lost ball; steal by E. Turner),33,30
129,2,10:54.0,Shooting foul by E. Davis (drawn by E. Turner),,33,30
130,2,10:54.0,E. Turner makes free throw 1 of 2,,34,30
131,2,10:54.0,E. Turner makes free throw 2 of 2,,35,30
132,2,10:30.0,,C. McCollum misses 2-pt jump shot from 5 ft (block by E. Turner),35,30
133,2,10:30.0,,Offensive rebound by Team,35,30
134,2,10:30.0,,Turnover by Team (shot clock),35,30
135,2,10:16.0,M. Smart misses 2-pt layup from 2 ft (block by N. Vonleh),,35,30
136,2,10:15.0,Offensive rebound by J. Jerebko,,35,30
137,2,10:08.0,J. Crowder makes 3-pt jump shot from 24 ft (assist by M. Smart),,38,30
138,2,10:07.0,,Portland full timeout,38,30
139,2,9:46.0,,N. Vonleh makes 3-pt jump shot from 23 ft (assist by C. McCollum),38,33
140,2,9:17.0,M. Smart makes 2-pt layup from 2 ft (assist by E. Turner),,40,33
141,2,8:57.0,,E. Davis misses 2-pt layup from 1 ft,40,33
142,2,8:57.0,,Offensive rebound by E. Davis,40,33
143,2,8:57.0,,E. Davis makes 2-pt layup from 1 ft,40,35
144,2,8:40.0,M. Smart misses 2-pt jump shot from 21 ft,,40,35
145,2,8:40.0,,Defensive rebound by N. Vonleh,40,35
146,2,8:28.0,,N. Vonleh makes 2-pt dunk at rim (assist by E. Davis),40,37
147,2,8:11.0,J. Jerebko misses 3-pt jump shot from 25 ft,,40,37
148,2,8:10.0,,Defensive rebound by G. Henderson,40,37
149,2,8:03.0,,C. McCollum misses 3-pt jump shot from 24 ft,40,37
150,2,8:02.0,Defensive rebound by M. Smart,,40,37
151,2,7:54.0,K. Olynyk misses 2-pt layup from 2 ft (block by E. Davis),,40,37
152,2,7:53.0,,Defensive rebound by N. Vonleh,40,37
