,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,HOUSTON_ACTION,SAN ANTONIO_SCORE,HOUSTON_SCORE
0,1,11:42.0,,Turnover by J. Smith (bad pass),0,0
1,1,11:17.0,L. Aldridge misses 3-pt jump shot from 24 ft,,0,0
2,1,11:16.0,Offensive rebound by T. Duncan,,0,0
3,1,11:04.0,K. Leonard misses 2-pt jump shot from 16 ft,,0,0
4,1,11:03.0,,Defensive rebound by J. Smith,0,0
5,1,10:56.0,,T. Ariza misses 2-pt layup from 2 ft,0,0
6,1,10:56.0,,Offensive rebound by Team,0,0
7,1,10:49.0,,D. Howard misses 2-pt layup from 1 ft,0,0
8,1,10:48.0,Defensive rebound by K. Leonard,,0,0
9,1,10:24.0,Turnover by Team (shot clock),,0,0
10,1,10:12.0,,Personal foul by L. Aldridge (drawn by J. Smith),0,0
11,1,9:59.0,,J. Harden misses 2-pt layup from 2 ft,0,0
12,1,9:58.0,,Offensive rebound by D. Howard,0,0
13,1,9:58.0,,D. Howard misses 2-pt layup at rim,0,0
14,1,9:58.0,,Offensive rebound by Team,0,0
15,1,9:49.0,,P. Beverley misses 3-pt jump shot from 25 ft,0,0
16,1,9:48.0,Defensive rebound by L. Aldridge,,0,0
17,1,9:33.0,T. Parker misses 2-pt layup from 3 ft (block by D. Howard),,0,0
18,1,9:33.0,Offensive rebound by Team,,0,0
19,1,9:28.0,T. Duncan makes 2-pt jump shot from 18 ft (assist by D. Green),,2,0
20,1,9:14.0,,Turnover by J. Harden (lost ball),2,0
21,1,9:01.0,T. Duncan makes 2-pt jump shot from 19 ft (assist by D. Green),,4,0
22,1,8:47.0,,P. Beverley misses 2-pt layup from 1 ft,4,0
23,1,8:47.0,Defensive rebound by L. Aldridge,,4,0
24,1,8:32.0,K. Leonard makes 2-pt jump shot from 7 ft,,6,0
25,1,8:16.0,,Shooting foul by T. Duncan (drawn by D. Howard),6,0
26,1,8:16.0,,D. Howard makes free throw 1 of 2,6,1
27,1,8:16.0,,D. Howard misses free throw 2 of 2,6,1
28,1,8:16.0,Defensive rebound by L. Aldridge,,6,1
29,1,7:56.0,Turnover by T. Parker (bad pass),,6,1
30,1,7:42.0,,J. Smith misses 3-pt jump shot from 25 ft,6,1
31,1,7:40.0,Defensive rebound by K. Leonard,,6,1
32,1,7:28.0,L. Aldridge makes 2-pt layup from 1 ft,,8,1
33,1,7:26.0,,Houston full timeout,8,1
34,1,7:04.0,,T. Ariza makes 2-pt layup from 1 ft (assist by D. Howard),8,3
35,1,6:48.0,Personal foul by J. Smith (drawn by L. Aldridge),,8,3
36,1,6:32.0,T. Duncan misses 2-pt jump shot from 17 ft,,8,3
37,1,6:31.0,,Defensive rebound by Team,8,3
38,1,6:17.0,,J. Harden misses 2-pt layup from 3 ft (block by T. Duncan),8,3
39,1,6:16.0,Defensive rebound by T. Duncan,,8,3
40,1,6:06.0,L. Aldridge makes 2-pt dunk at rim (assist by D. Green),,10,3
41,1,5:55.0,,T. Ariza misses 2-pt jump shot from 20 ft,10,3
42,1,5:55.0,Defensive rebound by L. Aldridge,,10,3
43,1,5:45.0,L. Aldridge makes 2-pt jump shot from 18 ft,,12,3
