,QUARTER,TIME_REMAINING,MIAMI_ACTION,CHARLOTTE_ACTION,MIAMI_SCORE,CHARLOTTE_SCORE
0,1,11:44.0,L. Deng makes 3-pt jump shot from 24 ft (assist by G. Dragić),,3,0
1,1,11:26.0,,M. Williams misses 2-pt jump shot from 22 ft,3,0
2,1,11:25.0,Defensive rebound by H. Whiteside,,3,0
3,1,11:10.0,G. Dragić misses 3-pt jump shot from 25 ft,,3,0
4,1,11:08.0,,Defensive rebound by M. Williams,3,0
5,1,10:54.0,,A. Jefferson makes 2-pt layup from 2 ft (assist by K. Walker),3,2
6,1,10:35.0,L. Deng misses 2-pt jump shot from 8 ft,,3,2
7,1,10:35.0,Offensive rebound by H. Whiteside,,3,2
8,1,10:35.0,Personal foul by F. Kaminsky,,3,2
9,1,10:25.0,L. Deng makes 3-pt jump shot from 24 ft (assist by J. Johnson),,6,2
10,1,10:02.0,,A. Jefferson makes 2-pt layup from 1 ft,6,4
11,1,9:45.0,Turnover by L. Deng (lost ball; steal by K. Walker),,6,4
12,1,9:43.0,,Shooting foul by G. Dragić (drawn by K. Walker),6,4
13,1,9:43.0,,K. Walker makes free throw 1 of 2,6,5
14,1,9:43.0,,K. Walker makes free throw 2 of 2,6,6
15,1,9:32.0,G. Dragić makes 2-pt jump shot from 18 ft (assist by L. Deng),,8,6
16,1,9:09.0,,K. Walker makes 3-pt jump shot from 23 ft (assist by A. Jefferson),8,9
17,1,8:46.0,H. Whiteside makes 2-pt layup from 1 ft,,10,9
18,1,8:30.0,,M. Williams makes 2-pt layup from 1 ft (assist by K. Walker),10,11
19,1,8:10.0,L. Deng makes 3-pt jump shot from 24 ft (assist by J. Johnson),,13,11
20,1,7:42.0,,A. Jefferson misses 2-pt layup from 2 ft,13,11
21,1,7:41.0,Defensive rebound by H. Whiteside,,13,11
22,1,7:25.0,G. Dragić misses 3-pt jump shot from 25 ft,,13,11
23,1,7:24.0,,Defensive rebound by M. Williams,13,11
24,1,7:14.0,,K. Walker misses 2-pt layup from 2 ft (block by H. Whiteside),13,11
25,1,7:12.0,,Offensive rebound by A. Jefferson,13,11
26,1,7:12.0,,A. Jefferson makes 2-pt dunk at rim,13,13
27,1,6:51.0,Offensive foul by L. Deng (drawn by K. Walker),,13,13
28,1,6:51.0,Turnover by L. Deng (offensive foul),,13,13
29,1,6:39.0,,M. Williams misses 2-pt layup from 1 ft,13,13
30,1,6:38.0,Defensive rebound by L. Deng,,13,13
31,1,6:33.0,L. Deng makes 3-pt jump shot from 25 ft (assist by G. Dragić),,16,13
32,1,6:09.0,,A. Jefferson misses 2-pt jump shot from 17 ft,16,13
33,1,6:07.0,Defensive rebound by J. Johnson,,16,13
34,1,6:01.0,D. Wade makes 2-pt jump shot from 17 ft (assist by G. Dragić),,18,13
35,1,5:38.0,,Shooting foul by G. Dragić (drawn by K. Walker),18,13
36,1,5:38.0,,Charlotte full timeout,18,13
37,1,5:38.0,,J. Lin enters the game for C. Lee,18,13
38,1,5:38.0,J. Richardson enters the game for G. Dragić,,18,13
39,1,5:38.0,,K. Walker makes free throw 1 of 2,18,14
40,1,5:38.0,,K. Walker makes free throw 2 of 2,18,15
41,1,5:24.0,Shooting foul by J. Lin (drawn by D. Wade),,18,15
42,1,5:24.0,D. Wade makes free throw 1 of 2,,19,15
43,1,5:24.0,D. Wade makes free throw 2 of 2,,20,15
44,1,5:05.0,,A. Jefferson misses 2-pt hook shot from 6 ft,20,15
45,1,5:03.0,,Offensive rebound by J. Lin,20,15
46,1,5:03.0,,J. Lin misses 2-pt layup from 1 ft,20,15
47,1,5:02.0,Defensive rebound by L. Deng,,20,15
48,1,4:52.0,Shooting foul by A. Jefferson (drawn by H. Whiteside),,20,15
49,1,4:52.0,H. Whiteside makes free throw 1 of 2,,21,15
50,1,4:52.0,H. Whiteside misses free throw 2 of 2,,21,15
51,1,4:50.0,,Defensive rebound by M. Williams,21,15
52,1,4:36.0,,J. Lin makes 3-pt jump shot from 25 ft (assist by A. Jefferson),21,18
53,1,4:11.0,L. Deng misses 2-pt jump shot from 3 ft,,21,18
54,1,4:09.0,,Defensive rebound by F. Kaminsky,21,18
55,1,3:55.0,,Shooting foul by D. Wade (drawn by F. Kaminsky),21,18
56,1,3:55.0,,F. Kaminsky makes free throw 1 of 2,21,19
57,1,3:55.0,,C. Zeller enters the game for A. Jefferson,21,19
58,1,3:55.0,J. Winslow enters the game for J. Johnson,,21,19
59,1,3:55.0,,F. Kaminsky makes free throw 2 of 2,21,20
60,1,3:53.0,Miami full timeout,,21,20
61,1,3:53.0,J. Johnson enters the game for L. Deng,,21,20
62,1,3:53.0,,C. Lee enters the game for M. Williams,21,20
63,1,3:44.0,D. Wade misses 2-pt jump shot from 17 ft,,21,20
64,1,3:42.0,,Defensive rebound by K. Walker,21,20
65,1,3:37.0,,F. Kaminsky misses 3-pt jump shot from 25 ft,21,20
66,1,3:35.0,Defensive rebound by J. Johnson,,21,20
67,1,3:17.0,J. Johnson makes 2-pt jump shot from 11 ft,,23,20
68,1,3:02.0,,F. Kaminsky misses 3-pt jump shot from 26 ft,23,20
69,1,3:01.0,Defensive rebound by H. Whiteside,,23,20
70,1,2:51.0,J. Johnson makes 3-pt jump shot from 25 ft (assist by J. Richardson),,26,20
71,1,2:38.0,,J. Lin makes 2-pt layup from 1 ft,26,22
72,1,2:38.0,,Shooting foul by H. Whiteside (drawn by J. Lin),26,22
73,1,2:38.0,L. Deng enters the game for D. Wade,,26,22
74,1,2:38.0,,J. Lin makes free throw 1 of 1,26,23
75,1,2:22.0,J. Johnson makes 2-pt jump shot from 8 ft (assist by J. Richardson),,28,23
76,1,2:00.0,,C. Zeller misses 2-pt jump shot from 7 ft,28,23
77,1,1:59.0,Defensive rebound by J. Winslow,,28,23
78,1,1:53.0,Turnover by L. Deng (bad pass; steal by F. Kaminsky),,28,23
79,1,1:42.0,,C. Zeller makes 2-pt layup from 2 ft (assist by F. Kaminsky),28,25
