,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,MILWAUKEE_ACTION,PHILADELPHIA_SCORE,MILWAUKEE_SCORE
0,1,11:43.0,,Shooting foul by J. Okafor (drawn by G. Monroe),0,0
1,1,11:43.0,,G. Monroe makes free throw 1 of 2,0,1
2,1,11:43.0,,G. Monroe misses free throw 2 of 2,0,1
3,1,11:42.0,Defensive rebound by N. Noel,,0,1
4,1,11:32.0,K. Marshall misses 2-pt layup from 1 ft,,0,1
5,1,11:30.0,,Defensive rebound by J. Parker,0,1
6,1,11:25.0,,K. Middleton makes 2-pt layup from 2 ft (assist by J. Parker),0,3
7,1,11:09.0,Turnover by R. Covington (bad pass; steal by J. Parker),,0,3
8,1,11:06.0,,J. Parker makes 2-pt dunk at rim,0,5
9,1,11:06.0,Philadelphia full timeout,,0,5
10,1,10:55.0,Turnover by K. Marshall (bad pass),,0,5
11,1,10:39.0,,K. Middleton makes 3-pt jump shot from 23 ft (assist by G. Monroe),0,8
12,1,10:27.0,Turnover by R. Covington (bad pass; steal by J. Parker),,0,8
13,1,10:13.0,,M. Carter-Williams makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),0,10
14,1,9:55.0,Personal foul by K. Middleton (drawn by N. Noel),,0,10
15,1,9:55.0,H. Thompson enters the game for R. Covington,,0,10
16,1,9:46.0,J. Okafor makes 2-pt jump shot from 15 ft (assist by K. Marshall),,2,10
17,1,9:35.0,,G. Monroe misses 2-pt hook shot from 4 ft,2,10
18,1,9:33.0,Defensive rebound by J. Okafor,,2,10
19,1,9:25.0,N. Noel makes 2-pt layup from 2 ft (assist by K. Marshall),,4,10
20,1,9:10.0,,M. Carter-Williams makes 2-pt jump shot from 17 ft,4,12
21,1,9:00.0,Turnover by K. Marshall (bad pass; steal by M. Carter-Williams),,4,12
22,1,8:47.0,,G. Antetokounmpo makes 2-pt layup at rim (assist by J. Parker),4,14
23,1,8:31.0,Turnover by J. Okafor (bad pass; steal by K. Middleton),,4,14
24,1,8:31.0,,Personal foul by J. Sampson (drawn by M. Carter-Williams),4,14
25,1,8:19.0,,Turnover by M. Carter-Williams (bad pass; steal by N. Noel),4,14
26,1,8:19.0,N. Noel misses 2-pt layup from 1 ft (block by J. Parker),,4,14
27,1,8:19.0,Offensive rebound by Team,,4,14
28,1,8:09.0,Personal block foul by M. Carter-Williams (drawn by K. Marshall),,4,14
29,1,8:09.0,,O. Mayo enters the game for M. Carter-Williams,4,14
30,1,7:59.0,J. Sampson misses 2-pt dunk at rim,,4,14
31,1,7:56.0,Offensive rebound by J. Sampson,,4,14
32,1,7:55.0,J. Sampson makes 2-pt layup from 1 ft,,6,14
33,1,7:38.0,,G. Antetokounmpo makes 2-pt jump shot from 17 ft (assist by O. Mayo),6,16
34,1,7:17.0,R. Holmes enters the game for N. Noel,,6,16
35,1,7:10.0,J. Sampson misses 2-pt dunk at rim (block by G. Monroe),,6,16
36,1,7:10.0,Offensive rebound by H. Thompson,,6,16
37,1,7:10.0,Turnover by Team (shot clock),,6,16
38,1,6:55.0,,G. Antetokounmpo makes 2-pt hook shot from 5 ft,6,18
39,1,6:35.0,H. Thompson makes 2-pt jump shot from 7 ft (assist by J. Sampson),,8,18
40,1,6:15.0,,G. Monroe misses 2-pt layup from 1 ft,8,18
41,1,6:13.0,Defensive rebound by J. Sampson,,8,18
42,1,6:10.0,Turnover by J. Sampson (lost ball),,8,18
43,1,6:10.0,I. Canaan enters the game for J. Sampson,,8,18
44,1,5:57.0,,Shooting foul by I. Canaan (drawn by K. Middleton),8,18
45,1,5:57.0,,K. Middleton makes free throw 1 of 2,8,19
46,1,5:57.0,T. McConnell enters the game for K. Marshall,,8,19
47,1,5:57.0,,K. Middleton makes free throw 2 of 2,8,20
48,1,5:38.0,H. Thompson makes 2-pt hook shot from 3 ft,,10,20
49,1,5:18.0,,J. Parker makes 2-pt jump shot from 14 ft (assist by K. Middleton),10,22
50,1,5:05.0,Personal foul by J. Parker (drawn by R. Holmes),,10,22
51,1,5:05.0,,M. Carter-Williams enters the game for G. Antetokounmpo,10,22
52,1,5:05.0,N. Noel enters the game for J. Okafor,,10,22
53,1,5:05.0,,J. O'Bryant enters the game for J. Parker,10,22
54,1,4:56.0,H. Thompson misses 2-pt jump shot from 17 ft,,10,22
55,1,4:54.0,Offensive rebound by T. McConnell,,10,22
56,1,4:49.0,H. Thompson misses 3-pt jump shot from 27 ft,,10,22
57,1,4:47.0,,Defensive rebound by G. Monroe,10,22
58,1,4:41.0,,O. Mayo misses 2-pt layup from 2 ft (block by R. Holmes),10,22
59,1,4:38.0,,Offensive rebound by J. O'Bryant,10,22
60,1,4:36.0,,J. O'Bryant misses 2-pt layup from 1 ft,10,22
61,1,4:35.0,Defensive rebound by H. Thompson,,10,22
62,1,4:19.0,R. Holmes misses 2-pt hook shot from 4 ft,,10,22
63,1,4:18.0,,Defensive rebound by O. Mayo,10,22
64,1,4:11.0,,J. O'Bryant makes 2-pt jump shot from 19 ft,10,24
65,1,3:56.0,Turnover by N. Noel (bad pass),,10,24
66,1,3:44.0,,K. Middleton makes 2-pt jump shot from 17 ft (assist by O. Mayo),10,26
67,1,3:26.0,Turnover by I. Canaan (palming),,10,26
68,1,3:14.0,,M. Carter-Williams makes 2-pt layup at rim,10,28
69,1,3:02.0,N. Noel misses 2-pt jump shot from 17 ft,,10,28
70,1,3:01.0,Offensive rebound by R. Holmes,,10,28
71,1,3:01.0,R. Holmes makes 2-pt layup at rim,,12,28
72,1,3:01.0,Shooting foul by J. O'Bryant (drawn by R. Holmes),,12,28
73,1,3:01.0,,J. Henson enters the game for G. Monroe,12,28
74,1,3:01.0,R. Holmes misses free throw 1 of 1,,12,28
75,1,3:00.0,,Defensive rebound by K. Middleton,12,28
76,1,2:52.0,,Turnover by M. Carter-Williams (lost ball),12,28
77,1,2:52.0,,Milwaukee full timeout,12,28
78,1,2:35.0,H. Thompson misses 3-pt jump shot from 22 ft,,12,28
79,1,2:34.0,,Defensive rebound by J. O'Bryant,12,28
80,1,2:23.0,,Turnover by M. Carter-Williams (lost ball; steal by T. McConnell),12,28
81,1,2:17.0,I. Canaan misses 3-pt jump shot from 24 ft,,12,28
82,1,2:17.0,,Defensive rebound by Team,12,28
83,1,2:17.0,J. Grant enters the game for H. Thompson,,12,28
84,1,2:00.0,,O. Mayo makes 2-pt jump shot from 21 ft (assist by J. Henson),12,30
85,1,1:40.0,R. Holmes misses 3-pt jump shot from 23 ft,,12,30
86,1,1:38.0,,Defensive rebound by J. Henson,12,30
87,1,1:22.0,,J. O'Bryant misses 2-pt layup from 1 ft (block by R. Holmes),12,30
88,1,1:20.0,Defensive rebound by I. Canaan,,12,30
89,1,1:15.0,J. Grant makes 2-pt layup from 1 ft (assist by I. Canaan),,14,30
90,1,1:00.0,,J. O'Bryant makes 2-pt jump shot from 17 ft (assist by J. Henson),14,32
91,1,0:43.0,Shooting foul by J. Henson (drawn by I. Canaan),,14,32
92,1,0:43.0,I. Canaan makes free throw 1 of 2,,15,32
93,1,0:43.0,,R. Vaughn enters the game for K. Middleton,15,32
94,1,0:43.0,I. Canaan makes free throw 2 of 2,,16,32
95,1,0:36.0,,O. Mayo misses 3-pt jump shot from 27 ft,16,32
96,1,0:34.0,Defensive rebound by J. Grant,,16,32
97,1,0:21.0,N. Noel makes 2-pt dunk at rim (assist by R. Holmes),,18,32
98,1,0:05.0,,R. Vaughn makes 3-pt jump shot from 24 ft (assist by M. Carter-Williams),18,35
99,2,11:48.0,Shooting block foul by J. O'Bryant (drawn by C. Landry),,18,35
100,2,11:48.0,C. Landry makes free throw 1 of 2,,19,35
101,2,11:48.0,C. Landry makes free throw 2 of 2,,20,35
102,2,11:28.0,,T. Ennis misses 2-pt jump shot from 13 ft,20,35
103,2,11:26.0,Defensive rebound by J. Okafor,,20,35
104,2,11:17.0,Turnover by K. Marshall (lost ball),,20,35
105,2,11:03.0,,J. O'Bryant makes 2-pt jump shot from 18 ft (assist by T. Ennis),20,37
106,2,10:41.0,J. Okafor misses 2-pt jump shot from 3 ft (block by J. Henson),,20,37
107,2,10:40.0,Offensive rebound by J. Okafor,,20,37
108,2,10:39.0,J. Okafor misses 2-pt layup from 1 ft (block by J. Henson),,20,37
109,2,10:38.0,Offensive rebound by Team,,20,37
110,2,10:38.0,,G. Antetokounmpo enters the game for J. O'Bryant,20,37
111,2,10:34.0,J. Grant makes 2-pt jump shot from 11 ft (assist by K. Marshall),,22,37
112,2,10:20.0,,O. Mayo misses 3-pt jump shot from 25 ft,22,37
113,2,10:19.0,,Offensive rebound by R. Vaughn,22,37
114,2,10:13.0,,G. Antetokounmpo makes 2-pt layup at rim (assist by J. Henson),22,39
115,2,10:03.0,I. Canaan makes 3-pt jump shot from 23 ft (assist by K. Marshall),,25,39
116,2,9:55.0,,G. Antetokounmpo makes 2-pt dunk at rim (assist by O. Mayo),25,41
117,2,9:47.0,Philadelphia full timeout,,25,41
118,2,9:35.0,Def 3 sec tech foul by R. Vaughn,,25,41
119,2,9:35.0,I. Canaan misses technical free throw,,25,41
120,2,9:35.0,Offensive rebound by Team,,25,41
121,2,9:23.0,K. Marshall makes 3-pt jump shot from 22 ft (assist by C. Landry),,28,41
122,2,9:08.0,,Turnover by O. Mayo (lost ball; steal by J. Grant),28,41
123,2,8:59.0,Turnover by I. Canaan (bad pass; steal by G. Antetokounmpo),,28,41
124,2,8:53.0,,T. Ennis makes 2-pt layup at rim,28,43
125,2,8:36.0,Shooting foul by R. Vaughn (drawn by C. Landry),,28,43
126,2,8:36.0,C. Landry makes free throw 1 of 2,,29,43
127,2,8:36.0,H. Thompson enters the game for I. Canaan,,29,43
128,2,8:36.0,,J. Parker enters the game for O. Mayo,29,43
129,2,8:36.0,C. Landry makes free throw 2 of 2,,30,43
130,2,8:26.0,,T. Ennis makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),30,46
131,2,8:17.0,Shooting foul by T. Ennis (drawn by K. Marshall),,30,46
132,2,8:17.0,K. Marshall misses free throw 1 of 2,,30,46
133,2,8:17.0,Offensive rebound by Team,,30,46
134,2,8:17.0,R. Covington enters the game for C. Landry,,30,46
135,2,8:17.0,K. Marshall misses free throw 2 of 2,,30,46
136,2,8:16.0,,Defensive rebound by J. Henson,30,46
137,2,7:51.0,,G. Antetokounmpo makes 2-pt dunk at rim (assist by J. Parker),30,48
138,2,7:36.0,R. Covington misses 3-pt jump shot from 26 ft,,30,48
139,2,7:35.0,,Defensive rebound by R. Vaughn,30,48
140,2,7:24.0,,J. Henson misses 2-pt hook shot from 6 ft,30,48
141,2,7:23.0,Defensive rebound by J. Grant,,30,48
142,2,7:07.0,J. Okafor misses 2-pt layup at rim (block by J. Henson),,30,48
143,2,7:04.0,,Defensive rebound by J. Henson,30,48
144,2,6:58.0,,T. Ennis misses 3-pt jump shot from 28 ft,30,48
145,2,6:57.0,Defensive rebound by R. Covington,,30,48
146,2,6:46.0,Turnover by J. Grant (bad pass; steal by G. Antetokounmpo),,30,48
147,2,6:42.0,,T. Ennis makes 2-pt layup at rim (assist by G. Antetokounmpo),30,50
148,2,6:33.0,Philadelphia full timeout,,30,50
149,2,6:33.0,,G. Monroe enters the game for J. Henson,30,50
150,2,6:21.0,J. Grant makes 2-pt layup from 1 ft (assist by K. Marshall),,32,50
151,2,6:21.0,Shooting foul by G. Monroe (drawn by J. Grant),,32,50
152,2,6:21.0,J. Grant makes free throw 1 of 1,,33,50
153,2,6:13.0,,Personal block foul by J. Grant (drawn by J. Parker),33,50
154,2,6:12.0,,Turnover by G. Antetokounmpo (bad pass; steal by R. Covington),33,50
155,2,6:09.0,Shooting foul by G. Antetokounmpo (drawn by R. Covington),,33,50
