,QUARTER,TIME_REMAINING,PORTLAND_ACTION,NEW YORK_ACTION,PORTLAND_SCORE,NEW YORK_SCORE
0,1,11:42.0,A. Aminu misses 2-pt jump shot from 16 ft,,0,0
1,1,11:41.0,Offensive rebound by M. Plumlee,,0,0
2,1,11:41.0,M. Plumlee misses 2-pt layup from 2 ft,,0,0
3,1,11:40.0,,Defensive rebound by K. Porziņģis,0,0
4,1,11:19.0,,R. Lopez misses 2-pt jump shot from 18 ft,0,0
5,1,11:17.0,Defensive rebound by C. McCollum,,0,0
6,1,11:07.0,N. Vonleh misses 2-pt jump shot from 18 ft,,0,0
7,1,11:06.0,,Defensive rebound by A. Afflalo,0,0
8,1,10:54.0,,K. Porziņģis makes 2-pt jump shot from 9 ft,0,2
9,1,10:34.0,C. McCollum makes 2-pt jump shot from 16 ft (assist by D. Lillard),,2,2
10,1,10:23.0,,Turnover by J. Calderón (bad pass),2,2
11,1,10:11.0,A. Aminu misses 3-pt jump shot from 24 ft,,2,2
12,1,10:09.0,,Defensive rebound by J. Calderón,2,2
13,1,10:01.0,,A. Afflalo makes 2-pt jump shot from 4 ft,2,4
14,1,9:44.0,A. Aminu misses 2-pt jump shot from 4 ft,,2,4
15,1,9:42.0,,Defensive rebound by K. Porziņģis,2,4
16,1,9:30.0,,A. Afflalo misses 2-pt jump shot from 15 ft,2,4
17,1,9:29.0,Defensive rebound by A. Aminu,,2,4
18,1,9:20.0,A. Aminu misses 2-pt layup from 2 ft,,2,4
19,1,9:19.0,Offensive rebound by N. Vonleh,,2,4
20,1,9:19.0,N. Vonleh makes 2-pt dunk at rim,,4,4
21,1,9:03.0,,C. Anthony misses 2-pt layup from 3 ft (block by M. Plumlee),4,4
22,1,9:01.0,Defensive rebound by D. Lillard,,4,4
23,1,8:54.0,Shooting foul by J. Calderón (drawn by D. Lillard),,4,4
24,1,8:54.0,D. Lillard makes free throw 1 of 2,,5,4
25,1,8:54.0,D. Lillard makes free throw 2 of 2,,6,4
26,1,8:31.0,,J. Calderón makes 2-pt jump shot from 19 ft,6,6
27,1,8:20.0,D. Lillard misses 2-pt jump shot from 17 ft,,6,6
28,1,8:18.0,Offensive rebound by N. Vonleh,,6,6
29,1,8:18.0,N. Vonleh makes 2-pt dunk at rim,,8,6
30,1,8:12.0,,Turnover by C. Anthony (bad pass; steal by M. Plumlee),8,6
31,1,8:07.0,C. McCollum misses 2-pt jump shot from 17 ft,,8,6
32,1,8:05.0,Offensive rebound by C. McCollum,,8,6
33,1,7:50.0,N. Vonleh misses 3-pt jump shot from 24 ft,,8,6
34,1,7:48.0,,Defensive rebound by A. Afflalo,8,6
35,1,7:30.0,,R. Lopez makes 2-pt hook shot from 3 ft,8,8
36,1,7:09.0,Turnover by C. McCollum (bad pass; steal by K. Porziņģis),,8,8
37,1,6:57.0,,A. Afflalo misses 2-pt jump shot from 4 ft,8,8
38,1,6:55.0,,Offensive rebound by A. Afflalo,8,8
39,1,6:52.0,,C. Anthony misses 3-pt jump shot from 24 ft,8,8
40,1,6:50.0,Defensive rebound by N. Vonleh,,8,8
41,1,6:44.0,D. Lillard makes 2-pt jump shot from 4 ft,,10,8
42,1,6:33.0,,J. Calderón misses 2-pt jump shot from 17 ft,10,8
43,1,6:32.0,,Offensive rebound by R. Lopez,10,8
44,1,6:31.0,,R. Lopez makes 2-pt layup from 2 ft,10,10
45,1,6:05.0,C. McCollum misses 2-pt jump shot from 5 ft,,10,10
46,1,6:04.0,Offensive rebound by Team,,10,10
47,1,6:04.0,Turnover by Team (shot clock),,10,10
48,1,5:50.0,,A. Afflalo makes 2-pt jump shot from 5 ft,10,12
49,1,5:36.0,Offensive foul by C. McCollum (drawn by J. Calderón),,10,12
50,1,5:36.0,Turnover by C. McCollum (offensive foul),,10,12
51,1,5:36.0,,New York full timeout,10,12
52,1,5:36.0,M. Leonard enters the game for N. Vonleh,,10,12
53,1,5:36.0,A. Crabbe enters the game for C. McCollum,,10,12
54,1,5:16.0,,Shooting foul by M. Plumlee (drawn by K. Porziņģis),10,12
55,1,5:16.0,,K. Porziņģis makes 2-pt jump shot from 13 ft,10,14
56,1,5:16.0,,K. Porziņģis makes free throw 1 of 1,10,15
57,1,5:03.0,D. Lillard misses 3-pt jump shot from 24 ft,,10,15
58,1,5:01.0,,Defensive rebound by A. Afflalo,10,15
59,1,4:54.0,,C. Anthony makes 2-pt jump shot from 19 ft,10,17
60,1,4:38.0,A. Aminu makes 2-pt jump shot from 20 ft (assist by M. Plumlee),,12,17
61,1,4:19.0,,K. Porziņģis misses 2-pt jump shot from 12 ft (block by A. Aminu),12,17
62,1,4:17.0,Defensive rebound by A. Crabbe,,12,17
63,1,4:09.0,M. Leonard makes 3-pt jump shot from 24 ft (assist by A. Aminu),,15,17
64,1,3:56.0,,Shooting foul by A. Aminu (drawn by C. Anthony),15,17
65,1,3:56.0,,C. Anthony makes 2-pt layup from 1 ft,15,19
66,1,3:56.0,,D. Williams enters the game for K. Porziņģis,15,19
67,1,3:56.0,,L. Galloway enters the game for A. Afflalo,15,19
68,1,3:56.0,G. Henderson enters the game for A. Aminu,,15,19
69,1,3:56.0,E. Davis enters the game for M. Plumlee,,15,19
70,1,3:56.0,,C. Anthony makes free throw 1 of 1,15,20
71,1,3:42.0,E. Davis makes 2-pt layup from 2 ft (assist by D. Lillard),,17,20
72,1,3:42.0,Shooting foul by R. Lopez (drawn by E. Davis),,17,20
73,1,3:42.0,E. Davis makes free throw 1 of 1,,18,20
74,1,3:24.0,,C. Anthony misses 2-pt jump shot from 8 ft,18,20
75,1,3:23.0,Defensive rebound by D. Lillard,,18,20
76,1,3:11.0,D. Lillard misses 3-pt jump shot from 25 ft,,18,20
77,1,3:09.0,,Defensive rebound by J. Calderón,18,20
78,1,3:03.0,,C. Anthony misses 2-pt layup at rim (block by E. Davis),18,20
79,1,3:02.0,,Offensive rebound by Team,18,20
80,1,2:58.0,,D. Williams misses 2-pt jump shot from 16 ft,18,20
81,1,2:56.0,Defensive rebound by M. Leonard,,18,20
82,1,2:49.0,D. Lillard makes 2-pt layup from 1 ft,,20,20
83,1,2:31.0,,D. Williams makes 2-pt layup from 1 ft,20,22
84,1,2:31.0,,Shooting foul by E. Davis (drawn by D. Williams),20,22
85,1,2:31.0,Portland full timeout,,20,22
86,1,2:31.0,,J. Grant enters the game for R. Lopez,20,22
87,1,2:31.0,,K. O'Quinn enters the game for J. Calderón,20,22
88,1,2:31.0,,D. Williams makes free throw 1 of 1,20,23
89,1,2:11.0,Turnover by D. Lillard (lost ball; steal by J. Grant),,20,23
90,1,2:05.0,,Personal foul by M. Leonard (drawn by K. O'Quinn),20,23
91,1,1:54.0,,D. Williams misses 2-pt jump shot from 20 ft,20,23
92,1,1:52.0,Defensive rebound by E. Davis,,20,23
93,1,1:46.0,G. Henderson misses 2-pt jump shot from 16 ft,,20,23
94,1,1:44.0,,Defensive rebound by K. O'Quinn,20,23
95,1,1:27.0,,C. Anthony misses 2-pt jump shot from 10 ft,20,23
96,1,1:25.0,,Offensive rebound by D. Williams,20,23
97,1,1:18.0,,C. Anthony misses 2-pt jump shot from 19 ft,20,23
98,1,1:16.0,Defensive rebound by M. Leonard,,20,23
99,1,1:08.0,M. Leonard makes 3-pt jump shot from 24 ft (assist by D. Lillard),,23,23
100,1,0:55.0,,D. Williams misses 2-pt layup from 2 ft (block by M. Leonard),23,23
101,1,0:53.0,Defensive rebound by E. Davis,,23,23
102,1,0:32.0,Shooting foul by C. Anthony (drawn by D. Lillard),,23,23
103,1,0:32.0,D. Lillard makes free throw 1 of 2,,24,23
104,1,0:32.0,D. Lillard makes free throw 2 of 2,,25,23
105,1,0:15.0,,K. O'Quinn misses 2-pt jump shot from 13 ft,25,23
106,1,0:14.0,,Offensive rebound by C. Anthony,25,23
107,1,0:14.0,,C. Anthony makes 2-pt layup from 2 ft,25,25
108,1,0:00.0,D. Lillard makes 2-pt layup at rim,,27,25
109,2,11:43.0,,L. Thomas misses 2-pt layup at rim,27,25
110,2,11:42.0,Defensive rebound by M. Leonard,,27,25
111,2,11:31.0,C. McCollum makes 2-pt layup from 1 ft,,29,25
112,2,11:14.0,,L. Thomas makes 2-pt jump shot from 18 ft (assist by K. O'Quinn),29,27
