,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,DENVER_ACTION,BROOKLYN_SCORE,DENVER_SCORE
0,1,11:38.0,Personal block foul by J. Sampson (drawn by D. Sloan),,0,0
1,1,11:26.0,B. Lopez misses 2-pt jump shot from 19 ft,,0,0
2,1,11:25.0,,Defensive rebound by K. Faried,0,0
3,1,11:05.0,,K. Faried makes 2-pt jump shot from 17 ft (assist by J. Sampson),0,2
4,1,10:44.0,D. Sloan makes 2-pt layup from 1 ft (assist by B. Lopez),,2,2
5,1,10:26.0,,E. Mudiay misses 2-pt jump shot from 6 ft,2,2
6,1,10:26.0,,Offensive rebound by N. Jokić,2,2
7,1,10:24.0,,N. Jokić misses 2-pt layup from 1 ft,2,2
8,1,10:23.0,,Offensive rebound by K. Faried,2,2
9,1,10:23.0,,K. Faried makes 2-pt dunk at rim,2,4
10,1,10:14.0,Turnover by D. Sloan (bad pass; steal by G. Harris),,2,4
11,1,10:10.0,,G. Harris makes 2-pt dunk at rim,2,6
12,1,9:50.0,Turnover by W. Ellington (bad pass; steal by N. Jokić),,2,6
13,1,9:44.0,,E. Mudiay makes 2-pt layup at rim (assist by N. Jokić),2,8
14,1,9:29.0,Personal foul by E. Mudiay (drawn by D. Sloan),,2,8
15,1,9:23.0,Turnover by B. Bogdanović (bad pass; steal by E. Mudiay),,2,8
16,1,9:18.0,,G. Harris makes 2-pt dunk at rim (assist by E. Mudiay),2,10
17,1,9:18.0,Brooklyn full timeout,,2,10
18,1,9:00.0,W. Ellington makes 3-pt jump shot from 23 ft (assist by B. Bogdanović),,5,10
19,1,8:39.0,,E. Mudiay makes 3-pt jump shot from 23 ft (assist by G. Harris),5,13
20,1,8:19.0,Turnover by W. Ellington (bad pass),,5,13
21,1,8:08.0,,Personal foul by W. Ellington (drawn by N. Jokić),5,13
22,1,8:02.0,,Turnover by E. Mudiay (bad pass; steal by B. Lopez),5,13
23,1,7:42.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by D. Sloan),,8,13
24,1,7:24.0,,Turnover by N. Jokić (traveling),8,13
25,1,7:09.0,B. Bogdanović makes 2-pt jump shot from 11 ft (assist by T. Young),,10,13
26,1,7:01.0,,Turnover by J. Sampson (traveling),10,13
27,1,6:45.0,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by W. Ellington),,13,13
28,1,6:45.0,,Denver full timeout,13,13
29,1,6:34.0,,Shooting foul by B. Lopez (drawn by K. Faried),13,13
30,1,6:34.0,,K. Faried makes free throw 1 of 2,13,14
31,1,6:34.0,,K. Faried makes free throw 2 of 2,13,15
32,1,6:14.0,B. Lopez makes 2-pt layup from 2 ft,,15,15
33,1,6:06.0,,N. Jokić misses 3-pt jump shot from 26 ft,15,15
34,1,6:03.0,,Offensive rebound by K. Faried,15,15
35,1,6:03.0,,K. Faried misses 2-pt layup from 1 ft,15,15
36,1,6:02.0,,Offensive rebound by K. Faried,15,15
37,1,6:02.0,,K. Faried misses 2-pt layup from 1 ft,15,15
38,1,6:01.0,Defensive rebound by D. Sloan,,15,15
39,1,5:50.0,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by D. Sloan),,18,15
40,1,5:37.0,,N. Jokić makes 2-pt jump shot from 5 ft (assist by E. Mudiay),18,17
41,1,5:25.0,D. Sloan makes 2-pt jump shot from 19 ft,,20,17
42,1,5:04.0,,E. Mudiay misses 2-pt jump shot from 19 ft (block by D. Sloan),20,17
43,1,5:03.0,,Offensive rebound by E. Mudiay,20,17
44,1,5:01.0,,J. Sampson misses 3-pt jump shot from 23 ft,20,17
45,1,4:59.0,,Offensive rebound by N. Jokić,20,17
46,1,4:59.0,,N. Jokić makes 2-pt layup at rim,20,19
47,1,4:48.0,D. Sloan misses 2-pt jump shot from 18 ft,,20,19
48,1,4:47.0,,Defensive rebound by G. Harris,20,19
49,1,4:29.0,,E. Mudiay misses 3-pt jump shot from 25 ft,20,19
50,1,4:28.0,Defensive rebound by B. Lopez,,20,19
51,1,4:06.0,D. Sloan makes 3-pt jump shot from 23 ft (assist by B. Bogdanović),,23,19
52,1,3:43.0,,Turnover by N. Jokić (lost ball; steal by W. Ellington),23,19
53,1,3:32.0,B. Bogdanović misses 2-pt jump shot from 20 ft (block by E. Mudiay),,23,19
54,1,3:30.0,,Defensive rebound by E. Mudiay,23,19
55,1,3:25.0,,G. Harris makes 2-pt layup from 1 ft (assist by E. Mudiay),23,21
56,1,3:04.0,B. Lopez makes 2-pt jump shot from 8 ft (assist by T. Young),,25,21
57,1,2:44.0,,J. Sampson misses 3-pt jump shot from 24 ft,25,21
58,1,2:43.0,Defensive rebound by Team,,25,21
59,1,2:43.0,,W. Barton enters the game for N. Jokić,25,21
60,1,2:43.0,,J. Lauvergne enters the game for J. Sampson,25,21
61,1,2:23.0,D. Sloan misses 3-pt jump shot from 25 ft,,25,21
62,1,2:23.0,,Defensive rebound by K. Faried,25,21
63,1,2:19.0,,E. Mudiay makes 2-pt dunk at rim (assist by K. Faried),25,23
64,1,2:05.0,B. Lopez makes 2-pt dunk at rim (assist by D. Sloan),,27,23
65,1,2:05.0,,Denver full timeout,27,23
66,1,1:47.0,,J. Lauvergne misses 2-pt jump shot from 20 ft,27,23
67,1,1:46.0,Defensive rebound by Team,,27,23
68,1,1:46.0,,Loose ball foul by K. Faried (drawn by B. Bogdanović),27,23
69,1,1:46.0,,D. Augustin enters the game for K. Faried,27,23
70,1,1:46.0,,D. Arthur enters the game for E. Mudiay,27,23
71,1,1:31.0,B. Bogdanović misses 3-pt jump shot from 24 ft (block by W. Barton),,27,23
72,1,1:29.0,,Defensive rebound by Team,27,23
73,1,1:29.0,T. Robinson enters the game for B. Lopez,,27,23
74,1,1:14.0,,D. Arthur misses 3-pt jump shot from 22 ft,27,23
75,1,1:12.0,Defensive rebound by D. Sloan,,27,23
76,1,1:00.0,T. Young makes 2-pt jump shot from 4 ft (assist by D. Sloan),,29,23
77,1,0:36.0,,W. Barton misses 2-pt jump shot from 4 ft,29,23
78,1,0:34.0,Defensive rebound by T. Robinson,,29,23
79,1,0:22.0,W. Ellington makes 2-pt jump shot from 18 ft (assist by D. Sloan),,31,23
80,1,0:01.0,,J. Lauvergne makes 2-pt jump shot from 18 ft (assist by W. Barton),31,25
81,1,0:00.0,T. Robinson misses 3-pt jump shot from 63 ft,,31,25
82,1,0:00.0,Offensive rebound by Team,,31,25
83,2,11:40.0,,Shooting foul by C. McCullough (drawn by J. Lauvergne),31,25
84,2,11:40.0,,J. Lauvergne makes free throw 1 of 2,31,26
85,2,11:40.0,,J. Lauvergne makes free throw 2 of 2,31,27
86,2,11:17.0,S. Larkin misses 2-pt jump shot from 19 ft,,31,27
87,2,11:16.0,,Defensive rebound by A. Toupane,31,27
88,2,11:09.0,,J. Lauvergne makes 2-pt layup from 2 ft (assist by W. Barton),31,29
89,2,10:45.0,M. Brown misses 2-pt jump shot from 18 ft,,31,29
90,2,10:44.0,,Defensive rebound by D. Augustin,31,29
91,2,10:30.0,,W. Barton misses 2-pt jump shot from 7 ft,31,29
92,2,10:29.0,Defensive rebound by T. Robinson,,31,29
93,2,10:16.0,C. McCullough makes 2-pt jump shot from 19 ft (assist by M. Brown),,33,29
94,2,10:00.0,,D. Augustin misses 2-pt jump shot from 4 ft,33,29
95,2,9:59.0,,Offensive rebound by J. Lauvergne,33,29
96,2,9:59.0,,J. Lauvergne misses 2-pt layup from 1 ft,33,29
97,2,9:58.0,Defensive rebound by C. McCullough,,33,29
