,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,HOUSTON_ACTION,MEMPHIS_SCORE,HOUSTON_SCORE
0,1,11:36.0,Turnover by M. Barnes (bad pass; steal by J. Harden),,0,0
1,1,11:36.0,,Personal foul by T. Allen (drawn by J. Harden),0,0
2,1,11:21.0,,D. Howard makes 2-pt layup from 1 ft (assist by T. Ariza),0,2
3,1,11:04.0,Turnover by M. Gasol (lost ball; steal by D. Howard),,0,2
4,1,10:57.0,,T. Jones misses 2-pt jump shot from 3 ft,0,2
5,1,10:56.0,,Offensive rebound by T. Ariza,0,2
6,1,10:51.0,,T. Ariza misses 2-pt jump shot from 22 ft,0,2
7,1,10:50.0,Defensive rebound by M. Barnes,,0,2
8,1,10:43.0,T. Allen misses 2-pt layup from 4 ft,,0,2
9,1,10:42.0,,Defensive rebound by D. Howard,0,2
10,1,10:33.0,,J. Terry misses 3-pt jump shot from 24 ft,0,2
11,1,10:33.0,Defensive rebound by M. Gasol,,0,2
12,1,10:26.0,Personal foul by J. Terry (drawn by J. Green),,0,2
13,1,10:20.0,Shooting foul by D. Howard (drawn by J. Green),,0,2
14,1,10:20.0,J. Green makes free throw 1 of 2,,1,2
15,1,10:20.0,J. Green makes free throw 2 of 2,,2,2
16,1,9:59.0,,Turnover by J. Harden (bad pass; steal by T. Allen),2,2
17,1,9:54.0,T. Allen makes 2-pt layup from 1 ft,,4,2
18,1,9:37.0,,D. Howard misses 2-pt jump shot from 4 ft,4,2
19,1,9:36.0,Defensive rebound by M. Gasol,,4,2
20,1,9:29.0,M. Barnes misses 2-pt layup from 2 ft,,4,2
21,1,9:28.0,,Defensive rebound by T. Jones,4,2
22,1,9:21.0,,T. Ariza misses 3-pt jump shot from 24 ft,4,2
23,1,9:20.0,Defensive rebound by J. Green,,4,2
24,1,9:13.0,M. Barnes makes 3-pt jump shot from 23 ft (assist by M. Conley),,7,2
25,1,9:02.0,,Shooting foul by M. Barnes (drawn by T. Ariza),7,2
26,1,9:02.0,,T. Ariza makes free throw 1 of 2,7,3
27,1,9:02.0,,T. Ariza makes free throw 2 of 2,7,4
28,1,8:44.0,M. Barnes misses 3-pt jump shot from 24 ft,,7,4
29,1,8:43.0,,Defensive rebound by T. Ariza,7,4
30,1,8:37.0,,J. Harden makes 3-pt jump shot from 24 ft,7,7
31,1,8:24.0,J. Green misses 3-pt jump shot from 23 ft,,7,7
32,1,8:24.0,Offensive rebound by M. Gasol,,7,7
33,1,8:21.0,M. Gasol misses 2-pt jump shot from 11 ft,,7,7
34,1,8:21.0,Offensive rebound by Team,,7,7
35,1,8:17.0,M. Gasol makes 2-pt jump shot from 18 ft (assist by M. Conley),,9,7
36,1,8:00.0,,J. Terry misses 3-pt jump shot from 24 ft,9,7
37,1,7:59.0,Defensive rebound by Team,,9,7
38,1,7:38.0,M. Gasol misses 2-pt layup from 2 ft (block by T. Jones),,9,7
39,1,7:37.0,,Defensive rebound by J. Harden,9,7
40,1,7:33.0,,Turnover by T. Ariza (bad pass),9,7
41,1,7:28.0,J. Green makes 2-pt layup from 2 ft (assist by M. Barnes),,11,7
42,1,7:21.0,,Houston full timeout,11,7
43,1,7:13.0,,T. Ariza misses 3-pt jump shot from 23 ft,11,7
44,1,7:12.0,Defensive rebound by M. Barnes,,11,7
45,1,7:00.0,Turnover by T. Allen (bad pass; steal by J. Terry),,11,7
46,1,6:53.0,,J. Terry misses 3-pt jump shot from 24 ft,11,7
47,1,6:53.0,Defensive rebound by M. Gasol,,11,7
48,1,6:39.0,Turnover by M. Gasol (bad pass; steal by J. Terry),,11,7
49,1,6:20.0,,D. Howard misses 2-pt dunk at rim (block by T. Allen),11,7
50,1,6:19.0,Defensive rebound by M. Barnes,,11,7
51,1,6:12.0,Turnover by T. Allen (lost ball; steal by D. Howard),,11,7
52,1,6:06.0,,J. Harden makes 2-pt layup from 2 ft,11,9
53,1,5:59.0,Memphis full timeout,,11,9
54,1,5:59.0,,P. Beverley enters the game for J. Terry,11,9
55,1,5:45.0,M. Conley misses 3-pt jump shot from 25 ft,,11,9
56,1,5:45.0,,Defensive rebound by T. Jones,11,9
57,1,5:23.0,,T. Ariza makes 2-pt layup from 2 ft (assist by P. Beverley),11,11
58,1,5:06.0,M. Conley makes 2-pt jump shot from 17 ft,,13,11
59,1,4:51.0,,P. Beverley misses 2-pt jump shot from 20 ft,13,11
60,1,4:50.0,Defensive rebound by M. Barnes,,13,11
61,1,4:48.0,M. Conley makes 2-pt layup from 1 ft (assist by M. Barnes),,15,11
62,1,4:48.0,Shooting foul by P. Beverley (drawn by M. Conley),,15,11
63,1,4:48.0,M. Chalmers enters the game for T. Allen,,15,11
64,1,4:48.0,,C. Capela enters the game for D. Howard,15,11
65,1,4:48.0,,C. Brewer enters the game for T. Ariza,15,11
66,1,4:48.0,M. Conley makes free throw 1 of 1,,16,11
67,1,4:36.0,,C. Brewer misses 2-pt layup from 3 ft,16,11
68,1,4:35.0,Defensive rebound by M. Chalmers,,16,11
69,1,4:19.0,J. Green makes 2-pt hook shot from 5 ft,,18,11
70,1,3:59.0,,Turnover by T. Jones (traveling),18,11
71,1,3:59.0,J. Green enters the game for M. Gasol,,18,11
72,1,3:53.0,J. Green misses 2-pt layup from 2 ft (block by C. Capela),,18,11
73,1,3:52.0,Offensive rebound by J. Green,,18,11
74,1,3:50.0,J. Green misses 2-pt layup from 1 ft (block by C. Capela),,18,11
75,1,3:49.0,,Defensive rebound by C. Brewer,18,11
76,1,3:49.0,,Personal foul by M. Chalmers (drawn by C. Brewer),18,11
77,1,3:49.0,,M. Thornton enters the game for T. Jones,18,11
78,1,3:39.0,,P. Beverley makes 2-pt jump shot from 11 ft,18,13
79,1,3:19.0,M. Conley makes 2-pt jump shot from 18 ft,,20,13
80,1,3:05.0,,Personal block foul by J. Green (drawn by J. Harden),20,13
81,1,3:01.0,,J. Harden makes 3-pt jump shot from 25 ft (assist by P. Beverley),20,16
82,1,2:43.0,Shooting foul by C. Capela (drawn by J. Green),,20,16
83,1,2:43.0,J. Green makes free throw 1 of 2,,21,16
84,1,2:43.0,C. Lee enters the game for J. Green,,21,16
85,1,2:43.0,J. Green makes free throw 2 of 2,,22,16
86,1,2:29.0,,C. Capela makes 2-pt layup from 2 ft (assist by J. Harden),22,18
87,1,2:13.0,J. Green makes 2-pt layup from 1 ft (assist by M. Chalmers),,24,18
88,1,1:58.0,,C. Capela misses 2-pt layup from 1 ft,24,18
89,1,1:57.0,,Offensive rebound by C. Capela,24,18
90,1,1:56.0,,C. Capela makes 2-pt layup from 1 ft,24,20
91,1,1:39.0,M. Barnes misses 3-pt jump shot from 25 ft,,24,20
92,1,1:39.0,,Defensive rebound by J. Harden,24,20
93,1,1:25.0,,Shooting foul by M. Barnes (drawn by C. Brewer),24,20
94,1,1:25.0,,C. Brewer makes free throw 1 of 2,24,21
95,1,1:25.0,V. Carter enters the game for M. Barnes,,24,21
96,1,1:25.0,,C. Brewer makes free throw 2 of 2,24,22
97,1,1:11.0,Turnover by M. Conley (lost ball; steal by C. Capela),,24,22
98,1,1:05.0,,J. Harden makes 2-pt layup from 2 ft (assist by C. Capela),24,24
99,1,1:00.0,J. Green makes 2-pt dunk at rim (assist by M. Chalmers),,26,24
100,1,0:42.0,,J. Harden misses 3-pt jump shot from 24 ft,26,24
101,1,0:41.0,Defensive rebound by V. Carter,,26,24
102,1,0:31.0,Personal foul by M. Thornton (drawn by M. Chalmers),,26,24
103,1,0:31.0,M. Chalmers makes free throw 1 of 2,,27,24
104,1,0:31.0,M. Gasol enters the game for J. Green,,27,24
105,1,0:31.0,M. Chalmers makes free throw 2 of 2,,28,24
106,1,0:16.0,,P. Beverley misses 3-pt jump shot from 25 ft,28,24
107,1,0:15.0,Defensive rebound by V. Carter,,28,24
108,1,0:03.0,C. Lee misses 3-pt jump shot from 23 ft,,28,24
109,1,0:03.0,,Defensive rebound by P. Beverley,28,24
110,1,0:00.0,,P. Beverley misses 3-pt jump shot from 40 ft,28,24
111,1,0:00.0,,Offensive rebound by Team,28,24
112,2,11:52.0,,Personal foul by M. Gasol (drawn by D. Howard),28,24
113,2,11:41.0,,T. Ariza misses 3-pt jump shot from 23 ft,28,24
114,2,11:40.0,Defensive rebound by V. Carter,,28,24
115,2,11:25.0,C. Lee misses 2-pt jump shot from 15 ft,,28,24
116,2,11:24.0,,Defensive rebound by T. Ariza,28,24
117,2,11:14.0,,Turnover by D. Howard (bad pass),28,24
118,2,10:51.0,C. Lee makes 2-pt layup from 2 ft (assist by V. Carter),,30,24
119,2,10:40.0,,M. Thornton makes 2-pt jump shot from 16 ft,30,26
120,2,10:22.0,C. Lee makes 2-pt jump shot from 18 ft,,32,26
121,2,10:10.0,,M. Thornton misses 3-pt jump shot from 25 ft,32,26
122,2,10:09.0,Defensive rebound by M. Gasol,,32,26
123,2,9:57.0,M. Gasol misses 2-pt jump shot from 11 ft,,32,26
124,2,9:55.0,Offensive rebound by V. Carter,,32,26
125,2,9:43.0,M. Chalmers makes 2-pt layup from 3 ft,,34,26
126,2,9:28.0,,D. Howard misses 2-pt jump shot from 3 ft (block by M. Gasol),34,26
127,2,9:27.0,Defensive rebound by C. Lee,,34,26
128,2,9:19.0,C. Lee makes 2-pt jump shot from 18 ft,,36,26
129,2,9:19.0,,Houston full timeout,36,26
130,2,9:19.0,,T. Jones enters the game for P. Beverley,36,26
131,2,9:19.0,,J. Harden enters the game for M. Thornton,36,26
132,2,9:19.0,,J. Terry enters the game for T. Lawson,36,26
133,2,9:19.0,M. Barnes enters the game for J. Green,,36,26
134,2,9:10.0,,Turnover by J. Harden (bad pass; steal by V. Carter),36,26
135,2,9:05.0,M. Gasol makes 2-pt dunk at rim (assist by M. Chalmers),,38,26
136,2,8:43.0,,T. Jones misses 3-pt jump shot from 23 ft,38,26
137,2,8:42.0,Defensive rebound by M. Chalmers,,38,26
138,2,8:20.0,C. Lee misses 2-pt layup from 4 ft (block by D. Howard),,38,26
139,2,8:19.0,,Defensive rebound by T. Ariza,38,26
140,2,8:17.0,,Shooting foul by M. Chalmers (drawn by J. Harden),38,26
141,2,8:17.0,,J. Harden makes free throw 1 of 2,38,27
142,2,8:17.0,,J. Harden makes free throw 2 of 2,38,28
143,2,7:59.0,Turnover by M. Gasol (bad pass; steal by J. Harden),,38,28
144,2,7:53.0,,D. Howard makes 2-pt dunk at rim (assist by T. Ariza),38,30
145,2,7:40.0,M. Gasol misses 2-pt jump shot from 10 ft,,38,30
146,2,7:39.0,,Defensive rebound by T. Jones,38,30
147,2,7:29.0,,T. Jones misses 2-pt jump shot from 6 ft,38,30
148,2,7:28.0,Defensive rebound by M. Gasol,,38,30
149,2,7:12.0,M. Gasol misses 2-pt jump shot from 19 ft,,38,30
150,2,7:11.0,Offensive rebound by V. Carter,,38,30
151,2,7:06.0,M. Chalmers misses 3-pt jump shot from 24 ft,,38,30
152,2,7:03.0,,Defensive rebound by T. Ariza,38,30
153,2,6:56.0,,Turnover by J. Harden (lost ball; steal by M. Barnes),38,30
154,2,6:50.0,M. Chalmers makes 2-pt layup from 1 ft (assist by C. Lee),,40,30
155,2,6:33.0,,Turnover by T. Ariza (offensive foul),40,30
156,2,6:33.0,,Offensive foul by T. Ariza (drawn by M. Gasol),40,30
157,2,6:16.0,V. Carter misses 3-pt jump shot from 22 ft,,40,30
158,2,6:14.0,,Defensive rebound by D. Howard,40,30
159,2,6:02.0,,D. Howard makes 2-pt layup from 1 ft (assist by T. Jones),40,32
160,2,5:49.0,M. Barnes makes 2-pt jump shot from 8 ft (assist by M. Chalmers),,42,32
161,2,5:21.0,,J. Terry makes 3-pt jump shot from 25 ft (assist by T. Ariza),42,35
162,2,5:02.0,M. Chalmers misses 2-pt jump shot from 3 ft (block by J. Terry),,42,35
163,2,5:02.0,,Defensive rebound by T. Ariza,42,35
164,2,4:54.0,,T. Ariza misses 3-pt jump shot from 24 ft,42,35
165,2,4:54.0,Defensive rebound by M. Barnes,,42,35
166,2,4:34.0,M. Chalmers misses 3-pt jump shot from 24 ft,,42,35
167,2,4:33.0,,Defensive rebound by T. Ariza,42,35
