,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,MEMPHIS_ACTION,BROOKLYN_SCORE,MEMPHIS_SCORE
0,1,11:47.0,,T. Allen misses 2-pt layup at rim,0,0
1,1,11:45.0,Defensive rebound by J. Johnson,,0,0
2,1,11:32.0,J. Johnson makes 2-pt layup from 1 ft (assist by M. Brown),,2,0
3,1,11:18.0,,M. Gasol misses 2-pt hook shot from 3 ft,2,0
4,1,11:17.0,Defensive rebound by T. Young,,2,0
5,1,10:57.0,Turnover by J. Johnson (bad pass; steal by T. Allen),,2,0
6,1,10:53.0,,Shooting foul by J. Jack (drawn by M. Conley),2,0
7,1,10:53.0,,M. Conley makes free throw 1 of 2,2,1
8,1,10:53.0,,M. Conley makes free throw 2 of 2,2,2
9,1,10:33.0,Turnover by M. Brown (lost ball; steal by C. Lee),,2,2
10,1,10:15.0,,M. Gasol makes 2-pt jump shot from 18 ft (assist by M. Conley),2,4
11,1,10:01.0,J. Jack makes 2-pt jump shot from 11 ft,,4,4
12,1,9:43.0,,Z. Randolph makes 2-pt jump shot from 14 ft (assist by M. Conley),4,6
13,1,9:29.0,T. Young makes 2-pt hook shot from 6 ft (assist by M. Brown),,6,6
14,1,9:06.0,,C. Lee makes 2-pt layup from 1 ft (assist by M. Gasol),6,8
15,1,8:57.0,J. Jack makes 2-pt jump shot from 16 ft,,8,8
16,1,8:42.0,,M. Conley misses 3-pt jump shot from 24 ft,8,8
17,1,8:42.0,Defensive rebound by Team,,8,8
18,1,8:30.0,Personal foul by T. Allen (drawn by B. Lopez),,8,8
19,1,8:30.0,B. Lopez misses free throw 1 of 2,,8,8
20,1,8:30.0,Offensive rebound by Team,,8,8
21,1,8:30.0,B. Lopez misses free throw 2 of 2,,8,8
22,1,8:29.0,,Defensive rebound by T. Allen,8,8
23,1,8:19.0,,T. Allen makes 2-pt layup from 2 ft (assist by M. Gasol),8,10
24,1,8:06.0,Turnover by T. Young (lost ball; steal by M. Conley),,8,10
25,1,7:51.0,,Turnover by M. Gasol (bad pass; steal by T. Young),8,10
26,1,7:37.0,J. Jack misses 3-pt jump shot from 23 ft,,8,10
27,1,7:36.0,,Defensive rebound by T. Allen,8,10
28,1,7:26.0,,Def 3 sec tech foul by B. Lopez,8,10
29,1,7:26.0,,C. Lee makes technical free throw,8,11
30,1,7:15.0,,M. Conley makes 2-pt layup at rim,8,13
31,1,7:01.0,B. Lopez makes 2-pt hook shot from 6 ft (assist by J. Johnson),,10,13
32,1,6:40.0,,T. Allen makes 2-pt jump shot from 14 ft (assist by M. Gasol),10,15
33,1,6:27.0,Turnover by M. Brown (bad pass),,10,15
34,1,6:11.0,,C. Lee misses 3-pt jump shot from 24 ft,10,15
35,1,6:11.0,Defensive rebound by B. Lopez,,10,15
36,1,6:02.0,T. Young makes 2-pt layup from 1 ft (assist by J. Jack),,12,15
37,1,5:49.0,,Personal foul by B. Lopez (drawn by M. Gasol),12,15
38,1,5:49.0,,Memphis full timeout,12,15
39,1,5:49.0,,J. Green enters the game for T. Allen,12,15
