,QUARTER,TIME_REMAINING,INDIANA_ACTION,PHILADELPHIA_ACTION,INDIANA_SCORE,PHILADELPHIA_SCORE
0,1,11:47.0,,T. McConnell makes 3-pt jump shot from 25 ft (assist by N. Stauskas),0,3
1,1,11:22.0,L. Allen makes 2-pt jump shot from 2 ft,,2,3
2,1,11:08.0,,Turnover by N. Noel (bad pass; steal by P. George),2,3
3,1,10:59.0,P. George misses 2-pt jump shot from 17 ft,,2,3
4,1,10:58.0,,Defensive rebound by T. McConnell,2,3
5,1,10:53.0,,Turnover by T. McConnell (bad pass; steal by M. Ellis),2,3
6,1,10:47.0,C. Miles makes 2-pt jump shot from 16 ft (assist by M. Ellis),,4,3
7,1,10:32.0,,N. Stauskas makes 2-pt layup from 3 ft,4,5
8,1,10:17.0,C. Miles misses 2-pt jump shot from 4 ft (block by J. Grant),,4,5
9,1,10:17.0,Offensive rebound by Team,,4,5
10,1,10:09.0,L. Allen misses 2-pt jump shot from 20 ft,,4,5
11,1,10:07.0,,Defensive rebound by T. McConnell,4,5
12,1,9:58.0,,Turnover by T. McConnell (lost ball),4,5
13,1,9:44.0,P. George misses 2-pt jump shot from 11 ft,,4,5
14,1,9:42.0,Offensive rebound by L. Allen,,4,5
15,1,9:40.0,L. Allen makes 2-pt hook shot from 5 ft,,6,5
16,1,9:26.0,,Turnover by J. Okafor (3 sec),6,5
17,1,9:17.0,P. George misses 3-pt jump shot from 25 ft,,6,5
18,1,9:16.0,,Defensive rebound by J. Okafor,6,5
19,1,9:08.0,,J. Grant misses 2-pt jump shot from 3 ft (block by L. Allen),6,5
20,1,9:08.0,,Offensive rebound by Team,6,5
21,1,8:57.0,,N. Stauskas makes 3-pt jump shot from 26 ft (assist by T. McConnell),6,8
22,1,8:43.0,C. Miles makes 2-pt jump shot from 9 ft (assist by I. Mahinmi),,8,8
23,1,8:20.0,,T. McConnell misses 3-pt jump shot from 25 ft,8,8
24,1,8:18.0,,Offensive rebound by N. Noel,8,8
25,1,8:00.0,,Shooting foul by I. Mahinmi (drawn by J. Okafor),8,8
26,1,8:00.0,,J. Okafor makes free throw 1 of 2,8,9
27,1,8:00.0,,R. Covington enters the game for N. Noel,8,9
28,1,8:00.0,,J. Okafor misses free throw 2 of 2,8,9
29,1,7:58.0,Defensive rebound by P. George,,8,9
30,1,7:47.0,C. Miles misses 3-pt jump shot from 25 ft (block by N. Stauskas),,8,9
31,1,7:46.0,Offensive rebound by C. Miles,,8,9
32,1,7:35.0,P. George makes 2-pt jump shot from 20 ft,,10,9
33,1,7:12.0,,J. Okafor makes 2-pt hook shot from 6 ft,10,11
34,1,6:56.0,I. Mahinmi misses 2-pt jump shot from 16 ft,,10,11
35,1,6:54.0,,Defensive rebound by R. Covington,10,11
36,1,6:33.0,,R. Covington misses 3-pt jump shot from 26 ft,10,11
37,1,6:33.0,,Offensive rebound by Team,10,11
38,1,6:33.0,,H. Thompson enters the game for N. Stauskas,10,11
39,1,6:31.0,,Turnover by Team (shot clock),10,11
40,1,6:25.0,C. Budinger enters the game for L. Allen,,10,11
41,1,6:17.0,P. George misses 2-pt jump shot from 9 ft,,10,11
42,1,6:16.0,Offensive rebound by I. Mahinmi,,10,11
43,1,6:14.0,C. Miles makes 3-pt jump shot from 26 ft (assist by M. Ellis),,13,11
44,1,6:04.0,,Turnover by H. Thompson (bad pass; steal by P. George),13,11
45,1,6:00.0,P. George misses 2-pt layup from 2 ft (block by J. Grant),,13,11
46,1,5:59.0,Offensive rebound by C. Budinger,,13,11
47,1,5:59.0,C. Budinger makes 2-pt layup from 2 ft,,15,11
48,1,5:59.0,,Philadelphia full timeout,15,11
49,1,5:39.0,,R. Covington misses 2-pt jump shot from 7 ft,15,11
50,1,5:37.0,Defensive rebound by M. Ellis,,15,11
51,1,5:22.0,I. Mahinmi misses 2-pt jump shot from 16 ft,,15,11
52,1,5:20.0,,Defensive rebound by J. Okafor,15,11
53,1,5:10.0,,T. McConnell misses 2-pt jump shot from 11 ft,15,11
54,1,5:08.0,Defensive rebound by C. Budinger,,15,11
55,1,5:02.0,P. George makes 3-pt jump shot from 26 ft (assist by M. Ellis),,18,11
56,1,4:46.0,,H. Thompson misses 2-pt jump shot from 7 ft,18,11
57,1,4:44.0,,Offensive rebound by H. Thompson,18,11
58,1,4:44.0,,H. Thompson misses 2-pt jump shot from 3 ft,18,11
59,1,4:44.0,,Offensive rebound by H. Thompson,18,11
60,1,4:44.0,,Shooting foul by P. George (drawn by H. Thompson),18,11
61,1,4:44.0,,H. Thompson misses free throw 1 of 2,18,11
62,1,4:44.0,,Offensive rebound by Team,18,11
63,1,4:44.0,,I. Canaan enters the game for T. McConnell,18,11
64,1,4:44.0,,N. Noel enters the game for J. Okafor,18,11
65,1,4:44.0,,P. Pressey enters the game for J. Grant,18,11
66,1,4:44.0,J. Hill enters the game for I. Mahinmi,,18,11
67,1,4:44.0,,H. Thompson makes free throw 2 of 2,18,12
68,1,4:30.0,M. Ellis misses 2-pt jump shot from 16 ft,,18,12
69,1,4:28.0,,Defensive rebound by H. Thompson,18,12
70,1,4:17.0,,Personal foul by C. Miles (drawn by R. Covington),18,12
71,1,4:17.0,J. Young enters the game for M. Ellis,,18,12
72,1,4:05.0,,N. Noel misses 2-pt jump shot from 20 ft,18,12
73,1,4:05.0,Defensive rebound by Team,,18,12
74,1,3:50.0,C. Budinger misses 3-pt jump shot from 25 ft,,18,12
75,1,3:48.0,,Defensive rebound by P. Pressey,18,12
