,QUARTER,TIME_REMAINING,DENVER_ACTION,PORTLAND_ACTION,DENVER_SCORE,PORTLAND_SCORE
0,1,11:40.0,Turnover by K. Papanikolaou (bad pass; steal by M. Plumlee),,0,0
1,1,11:27.0,,Turnover by N. Vonleh (bad pass; steal by G. Harris),0,0
2,1,11:23.0,Shooting foul by A. Crabbe (drawn by G. Harris),,0,0
3,1,11:23.0,G. Harris misses free throw 1 of 2,,0,0
4,1,11:23.0,Offensive rebound by Team,,0,0
5,1,11:23.0,G. Harris makes free throw 2 of 2,,1,0
6,1,11:06.0,,N. Vonleh misses 2-pt hook shot from 7 ft,1,0
7,1,11:06.0,Defensive rebound by K. Papanikolaou,,1,0
8,1,10:56.0,J. Lauvergne misses 2-pt layup from 2 ft,,1,0
9,1,10:54.0,Offensive rebound by J. Lauvergne,,1,0
10,1,10:54.0,J. Lauvergne misses 2-pt layup at rim,,1,0
11,1,10:53.0,Offensive rebound by K. Faried,,1,0
12,1,10:53.0,K. Faried misses 2-pt layup from 1 ft,,1,0
13,1,10:50.0,Offensive rebound by K. Faried,,1,0
14,1,10:50.0,K. Faried misses 2-pt layup at rim,,1,0
15,1,10:50.0,,Defensive rebound by N. Vonleh,1,0
16,1,10:33.0,,A. Crabbe makes 2-pt jump shot from 18 ft (assist by N. Vonleh),1,2
17,1,10:21.0,G. Harris makes 3-pt jump shot from 25 ft (assist by K. Faried),,4,2
18,1,10:06.0,,M. Plumlee misses 2-pt layup from 2 ft,4,2
19,1,10:06.0,Defensive rebound by Team,,4,2
20,1,10:06.0,,Loose ball foul by N. Vonleh (drawn by K. Papanikolaou),4,2
21,1,9:47.0,J. Lauvergne misses 2-pt hook shot from 12 ft,,4,2
22,1,9:45.0,,Defensive rebound by M. Plumlee,4,2
23,1,9:33.0,,A. Crabbe misses 2-pt jump shot from 20 ft,4,2
24,1,9:32.0,Defensive rebound by K. Faried,,4,2
25,1,9:20.0,J. Lauvergne makes 2-pt hook shot from 3 ft (assist by J. Nelson),,6,2
26,1,9:09.0,,C. McCollum misses 2-pt jump shot from 18 ft,6,2
27,1,9:07.0,,Offensive rebound by M. Plumlee,6,2
28,1,8:56.0,,A. Aminu makes 2-pt jump shot from 19 ft,6,4
29,1,8:38.0,J. Nelson makes 2-pt jump shot from 19 ft,,8,4
30,1,8:26.0,,A. Crabbe misses 2-pt jump shot from 19 ft,8,4
31,1,8:25.0,Defensive rebound by K. Faried,,8,4
32,1,8:25.0,Personal foul by M. Plumlee (drawn by K. Faried),,8,4
33,1,8:12.0,K. Papanikolaou misses 3-pt jump shot from 24 ft,,8,4
34,1,8:12.0,,Defensive rebound by C. McCollum,8,4
35,1,8:02.0,,C. McCollum makes 3-pt jump shot from 22 ft (assist by A. Aminu),8,7
36,1,7:50.0,J. Nelson makes 3-pt jump shot from 26 ft,,11,7
37,1,7:37.0,,Turnover by M. Plumlee (bad pass; steal by J. Lauvergne),11,7
38,1,7:19.0,Turnover by J. Lauvergne (lost ball; steal by N. Vonleh),,11,7
