,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,ORLANDO_ACTION,LA LAKERS_SCORE,ORLANDO_SCORE
0,1,11:41.0,J. Clarkson misses 2-pt jump shot from 16 ft,,0,0
1,1,11:41.0,Offensive rebound by J. Clarkson,,0,0
2,1,11:22.0,D. Russell makes 3-pt jump shot from 23 ft (assist by J. Clarkson),,3,0
3,1,11:17.0,,T. Harris misses 2-pt jump shot from 4 ft,3,0
4,1,11:15.0,,Offensive rebound by D. Dedmon,3,0
5,1,11:13.0,,D. Dedmon misses 2-pt layup from 2 ft,3,0
6,1,11:13.0,Defensive rebound by Team,,3,0
7,1,10:53.0,R. Hibbert misses 2-pt hook shot from 15 ft,,3,0
8,1,10:52.0,,Defensive rebound by T. Harris,3,0
9,1,10:46.0,,T. Harris misses 2-pt layup from 1 ft (block by R. Hibbert),3,0
10,1,10:43.0,,Offensive rebound by D. Dedmon,3,0
11,1,10:34.0,,D. Dedmon misses 2-pt jump shot from 9 ft,3,0
12,1,10:33.0,Defensive rebound by J. Clarkson,,3,0
13,1,10:21.0,J. Randle misses 2-pt jump shot from 17 ft,,3,0
14,1,10:20.0,,Defensive rebound by V. Oladipo,3,0
15,1,10:05.0,,V. Oladipo makes 3-pt jump shot from 24 ft (assist by E. Fournier),3,3
16,1,9:47.0,D. Russell makes 2-pt layup from 3 ft,,5,3
17,1,9:30.0,,E. Payton misses 2-pt layup from 2 ft (block by R. Hibbert),5,3
18,1,9:28.0,Defensive rebound by D. Russell,,5,3
19,1,9:23.0,M. World Peace makes 3-pt jump shot from 23 ft (assist by D. Russell),,8,3
20,1,9:07.0,,E. Fournier misses 2-pt jump shot from 9 ft,8,3
21,1,9:06.0,Defensive rebound by J. Randle,,8,3
22,1,8:58.0,M. World Peace misses 3-pt jump shot from 25 ft,,8,3
23,1,8:56.0,,Defensive rebound by E. Fournier,8,3
24,1,8:42.0,,V. Oladipo misses 2-pt jump shot from 20 ft,8,3
25,1,8:39.0,Defensive rebound by J. Randle,,8,3
26,1,8:22.0,Personal block foul by V. Oladipo (drawn by J. Clarkson),,8,3
27,1,8:18.0,R. Hibbert misses 2-pt jump shot from 18 ft,,8,3
28,1,8:17.0,,Defensive rebound by T. Harris,8,3
29,1,7:59.0,,E. Fournier misses 3-pt jump shot from 25 ft,8,3
30,1,7:57.0,Defensive rebound by D. Russell,,8,3
31,1,7:50.0,M. World Peace makes 2-pt layup from 2 ft (assist by D. Russell),,10,3
32,1,7:41.0,,E. Payton makes 2-pt layup at rim,10,5
33,1,7:24.0,D. Russell misses 2-pt layup at rim,,10,5
34,1,7:24.0,,Defensive rebound by D. Dedmon,10,5
35,1,7:12.0,,D. Dedmon makes 2-pt jump shot from 3 ft (assist by V. Oladipo),10,7
36,1,6:54.0,Turnover by M. World Peace (lost ball; steal by T. Harris),,10,7
37,1,6:46.0,,E. Fournier misses 2-pt layup from 1 ft (block by D. Russell),10,7
38,1,6:44.0,Defensive rebound by D. Russell,,10,7
39,1,6:41.0,D. Russell makes 2-pt layup from 1 ft,,12,7
40,1,6:22.0,,E. Fournier makes 3-pt jump shot from 25 ft (assist by E. Payton),12,10
41,1,6:08.0,J. Randle makes 2-pt layup from 1 ft,,14,10
42,1,5:49.0,,E. Fournier misses 2-pt jump shot from 4 ft,14,10
43,1,5:47.0,,Offensive rebound by D. Dedmon,14,10
44,1,5:47.0,,D. Dedmon misses 2-pt layup from 1 ft,14,10
45,1,5:46.0,,Offensive rebound by D. Dedmon,14,10
46,1,5:43.0,,D. Dedmon misses 2-pt layup at rim,14,10
47,1,5:41.0,,Offensive rebound by T. Harris,14,10
48,1,5:41.0,,T. Harris makes 2-pt layup from 2 ft,14,12
49,1,5:31.0,D. Russell misses 2-pt jump shot from 14 ft,,14,12
50,1,5:27.0,,Defensive rebound by V. Oladipo,14,12
