,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,ATLANTA_ACTION,MILWAUKEE_SCORE,ATLANTA_SCORE
0,1,11:47.0,J. Parker misses 2-pt jump shot from 2 ft (block by A. Horford),,0,0
1,1,11:47.0,Offensive rebound by Team,,0,0
2,1,11:41.0,O. Mayo makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),,3,0
3,1,11:18.0,,K. Bazemore misses 3-pt jump shot from 23 ft,3,0
4,1,11:15.0,Defensive rebound by K. Middleton,,3,0
5,1,11:09.0,J. Parker misses 2-pt jump shot from 17 ft,,3,0
6,1,11:09.0,Offensive rebound by Team,,3,0
7,1,10:57.0,O. Mayo misses 3-pt jump shot from 24 ft,,3,0
8,1,10:56.0,Offensive rebound by M. Plumlee,,3,0
9,1,10:51.0,J. Parker makes 2-pt dunk at rim (assist by G. Antetokounmpo),,5,0
10,1,10:27.0,,P. Millsap makes 2-pt layup at rim,5,2
11,1,10:11.0,G. Antetokounmpo makes 2-pt jump shot from 18 ft (assist by K. Middleton),,7,2
12,1,10:00.0,,J. Teague misses 3-pt jump shot from 25 ft,7,2
13,1,9:58.0,Defensive rebound by G. Antetokounmpo,,7,2
14,1,9:54.0,Personal foul by K. Bazemore (drawn by G. Antetokounmpo),,7,2
15,1,9:34.0,K. Middleton misses 3-pt jump shot from 24 ft,,7,2
16,1,9:32.0,,Defensive rebound by P. Millsap,7,2
17,1,9:21.0,,P. Millsap makes 2-pt jump shot from 11 ft,7,4
18,1,9:11.0,M. Plumlee makes 2-pt dunk at rim (assist by G. Antetokounmpo),,9,4
19,1,8:43.0,,K. Bazemore misses 3-pt jump shot from 24 ft,9,4
20,1,8:42.0,Defensive rebound by G. Antetokounmpo,,9,4
21,1,8:39.0,Turnover by G. Antetokounmpo (bad pass),,9,4
22,1,8:28.0,,K. Korver makes 3-pt jump shot from 23 ft (assist by P. Millsap),9,7
23,1,8:05.0,G. Antetokounmpo makes 2-pt jump shot from 19 ft,,11,7
24,1,7:53.0,,Turnover by P. Millsap (bad pass; steal by O. Mayo),11,7
25,1,7:43.0,J. Parker makes 2-pt dunk at rim (assist by K. Middleton),,13,7
26,1,7:43.0,Shooting foul by P. Millsap (drawn by J. Parker),,13,7
27,1,7:43.0,J. Parker makes free throw 1 of 1,,14,7
28,1,7:20.0,,P. Millsap makes 2-pt dunk at rim (assist by K. Bazemore),14,9
29,1,7:12.0,G. Antetokounmpo makes 2-pt layup at rim (assist by O. Mayo),,16,9
30,1,7:05.0,,Turnover by J. Teague (bad pass; steal by O. Mayo),16,9
31,1,6:56.0,K. Middleton makes 2-pt jump shot from 19 ft (assist by O. Mayo),,18,9
32,1,6:56.0,,Atlanta full timeout,18,9
33,1,6:56.0,,T. Sefolosha enters the game for K. Bazemore,18,9
34,1,6:38.0,,K. Korver makes 2-pt jump shot from 13 ft (assist by A. Horford),18,11
35,1,6:19.0,,M. Muscala enters the game for A. Horford,18,11
36,1,6:12.0,G. Antetokounmpo misses 2-pt jump shot from 20 ft,,18,11
37,1,6:09.0,Offensive rebound by M. Plumlee,,18,11
38,1,6:09.0,Shooting foul by K. Korver (drawn by G. Antetokounmpo),,18,11
39,1,6:09.0,G. Antetokounmpo makes free throw 1 of 2,,19,11
40,1,6:09.0,M. Carter-Williams enters the game for J. Parker,,19,11
41,1,6:09.0,G. Monroe enters the game for M. Plumlee,,19,11
42,1,6:09.0,,D. Schröder enters the game for J. Teague,19,11
43,1,6:09.0,G. Antetokounmpo makes free throw 2 of 2,,20,11
44,1,5:48.0,,K. Korver misses 3-pt jump shot from 22 ft,20,11
45,1,5:45.0,Defensive rebound by K. Middleton,,20,11
46,1,5:40.0,O. Mayo misses 3-pt jump shot from 23 ft,,20,11
47,1,5:39.0,,Defensive rebound by M. Muscala,20,11
48,1,5:33.0,,Turnover by K. Korver (bad pass; steal by K. Middleton),20,11
49,1,5:26.0,M. Carter-Williams misses 2-pt jump shot from 4 ft,,20,11
50,1,5:25.0,,Defensive rebound by T. Sefolosha,20,11
51,1,5:14.0,,D. Schröder makes 2-pt layup from 1 ft,20,13
52,1,5:04.0,Personal foul by D. Schröder (drawn by O. Mayo),,20,13
53,1,5:04.0,,T. Hardaway enters the game for K. Korver,20,13
54,1,4:51.0,M. Carter-Williams makes 2-pt jump shot from 8 ft,,22,13
55,1,4:39.0,,P. Millsap makes 2-pt jump shot from 8 ft,22,15
56,1,4:24.0,G. Antetokounmpo misses 2-pt hook shot from 4 ft,,22,15
57,1,4:23.0,Offensive rebound by G. Antetokounmpo,,22,15
58,1,4:22.0,G. Antetokounmpo misses 2-pt layup at rim,,22,15
59,1,4:19.0,Offensive rebound by G. Monroe,,22,15
60,1,4:19.0,G. Monroe makes 2-pt layup at rim,,24,15
61,1,4:05.0,,D. Schröder misses 2-pt layup from 1 ft (block by M. Carter-Williams),24,15
62,1,4:05.0,,Offensive rebound by Team,24,15
63,1,4:05.0,,Inbound foul by M. Carter-Williams,24,15
64,1,4:05.0,,P. Millsap makes free throw 1 of 2,24,16
65,1,4:05.0,,P. Millsap misses free throw 2 of 2,24,16
66,1,4:03.0,Defensive rebound by M. Carter-Williams,,24,16
67,1,3:46.0,G. Monroe misses 2-pt hook shot from 6 ft,,24,16
68,1,3:44.0,,Defensive rebound by P. Millsap,24,16
69,1,3:41.0,,Turnover by P. Millsap (lost ball; steal by G. Monroe),24,16
70,1,3:38.0,Turnover by O. Mayo (bad pass; steal by D. Schröder),,24,16
71,1,3:27.0,,T. Hardaway misses 3-pt jump shot from 24 ft,24,16
72,1,3:24.0,,Offensive rebound by T. Sefolosha,24,16
73,1,3:21.0,,Atlanta full timeout,24,16
74,1,3:13.0,,T. Sefolosha makes 3-pt jump shot from 23 ft (assist by P. Millsap),24,19
75,1,2:55.0,G. Monroe misses 2-pt jump shot from 2 ft (block by M. Muscala),,24,19
76,1,2:53.0,,Defensive rebound by P. Millsap,24,19
77,1,2:49.0,,T. Hardaway makes 2-pt layup from 1 ft (assist by P. Millsap),24,21
78,1,2:35.0,M. Carter-Williams misses 2-pt jump shot from 10 ft,,24,21
79,1,2:32.0,,Defensive rebound by P. Millsap,24,21
80,1,2:27.0,,Turnover by D. Schröder (lost ball; steal by M. Carter-Williams),24,21
81,1,2:15.0,Turnover by G. Antetokounmpo (bad pass; steal by T. Sefolosha),,24,21
82,1,2:09.0,,D. Schröder makes 3-pt jump shot from 24 ft (assist by T. Sefolosha),24,24
83,1,2:08.0,Milwaukee full timeout,,24,24
84,1,2:08.0,J. Parker enters the game for G. Antetokounmpo,,24,24
85,1,2:08.0,R. Vaughn enters the game for O. Mayo,,24,24
86,1,1:51.0,Shooting foul by T. Hardaway (drawn by M. Carter-Williams),,24,24
87,1,1:51.0,M. Carter-Williams makes free throw 1 of 2,,25,24
88,1,1:51.0,M. Carter-Williams makes free throw 2 of 2,,26,24
89,1,1:28.0,,P. Millsap misses 3-pt jump shot from 22 ft,26,24
90,1,1:26.0,Defensive rebound by M. Carter-Williams,,26,24
91,1,1:21.0,K. Middleton misses 2-pt jump shot from 19 ft,,26,24
92,1,1:20.0,Offensive rebound by Team,,26,24
93,1,1:20.0,,M. Scott enters the game for P. Millsap,26,24
94,1,1:20.0,,A. Horford enters the game for M. Muscala,26,24
95,1,1:15.0,K. Middleton misses 2-pt jump shot from 3 ft,,26,24
96,1,1:14.0,,Defensive rebound by A. Horford,26,24
97,1,1:06.0,,M. Scott makes 2-pt layup at rim (assist by T. Sefolosha),26,26
98,1,0:40.0,K. Middleton makes 3-pt jump shot from 24 ft (assist by G. Monroe),,29,26
99,1,0:27.0,,Shooting foul by M. Carter-Williams (drawn by T. Sefolosha),29,26
100,1,0:27.0,,T. Sefolosha makes free throw 1 of 2,29,27
101,1,0:27.0,,T. Sefolosha misses free throw 2 of 2,29,27
102,1,0:26.0,Defensive rebound by K. Middleton,,29,27
103,1,0:08.0,K. Middleton makes 2-pt jump shot from 12 ft,,31,27
104,1,0:03.0,Violation by J. Parker (def goaltending),,31,27
105,1,0:03.0,,D. Schröder makes 2-pt layup at rim,31,29
106,1,0:00.0,K. Middleton misses 3-pt jump shot from 35 ft,,31,29
107,1,0:00.0,Offensive rebound by Team,,31,29
108,2,11:47.0,,A. Horford makes 2-pt layup at rim (assist by D. Schröder),31,31
109,2,11:31.0,G. Monroe makes 2-pt jump shot from 3 ft,,33,31
110,2,11:18.0,,T. Hardaway makes 2-pt jump shot from 8 ft (assist by D. Schröder),33,33
111,2,11:08.0,Personal foul by T. Hardaway (drawn by M. Carter-Williams),,33,33
112,2,10:59.0,G. Monroe makes 2-pt jump shot from 14 ft (assist by R. Vaughn),,35,33
113,2,10:36.0,,T. Hardaway misses 3-pt jump shot from 22 ft,35,33
114,2,10:34.0,Defensive rebound by G. Monroe,,35,33
115,2,10:18.0,G. Monroe misses 2-pt hook shot from 6 ft,,35,33
116,2,10:16.0,,Defensive rebound by M. Scott,35,33
117,2,10:04.0,,M. Scott makes 2-pt hook shot from 8 ft,35,35
118,2,9:44.0,J. Parker misses 2-pt jump shot from 16 ft,,35,35
119,2,9:43.0,,Defensive rebound by T. Hardaway,35,35
120,2,9:28.0,,Shooting foul by M. Carter-Williams (drawn by T. Hardaway),35,35
121,2,9:28.0,,T. Hardaway makes free throw 1 of 3,35,36
122,2,9:28.0,,T. Hardaway makes free throw 2 of 3,35,37
123,2,9:28.0,G. Antetokounmpo enters the game for M. Carter-Williams,,35,37
124,2,9:28.0,,T. Hardaway makes free throw 3 of 3,35,38
125,2,9:08.0,G. Antetokounmpo makes 2-pt jump shot from 6 ft,,37,38
126,2,8:47.0,,T. Sefolosha misses 2-pt layup from 1 ft,37,38
127,2,8:45.0,Defensive rebound by O. Mayo,,37,38
128,2,8:40.0,J. Parker misses 2-pt jump shot from 4 ft (block by A. Horford),,37,38
129,2,8:38.0,,Defensive rebound by T. Sefolosha,37,38
130,2,8:32.0,,M. Scott misses 2-pt hook shot from 8 ft,37,38
131,2,8:29.0,Defensive rebound by G. Monroe,,37,38
132,2,8:22.0,J. Parker makes 2-pt dunk at rim (assist by O. Mayo),,39,38
133,2,8:14.0,,Atlanta full timeout,39,38
134,2,8:14.0,,P. Millsap enters the game for T. Sefolosha,39,38
