,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,BROOKLYN_ACTION,CLEVELAND_SCORE,BROOKLYN_SCORE
0,1,11:43.0,Turnover by K. Love (lost ball; steal by T. Young),,0,0
1,1,11:30.0,,B. Lopez makes 2-pt jump shot from 17 ft (assist by D. Sloan),0,2
2,1,11:04.0,J. Smith misses 2-pt jump shot from 14 ft,,0,2
3,1,11:03.0,,Defensive rebound by T. Young,0,2
4,1,10:52.0,,B. Lopez misses 2-pt jump shot from 19 ft,0,2
5,1,10:51.0,Defensive rebound by K. Love,,0,2
6,1,10:39.0,L. James misses 2-pt layup from 2 ft,,0,2
7,1,10:38.0,,Defensive rebound by B. Lopez,0,2
8,1,10:21.0,,W. Ellington misses 2-pt jump shot from 16 ft,0,2
9,1,10:20.0,Defensive rebound by T. Mozgov,,0,2
10,1,10:01.0,T. Mozgov misses 2-pt jump shot from 14 ft,,0,2
11,1,10:00.0,,Defensive rebound by T. Young,0,2
12,1,9:52.0,,T. Young misses 2-pt jump shot from 9 ft,0,2
13,1,9:51.0,Defensive rebound by K. Love,,0,2
14,1,9:45.0,K. Irving misses 2-pt jump shot from 20 ft,,0,2
15,1,9:44.0,,Defensive rebound by Team,0,2
16,1,9:28.0,,Turnover by D. Sloan (bad pass; steal by K. Love),0,2
17,1,9:25.0,L. James makes 2-pt layup from 1 ft,,2,2
18,1,9:03.0,,B. Lopez misses 2-pt jump shot from 12 ft,2,2
19,1,9:02.0,Defensive rebound by K. Love,,2,2
20,1,8:47.0,Turnover by K. Love (offensive foul),,2,2
21,1,8:47.0,Offensive foul by K. Love (drawn by T. Young),,2,2
22,1,8:36.0,,T. Young makes 2-pt jump shot from 5 ft (assist by D. Sloan),2,4
23,1,8:10.0,K. Love makes 2-pt jump shot from 15 ft (assist by L. James),,4,4
24,1,7:54.0,,T. Young makes 2-pt hook shot from 7 ft (assist by D. Sloan),4,6
25,1,7:43.0,K. Irving makes 2-pt jump shot from 16 ft,,6,6
26,1,7:30.0,,B. Lopez makes 2-pt layup at rim (assist by D. Sloan),6,8
27,1,7:15.0,T. Mozgov makes 2-pt dunk at rim (assist by K. Irving),,8,8
28,1,6:54.0,,B. Lopez misses 2-pt hook shot from 3 ft,8,8
29,1,6:53.0,,Offensive rebound by B. Lopez,8,8
30,1,6:52.0,,B. Lopez makes 2-pt jump shot from 3 ft,8,10
31,1,6:52.0,,Shooting foul by T. Mozgov (drawn by B. Lopez),8,10
32,1,6:52.0,,B. Lopez misses free throw 1 of 1,8,10
33,1,6:51.0,Defensive rebound by K. Love,,8,10
34,1,6:39.0,Turnover by L. James (bad pass; steal by W. Ellington),,8,10
35,1,6:34.0,,W. Ellington misses 2-pt layup from 1 ft,8,10
