,QUARTER,TIME_REMAINING,BOSTON_ACTION,ATLANTA_ACTION,BOSTON_SCORE,ATLANTA_SCORE
0,1,11:46.0,,J. Teague makes 2-pt layup at rim (assist by A. Horford),0,2
1,1,11:32.0,A. Bradley misses 2-pt jump shot from 19 ft,,0,2
2,1,11:30.0,,Defensive rebound by P. Millsap,0,2
3,1,11:15.0,,P. Millsap makes 2-pt hook shot from 6 ft (assist by K. Bazemore),0,4
4,1,11:07.0,A. Bradley misses 2-pt layup from 1 ft (block by P. Millsap),,0,4
5,1,11:07.0,Offensive rebound by Team,,0,4
6,1,11:01.0,A. Bradley makes 2-pt jump shot from 19 ft (assist by I. Thomas),,2,4
7,1,10:48.0,,K. Bazemore makes 3-pt jump shot from 24 ft (assist by J. Teague),2,7
8,1,10:27.0,J. Sullinger misses 2-pt jump shot from 8 ft,,2,7
9,1,10:25.0,Offensive rebound by A. Johnson,,2,7
10,1,10:20.0,A. Bradley misses 3-pt jump shot from 24 ft,,2,7
11,1,10:19.0,,Defensive rebound by P. Millsap,2,7
12,1,10:09.0,,Turnover by P. Millsap (bad pass; steal by J. Sullinger),2,7
13,1,9:58.0,Turnover by I. Thomas (bad pass; steal by P. Millsap),,2,7
14,1,9:53.0,,P. Millsap makes 2-pt dunk at rim,2,9
15,1,9:40.0,J. Sullinger makes 2-pt jump shot from 19 ft (assist by J. Crowder),,4,9
16,1,9:28.0,,K. Bazemore misses 2-pt layup from 1 ft (block by A. Johnson),4,9
17,1,9:24.0,Defensive rebound by J. Sullinger,,4,9
18,1,9:21.0,J. Crowder makes 2-pt layup from 1 ft (assist by J. Sullinger),,6,9
19,1,9:16.0,,P. Millsap makes 2-pt layup from 1 ft (assist by A. Horford),6,11
20,1,9:16.0,Boston full timeout,,6,11
21,1,9:08.0,Shooting foul by K. Korver (drawn by J. Crowder),,6,11
22,1,9:08.0,J. Crowder makes free throw 1 of 2,,7,11
23,1,9:08.0,J. Crowder misses free throw 2 of 2,,7,11
24,1,9:07.0,,Defensive rebound by P. Millsap,7,11
25,1,8:54.0,,Personal foul by J. Sullinger,7,11
26,1,8:39.0,,K. Bazemore makes 2-pt layup at rim (assist by K. Korver),7,13
27,1,8:34.0,Shooting block foul by K. Korver (drawn by J. Crowder),,7,13
28,1,8:34.0,J. Crowder makes free throw 1 of 2,,8,13
29,1,8:34.0,,T. Sefolosha enters the game for K. Korver,8,13
