,QUARTER,TIME_REMAINING,ORLANDO_ACTION,WASHINGTON_ACTION,ORLANDO_SCORE,WASHINGTON_SCORE
0,1,11:46.0,N. Vučević makes 2-pt jump shot from 19 ft (assist by E. Payton),,2,0
1,1,11:26.0,,M. Gortat misses 2-pt jump shot from 13 ft,2,0
2,1,11:25.0,Defensive rebound by C. Frye,,2,0
3,1,11:08.0,N. Vučević misses 2-pt jump shot from 5 ft,,2,0
4,1,11:07.0,,Defensive rebound by M. Gortat,2,0
5,1,10:44.0,,Turnover by Team (shot clock),2,0
6,1,10:27.0,N. Vučević makes 2-pt jump shot from 15 ft (assist by E. Fournier),,4,0
7,1,10:14.0,,G. Temple misses 2-pt layup from 1 ft,4,0
8,1,10:13.0,Defensive rebound by N. Vučević,,4,0
9,1,10:02.0,N. Vučević makes 2-pt layup from 1 ft (assist by E. Payton),,6,0
10,1,9:49.0,,M. Gortat makes 2-pt layup at rim (assist by J. Wall),6,2
11,1,9:36.0,T. Harris misses 3-pt jump shot from 31 ft,,6,2
12,1,9:34.0,,Defensive rebound by M. Gortat,6,2
13,1,9:29.0,,G. Temple misses 3-pt jump shot from 23 ft,6,2
14,1,9:27.0,Defensive rebound by E. Fournier,,6,2
15,1,9:12.0,E. Payton makes 3-pt jump shot from 25 ft (assist by T. Harris),,9,2
16,1,9:03.0,,M. Gortat makes 2-pt hook shot from 11 ft (assist by O. Porter),9,4
17,1,8:45.0,N. Vučević misses 2-pt layup from 2 ft,,9,4
18,1,8:44.0,,Defensive rebound by M. Gortat,9,4
19,1,8:25.0,,G. Temple misses 3-pt jump shot from 23 ft,9,4
20,1,8:24.0,Defensive rebound by T. Harris,,9,4
21,1,8:07.0,N. Vučević misses 2-pt jump shot from 14 ft,,9,4
22,1,8:06.0,,Defensive rebound by O. Porter,9,4
23,1,8:00.0,,J. Wall makes 2-pt layup at rim,9,6
24,1,7:34.0,E. Fournier misses 3-pt jump shot from 28 ft,,9,6
25,1,7:33.0,,Defensive rebound by Team,9,6
26,1,7:13.0,,J. Dudley misses 2-pt jump shot from 16 ft,9,6
27,1,7:12.0,Defensive rebound by N. Vučević,,9,6
28,1,6:56.0,Turnover by E. Fournier (bad pass; steal by J. Dudley),,9,6
29,1,6:49.0,,J. Wall misses 2-pt jump shot from 10 ft,9,6
30,1,6:47.0,Defensive rebound by N. Vučević,,9,6
31,1,6:37.0,E. Payton misses 2-pt layup from 2 ft,,9,6
32,1,6:36.0,,Defensive rebound by M. Gortat,9,6
33,1,6:30.0,,J. Dudley misses 3-pt jump shot from 26 ft,9,6
34,1,6:28.0,,Offensive rebound by O. Porter,9,6
35,1,6:28.0,,O. Porter misses 2-pt layup from 1 ft,9,6
36,1,6:28.0,Defensive rebound by Team,,9,6
37,1,6:12.0,,R. Sessions enters the game for J. Wall,9,6
38,1,6:06.0,C. Frye misses 3-pt jump shot from 25 ft,,9,6
39,1,6:05.0,,Defensive rebound by R. Sessions,9,6
40,1,5:57.0,,R. Sessions makes 2-pt jump shot from 5 ft,9,8
41,1,5:44.0,E. Fournier misses 2-pt jump shot from 3 ft (block by O. Porter),,9,8
42,1,5:42.0,,Defensive rebound by O. Porter,9,8
43,1,5:37.0,,O. Porter makes 2-pt layup from 1 ft (assist by R. Sessions),9,10
44,1,5:29.0,Orlando full timeout,,9,10
45,1,5:20.0,T. Harris misses 2-pt jump shot from 8 ft,,9,10
46,1,5:19.0,Offensive rebound by C. Frye,,9,10
47,1,5:18.0,C. Frye misses 2-pt layup from 1 ft,,9,10
48,1,5:17.0,,Defensive rebound by R. Sessions,9,10
49,1,5:15.0,,R. Sessions makes 2-pt layup from 1 ft,9,12
50,1,5:06.0,Shooting foul by M. Gortat (drawn by T. Harris),,9,12
51,1,5:06.0,T. Harris makes free throw 1 of 2,,10,12
52,1,5:06.0,T. Harris makes free throw 2 of 2,,11,12
53,1,4:44.0,,R. Sessions misses 2-pt jump shot from 16 ft,11,12
54,1,4:43.0,Defensive rebound by T. Harris,,11,12
55,1,4:24.0,E. Payton misses 2-pt jump shot from 19 ft,,11,12
56,1,4:23.0,,Defensive rebound by M. Gortat,11,12
57,1,4:19.0,,Shooting block foul by E. Fournier (drawn by G. Temple),11,12
58,1,4:19.0,,G. Temple makes free throw 1 of 2,11,13
59,1,4:19.0,J. Smith enters the game for N. Vučević,,11,13
60,1,4:19.0,V. Oladipo enters the game for E. Fournier,,11,13
61,1,4:19.0,,G. Temple makes free throw 2 of 2,11,14
62,1,4:04.0,Turnover by T. Harris (lost ball; steal by O. Porter),,11,14
63,1,4:00.0,,R. Sessions makes 2-pt dunk at rim (assist by O. Porter),11,16
64,1,3:48.0,J. Smith makes 2-pt layup from 2 ft (assist by E. Payton),,13,16
65,1,3:36.0,,O. Porter makes 2-pt jump shot from 15 ft,13,18
66,1,3:25.0,Turnover by E. Payton (bad pass; steal by O. Porter),,13,18
67,1,3:20.0,,G. Temple makes 2-pt layup from 1 ft (assist by O. Porter),13,20
