,QUARTER,TIME_REMAINING,NEW YORK_ACTION,NEW ORLEANS_ACTION,NEW YORK_SCORE,NEW ORLEANS_SCORE
0,1,11:37.0,R. Lopez makes 2-pt layup from 2 ft (assist by J. Calderón),,2,0
1,1,11:25.0,,A. Ajinça makes 2-pt jump shot from 19 ft (assist by L. Babbitt),2,2
2,1,11:09.0,Turnover by C. Anthony (bad pass; steal by J. Holiday),,2,2
3,1,11:03.0,,D. Cunningham makes 2-pt layup from 1 ft (assist by J. Holiday),2,4
4,1,10:46.0,K. Porziņģis makes 2-pt dunk at rim (assist by S. Vujačić),,4,4
5,1,10:29.0,,L. Babbitt makes 2-pt jump shot from 14 ft,4,6
6,1,10:19.0,Personal foul by Ö. Aşık,,4,6
7,1,10:12.0,,Violation by L. Babbitt (kicked ball),4,6
8,1,10:05.0,S. Vujačić makes 2-pt jump shot from 19 ft (assist by J. Calderón),,6,6
9,1,9:55.0,,A. Ajinça misses 2-pt jump shot from 20 ft,6,6
10,1,9:54.0,Defensive rebound by J. Calderón,,6,6
11,1,9:47.0,C. Anthony makes 3-pt jump shot from 26 ft (assist by J. Calderón),,9,6
12,1,9:38.0,,J. Holiday misses 2-pt layup at rim,9,6
13,1,9:37.0,Defensive rebound by R. Lopez,,9,6
14,1,9:26.0,K. Porziņģis makes 2-pt jump shot from 14 ft,,11,6
15,1,9:12.0,,Ö. Aşık misses 2-pt layup from 2 ft,11,6
16,1,9:11.0,Defensive rebound by R. Lopez,,11,6
17,1,8:52.0,R. Lopez misses 2-pt jump shot from 17 ft,,11,6
18,1,8:52.0,,Defensive rebound by Ö. Aşık,11,6
19,1,8:44.0,,J. Holiday misses 3-pt jump shot from 25 ft,11,6
20,1,8:43.0,Defensive rebound by S. Vujačić,,11,6
21,1,8:32.0,K. Porziņģis makes 3-pt jump shot from 25 ft (assist by C. Anthony),,14,6
22,1,8:26.0,,Personal block foul by J. Calderón,14,6
23,1,8:26.0,,New Orleans full timeout,14,6
24,1,8:08.0,,J. Holiday misses 2-pt jump shot from 19 ft (block by K. Porziņģis),14,6
25,1,8:08.0,Defensive rebound by J. Calderón,,14,6
26,1,8:02.0,C. Anthony misses 3-pt jump shot from 27 ft,,14,6
27,1,8:01.0,,Defensive rebound by Ö. Aşık,14,6
28,1,7:44.0,,Shooting foul by C. Anthony (drawn by D. Cunningham),14,6
29,1,7:44.0,,D. Cunningham makes free throw 1 of 2,14,7
30,1,7:44.0,,D. Cunningham misses free throw 2 of 2,14,7
31,1,7:43.0,,Offensive rebound by Ö. Aşık,14,7
32,1,7:36.0,,Turnover by Ö. Aşık (bad pass; steal by J. Calderón),14,7
33,1,7:29.0,R. Lopez makes 2-pt dunk at rim (assist by J. Calderón),,16,7
34,1,7:10.0,,A. Ajinça makes 2-pt jump shot from 7 ft,16,9
35,1,6:58.0,Shooting foul by L. Babbitt (drawn by R. Lopez),,16,9
36,1,6:58.0,R. Lopez misses free throw 1 of 2,,16,9
37,1,6:58.0,Offensive rebound by Team,,16,9
38,1,6:58.0,R. Lopez misses free throw 2 of 2,,16,9
39,1,6:57.0,,Defensive rebound by A. Ajinça,16,9
40,1,6:45.0,,J. Holiday makes 2-pt jump shot from 18 ft (assist by D. Cunningham),16,11
41,1,6:28.0,J. Calderón makes 3-pt jump shot from 26 ft (assist by S. Vujačić),,19,11
42,1,6:13.0,Violation by S. Vujačić (kicked ball),,19,11
43,1,6:06.0,,Turnover by Ö. Aşık (lost ball),19,11
44,1,5:47.0,S. Vujačić makes 2-pt jump shot from 18 ft (assist by C. Anthony),,21,11
45,1,5:24.0,,Ö. Aşık makes 2-pt dunk at rim (assist by L. Babbitt),21,13
46,1,5:06.0,J. Calderón misses 3-pt jump shot from 24 ft,,21,13
47,1,5:05.0,,Defensive rebound by L. Babbitt,21,13
48,1,4:56.0,,J. Holiday misses 3-pt jump shot from 24 ft,21,13
49,1,4:55.0,Defensive rebound by C. Anthony,,21,13
50,1,4:33.0,K. Porziņģis misses 3-pt jump shot from 26 ft,,21,13
51,1,4:32.0,,Defensive rebound by J. Holiday,21,13
52,1,4:26.0,,A. Ajinça makes 2-pt layup from 2 ft (assist by J. Holiday),21,15
53,1,4:19.0,New York full timeout,,21,15
54,1,4:19.0,,A. Gee enters the game for Ö. Aşık,21,15
55,1,4:15.0,Turnover by J. Calderón (bad pass; steal by J. Holiday),,21,15
56,1,4:00.0,,New Orleans full timeout,21,15
57,1,4:00.0,A. Afflalo enters the game for J. Calderón,,21,15
58,1,4:00.0,J. Grant enters the game for S. Vujačić,,21,15
59,1,3:56.0,,J. Holiday makes 2-pt jump shot from 13 ft,21,17
60,1,3:56.0,Loose ball foul by J. Grant,,21,17
61,1,3:56.0,,A. Ajinça makes free throw 1 of 1,21,18
62,1,3:36.0,J. Grant misses 2-pt jump shot from 11 ft,,21,18
63,1,3:36.0,,Defensive rebound by J. Holiday,21,18
64,1,3:25.0,,Personal foul by J. Grant,21,18
65,1,3:25.0,D. Williams enters the game for C. Anthony,,21,18
66,1,3:20.0,,J. Holiday misses 2-pt jump shot from 5 ft (block by R. Lopez),21,18
67,1,3:18.0,Defensive rebound by Team,,21,18
68,1,3:06.0,K. Porziņģis misses 2-pt jump shot from 20 ft,,21,18
69,1,3:05.0,,Defensive rebound by A. Ajinça,21,18
70,1,2:58.0,,Turnover by A. Ajinça (bad pass; steal by K. Porziņģis),21,18
71,1,2:49.0,D. Williams makes 2-pt layup from 1 ft,,23,18
72,1,2:35.0,,L. Babbitt misses 3-pt jump shot from 25 ft,23,18
73,1,2:34.0,Defensive rebound by A. Afflalo,,23,18
74,1,2:19.0,R. Lopez makes 2-pt layup at rim,,25,18
75,1,2:11.0,,A. Gee misses 2-pt layup from 2 ft,25,18
76,1,2:11.0,,Offensive rebound by Team,25,18
77,1,2:11.0,,Turnover by A. Gee (traveling),25,18
78,1,2:11.0,,T. Douglas enters the game for A. Ajinça,25,18
79,1,2:11.0,,J. Hamilton enters the game for L. Babbitt,25,18
80,1,2:11.0,,K. Perkins enters the game for J. Holiday,25,18
81,1,2:11.0,L. Galloway enters the game for K. Porziņģis,,25,18
82,1,2:00.0,Personal foul by J. Hamilton,,25,18
83,1,1:47.0,L. Galloway misses 3-pt jump shot from 26 ft,,25,18
84,1,1:46.0,,Defensive rebound by J. Hamilton,25,18
85,1,1:29.0,,Shooting foul by A. Afflalo (drawn by A. Gee),25,18
86,1,1:29.0,,A. Gee misses free throw 1 of 2,25,18
87,1,1:29.0,,Offensive rebound by Team,25,18
88,1,1:29.0,,A. Gee misses free throw 2 of 2,25,18
89,1,1:29.0,Defensive rebound by D. Williams,,25,18
90,1,1:08.0,D. Williams misses 2-pt jump shot from 18 ft,,25,18
91,1,1:07.0,,Defensive rebound by T. Douglas,25,18
92,1,1:00.0,,T. Douglas misses 2-pt layup from 2 ft (block by R. Lopez),25,18
93,1,1:00.0,,Offensive rebound by A. Gee,25,18
94,1,0:58.0,,A. Gee makes 2-pt dunk at rim,25,20
95,1,0:40.0,R. Lopez makes 2-pt dunk at rim (assist by J. Grant),,27,20
96,1,0:40.0,Shooting foul by J. Hamilton (drawn by R. Lopez),,27,20
97,1,0:40.0,R. Lopez makes free throw 1 of 1,,28,20
98,1,0:29.0,,D. Cunningham makes 2-pt jump shot from 19 ft (assist by A. Gee),28,22
99,1,0:09.0,J. Grant misses 2-pt layup at rim,,28,22
100,1,0:08.0,,Defensive rebound by D. Cunningham,28,22
101,1,0:03.0,,A. Gee makes 2-pt layup from 1 ft (assist by T. Douglas),28,24
102,2,12:00.0,,Violation by Team (delay of game),28,24
103,2,11:46.0,,Turnover by A. Gee (bad pass; steal by L. Galloway),28,24
104,2,11:42.0,L. Galloway makes 2-pt layup from 1 ft,,30,24
105,2,11:27.0,,D. Cunningham misses 2-pt layup from 1 ft,30,24
106,2,11:26.0,Defensive rebound by D. Williams,,30,24
107,2,11:12.0,D. Williams makes 2-pt layup from 4 ft,,32,24
108,2,10:57.0,,T. Douglas makes 2-pt jump shot from 19 ft,32,26
109,2,10:34.0,Turnover by D. Williams (lost ball; steal by A. Gee),,32,26
110,2,10:30.0,,A. Gee makes 2-pt layup from 1 ft (assist by T. Douglas),32,28
111,2,10:06.0,L. Galloway makes 2-pt jump shot from 10 ft,,34,28
112,2,9:53.0,,Turnover by T. Douglas (bad pass; steal by L. Galloway),34,28
113,2,9:43.0,Shooting foul by K. Perkins (drawn by L. Galloway),,34,28
114,2,9:43.0,L. Galloway makes free throw 1 of 2,,35,28
115,2,9:43.0,,T. Frazier enters the game for D. Cunningham,35,28
116,2,9:43.0,L. Galloway makes free throw 2 of 2,,36,28
117,2,9:34.0,,T. Douglas makes 3-pt jump shot from 26 ft,36,31
118,2,9:15.0,L. Galloway misses 3-pt jump shot from 25 ft,,36,31
119,2,9:14.0,,Defensive rebound by J. Hamilton,36,31
120,2,9:01.0,,T. Douglas misses 2-pt jump shot from 19 ft,36,31
121,2,9:00.0,Defensive rebound by A. Afflalo,,36,31
122,2,8:52.0,A. Afflalo misses 3-pt jump shot from 26 ft,,36,31
123,2,8:51.0,Offensive rebound by Team,,36,31
124,2,8:51.0,Official timeout,,36,31
125,2,8:44.0,D. Williams misses 2-pt layup from 3 ft,,36,31
126,2,8:43.0,,Defensive rebound by K. Perkins,36,31
127,2,8:33.0,,T. Frazier misses 2-pt jump shot from 15 ft,36,31
128,2,8:32.0,Defensive rebound by K. Séraphin,,36,31
129,2,8:20.0,K. Séraphin makes 2-pt jump shot from 16 ft (assist by J. Grant),,38,31
130,2,8:09.0,,T. Frazier misses 2-pt layup from 2 ft,38,31
131,2,8:08.0,,Offensive rebound by K. Perkins,38,31
132,2,8:04.0,,Shooting foul by K. Séraphin (drawn by A. Gee),38,31
133,2,8:04.0,,A. Gee makes free throw 1 of 2,38,32
134,2,8:04.0,,A. Gee misses free throw 2 of 2,38,32
135,2,8:03.0,Defensive rebound by K. Séraphin,,38,32
136,2,7:47.0,K. Séraphin makes 2-pt dunk at rim (assist by J. Grant),,40,32
137,2,7:30.0,,A. Gee misses 2-pt layup from 1 ft,40,32
138,2,7:30.0,Defensive rebound by Team,,40,32
139,2,7:19.0,A. Afflalo misses 2-pt jump shot from 13 ft,,40,32
140,2,7:19.0,,Defensive rebound by K. Perkins,40,32
141,2,7:09.0,,J. Hamilton misses 3-pt jump shot from 26 ft,40,32
142,2,7:08.0,Defensive rebound by K. Séraphin,,40,32
143,2,6:49.0,J. Grant misses 3-pt jump shot from 27 ft,,40,32
144,2,6:48.0,,Defensive rebound by T. Douglas,40,32
145,2,6:38.0,,T. Douglas makes 3-pt jump shot from 24 ft (assist by T. Frazier),40,35
146,2,6:24.0,K. Séraphin misses 2-pt layup from 1 ft (block by K. Perkins),,40,35
147,2,6:23.0,,Defensive rebound by J. Hamilton,40,35
148,2,6:18.0,,J. Hamilton makes 2-pt layup from 2 ft,40,37
149,2,6:08.0,Turnover by D. Williams (bad pass; steal by A. Gee),,40,37
150,2,6:02.0,,A. Gee makes 2-pt layup at rim,40,39
151,2,6:02.0,New York full timeout,,40,39
152,2,6:02.0,R. Lopez enters the game for A. Afflalo,,40,39
153,2,6:02.0,J. Calderón enters the game for J. Grant,,40,39
154,2,6:02.0,S. Vujačić enters the game for D. Williams,,40,39
155,2,6:02.0,C. Anthony enters the game for L. Galloway,,40,39
