,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,OKLAHOMA CITY_ACTION,MINNESOTA_SCORE,OKLAHOMA CITY_SCORE
0,1,11:48.0,Offensive charge foul by S. Adams (drawn by G. Dieng),,0,0
1,1,11:48.0,,Turnover by S. Adams (offensive foul),0,0
2,1,11:31.0,A. Wiggins makes 3-pt jump shot from 22 ft (assist by Z. LaVine),,3,0
3,1,11:18.0,,K. Durant misses 3-pt jump shot from 23 ft,3,0
4,1,11:17.0,Defensive rebound by G. Dieng,,3,0
5,1,11:00.0,A. Wiggins misses 2-pt layup at rim,,3,0
6,1,11:00.0,,Defensive rebound by S. Adams,3,0
7,1,10:53.0,,A. Roberson misses 2-pt layup at rim,3,0
8,1,10:52.0,,Offensive rebound by A. Roberson,3,0
9,1,10:52.0,,A. Roberson makes 2-pt layup at rim,3,2
10,1,10:33.0,G. Dieng misses 2-pt hook shot from 4 ft,,3,2
11,1,10:32.0,,Defensive rebound by R. Westbrook,3,2
12,1,10:28.0,,Turnover by S. Ibaka (traveling),3,2
13,1,10:12.0,Z. LaVine misses 2-pt jump shot from 21 ft,,3,2
14,1,10:12.0,,Defensive rebound by K. Durant,3,2
15,1,9:54.0,,Turnover by K. Durant (bad pass; steal by A. Wiggins),3,2
16,1,9:49.0,R. Rubio makes 2-pt layup from 1 ft,,5,2
17,1,9:37.0,,Personal foul by A. Wiggins,5,2
18,1,9:29.0,,R. Westbrook misses 2-pt layup from 1 ft (block by G. Dieng),5,2
19,1,9:28.0,,Offensive rebound by S. Adams,5,2
20,1,9:18.0,,S. Ibaka misses 2-pt jump shot from 19 ft,5,2
21,1,9:18.0,Defensive rebound by R. Rubio,,5,2
22,1,9:12.0,Shooting foul by S. Adams (drawn by Z. LaVine),,5,2
23,1,9:12.0,Z. LaVine makes free throw 1 of 2,,6,2
24,1,9:12.0,,E. Freedom enters the game for S. Adams,6,2
25,1,9:12.0,Z. LaVine makes free throw 2 of 2,,7,2
26,1,9:01.0,,K. Durant misses 3-pt jump shot from 24 ft,7,2
27,1,9:01.0,Defensive rebound by R. Rubio,,7,2
28,1,8:49.0,A. Wiggins makes 2-pt layup at rim,,9,2
29,1,8:43.0,,Oklahoma City full timeout,9,2
30,1,8:36.0,,E. Freedom makes 2-pt layup at rim (assist by K. Durant),9,4
31,1,8:18.0,A. Wiggins misses 2-pt layup from 2 ft,,9,4
32,1,8:17.0,,Defensive rebound by E. Freedom,9,4
33,1,8:06.0,,R. Westbrook misses 2-pt jump shot from 18 ft,9,4
34,1,8:06.0,,Offensive rebound by A. Roberson,9,4
35,1,8:02.0,,Turnover by R. Westbrook (bad pass; steal by G. Dieng),9,4
