,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,MILWAUKEE_ACTION,MINNESOTA_SCORE,MILWAUKEE_SCORE
0,1,11:43.0,Turnover by K. Towns (lost ball; steal by K. Middleton),,0,0
1,1,11:37.0,,Turnover by J. Parker (lost ball; steal by R. Rubio),0,0
2,1,11:35.0,R. Rubio misses 2-pt jump shot from 17 ft,,0,0
3,1,11:33.0,Offensive rebound by K. Towns,,0,0
4,1,11:32.0,K. Towns makes 2-pt layup at rim,,2,0
5,1,11:03.0,,J. Parker makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),2,3
6,1,10:45.0,K. Towns makes 2-pt hook shot from 5 ft (assist by R. Rubio),,4,3
7,1,10:32.0,,G. Antetokounmpo makes 2-pt layup at rim,4,5
8,1,10:15.0,K. Towns makes 2-pt jump shot from 10 ft (assist by R. Rubio),,6,5
9,1,10:10.0,,Personal foul by R. Rubio (drawn by G. Antetokounmpo),6,5
10,1,10:03.0,,J. Parker makes 2-pt jump shot from 11 ft (assist by G. Antetokounmpo),6,7
11,1,9:47.0,K. Towns makes 2-pt jump shot from 17 ft (assist by A. Wiggins),,8,7
12,1,9:34.0,,M. Plumlee makes 2-pt dunk at rim (assist by G. Antetokounmpo),8,9
13,1,9:19.0,Turnover by A. Wiggins (step out of bounds),,8,9
14,1,9:04.0,,J. Parker misses 2-pt jump shot from 19 ft,8,9
15,1,9:02.0,,Offensive rebound by M. Plumlee,8,9
16,1,8:58.0,,M. Plumlee makes 2-pt hook shot from 8 ft,8,11
17,1,8:49.0,A. Wiggins misses 2-pt jump shot from 17 ft,,8,11
18,1,8:46.0,,Defensive rebound by M. Plumlee,8,11
19,1,8:42.0,,Turnover by G. Antetokounmpo (bad pass; steal by Z. LaVine),8,11
20,1,8:42.0,Personal foul by O. Mayo (drawn by Z. LaVine),,8,11
21,1,8:31.0,K. Towns makes 3-pt jump shot from 24 ft (assist by G. Dieng),,11,11
22,1,8:19.0,,K. Middleton makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),11,14
23,1,8:05.0,Z. LaVine misses 3-pt jump shot from 26 ft,,11,14
24,1,8:03.0,,Defensive rebound by Team,11,14
25,1,7:55.0,,M. Plumlee makes 2-pt dunk at rim (assist by G. Antetokounmpo),11,16
26,1,7:47.0,Minnesota full timeout,,11,16
27,1,7:47.0,T. Prince enters the game for Z. LaVine,,11,16
28,1,7:32.0,Shooting block foul by J. Parker (drawn by A. Wiggins),,11,16
29,1,7:32.0,A. Wiggins misses free throw 1 of 2,,11,16
30,1,7:32.0,Offensive rebound by Team,,11,16
31,1,7:32.0,A. Wiggins makes free throw 2 of 2,,12,16
32,1,7:13.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,12,18
33,1,6:55.0,A. Wiggins makes 3-pt jump shot from 25 ft (assist by G. Dieng),,15,18
34,1,6:46.0,,G. Antetokounmpo misses 2-pt layup from 2 ft (block by G. Dieng),15,18
35,1,6:45.0,Defensive rebound by G. Dieng,,15,18
36,1,6:40.0,A. Wiggins makes 2-pt layup from 1 ft,,17,18
37,1,6:25.0,,O. Mayo makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),17,21
38,1,6:07.0,G. Dieng makes 2-pt jump shot from 5 ft (assist by K. Towns),,19,21
