,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,INDIANA_ACTION,CHARLOTTE_SCORE,INDIANA_SCORE
0,1,11:35.0,,M. Turner misses 2-pt jump shot from 19 ft,0,0
1,1,11:35.0,Defensive rebound by M. Williams,,0,0
2,1,11:21.0,C. Zeller makes 2-pt dunk from 2 ft (assist by N. Batum),,2,0
3,1,11:03.0,,P. George misses 2-pt jump shot from 18 ft,2,0
4,1,11:02.0,Defensive rebound by C. Zeller,,2,0
5,1,10:50.0,K. Walker makes 2-pt jump shot from 10 ft,,4,0
6,1,10:33.0,,M. Turner makes 2-pt dunk from 2 ft (assist by G. Hill),4,2
7,1,10:19.0,Turnover by C. Lee (lost ball; steal by I. Mahinmi),,4,2
8,1,10:03.0,,Shooting foul by M. Williams (drawn by I. Mahinmi),4,2
9,1,10:03.0,,I. Mahinmi misses free throw 1 of 2,4,2
10,1,10:03.0,,Offensive rebound by Team,4,2
11,1,10:03.0,,I. Mahinmi makes free throw 2 of 2,4,3
12,1,9:48.0,K. Walker misses 2-pt layup from 4 ft,,4,3
13,1,9:48.0,,Defensive rebound by Team,4,3
14,1,9:38.0,,M. Ellis misses 3-pt jump shot from 26 ft,4,3
15,1,9:37.0,Defensive rebound by M. Williams,,4,3
16,1,9:28.0,N. Batum makes 2-pt layup from 3 ft,,6,3
17,1,9:15.0,,M. Turner misses 2-pt jump shot from 18 ft (block by M. Williams),6,3
18,1,9:14.0,,Offensive rebound by I. Mahinmi,6,3
19,1,9:11.0,,M. Turner makes 2-pt layup from 2 ft (assist by I. Mahinmi),6,5
20,1,8:48.0,M. Williams misses 3-pt jump shot from 25 ft,,6,5
21,1,8:47.0,,Defensive rebound by I. Mahinmi,6,5
22,1,8:38.0,,M. Turner makes 2-pt layup from 2 ft (assist by P. George),6,7
23,1,8:24.0,Turnover by N. Batum (bad pass; steal by I. Mahinmi),,6,7
24,1,8:20.0,,Shooting foul by K. Walker (drawn by M. Ellis),6,7
25,1,8:20.0,,M. Ellis makes free throw 1 of 2,6,8
26,1,8:20.0,,M. Ellis makes free throw 2 of 2,6,9
27,1,8:08.0,Shooting block foul by P. George (drawn by N. Batum),,6,9
28,1,8:08.0,N. Batum makes free throw 1 of 2,,7,9
29,1,8:08.0,N. Batum makes free throw 2 of 2,,8,9
30,1,7:57.0,,M. Turner makes 2-pt jump shot from 11 ft,8,11
31,1,7:42.0,C. Lee makes 3-pt jump shot from 25 ft (assist by K. Walker),,11,11
32,1,7:29.0,,P. George makes 2-pt jump shot from 18 ft (assist by G. Hill),11,13
33,1,7:15.0,M. Williams makes 3-pt jump shot from 26 ft (assist by K. Walker),,14,13
34,1,6:56.0,,M. Ellis makes 2-pt jump shot from 16 ft,14,15
35,1,6:41.0,M. Williams misses 3-pt jump shot from 25 ft,,14,15
36,1,6:41.0,,Defensive rebound by G. Hill,14,15
37,1,6:31.0,,Turnover by I. Mahinmi (bad pass; steal by C. Lee),14,15
38,1,6:24.0,K. Walker makes 3-pt jump shot from 24 ft (assist by N. Batum),,17,15
39,1,6:24.0,,Indiana full timeout,17,15
40,1,6:11.0,,Turnover by M. Ellis (bad pass; steal by N. Batum),17,15
41,1,6:04.0,C. Lee misses 3-pt jump shot from 26 ft,,17,15
42,1,6:03.0,,Defensive rebound by M. Turner,17,15
43,1,5:55.0,,G. Hill misses 2-pt jump shot from 19 ft,17,15
44,1,5:54.0,Defensive rebound by C. Zeller,,17,15
45,1,5:38.0,Shooting block foul by I. Mahinmi (drawn by C. Zeller),,17,15
46,1,5:38.0,C. Zeller makes 2-pt layup from 3 ft (assist by N. Batum),,19,15
47,1,5:38.0,C. Zeller makes free throw 1 of 1,,20,15
48,1,5:23.0,,P. George misses 2-pt jump shot from 15 ft,20,15
49,1,5:23.0,Defensive rebound by M. Williams,,20,15
50,1,5:07.0,C. Lee misses 3-pt jump shot from 24 ft,,20,15
51,1,5:07.0,,Defensive rebound by P. George,20,15
52,1,4:57.0,,I. Mahinmi makes 2-pt hook shot from 5 ft (assist by P. George),20,17
53,1,4:44.0,C. Zeller makes 2-pt layup from 3 ft (assist by K. Walker),,22,17
54,1,4:31.0,,G. Hill makes 3-pt jump shot from 25 ft (assist by I. Mahinmi),22,20
55,1,4:17.0,K. Walker makes 2-pt jump shot from 19 ft,,24,20
56,1,4:10.0,,Personal foul by C. Zeller (drawn by I. Mahinmi),24,20
57,1,4:10.0,,R. Stuckey enters the game for M. Ellis,24,20
58,1,4:10.0,A. Jefferson enters the game for C. Zeller,,24,20
59,1,4:10.0,J. Lin enters the game for C. Lee,,24,20
60,1,4:01.0,,M. Turner misses 2-pt jump shot from 19 ft,24,20
61,1,4:00.0,Defensive rebound by Team,,24,20
62,1,3:49.0,Turnover by K. Walker (bad pass; steal by P. George),,24,20
63,1,3:38.0,,G. Hill misses 2-pt jump shot from 14 ft,24,20
64,1,3:38.0,,Offensive rebound by Team,24,20
65,1,3:38.0,,L. Allen enters the game for M. Turner,24,20
66,1,3:27.0,,G. Hill misses 2-pt jump shot from 21 ft,24,20
67,1,3:26.0,Defensive rebound by N. Batum,,24,20
68,1,3:04.0,A. Jefferson makes 2-pt jump shot from 17 ft (assist by N. Batum),,26,20
69,1,2:48.0,,P. George makes 2-pt jump shot from 19 ft,26,22
70,1,2:31.0,K. Walker misses 3-pt jump shot from 25 ft,,26,22
71,1,2:30.0,Offensive rebound by M. Williams,,26,22
72,1,2:25.0,K. Walker misses 3-pt jump shot from 26 ft,,26,22
73,1,2:25.0,,Defensive rebound by R. Stuckey,26,22
74,1,2:19.0,,G. Hill misses 3-pt jump shot from 25 ft,26,22
75,1,2:18.0,Defensive rebound by M. Williams,,26,22
76,1,2:11.0,N. Batum misses 2-pt layup from 5 ft,,26,22
77,1,2:10.0,,Defensive rebound by R. Stuckey,26,22
78,1,2:03.0,,R. Stuckey makes 2-pt jump shot from 17 ft,26,24
79,1,1:54.0,Turnover by M. Williams (bad pass),,26,24
80,1,1:54.0,Charlotte full timeout,,26,24
81,1,1:54.0,F. Kaminsky enters the game for M. Williams,,26,24
82,1,1:54.0,,J. Hill enters the game for I. Mahinmi,26,24
83,1,1:41.0,,R. Stuckey misses 2-pt jump shot from 15 ft,26,24
84,1,1:40.0,Defensive rebound by K. Walker,,26,24
85,1,1:30.0,A. Jefferson makes 2-pt jump shot from 12 ft (assist by K. Walker),,28,24
86,1,1:15.0,,P. George makes 2-pt jump shot from 20 ft (assist by G. Hill),28,26
87,1,0:58.0,A. Jefferson misses 2-pt hook shot from 7 ft,,28,26
88,1,0:57.0,,Defensive rebound by L. Allen,28,26
89,1,0:42.0,,P. George misses 2-pt jump shot from 16 ft,28,26
90,1,0:41.0,Defensive rebound by F. Kaminsky,,28,26
91,1,0:36.0,Shooting foul by G. Hill (drawn by K. Walker),,28,26
92,1,0:36.0,K. Walker makes free throw 1 of 2,,29,26
93,1,0:36.0,K. Walker misses free throw 2 of 2,,29,26
94,1,0:36.0,,Defensive rebound by P. George,29,26
95,1,0:25.0,,P. George misses 2-pt jump shot from 23 ft,29,26
96,1,0:24.0,Defensive rebound by K. Walker,,29,26
97,1,0:02.0,J. Lin misses 2-pt jump shot from 14 ft (block by P. George),,29,26
98,1,0:01.0,,Defensive rebound by G. Hill,29,26
99,2,11:49.0,A. Jefferson misses 2-pt hook shot from 7 ft,,29,26
100,2,11:48.0,Offensive rebound by F. Kaminsky,,29,26
101,2,11:32.0,F. Kaminsky misses 3-pt jump shot from 26 ft,,29,26
102,2,11:32.0,,Defensive rebound by J. Hill,29,26
103,2,11:11.0,,M. Ellis misses 3-pt jump shot from 26 ft,29,26
104,2,11:11.0,Defensive rebound by J. Lin,,29,26
105,2,10:55.0,F. Kaminsky misses 2-pt jump shot from 12 ft,,29,26
106,2,10:54.0,,Defensive rebound by J. Hill,29,26
107,2,10:45.0,,Def 3 sec tech foul by A. Jefferson,29,26
108,2,10:45.0,,R. Stuckey makes technical free throw,29,27
109,2,10:35.0,,L. Allen misses 2-pt hook shot from 5 ft,29,27
110,2,10:35.0,Defensive rebound by J. Lin,,29,27
111,2,10:28.0,J. Lin misses 2-pt layup from 4 ft (block by L. Allen),,29,27
112,2,10:27.0,,Defensive rebound by M. Ellis,29,27
113,2,10:23.0,,R. Stuckey misses 2-pt layup from 1 ft (block by F. Kaminsky),29,27
114,2,10:22.0,Defensive rebound by J. Lamb,,29,27
115,2,10:13.0,J. Lin makes 3-pt jump shot from 23 ft (assist by K. Walker),,32,27
116,2,10:00.0,,Turnover by M. Ellis (bad pass; steal by K. Walker),32,27
117,2,9:55.0,J. Lin makes 2-pt layup from 2 ft (assist by K. Walker),,34,27
118,2,9:36.0,C. Lee enters the game for K. Walker,,34,27
119,2,9:36.0,,C. Budinger enters the game for R. Stuckey,34,27
120,2,9:29.0,,M. Ellis misses 2-pt jump shot from 9 ft (block by A. Jefferson),34,27
121,2,9:28.0,,Offensive rebound by L. Allen,34,27
122,2,9:26.0,,L. Allen makes 2-pt layup from 1 ft,34,29
123,2,9:12.0,A. Jefferson makes 2-pt jump shot from 4 ft,,36,29
124,2,8:54.0,,C. Budinger makes 2-pt layup from 3 ft (assist by J. Hill),36,31
125,2,8:42.0,J. Lin misses 2-pt jump shot from 19 ft,,36,31
126,2,8:42.0,,Defensive rebound by L. Allen,36,31
127,2,8:35.0,,Personal foul by J. Lin (drawn by M. Ellis),36,31
128,2,8:35.0,Official timeout,,36,31
129,2,8:18.0,,J. Hill misses 2-pt hook shot from 6 ft,36,31
130,2,8:17.0,Defensive rebound by C. Lee,,36,31
131,2,8:03.0,C. Lee misses 2-pt jump shot from 10 ft (block by L. Allen),,36,31
132,2,8:02.0,,Defensive rebound by L. Allen,36,31
133,2,7:55.0,,M. Ellis misses 2-pt jump shot from 16 ft,36,31
134,2,7:55.0,,Offensive rebound by J. Hill,36,31
135,2,7:55.0,Loose ball foul by J. Lamb (drawn by J. Hill),,36,31
136,2,7:44.0,,Turnover by J. Hill (bad pass; steal by F. Kaminsky),36,31
137,2,7:35.0,A. Jefferson makes 2-pt jump shot from 17 ft (assist by C. Lee),,38,31
