,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,CLEVELAND_ACTION,BROOKLYN_SCORE,CLEVELAND_SCORE
0,1,11:44.0,,K. Irving misses 3-pt jump shot from 22 ft,0,0
1,1,11:43.0,Defensive rebound by H. Sims,,0,0
2,1,11:31.0,Turnover by S. Larkin (bad pass),,0,0
3,1,11:19.0,,Shooting foul by B. Bogdanović (drawn by K. Love),0,0
4,1,11:19.0,,K. Love makes free throw 1 of 2,0,1
5,1,11:19.0,,K. Love misses free throw 2 of 2,0,1
6,1,11:17.0,Defensive rebound by B. Bogdanović,,0,1
7,1,10:56.0,T. Young makes 2-pt jump shot from 9 ft (assist by S. Larkin),,2,1
8,1,10:34.0,,Turnover by K. Love (lost ball; steal by S. Larkin),2,1
9,1,10:28.0,W. Ellington misses 2-pt jump shot from 15 ft,,2,1
10,1,10:26.0,Offensive rebound by T. Young,,2,1
11,1,10:21.0,W. Ellington misses 2-pt jump shot from 3 ft,,2,1
12,1,10:20.0,,Defensive rebound by T. Mozgov,2,1
13,1,10:12.0,,J. Smith misses 3-pt jump shot from 24 ft,2,1
14,1,10:12.0,Defensive rebound by B. Bogdanović,,2,1
15,1,10:09.0,Shooting foul by J. Smith (drawn by B. Bogdanović),,2,1
16,1,10:09.0,Brooklyn full timeout,,2,1
17,1,10:09.0,B. Bogdanović misses free throw 1 of 2,,2,1
18,1,10:09.0,Offensive rebound by Team,,2,1
19,1,10:09.0,B. Bogdanović makes free throw 2 of 2,,3,1
20,1,9:58.0,,L. James misses 2-pt layup from 1 ft,3,1
21,1,9:58.0,Defensive rebound by H. Sims,,3,1
22,1,9:43.0,T. Young misses 2-pt jump shot from 6 ft,,3,1
23,1,9:43.0,,Defensive rebound by Team,3,1
24,1,9:31.0,,T. Mozgov makes 2-pt dunk at rim (assist by L. James),3,3
25,1,9:16.0,S. Kilpatrick enters the game for B. Bogdanović,,3,3
26,1,9:07.0,T. Young makes 2-pt layup at rim (assist by S. Larkin),,5,3
27,1,8:56.0,,Shooting foul by S. Larkin (drawn by K. Irving),5,3
28,1,8:56.0,,K. Irving makes free throw 1 of 2,5,4
29,1,8:56.0,B. Bogdanović enters the game for S. Kilpatrick,,5,4
30,1,8:56.0,,K. Irving makes free throw 2 of 2,5,5
31,1,8:32.0,W. Ellington misses 2-pt jump shot from 21 ft,,5,5
32,1,8:31.0,,Defensive rebound by Team,5,5
33,1,8:31.0,Loose ball foul by H. Sims,,5,5
34,1,8:15.0,,T. Mozgov misses 2-pt jump shot from 16 ft,5,5
35,1,8:14.0,Defensive rebound by W. Ellington,,5,5
36,1,8:10.0,Shooting foul by T. Mozgov (drawn by H. Sims),,5,5
37,1,8:10.0,H. Sims makes free throw 1 of 2,,6,5
38,1,8:10.0,H. Sims misses free throw 2 of 2,,6,5
39,1,8:09.0,,Defensive rebound by K. Love,6,5
40,1,7:59.0,,K. Love misses 3-pt jump shot from 24 ft,6,5
41,1,7:59.0,Defensive rebound by W. Ellington,,6,5
42,1,7:47.0,B. Bogdanović misses 2-pt jump shot from 12 ft (block by L. James),,6,5
43,1,7:47.0,Offensive rebound by Team,,6,5
44,1,7:35.0,S. Larkin misses 2-pt layup from 1 ft,,6,5
45,1,7:33.0,,Defensive rebound by T. Mozgov,6,5
46,1,7:33.0,,Shooting foul by B. Bogdanović (drawn by L. James),6,5
47,1,7:33.0,,L. James makes free throw 1 of 2,6,6
48,1,7:33.0,,L. James misses free throw 2 of 2,6,6
49,1,7:33.0,Defensive rebound by B. Bogdanović,,6,6
50,1,7:12.0,Shooting foul by T. Mozgov (drawn by H. Sims),,6,6
51,1,7:12.0,H. Sims makes free throw 1 of 2,,7,6
52,1,7:12.0,,T. Thompson enters the game for T. Mozgov,7,6
53,1,7:12.0,H. Sims makes free throw 2 of 2,,8,6
54,1,6:56.0,,K. Irving misses 3-pt jump shot from 25 ft,8,6
55,1,6:56.0,Defensive rebound by B. Bogdanović,,8,6
56,1,6:51.0,B. Bogdanović makes 2-pt layup at rim,,10,6
57,1,6:37.0,,J. Smith makes 2-pt jump shot from 8 ft (assist by K. Irving),10,8
58,1,6:22.0,T. Young makes 2-pt layup at rim (assist by B. Bogdanović),,12,8
59,1,5:57.0,,J. Smith misses 3-pt jump shot from 25 ft,12,8
60,1,5:56.0,Defensive rebound by H. Sims,,12,8
61,1,5:38.0,T. Young misses 2-pt jump shot from 12 ft,,12,8
62,1,5:38.0,,Defensive rebound by L. James,12,8
63,1,5:28.0,,K. Love makes 3-pt jump shot from 23 ft (assist by L. James),12,11
64,1,5:09.0,B. Bogdanović misses 3-pt jump shot from 23 ft,,12,11
65,1,5:08.0,,Defensive rebound by K. Love,12,11
66,1,5:01.0,Violation by B. Bogdanović (kicked ball),,12,11
67,1,5:01.0,,Cleveland full timeout,12,11
68,1,4:53.0,,J. Smith misses 3-pt jump shot from 24 ft,12,11
69,1,4:53.0,,Offensive rebound by K. Love,12,11
70,1,4:51.0,,Shooting foul by T. Young (drawn by K. Love),12,11
71,1,4:51.0,,K. Love makes free throw 1 of 2,12,12
72,1,4:51.0,,K. Love makes free throw 2 of 2,12,13
73,1,4:31.0,S. Larkin makes 2-pt layup at rim (assist by B. Bogdanović),,14,13
74,1,4:25.0,,L. James makes 2-pt layup from 2 ft (assist by J. Smith),14,15
75,1,4:16.0,W. Ellington misses 3-pt jump shot from 24 ft,,14,15
76,1,4:16.0,Offensive rebound by H. Sims,,14,15
77,1,4:13.0,B. Bogdanović misses 3-pt jump shot from 24 ft,,14,15
78,1,4:11.0,,Defensive rebound by K. Love,14,15
79,1,4:09.0,,Turnover by K. Love (bad pass; steal by H. Sims),14,15
80,1,4:08.0,H. Sims misses 2-pt layup from 1 ft,,14,15
81,1,4:05.0,Offensive rebound by T. Young,,14,15
82,1,4:04.0,,M. Dellavedova enters the game for K. Irving,14,15
83,1,4:04.0,M. Brown enters the game for W. Ellington,,14,15
84,1,4:04.0,S. Kilpatrick enters the game for B. Bogdanović,,14,15
85,1,4:03.0,Turnover by T. Young (lost ball; steal by T. Thompson),,14,15
86,1,3:52.0,,L. James makes 2-pt layup at rim (assist by M. Dellavedova),14,17
87,1,3:52.0,,Shooting foul by S. Kilpatrick (drawn by L. James),14,17
88,1,3:52.0,T. Robinson enters the game for H. Sims,,14,17
89,1,3:52.0,,L. James makes free throw 1 of 1,14,18
90,1,3:33.0,T. Young makes 2-pt jump shot from 17 ft (assist by S. Larkin),,16,18
91,1,3:18.0,,J. Smith makes 3-pt jump shot from 25 ft (assist by M. Dellavedova),16,21
92,1,2:56.0,S. Larkin makes 2-pt jump shot from 18 ft (assist by M. Brown),,18,21
93,1,2:39.0,,K. Love makes 2-pt jump shot from 2 ft (assist by L. James),18,23
94,1,2:20.0,M. Brown misses 2-pt hook shot from 10 ft,,18,23
95,1,2:19.0,,Defensive rebound by K. Love,18,23
96,1,2:08.0,,K. Love misses 3-pt jump shot from 25 ft,18,23
97,1,2:08.0,Defensive rebound by T. Robinson,,18,23
98,1,2:03.0,Turnover by S. Larkin (bad pass),,18,23
99,1,2:03.0,Brooklyn full timeout,,18,23
100,1,2:03.0,D. Sloan enters the game for S. Larkin,,18,23
101,1,2:03.0,,I. Shumpert enters the game for K. Love,18,23
102,1,2:03.0,,C. Frye enters the game for J. Smith,18,23
103,1,1:50.0,,C. Frye makes 3-pt jump shot from 24 ft (assist by L. James),18,26
104,1,1:36.0,M. Brown misses 3-pt jump shot from 24 ft,,18,26
105,1,1:36.0,,Defensive rebound by Team,18,26
106,1,1:36.0,C. McCullough enters the game for T. Young,,18,26
107,1,1:27.0,,C. Frye makes 3-pt jump shot from 22 ft (assist by L. James),18,29
108,1,1:01.0,D. Sloan misses 2-pt jump shot from 15 ft,,18,29
109,1,1:00.0,,Defensive rebound by L. James,18,29
110,1,0:57.0,,Turnover by L. James (lost ball; steal by C. McCullough),18,29
111,1,0:54.0,T. Robinson makes 2-pt dunk at rim (assist by M. Brown),,20,29
112,1,0:36.0,,Turnover by L. James (bad pass),20,29
113,1,0:15.0,S. Kilpatrick misses 3-pt jump shot from 23 ft,,20,29
114,1,0:13.0,Offensive rebound by C. McCullough,,20,29
115,1,0:13.0,C. McCullough makes 2-pt dunk at rim,,22,29
116,2,11:42.0,S. Kilpatrick misses 3-pt jump shot from 24 ft,,22,29
117,2,11:42.0,,Defensive rebound by K. Irving,22,29
118,2,11:24.0,,M. Dellavedova misses 3-pt jump shot from 25 ft,22,29
119,2,11:22.0,,Offensive rebound by C. Frye,22,29
120,2,11:22.0,,C. Frye makes 2-pt layup at rim,22,31
121,2,11:02.0,S. Kilpatrick misses 2-pt layup at rim,,22,31
122,2,11:01.0,,Defensive rebound by C. Frye,22,31
123,2,10:54.0,,K. Irving misses 2-pt layup from 1 ft,22,31
124,2,10:52.0,Defensive rebound by T. Robinson,,22,31
125,2,10:45.0,S. Kilpatrick misses 3-pt jump shot from 24 ft,,22,31
126,2,10:45.0,Offensive rebound by Team,,22,31
127,2,10:45.0,Personal foul by M. Dellavedova,,22,31
128,2,10:34.0,T. Robinson makes 2-pt layup from 1 ft (assist by D. Sloan),,24,31
129,2,10:26.0,,Turnover by T. Thompson (lost ball; steal by T. Robinson),24,31
130,2,10:18.0,S. Kilpatrick makes 2-pt layup from 1 ft (assist by T. Robinson),,26,31
131,2,10:03.0,,Turnover by K. Irving (bad pass),26,31
132,2,9:49.0,C. McCullough misses 3-pt jump shot from 25 ft,,26,31
133,2,9:48.0,,Defensive rebound by I. Shumpert,26,31
134,2,9:38.0,,M. Dellavedova misses 3-pt jump shot from 25 ft,26,31
135,2,9:38.0,Defensive rebound by M. Brown,,26,31
136,2,9:22.0,T. Robinson misses 2-pt jump shot from 17 ft,,26,31
137,2,9:22.0,,Defensive rebound by I. Shumpert,26,31
138,2,9:13.0,,I. Shumpert misses 3-pt jump shot from 25 ft,26,31
139,2,9:12.0,,Offensive rebound by Team,26,31
140,2,9:08.0,,K. Irving misses 2-pt jump shot from 12 ft,26,31
141,2,9:08.0,Defensive rebound by M. Brown,,26,31
142,2,9:00.0,Personal foul by K. Irving,,26,31
143,2,8:47.0,C. McCullough makes 2-pt jump shot from 16 ft (assist by D. Sloan),,28,31
144,2,8:31.0,,I. Shumpert makes 2-pt jump shot from 8 ft (assist by K. Irving),28,33
145,2,8:31.0,,Shooting foul by C. McCullough (drawn by I. Shumpert),28,33
146,2,8:31.0,Official timeout,,28,33
147,2,8:31.0,,I. Shumpert makes free throw 1 of 1,28,34
148,2,8:08.0,M. Brown misses 2-pt jump shot from 15 ft,,28,34
149,2,8:07.0,Offensive rebound by T. Robinson,,28,34
150,2,8:03.0,T. Robinson misses 2-pt layup from 2 ft,,28,34
151,2,8:01.0,Offensive rebound by C. McCullough,,28,34
152,2,8:01.0,C. McCullough makes 2-pt layup at rim,,30,34
153,2,7:50.0,,K. Irving makes 2-pt layup at rim,30,36
154,2,7:42.0,D. Sloan makes 2-pt layup from 1 ft,,32,36
155,2,7:42.0,Shooting foul by T. Thompson (drawn by D. Sloan),,32,36
156,2,7:42.0,D. Sloan makes free throw 1 of 1,,33,36
157,2,7:27.0,,Shooting foul by C. McCullough (drawn by I. Shumpert),33,36
158,2,7:27.0,,I. Shumpert makes free throw 1 of 2,33,37
159,2,7:27.0,,I. Shumpert makes free throw 2 of 2,33,38
160,2,7:15.0,S. Kilpatrick misses 2-pt jump shot from 14 ft,,33,38
161,2,7:13.0,Offensive rebound by T. Robinson,,33,38
162,2,7:12.0,T. Robinson misses 2-pt layup from 1 ft (block by K. Irving),,33,38
163,2,7:12.0,Offensive rebound by Team,,33,38
164,2,7:12.0,,Violation by Team (jump ball),33,38
165,2,6:57.0,T. Robinson misses 2-pt jump shot from 12 ft,,33,38
166,2,6:56.0,,Defensive rebound by I. Shumpert,33,38
167,2,6:42.0,,Turnover by I. Shumpert (bad pass; steal by M. Brown),33,38
168,2,6:40.0,Personal foul by M. Dellavedova,,33,38
169,2,6:40.0,,L. James enters the game for M. Dellavedova,33,38
170,2,6:40.0,,J. Smith enters the game for C. Frye,33,38
171,2,6:40.0,,K. Love enters the game for I. Shumpert,33,38
172,2,6:35.0,D. Sloan misses 3-pt jump shot from 25 ft,,33,38
173,2,6:34.0,,Defensive rebound by L. James,33,38
174,2,6:26.0,,J. Smith makes 3-pt jump shot from 25 ft (assist by L. James),33,41
175,2,6:26.0,Brooklyn full timeout,,33,41
176,2,6:26.0,B. Bogdanović enters the game for S. Kilpatrick,,33,41
177,2,6:26.0,T. Young enters the game for D. Sloan,,33,41
178,2,6:26.0,S. Larkin enters the game for C. McCullough,,33,41
179,2,6:07.0,T. Robinson misses 2-pt layup from 1 ft (block by T. Thompson),,33,41
180,2,6:04.0,,Defensive rebound by T. Thompson,33,41
181,2,5:58.0,,K. Love makes 3-pt jump shot from 22 ft (assist by L. James),33,44
182,2,5:41.0,T. Young misses 2-pt jump shot from 20 ft,,33,44
183,2,5:40.0,,Defensive rebound by T. Thompson,33,44
184,2,5:33.0,,Turnover by J. Smith (bad pass),33,44
185,2,5:33.0,H. Sims enters the game for M. Brown,,33,44
186,2,5:33.0,W. Ellington enters the game for T. Robinson,,33,44
187,2,5:33.0,,T. Mozgov enters the game for T. Thompson,33,44
188,2,5:13.0,H. Sims misses 2-pt layup from 1 ft,,33,44
189,2,5:13.0,,Defensive rebound by T. Mozgov,33,44
