,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,TORONTO_ACTION,SACRAMENTO_SCORE,TORONTO_SCORE
0,1,11:44.0,,Turnover by D. DeRozan (lost ball; steal by D. Cousins),0,0
1,1,11:36.0,R. Gay makes 2-pt dunk at rim (assist by O. Casspi),,2,0
2,1,11:24.0,,Turnover by D. DeRozan (bad pass; steal by R. Gay),2,0
3,1,11:15.0,D. Cousins makes 3-pt jump shot from 25 ft (assist by R. Rondo),,5,0
4,1,10:52.0,,L. Scola misses 2-pt jump shot from 4 ft (block by R. Gay),5,0
5,1,10:50.0,Defensive rebound by Team,,5,0
6,1,10:26.0,D. Cousins misses 2-pt jump shot from 18 ft,,5,0
7,1,10:25.0,,Defensive rebound by L. Scola,5,0
8,1,10:15.0,,Turnover by K. Lowry (lost ball; steal by R. Rondo),5,0
9,1,10:09.0,B. McLemore makes 2-pt dunk at rim (assist by R. Rondo),,7,0
10,1,10:07.0,,Toronto full timeout,7,0
11,1,9:57.0,,D. DeRozan makes 2-pt jump shot from 13 ft (assist by K. Lowry),7,2
12,1,9:50.0,R. Gay misses 2-pt dunk at rim,,7,2
13,1,9:49.0,,Defensive rebound by D. DeRozan,7,2
14,1,9:27.0,,L. Scola misses 2-pt layup from 1 ft,7,2
15,1,9:27.0,Defensive rebound by D. Cousins,,7,2
16,1,9:21.0,R. Rondo makes 2-pt layup at rim,,9,2
17,1,9:03.0,,B. Biyombo misses 2-pt jump shot from 8 ft (block by D. Cousins),9,2
18,1,9:02.0,Defensive rebound by R. Gay,,9,2
19,1,8:58.0,R. Gay misses 2-pt layup from 1 ft,,9,2
20,1,8:58.0,Offensive rebound by B. McLemore,,9,2
21,1,8:56.0,Personal foul by B. Biyombo (drawn by D. Cousins),,9,2
22,1,8:56.0,,T. Ross enters the game for J. Johnson,9,2
23,1,8:56.0,,C. Joseph enters the game for L. Scola,9,2
24,1,8:42.0,R. Rondo makes 3-pt jump shot from 23 ft (assist by D. Cousins),,12,2
25,1,8:20.0,,B. Biyombo misses 2-pt dunk at rim (block by D. Cousins),12,2
26,1,8:18.0,Defensive rebound by O. Casspi,,12,2
27,1,8:12.0,B. McLemore makes 3-pt jump shot from 24 ft (assist by R. Rondo),,15,2
28,1,7:49.0,,K. Lowry misses 2-pt jump shot from 16 ft,15,2
29,1,7:49.0,Defensive rebound by O. Casspi,,15,2
30,1,7:39.0,B. McLemore makes 2-pt layup from 2 ft (assist by R. Rondo),,17,2
31,1,7:22.0,,Personal foul by R. Gay (drawn by D. DeRozan),17,2
32,1,7:22.0,M. Belinelli enters the game for B. McLemore,,17,2
33,1,7:08.0,,C. Joseph makes 2-pt jump shot from 16 ft,17,4
34,1,6:49.0,O. Casspi misses 2-pt jump shot from 6 ft,,17,4
35,1,6:49.0,,Defensive rebound by B. Biyombo,17,4
36,1,6:40.0,,Personal block foul by D. Cousins (drawn by D. DeRozan),17,4
37,1,6:33.0,,D. DeRozan makes 2-pt jump shot from 18 ft,17,6
38,1,6:14.0,O. Casspi makes 3-pt jump shot from 22 ft (assist by R. Rondo),,20,6
39,1,5:56.0,,C. Joseph misses 3-pt jump shot from 26 ft,20,6
40,1,5:55.0,Defensive rebound by D. Cousins,,20,6
41,1,5:44.0,O. Casspi makes 2-pt layup from 1 ft (assist by D. Cousins),,22,6
42,1,5:44.0,Shooting foul by D. DeRozan (drawn by O. Casspi),,22,6
43,1,5:44.0,O. Casspi misses free throw 1 of 1,,22,6
