,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,DENVER_ACTION,PHILADELPHIA_SCORE,DENVER_SCORE
0,1,11:38.0,,N. Jokić makes 2-pt jump shot from 3 ft,0,2
1,1,11:28.0,Turnover by I. Canaan (back court),,0,2
2,1,11:08.0,,J. Sampson makes 2-pt dunk at rim (assist by N. Jokić),0,4
3,1,10:56.0,I. Smith misses 2-pt jump shot from 13 ft,,0,4
4,1,10:55.0,,Defensive rebound by E. Mudiay,0,4
5,1,10:49.0,,E. Mudiay misses 2-pt jump shot from 12 ft,0,4
6,1,10:48.0,Defensive rebound by C. Landry,,0,4
7,1,10:26.0,I. Smith misses 2-pt jump shot from 13 ft,,0,4
8,1,10:25.0,,Defensive rebound by J. Sampson,0,4
9,1,10:14.0,,E. Mudiay makes 2-pt layup from 1 ft (assist by N. Jokić),0,6
10,1,9:56.0,H. Thompson misses 3-pt jump shot from 24 ft,,0,6
11,1,9:55.0,,Defensive rebound by N. Jokić,0,6
12,1,9:35.0,,E. Mudiay makes 2-pt jump shot from 14 ft,0,8
13,1,9:26.0,Shooting foul by J. Sampson (drawn by C. Landry),,0,8
14,1,9:26.0,C. Landry makes free throw 1 of 2,,1,8
15,1,9:26.0,C. Landry makes free throw 2 of 2,,2,8
16,1,9:13.0,,G. Harris misses 2-pt jump shot from 7 ft,2,8
17,1,9:13.0,,Offensive rebound by G. Harris,2,8
18,1,9:10.0,,G. Harris makes 2-pt layup from 1 ft,2,10
19,1,8:55.0,I. Canaan makes 3-pt jump shot from 23 ft (assist by I. Smith),,5,10
20,1,8:38.0,,J. Sampson makes 2-pt layup from 1 ft,5,12
21,1,8:28.0,H. Thompson misses 3-pt jump shot from 24 ft,,5,12
22,1,8:27.0,Offensive rebound by H. Thompson,,5,12
23,1,8:23.0,H. Thompson makes 2-pt layup from 1 ft,,7,12
24,1,8:11.0,,G. Harris misses 3-pt jump shot from 23 ft,7,12
25,1,8:10.0,Defensive rebound by J. Grant,,7,12
26,1,8:02.0,Turnover by I. Smith (lost ball; steal by D. Arthur),,7,12
27,1,7:56.0,,G. Harris makes 2-pt layup at rim (assist by N. Jokić),7,14
