,QUARTER,TIME_REMAINING,PORTLAND_ACTION,NEW ORLEANS_ACTION,PORTLAND_SCORE,NEW ORLEANS_SCORE
0,1,11:46.0,,J. Holiday makes 2-pt layup from 2 ft (assist by T. Douglas),0,2
1,1,11:32.0,Turnover by C. McCollum (bad pass; steal by T. Douglas),,0,2
2,1,11:24.0,,A. Davis misses 2-pt layup from 2 ft,0,2
3,1,11:23.0,Defensive rebound by M. Plumlee,,0,2
4,1,11:07.0,M. Plumlee makes 2-pt dunk at rim (assist by C. McCollum),,2,2
5,1,10:54.0,,A. Davis misses 2-pt jump shot from 19 ft,2,2
6,1,10:53.0,Defensive rebound by D. Lillard,,2,2
7,1,10:47.0,D. Lillard makes 3-pt jump shot from 26 ft,,5,2
8,1,10:35.0,,J. Holiday misses 2-pt jump shot from 19 ft,5,2
9,1,10:34.0,Defensive rebound by C. McCollum,,5,2
10,1,10:24.0,Turnover by D. Lillard (bad pass; steal by J. Holiday),,5,2
11,1,10:19.0,,J. Holiday makes 2-pt jump shot from 14 ft,5,4
12,1,10:02.0,C. McCollum makes 2-pt layup at rim (assist by D. Lillard),,7,4
13,1,10:02.0,Shooting foul by Ö. Aşık (drawn by C. McCollum),,7,4
14,1,10:02.0,C. McCollum makes free throw 1 of 1,,8,4
15,1,9:41.0,,Ö. Aşık misses 2-pt layup from 1 ft,8,4
16,1,9:40.0,Defensive rebound by D. Lillard,,8,4
17,1,9:25.0,Offensive foul by N. Vonleh (drawn by T. Douglas),,8,4
18,1,9:25.0,Turnover by N. Vonleh (offensive foul),,8,4
19,1,9:11.0,,A. Davis misses 2-pt jump shot from 13 ft,8,4
20,1,9:10.0,Defensive rebound by A. Aminu,,8,4
21,1,8:58.0,M. Plumlee makes 2-pt hook shot from 8 ft (assist by D. Lillard),,10,4
22,1,8:53.0,,New Orleans full timeout,10,4
23,1,8:44.0,,A. Davis makes 2-pt jump shot from 13 ft (assist by T. Douglas),10,6
24,1,8:20.0,C. McCollum makes 3-pt jump shot from 25 ft (assist by D. Lillard),,13,6
25,1,8:10.0,,Def 3 sec tech foul by M. Plumlee,13,6
26,1,8:10.0,,A. Davis makes technical free throw,13,7
27,1,8:01.0,,A. Davis makes 2-pt jump shot from 8 ft (assist by T. Douglas),13,9
28,1,7:45.0,C. McCollum misses 2-pt jump shot from 9 ft,,13,9
29,1,7:44.0,Offensive rebound by A. Aminu,,13,9
30,1,7:44.0,Shooting foul by D. Cunningham (drawn by A. Aminu),,13,9
31,1,7:44.0,A. Aminu makes free throw 1 of 2,,14,9
32,1,7:44.0,A. Aminu makes free throw 2 of 2,,15,9
