,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,TORONTO_ACTION,MILWAUKEE_SCORE,TORONTO_SCORE
0,1,11:39.0,,Turnover by K. Lowry (lost ball; steal by O. Mayo),0,0
1,1,11:36.0,J. Parker misses 2-pt layup from 1 ft (block by D. DeRozan),,0,0
2,1,11:35.0,Offensive rebound by O. Mayo,,0,0
3,1,11:34.0,O. Mayo misses 2-pt jump shot from 6 ft,,0,0
4,1,11:32.0,,Defensive rebound by L. Scola,0,0
5,1,11:32.0,,K. Lowry misses 2-pt layup from 1 ft,0,0
6,1,11:31.0,,Offensive rebound by L. Scola,0,0
7,1,11:28.0,,L. Scola makes 2-pt layup at rim,0,2
8,1,11:15.0,Shooting foul by L. Scola (drawn by J. Parker),,0,2
9,1,11:15.0,J. Parker makes free throw 1 of 2,,1,2
10,1,11:15.0,J. Parker makes free throw 2 of 2,,2,2
11,1,11:00.0,,D. DeRozan misses 2-pt jump shot from 18 ft,2,2
12,1,11:00.0,Defensive rebound by G. Monroe,,2,2
13,1,10:49.0,G. Antetokounmpo makes 2-pt layup from 2 ft,,4,2
14,1,10:31.0,,Turnover by K. Lowry (bad pass; steal by G. Antetokounmpo),4,2
15,1,10:27.0,Turnover by G. Antetokounmpo (bad pass),,4,2
16,1,10:09.0,,L. Scola misses 2-pt jump shot from 18 ft,4,2
17,1,10:08.0,Defensive rebound by J. Parker,,4,2
18,1,9:58.0,Turnover by O. Mayo (lost ball; steal by K. Lowry),,4,2
19,1,9:53.0,,K. Lowry makes 2-pt layup from 2 ft,4,4
20,1,9:39.0,K. Middleton misses 2-pt jump shot from 4 ft (block by L. Scola),,4,4
21,1,9:38.0,Offensive rebound by J. Parker,,4,4
22,1,9:34.0,J. Parker misses 2-pt jump shot from 15 ft,,4,4
23,1,9:33.0,,Defensive rebound by K. Lowry,4,4
24,1,9:28.0,,D. DeRozan misses 2-pt layup from 1 ft,4,4
25,1,9:27.0,Defensive rebound by G. Antetokounmpo,,4,4
26,1,9:10.0,G. Antetokounmpo makes 2-pt dunk at rim,,6,4
27,1,8:47.0,,L. Scola misses 3-pt jump shot from 23 ft,6,4
28,1,8:46.0,Defensive rebound by G. Monroe,,6,4
29,1,8:42.0,Personal foul by T. Ross (drawn by K. Middleton),,6,4
30,1,8:36.0,,Violation by T. Ross (kicked ball),6,4
31,1,8:26.0,G. Antetokounmpo makes 2-pt hook shot from 2 ft,,8,4
32,1,8:14.0,,K. Lowry misses 2-pt layup from 1 ft,8,4
33,1,8:14.0,Defensive rebound by G. Monroe,,8,4
34,1,8:03.0,J. Parker misses 2-pt jump shot from 16 ft,,8,4
35,1,8:02.0,,Defensive rebound by B. Biyombo,8,4
36,1,7:51.0,,Personal foul by O. Mayo (drawn by K. Lowry),8,4
37,1,7:51.0,M. Carter-Williams enters the game for G. Antetokounmpo,,8,4
38,1,7:39.0,,Turnover by L. Scola (bad pass; steal by O. Mayo),8,4
39,1,7:28.0,K. Middleton makes 3-pt jump shot from 26 ft (assist by M. Carter-Williams),,11,4
40,1,7:21.0,,Toronto full timeout,11,4
41,1,7:21.0,,C. Joseph enters the game for T. Ross,11,4
42,1,7:21.0,,P. Patterson enters the game for L. Scola,11,4
43,1,7:13.0,,D. DeRozan makes 2-pt jump shot from 11 ft (assist by K. Lowry),11,6
44,1,6:54.0,K. Middleton misses 2-pt jump shot from 12 ft,,11,6
45,1,6:53.0,,Defensive rebound by B. Biyombo,11,6
46,1,6:39.0,,P. Patterson misses 3-pt jump shot from 22 ft,11,6
47,1,6:39.0,,Offensive rebound by B. Biyombo,11,6
