,QUARTER,TIME_REMAINING,PORTLAND_ACTION,HOUSTON_ACTION,PORTLAND_SCORE,HOUSTON_SCORE
0,1,11:46.0,,Turnover by C. Brewer (lost ball; steal by C. McCollum),0,0
1,1,11:41.0,Turnover by D. Lillard (bad pass; steal by J. Harden),,0,0
2,1,11:38.0,,Turnover by J. Harden (lost ball; steal by A. Aminu),0,0
3,1,11:32.0,M. Harkless makes 3-pt jump shot from 22 ft (assist by A. Aminu),,3,0
4,1,11:15.0,,P. Beverley misses 3-pt jump shot from 24 ft,3,0
5,1,11:13.0,,Offensive rebound by Team,3,0
6,1,11:07.0,,T. Ariza makes 3-pt jump shot from 23 ft (assist by C. Brewer),3,3
7,1,10:50.0,Turnover by M. Plumlee (bad pass; steal by D. Howard),,3,3
8,1,10:39.0,,J. Harden makes 2-pt layup from 2 ft (assist by C. Brewer),3,5
9,1,10:14.0,M. Plumlee misses 2-pt layup from 1 ft,,3,5
10,1,10:14.0,Offensive rebound by C. McCollum,,3,5
11,1,10:11.0,C. McCollum misses 2-pt layup from 1 ft,,3,5
12,1,10:10.0,,Defensive rebound by J. Harden,3,5
13,1,10:06.0,,Turnover by J. Harden (bad pass),3,5
14,1,9:43.0,M. Plumlee makes 2-pt hook shot from 6 ft (assist by A. Aminu),,5,5
15,1,9:23.0,,J. Harden misses 2-pt jump shot from 11 ft,5,5
16,1,9:22.0,Defensive rebound by A. Aminu,,5,5
17,1,9:14.0,M. Plumlee makes 2-pt dunk at rim (assist by D. Lillard),,7,5
18,1,9:07.0,,Turnover by C. Brewer (lost ball; steal by C. McCollum),7,5
19,1,9:01.0,C. McCollum makes 2-pt jump shot from 9 ft,,9,5
20,1,8:40.0,,Turnover by J. Harden (bad pass; steal by C. McCollum),9,5
21,1,8:36.0,Turnover by C. McCollum (bad pass; steal by T. Ariza),,9,5
22,1,8:22.0,,T. Ariza makes 2-pt layup from 2 ft,9,7
23,1,8:03.0,M. Harkless makes 3-pt jump shot from 25 ft (assist by C. McCollum),,12,7
24,1,7:50.0,,P. Beverley misses 3-pt jump shot from 25 ft,12,7
25,1,7:49.0,,Offensive rebound by D. Howard,12,7
26,1,7:47.0,,D. Howard makes 2-pt hook shot from 5 ft,12,9
27,1,7:32.0,,Offensive charge foul by M. Plumlee (drawn by T. Ariza),12,9
28,1,7:32.0,Turnover by M. Plumlee (offensive foul),,12,9
29,1,7:14.0,,D. Howard makes 2-pt layup from 1 ft (assist by C. Brewer),12,11
30,1,7:01.0,M. Plumlee makes 2-pt dunk at rim (assist by D. Lillard),,14,11
31,1,6:48.0,,C. Brewer misses 3-pt jump shot from 24 ft,14,11
32,1,6:47.0,Defensive rebound by D. Lillard,,14,11
33,1,6:37.0,A. Aminu makes 3-pt jump shot from 23 ft (assist by D. Lillard),,17,11
34,1,6:36.0,,Houston full timeout,17,11
35,1,6:36.0,,J. Smith enters the game for C. Brewer,17,11
36,1,6:16.0,,J. Smith misses 2-pt jump shot from 8 ft,17,11
37,1,6:15.0,Defensive rebound by M. Plumlee,,17,11
38,1,6:07.0,A. Aminu misses 3-pt jump shot from 23 ft,,17,11
39,1,6:06.0,,Defensive rebound by J. Harden,17,11
40,1,5:51.0,,Shooting block foul by M. Plumlee (drawn by J. Harden),17,11
41,1,5:51.0,,J. Harden makes free throw 1 of 2,17,12
42,1,5:51.0,M. Leonard enters the game for M. Plumlee,,17,12
43,1,5:51.0,E. Davis enters the game for A. Aminu,,17,12
44,1,5:51.0,,J. Harden makes free throw 2 of 2,17,13
45,1,5:39.0,M. Harkless misses 3-pt jump shot from 22 ft,,17,13
46,1,5:39.0,Offensive rebound by M. Leonard,,17,13
47,1,5:32.0,D. Lillard makes 3-pt jump shot from 25 ft (assist by M. Leonard),,20,13
48,1,5:25.0,,J. Harden misses 3-pt jump shot from 25 ft,20,13
49,1,5:24.0,Defensive rebound by M. Leonard,,20,13
50,1,5:12.0,D. Lillard misses 3-pt jump shot from 26 ft,,20,13
51,1,5:11.0,,Defensive rebound by J. Harden,20,13
52,1,5:06.0,,D. Howard makes 2-pt dunk at rim (assist by J. Harden),20,15
53,1,4:49.0,Turnover by D. Lillard (back court),,20,15
54,1,4:49.0,,Technical foul by P. Beverley,20,15
55,1,4:49.0,D. Lillard makes technical free throw,,21,15
56,1,4:49.0,G. Henderson enters the game for C. McCollum,,21,15
57,1,4:38.0,,J. Harden makes 3-pt jump shot from 24 ft (assist by P. Beverley),21,18
58,1,4:22.0,D. Lillard makes 2-pt layup from 2 ft,,23,18
59,1,4:06.0,,J. Harden misses 2-pt jump shot from 18 ft,23,18
60,1,4:05.0,Defensive rebound by E. Davis,,23,18
61,1,3:58.0,Personal foul by P. Beverley (drawn by D. Lillard),,23,18
62,1,3:58.0,,C. Capela enters the game for D. Howard,23,18
63,1,3:58.0,,T. Lawson enters the game for P. Beverley,23,18
64,1,3:52.0,D. Lillard misses 3-pt jump shot from 25 ft,,23,18
65,1,3:51.0,,Defensive rebound by J. Smith,23,18
66,1,3:41.0,,J. Harden makes 2-pt layup from 1 ft,23,20
67,1,3:22.0,D. Lillard misses 2-pt jump shot from 4 ft,,23,20
68,1,3:21.0,,Defensive rebound by C. Capela,23,20
69,1,3:08.0,,J. Smith misses 3-pt jump shot from 26 ft,23,20
70,1,3:08.0,Defensive rebound by D. Lillard,,23,20
71,1,3:01.0,Personal block foul by C. Capela (drawn by D. Lillard),,23,20
72,1,3:01.0,,C. Brewer enters the game for T. Ariza,23,20
73,1,3:01.0,Portland full timeout,,23,20
74,1,3:01.0,T. Frazier enters the game for M. Harkless,,23,20
75,1,2:48.0,M. Leonard misses 3-pt jump shot from 24 ft,,23,20
76,1,2:48.0,,Defensive rebound by C. Capela,23,20
77,1,2:36.0,,Turnover by J. Smith (lost ball; steal by G. Henderson),23,20
78,1,2:27.0,D. Lillard misses 2-pt jump shot from 11 ft,,23,20
79,1,2:27.0,Offensive rebound by M. Leonard,,23,20
