,QUARTER,TIME_REMAINING,ORLANDO_ACTION,INDIANA_ACTION,ORLANDO_SCORE,INDIANA_SCORE
0,1,11:48.0,V. Oladipo makes 2-pt jump shot from 18 ft (assist by D. Dedmon),,2,0
1,1,11:26.0,,M. Ellis makes 3-pt jump shot from 24 ft (assist by G. Hill),2,3
2,1,11:01.0,E. Fournier misses 2-pt jump shot from 10 ft,,2,3
3,1,11:00.0,,Defensive rebound by M. Turner,2,3
4,1,10:54.0,,G. Hill misses 2-pt layup from 2 ft,2,3
5,1,10:53.0,Defensive rebound by V. Oladipo,,2,3
6,1,10:40.0,E. Fournier makes 2-pt jump shot from 19 ft (assist by V. Oladipo),,4,3
7,1,10:26.0,,P. George misses 2-pt jump shot from 19 ft,4,3
8,1,10:25.0,,Offensive rebound by M. Turner,4,3
9,1,10:22.0,,G. Hill makes 3-pt jump shot from 25 ft (assist by M. Turner),4,6
10,1,10:10.0,Turnover by E. Fournier (lost ball; steal by P. George),,4,6
11,1,10:04.0,,P. George misses 2-pt layup from 1 ft (block by A. Gordon),4,6
12,1,10:01.0,,Offensive rebound by P. George,4,6
13,1,9:53.0,,M. Turner misses 2-pt jump shot from 16 ft,4,6
14,1,9:51.0,,Offensive rebound by P. George,4,6
15,1,9:51.0,,P. George makes 2-pt layup at rim,4,8
16,1,9:30.0,A. Gordon misses 2-pt layup at rim (block by M. Turner),,4,8
17,1,9:28.0,Offensive rebound by A. Gordon,,4,8
18,1,9:27.0,A. Gordon makes 2-pt dunk at rim,,6,8
19,1,9:18.0,,Shooting foul by D. Dedmon (drawn by I. Mahinmi),6,8
20,1,9:18.0,,I. Mahinmi misses free throw 1 of 2,6,8
21,1,9:18.0,,Offensive rebound by Team,6,8
22,1,9:18.0,,I. Mahinmi makes free throw 2 of 2,6,9
23,1,8:58.0,Shooting foul by I. Mahinmi (drawn by A. Gordon),,6,9
24,1,8:58.0,A. Gordon makes free throw 1 of 2,,7,9
25,1,8:58.0,A. Gordon makes free throw 2 of 2,,8,9
26,1,8:45.0,,M. Ellis misses 2-pt layup from 1 ft,8,9
27,1,8:44.0,Defensive rebound by E. Payton,,8,9
28,1,8:31.0,E. Fournier makes 2-pt jump shot from 18 ft,,10,9
29,1,8:03.0,,M. Ellis makes 2-pt jump shot from 22 ft,10,11
30,1,7:54.0,D. Dedmon makes 2-pt dunk at rim (assist by E. Payton),,12,11
31,1,7:52.0,,Turnover by I. Mahinmi (bad pass),12,11
32,1,7:49.0,Turnover by E. Fournier (bad pass; steal by P. George),,12,11
33,1,7:31.0,,M. Turner makes 2-pt jump shot from 16 ft,12,13
34,1,7:13.0,E. Payton misses 2-pt jump shot from 12 ft,,12,13
35,1,7:13.0,Offensive rebound by D. Dedmon,,12,13
36,1,7:13.0,Shooting foul by M. Ellis (drawn by D. Dedmon),,12,13
