,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,PHILADELPHIA_ACTION,NEW ORLEANS_SCORE,PHILADELPHIA_SCORE
0,1,11:42.0,L. Babbitt misses 2-pt jump shot from 11 ft,,0,0
1,1,11:41.0,,Defensive rebound by E. Brand,0,0
2,1,11:34.0,,R. Covington misses 3-pt jump shot from 25 ft,0,0
3,1,11:33.0,Defensive rebound by A. Ajinça,,0,0
4,1,11:20.0,A. Ajinça makes 2-pt hook shot from 8 ft,,2,0
5,1,11:17.0,,Turnover by E. Brand (bad pass; steal by T. Frazier),2,0
6,1,11:12.0,T. Frazier misses 2-pt jump shot from 11 ft,,2,0
7,1,11:11.0,Offensive rebound by T. Frazier,,2,0
8,1,11:04.0,T. Frazier makes 2-pt jump shot from 20 ft (assist by L. Babbitt),,4,0
9,1,10:43.0,,I. Canaan makes 3-pt jump shot from 25 ft (assist by R. Covington),4,3
10,1,10:28.0,D. Cunningham makes 2-pt layup from 1 ft (assist by T. Frazier),,6,3
11,1,10:20.0,,R. Covington misses 3-pt jump shot from 27 ft,6,3
12,1,10:19.0,Defensive rebound by A. Ajinça,,6,3
13,1,9:58.0,L. Babbitt makes 2-pt jump shot from 10 ft,,8,3
14,1,9:41.0,,E. Brand misses 2-pt jump shot from 15 ft,8,3
15,1,9:40.0,Defensive rebound by T. Douglas,,8,3
16,1,9:32.0,A. Ajinça makes 2-pt jump shot from 16 ft (assist by T. Douglas),,10,3
17,1,9:13.0,,J. Grant misses 2-pt layup from 2 ft,10,3
18,1,9:11.0,Defensive rebound by A. Ajinça,,10,3
19,1,9:00.0,A. Ajinça misses 2-pt jump shot from 18 ft,,10,3
20,1,8:58.0,,Defensive rebound by R. Covington,10,3
21,1,8:38.0,,I. Canaan misses 3-pt jump shot from 25 ft,10,3
22,1,8:37.0,Defensive rebound by A. Ajinça,,10,3
23,1,8:30.0,L. Babbitt misses 3-pt jump shot from 25 ft,,10,3
24,1,8:29.0,,Defensive rebound by I. Canaan,10,3
25,1,8:20.0,,R. Covington makes 2-pt layup at rim (assist by I. Smith),10,5
26,1,8:12.0,Shooting foul by I. Smith (drawn by T. Frazier),,10,5
27,1,8:12.0,T. Frazier makes free throw 1 of 2,,11,5
