,QUARTER,TIME_REMAINING,DETROIT_ACTION,GOLDEN STATE_ACTION,DETROIT_SCORE,GOLDEN STATE_SCORE
0,1,11:40.0,,D. Green misses 3-pt jump shot from 24 ft,0,0
1,1,11:40.0,Defensive rebound by M. Morris,,0,0
2,1,11:16.0,A. Drummond makes 2-pt hook shot from 7 ft,,2,0
3,1,11:00.0,,F. Ezeli misses 2-pt layup from 1 ft,2,0
4,1,10:59.0,Defensive rebound by A. Drummond,,2,0
5,1,10:52.0,Turnover by R. Jackson (bad pass; steal by S. Curry),,2,0
6,1,10:46.0,,S. Curry makes 2-pt jump shot from 9 ft,2,2
7,1,10:18.0,A. Drummond misses 2-pt jump shot from 12 ft,,2,2
8,1,10:17.0,,Defensive rebound by D. Green,2,2
9,1,10:10.0,,F. Ezeli makes 2-pt layup at rim (assist by D. Green),2,4
10,1,9:48.0,Turnover by A. Drummond (lost ball),,2,4
11,1,9:35.0,,K. Thompson makes 2-pt jump shot from 13 ft (assist by D. Green),2,6
12,1,9:19.0,M. Morris misses 2-pt jump shot from 15 ft,,2,6
13,1,9:18.0,,Defensive rebound by D. Green,2,6
14,1,9:10.0,,K. Thompson makes 2-pt layup at rim (assist by D. Green),2,8
15,1,9:04.0,Detroit full timeout,,2,8
16,1,8:55.0,E. İlyasova makes 2-pt jump shot from 22 ft (assist by R. Jackson),,4,8
17,1,8:44.0,,K. Thompson makes 2-pt jump shot from 14 ft (assist by S. Curry),4,10
18,1,8:21.0,R. Jackson misses 2-pt jump shot from 18 ft,,4,10
19,1,8:20.0,,Defensive rebound by K. Thompson,4,10
20,1,8:04.0,,H. Barnes makes 2-pt jump shot from 18 ft,4,12
21,1,7:50.0,R. Jackson misses 2-pt jump shot from 4 ft,,4,12
22,1,7:49.0,,Defensive rebound by H. Barnes,4,12
23,1,7:47.0,,Turnover by H. Barnes (bad pass),4,12
24,1,7:23.0,A. Drummond makes 2-pt layup from 2 ft,,6,12
25,1,7:12.0,,D. Green misses 2-pt layup from 2 ft,6,12
26,1,7:12.0,Defensive rebound by M. Morris,,6,12
27,1,6:59.0,K. Caldwell-Pope makes 2-pt jump shot from 4 ft,,8,12
28,1,6:51.0,,F. Ezeli makes 2-pt dunk at rim (assist by S. Curry),8,14
29,1,6:27.0,K. Caldwell-Pope misses 2-pt jump shot from 3 ft (block by F. Ezeli),,8,14
30,1,6:27.0,Offensive rebound by Team,,8,14
31,1,6:23.0,R. Jackson makes 2-pt layup from 1 ft (assist by K. Caldwell-Pope),,10,14
32,1,6:10.0,,Offensive foul by S. Curry (drawn by R. Jackson),10,14
33,1,6:10.0,,Turnover by S. Curry (offensive foul),10,14
34,1,6:10.0,,A. Iguodala enters the game for H. Barnes,10,14
35,1,5:55.0,E. İlyasova misses 2-pt jump shot from 3 ft (block by D. Green),,10,14
36,1,5:54.0,,Defensive rebound by S. Curry,10,14
37,1,5:47.0,,A. Iguodala misses 2-pt jump shot from 16 ft,10,14
38,1,5:47.0,Defensive rebound by A. Drummond,,10,14
39,1,5:29.0,A. Drummond misses 2-pt hook shot from 10 ft,,10,14
40,1,5:28.0,,Defensive rebound by A. Iguodala,10,14
41,1,5:20.0,,Turnover by F. Ezeli (lost ball; steal by R. Jackson),10,14
